ID,Language_ID,Feature_ID,Value,Concept
126-402,erzy1239,http://concepticon.clld.org/parameters/1515,kemenʸ,ten
126-781,erzy1239,http://concepticon.clld.org/parameters/1483,veykse,nine
126-977,erzy1239,http://concepticon.clld.org/parameters/1705,kavkso,eight
126-137,erzy1239,http://concepticon.clld.org/parameters/1704,sʸisʸem,seven
126-1199,erzy1239,http://concepticon.clld.org/parameters/1703,koto,six
126-831,erzy1239,http://concepticon.clld.org/parameters/493,vetʸe,five
126-569,erzy1239,http://concepticon.clld.org/parameters/1500,nʸilʸe,four
126-293,erzy1239,http://concepticon.clld.org/parameters/492,kolmo,three
126-184,erzy1239,http://concepticon.clld.org/parameters/1498,kavto,two
126-898,erzy1239,http://concepticon.clld.org/parameters/1515,veyke,one
126-202,erzy1239,http://concepticon.clld.org/parameters/1294,nulʸ,"zero, nothing"
126-95,erzy1239,http://concepticon.clld.org/parameters/1264,polavtoms,change
126-759,erzy1239,http://concepticon.clld.org/parameters/1558,ve yonov,"like, similar"
126-210,erzy1239,http://concepticon.clld.org/parameters/1558,mo lʸic̷ʸa,"like, similar"
126-405,erzy1239,http://concepticon.clld.org/parameters/1667,var̃ʸa,hole
126-1063,erzy1239,http://concepticon.clld.org/parameters/1048,čer̃ʸks,line
126-924,erzy1239,http://concepticon.clld.org/parameters/1845,oska,"sphere, ball"
126-303,erzy1239,http://concepticon.clld.org/parameters/1467,čar̃o,circle
126-1139,erzy1239,http://concepticon.clld.org/parameters/1395,čar̃onʸ konʸdʸamo,round
126-712,erzy1239,http://concepticon.clld.org/parameters/850,nʸilʸe ugolso,square
126-222,erzy1239,http://concepticon.clld.org/parameters/850,nʸilʸe užese,square
126-512,erzy1239,http://concepticon.clld.org/parameters/1367,kr̃ʸost,cross
126-565,erzy1239,http://concepticon.clld.org/parameters/192,ugol,corner
126-843,erzy1239,http://concepticon.clld.org/parameters/192,uže,corner
126-1151,erzy1239,http://concepticon.clld.org/parameters/1071,kečkaz,hook
126-714,erzy1239,http://concepticon.clld.org/parameters/297,kičker̃ʸe,crooked
126-418,erzy1239,http://concepticon.clld.org/parameters/1404,vidʸe,straight
126-370,erzy1239,http://concepticon.clld.org/parameters/1633,lapuža,flat
126-75,erzy1239,http://concepticon.clld.org/parameters/193,čova,shallow
126-577,erzy1239,http://concepticon.clld.org/parameters/193,alka,shallow
126-1022,erzy1239,http://concepticon.clld.org/parameters/1593,ser̃ʸey,deep
126-600,erzy1239,http://concepticon.clld.org/parameters/1400,čovinʸe,thin (in dimension)
126-927,erzy1239,http://concepticon.clld.org/parameters/1244,ečke,thick (in dimension)
126-333,erzy1239,http://concepticon.clld.org/parameters/1267,tʸeya,narrow
126-389,erzy1239,http://concepticon.clld.org/parameters/1243,kelʸey,"wide, broad"
126-690,erzy1239,http://concepticon.clld.org/parameters/1645,nur̃ʸkinʸe,short
126-1022,erzy1239,http://concepticon.clld.org/parameters/711,ser̃ʸey,tall
126-691,erzy1239,http://concepticon.clld.org/parameters/1203,kuvaka,long
126-561,erzy1239,http://concepticon.clld.org/parameters/1246,višinʸe,"small, little"
126-622,erzy1239,http://concepticon.clld.org/parameters/1202,pokš,"large, big"
126-901,erzy1239,http://concepticon.clld.org/parameters/81,onks,"span, fathom"
126-963,erzy1239,http://concepticon.clld.org/parameters/1506,onkstams,measure
126-148,erzy1239,http://concepticon.clld.org/parameters/479,kasoms,grow
126-225,erzy1239,http://concepticon.clld.org/parameters/1595,lʸembe mastor̃,south
126-19,erzy1239,http://concepticon.clld.org/parameters/1598,pelʸeve yonks,north
126-621,erzy1239,http://concepticon.clld.org/parameters/1817,či͜valgoma,west
126-253,erzy1239,http://concepticon.clld.org/parameters/1877,či͜lʸisʸema,east
126-670,erzy1239,http://concepticon.clld.org/parameters/1406,vasolo,far (adv)
126-26,erzy1239,http://concepticon.clld.org/parameters/1942,malaso,near (adv)
126-438,erzy1239,http://concepticon.clld.org/parameters/244,ker̃š,left (side)
126-116,erzy1239,http://concepticon.clld.org/parameters/1019,vitʸ,right (side)
126-1196,erzy1239,http://concepticon.clld.org/parameters/1093,kunška,"middle, center"
126-920,erzy1239,http://concepticon.clld.org/parameters/682,yonks,side
126-844,erzy1239,http://concepticon.clld.org/parameters/863,sʸuvovks,edge
126-800,erzy1239,http://concepticon.clld.org/parameters/742,pe,end
126-1112,erzy1239,http://concepticon.clld.org/parameters/690,potmaks,bottom
126-1168,erzy1239,http://concepticon.clld.org/parameters/1753,tʸokš,top
126-848,erzy1239,http://concepticon.clld.org/parameters/721,alkinʸe,low
126-1022,erzy1239,http://concepticon.clld.org/parameters/1265,ser̃ʸey,high
126-445,erzy1239,http://concepticon.clld.org/parameters/602,kekšems,"hide, conceal"
126-1055,erzy1239,http://concepticon.clld.org/parameters/761,velʸtʸams,cover
126-1159,erzy1239,http://concepticon.clld.org/parameters/1046,pekstams,"shut, close"
126-579,erzy1239,http://concepticon.clld.org/parameters/1156,panžoms,open
126-44,erzy1239,http://concepticon.clld.org/parameters/1119,yavoms,divide
126-1144,erzy1239,http://concepticon.clld.org/parameters/1119,yavnoms,divide
126-44,erzy1239,http://concepticon.clld.org/parameters/1359,yavoms,separate
126-575,erzy1239,http://concepticon.clld.org/parameters/1743,poladoms,"join, unite"
126-461,erzy1239,http://concepticon.clld.org/parameters/1576,pur̃nams,pile up
126-234,erzy1239,http://concepticon.clld.org/parameters/371,kepedʸems,pick up
126-461,erzy1239,http://concepticon.clld.org/parameters/7,pur̃nams,"collect, gather"
126-123,erzy1239,http://concepticon.clld.org/parameters/838,kadovkst,"remains, left overs"
126-737,erzy1239,http://concepticon.clld.org/parameters/987,kadovoms,"remain, stay"
