ID,Language_ID,Feature_ID,Value,Concept
147-428,east2328,http://concepticon.clld.org/parameters/1753,'βuy,top
147-1235,east2328,http://concepticon.clld.org/parameters/721,'üləkšö ~ lap'ka,low
147-1149,east2328,http://concepticon.clld.org/parameters/1265,'kükšö,high
147-1306,east2328,http://concepticon.clld.org/parameters/602,šəl'taš ~ to'yaš,"hide, conceal"
147-303,east2328,http://concepticon.clld.org/parameters/761,leβe'ðaš,cover
147-1216,east2328,http://concepticon.clld.org/parameters/1046,petə'r̃aš ~ tü'čʸaš,"shut, close"
147-930,east2328,http://concepticon.clld.org/parameters/1156,'βiš,open
147-1125,east2328,http://concepticon.clld.org/parameters/1119,še'laš,divide
147-287,east2328,http://concepticon.clld.org/parameters/1359,oyə'r̃aš,separate
147-518,east2328,http://concepticon.clld.org/parameters/1743,u'šaš,"join, unite"
147-919,east2328,http://concepticon.clld.org/parameters/1576,po'ɣaš,pile up
147-86,east2328,http://concepticon.clld.org/parameters/371,čar̃ak'laš,pick up
147-1017,east2328,http://concepticon.clld.org/parameters/371,nölta'laš,pick up
147-919,east2328,http://concepticon.clld.org/parameters/7,po'ɣaš,"collect, gather"
147-372,east2328,http://concepticon.clld.org/parameters/838,'koðšo,"remains, left overs"
147-1304,east2328,http://concepticon.clld.org/parameters/987,ko'ðaš,"remain, stay"
147-464,east2328,http://concepticon.clld.org/parameters/1442,šo'ɣaš,stand
147-457,east2328,http://concepticon.clld.org/parameters/215,βo'zaš,lie down
147-699,east2328,http://concepticon.clld.org/parameters/1416,šin'čʸaš,sit
147-558,east2328,http://concepticon.clld.org/parameters/998,pəš'taš,put
147-951,east2328,http://concepticon.clld.org/parameters/998,šoɣal'taš,put
147-294,east2328,http://concepticon.clld.org/parameters/723,'βer̃,place
147-827,east2328,http://concepticon.clld.org/parameters/1591,'küšnö,"up, above"
147-508,east2328,http://concepticon.clld.org/parameters/1485,yəma'lan,under
147-12,east2328,http://concepticon.clld.org/parameters/762,tüž'βalne,outside
147-892,east2328,http://concepticon.clld.org/parameters/1606,'kör̃ɣəštö,"inside, in"
147-676,east2328,http://concepticon.clld.org/parameters/1019,'ončʸəl,front
147-1094,east2328,http://concepticon.clld.org/parameters/1019,'melən 'moɣər̃,front
147-591,east2328,http://concepticon.clld.org/parameters/1882,'ončʸəlno,before
147-1,east2328,http://concepticon.clld.org/parameters/1882,'mar̃te ~ šu'meš,before
147-898,east2328,http://concepticon.clld.org/parameters/1326,'ülək,"down, below"
147-1148,east2328,http://concepticon.clld.org/parameters/1326,yə'mak,"down, below"
147-540,east2328,http://concepticon.clld.org/parameters/1326,ü'lan,"down, below"
147-508,east2328,http://concepticon.clld.org/parameters/1326,yəma'lan,"down, below"
147-854,east2328,http://concepticon.clld.org/parameters/1816,yəɣə'r̃e,beside
147-710,east2328,http://concepticon.clld.org/parameters/1816,'lišne,beside
147-388,east2328,http://concepticon.clld.org/parameters/723,šeŋ'ɣelne,behind
147-616,east2328,http://concepticon.clld.org/parameters/723,βa'r̃a,behind
147-616,east2328,http://concepticon.clld.org/parameters/1685,βa'r̃a,after
147-1099,east2328,http://concepticon.clld.org/parameters/1098,'nelət,weigh
147-1048,east2328,http://concepticon.clld.org/parameters/884,u'žaš,share (distribute)
147-181,east2328,http://concepticon.clld.org/parameters/1887,'šulðo,cheap
147-97,east2328,http://concepticon.clld.org/parameters/1426,'šer̃ɣe,"dear (costly, expensive)"
147-680,east2328,http://concepticon.clld.org/parameters/657,'ak,price
147-1298,east2328,http://concepticon.clld.org/parameters/752,'keβət,"store, shop"
147-399,east2328,http://concepticon.clld.org/parameters/633,pa'zar̃,market (place)
147-776,east2328,http://concepticon.clld.org/parameters/1082,sa'tuzo,merchant
147-490,east2328,http://concepticon.clld.org/parameters/2135,uža'laš,"trade, barter"
147-490,east2328,http://concepticon.clld.org/parameters/1571,uža'laš,sell
147-963,east2328,http://concepticon.clld.org/parameters/1869,na'laš,buy
147-844,east2328,http://concepticon.clld.org/parameters/733,əš'ten na'laš (ok'sam),earn
147-396,east2328,http://concepticon.clld.org/parameters/1122,paša'ðar̃,wages
147-716,east2328,http://concepticon.clld.org/parameters/856,tar̃'laš,hire
147-501,east2328,http://concepticon.clld.org/parameters/873,yo'zak,"tax, tribute"
147-1201,east2328,http://concepticon.clld.org/parameters/1081,šotlə'maš,"account, reckoning"
147-339,east2328,http://concepticon.clld.org/parameters/718,tü'laš,pay (vb)
147-105,east2328,http://concepticon.clld.org/parameters/1914,'par̃əm,debt
147-677,east2328,http://concepticon.clld.org/parameters/369,'par̃əməš pu'r̃aš,owe
147-90,east2328,http://concepticon.clld.org/parameters/1823,a'r̃aš,borrow
147-443,east2328,http://concepticon.clld.org/parameters/582,ar̃ə'meš pu'aš,lend
147-969,east2328,http://concepticon.clld.org/parameters/1774,čʸaŋ'ɣa,"avaricious, stingy"
147-637,east2328,http://concepticon.clld.org/parameters/1934,'küčʸəzö,beggar
147-115,east2328,http://concepticon.clld.org/parameters/1674,'yor̃lo ~ ɲe'zer̃,poor
147-1174,east2328,http://concepticon.clld.org/parameters/712,po'yan,rich
