ID,Language_ID,Feature_ID,Value,Concept
160-576,bezh1248,http://concepticon.clld.org/parameters/1577,-на,and
160-699,bezh1248,http://concepticon.clld.org/parameters/1157,судлІо нисода,because
160-1290,bezh1248,http://concepticon.clld.org/parameters/488,къаьъида,"way, manner"
160-1527,bezh1248,http://concepticon.clld.org/parameters/1812,йикъеллолъи,"try, attempt"
160-1427,bezh1248,http://concepticon.clld.org/parameters/584,загьматаб,difficult
160-837,bezh1248,http://concepticon.clld.org/parameters/584,баькъкъоь,difficult
160-850,bezh1248,http://concepticon.clld.org/parameters/686,бигьайаб,easy
160-1275,bezh1248,http://concepticon.clld.org/parameters/643,гьаьжаьлъи,"need, necessity"
160-82,bezh1248,http://concepticon.clld.org/parameters/1902,нилІал,betray
160-1031,bezh1248,http://concepticon.clld.org/parameters/1902,йиᴴсал,betray
160-133,bezh1248,http://concepticon.clld.org/parameters/1902,хийанатлъи йовал,betray
160-405,bezh1248,http://concepticon.clld.org/parameters/1841,шакдизи йахъал,suspect
160-1456,bezh1248,http://concepticon.clld.org/parameters/1308,шаклъи,doubt
160-1310,bezh1248,http://concepticon.clld.org/parameters/860,илла,cause
160-321,bezh1248,http://concepticon.clld.org/parameters/860,багьана,cause
160-1373,bezh1248,http://concepticon.clld.org/parameters/1162,хийал,"intention, purpose"
160-797,bezh1248,http://concepticon.clld.org/parameters/1162,мурад,"intention, purpose"
160-519,bezh1248,http://concepticon.clld.org/parameters/1626,бичІчІи йовал,explain
160-805,bezh1248,http://concepticon.clld.org/parameters/509,йакІо йоᴴкъойо,"sure, certain"
160-1268,bezh1248,http://concepticon.clld.org/parameters/1121,балъголъи,secret
160-1459,bezh1248,http://concepticon.clld.org/parameters/1764,бичІчІи йахъаъцас,obscure
160-1515,bezh1248,http://concepticon.clld.org/parameters/989,муьгькаьнаьб,"clear, plain"
160-89,bezh1248,http://concepticon.clld.org/parameters/989,байанаб,"clear, plain"
160-568,bezh1248,http://concepticon.clld.org/parameters/1523,шоьъаьл,forget
160-564,bezh1248,http://concepticon.clld.org/parameters/707,йакІкьа йоᴴкъал,remember
160-643,bezh1248,http://concepticon.clld.org/parameters/673,ишкола,school
160-340,bezh1248,http://concepticon.clld.org/parameters/753,мутаъаьлим,pupil
160-1267,bezh1248,http://concepticon.clld.org/parameters/753,цІалдохъан,pupil
160-1090,bezh1248,http://concepticon.clld.org/parameters/753,хъогьдаги,pupil
160-645,bezh1248,http://concepticon.clld.org/parameters/1038,муьъаьлим,teacher
160-144,bezh1248,http://concepticon.clld.org/parameters/1038,учител,teacher
160-18,bezh1248,http://concepticon.clld.org/parameters/1038,уьштел,teacher
160-662,bezh1248,http://concepticon.clld.org/parameters/709,хъовал,teach
160-117,bezh1248,http://concepticon.clld.org/parameters/1929,йикъелал,study
160-117,bezh1248,http://concepticon.clld.org/parameters/504,йикъелал,learn
160-20,bezh1248,http://concepticon.clld.org/parameters/1899,аᴴкъло гаьччоь,"insane, crazy"
160-1390,bezh1248,http://concepticon.clld.org/parameters/1518,аьдаьлаьб,"foolish, stupid"
160-178,bezh1248,http://concepticon.clld.org/parameters/698,акъилаб,wise
160-1012,bezh1248,http://concepticon.clld.org/parameters/1609,пикро,"idea, notion"
160-755,bezh1248,http://concepticon.clld.org/parameters/1521,гицІал,seem
160-975,bezh1248,http://concepticon.clld.org/parameters/117,йōваъцой йецал,imitate
160-422,bezh1248,http://concepticon.clld.org/parameters/1932,пикро бахъал,guess
160-744,bezh1248,http://concepticon.clld.org/parameters/1410,йикъал,know
160-563,bezh1248,http://concepticon.clld.org/parameters/1536,биджи йахъал,understand
160-461,bezh1248,http://concepticon.clld.org/parameters/1890,боьжаьл,believe
160-269,bezh1248,http://concepticon.clld.org/parameters/1513,пикро бовал,think (= be of the opinion)
160-271,bezh1248,http://concepticon.clld.org/parameters/1415,ургъизи йахъал,think (= reflect)
160-1071,bezh1248,http://concepticon.clld.org/parameters/1562,аᴴкъло,mind
160-178,bezh1248,http://concepticon.clld.org/parameters/1310,акъилаб,clever
160-1109,bezh1248,http://concepticon.clld.org/parameters/1548,сурукъаб,ugly
