ID,Language_ID,Feature_ID,Value,Concept
168-204,mode1248,http://concepticon.clld.org/parameters/965,'kosmos ['kozmos],world
168-945,mode1248,http://concepticon.clld.org/parameters/626,'ɣi,"earth, land"
168-945,mode1248,http://concepticon.clld.org/parameters/1228,'ɣi,"earth=ground, soil"
168-1472,mode1248,http://concepticon.clld.org/parameters/1228,'eðafos,"earth=ground, soil"
168-373,mode1248,http://concepticon.clld.org/parameters/1228,'xoma,"earth=ground, soil"
168-328,mode1248,http://concepticon.clld.org/parameters/2,'skoni,dust
168-809,mode1248,http://concepticon.clld.org/parameters/640,'laspi,mud
168-246,mode1248,http://concepticon.clld.org/parameters/671,'amos,sand
168-409,mode1248,http://concepticon.clld.org/parameters/2118,vu'no,"mountain, hill"
168-1146,mode1248,http://concepticon.clld.org/parameters/2118,'oros,"mountain, hill"
168-732,mode1248,http://concepticon.clld.org/parameters/2118,'lofos,"mountain, hill"
168-1382,mode1248,http://concepticon.clld.org/parameters/618,'vraxos,"cliff, precipice"
168-15,mode1248,http://concepticon.clld.org/parameters/618,gre'mos,"cliff, precipice"
168-611,mode1248,http://concepticon.clld.org/parameters/652,peði'aða,"plain, field"
168-254,mode1248,http://concepticon.clld.org/parameters/652,ekso'xi,"plain, field"
168-1483,mode1248,http://concepticon.clld.org/parameters/652,'ipeθros,"plain, field"
168-1324,mode1248,http://concepticon.clld.org/parameters/921,ki'laða [k̯i'laða],valley
168-1234,mode1248,http://concepticon.clld.org/parameters/622,ni'si,island
168-939,mode1248,http://concepticon.clld.org/parameters/622,'nisos,island
168-1151,mode1248,http://concepticon.clld.org/parameters/166,'ipiros,mainland
168-11,mode1248,http://concepticon.clld.org/parameters/166,ste'ria,mainland
168-885,mode1248,http://concepticon.clld.org/parameters/166,ipiroti'ki 'xora,mainland
168-168,mode1248,http://concepticon.clld.org/parameters/113,a'kti,shore
168-1330,mode1248,http://concepticon.clld.org/parameters/113,para'lia,shore
168-837,mode1248,http://concepticon.clld.org/parameters/113,ɣia'los,shore
168-1041,mode1248,http://concepticon.clld.org/parameters/1155,spi'lia,cave
168-1522,mode1248,http://concepticon.clld.org/parameters/948,ne'ro,water
168-22,mode1248,http://concepticon.clld.org/parameters/1474,'θalasa,sea
