ID,Language_ID,Feature_ID,Value,Concept
171-580,stan1290,http://concepticon.clld.org/parameters/965,monde,world
171-747,stan1290,http://concepticon.clld.org/parameters/626,terre,"earth, land"
171-747,stan1290,http://concepticon.clld.org/parameters/1228,terre,"earth=ground, soil"
171-327,stan1290,http://concepticon.clld.org/parameters/1228,sol,"earth=ground, soil"
171-72,stan1290,http://concepticon.clld.org/parameters/2,poussière,dust
171-868,stan1290,http://concepticon.clld.org/parameters/640,boue,mud
171-593,stan1290,http://concepticon.clld.org/parameters/671,sable,sand
171-223,stan1290,http://concepticon.clld.org/parameters/2118,montagne,"mountain, hill"
171-1185,stan1290,http://concepticon.clld.org/parameters/2118,colline,"mountain, hill"
171-205,stan1290,http://concepticon.clld.org/parameters/618,falaise,"cliff, precipice"
171-501,stan1290,http://concepticon.clld.org/parameters/618,escarpement,"cliff, precipice"
171-521,stan1290,http://concepticon.clld.org/parameters/652,plaine,"plain, field"
171-1092,stan1290,http://concepticon.clld.org/parameters/652,campagne,"plain, field"
171-20,stan1290,http://concepticon.clld.org/parameters/921,vallée,valley
171-758,stan1290,http://concepticon.clld.org/parameters/622,île,island
171-1074,stan1290,http://concepticon.clld.org/parameters/166,continent,mainland
171-451,stan1290,http://concepticon.clld.org/parameters/113,rivage,shore
171-432,stan1290,http://concepticon.clld.org/parameters/113,côte,shore
171-315,stan1290,http://concepticon.clld.org/parameters/113,littoral,shore
171-543,stan1290,http://concepticon.clld.org/parameters/1155,grotte,cave
171-1510,stan1290,http://concepticon.clld.org/parameters/948,eau,water
171-40,stan1290,http://concepticon.clld.org/parameters/1474,mer,sea
171-1018,stan1290,http://concepticon.clld.org/parameters/258,étale,calm (of sea)
171-396,stan1290,http://concepticon.clld.org/parameters/259,trouble,rough (of sea)
171-1194,stan1290,http://concepticon.clld.org/parameters/259,agité,rough (of sea)
171-1122,stan1290,http://concepticon.clld.org/parameters/1768,écume,foam
171-862,stan1290,http://concepticon.clld.org/parameters/1768,mousse,foam
171-496,stan1290,http://concepticon.clld.org/parameters/645,océan,ocean
171-86,stan1290,http://concepticon.clld.org/parameters/624,lac,lake
171-488,stan1290,http://concepticon.clld.org/parameters/663,golfe,"gulf, bay"
171-193,stan1290,http://concepticon.clld.org/parameters/663,baie,"gulf, bay"
171-581,stan1290,http://concepticon.clld.org/parameters/623,lagune,lagoon
171-803,stan1290,http://concepticon.clld.org/parameters/660,récif,reef
171-825,stan1290,http://concepticon.clld.org/parameters/1662,promontoire,"headland, point"
171-181,stan1290,http://concepticon.clld.org/parameters/1662,pointe,"headland, point"
171-680,stan1290,http://concepticon.clld.org/parameters/978,vague,wave
171-1010,stan1290,http://concepticon.clld.org/parameters/891,marée,tide
171-1068,stan1290,http://concepticon.clld.org/parameters/1026,marée basse,lowtide
171-942,stan1290,http://concepticon.clld.org/parameters/613,marée haute,hightide
171-1245,stan1290,http://concepticon.clld.org/parameters/666,fleuve,"river, stream, brook"
171-700,stan1290,http://concepticon.clld.org/parameters/666,rivière,"river, stream, brook"
171-1335,stan1290,http://concepticon.clld.org/parameters/666,ruisseau,"river, stream, brook"
171-1130,stan1290,http://concepticon.clld.org/parameters/1982,tourbillon,whirlpool
171-1076,stan1290,http://concepticon.clld.org/parameters/2144,source,"spring, well"
171-1071,stan1290,http://concepticon.clld.org/parameters/2144,puits,"spring, well"
171-1334,stan1290,http://concepticon.clld.org/parameters/1145,marais,swamp
171-504,stan1290,http://concepticon.clld.org/parameters/1145,marécage,swamp
171-1088,stan1290,http://concepticon.clld.org/parameters/943,chute d'eau,waterfall
171-470,stan1290,http://concepticon.clld.org/parameters/943,cascade,waterfall
171-130,stan1290,http://concepticon.clld.org/parameters/420,bois,"woods, forest"
171-633,stan1290,http://concepticon.clld.org/parameters/420,forêt,"woods, forest"
171-589,stan1290,http://concepticon.clld.org/parameters/906,arbre,tree (cf 08.600)
171-130,stan1290,http://concepticon.clld.org/parameters/1803,bois,wood
171-1094,stan1290,http://concepticon.clld.org/parameters/2125,pierre,"stone, rock"
171-374,stan1290,http://concepticon.clld.org/parameters/2125,roc,"stone, rock"
171-413,stan1290,http://concepticon.clld.org/parameters/2125,rocher,"stone, rock"
171-765,stan1290,http://concepticon.clld.org/parameters/6,tremblement de terre,earthquake
171-435,stan1290,http://concepticon.clld.org/parameters/6,séisme,earthquake
171-425,stan1290,http://concepticon.clld.org/parameters/1732,ciel,sky
171-455,stan1290,http://concepticon.clld.org/parameters/1343,soleil,sun
171-1493,stan1290,http://concepticon.clld.org/parameters/1313,lune,moon
171-431,stan1290,http://concepticon.clld.org/parameters/1430,étoile,star
171-624,stan1290,http://concepticon.clld.org/parameters/1654,éclair,lightning
171-163,stan1290,http://concepticon.clld.org/parameters/1150,tonnerre,thunder
171-953,stan1290,http://concepticon.clld.org/parameters/2007,foudre,lightning (as striking)
171-909,stan1290,http://concepticon.clld.org/parameters/858,orage,storm
171-1389,stan1290,http://concepticon.clld.org/parameters/858,tempête,storm
