ID,Language_ID,Feature_ID,Value,Concept
175-161,waiw1244,http://concepticon.clld.org/parameters/965,roowo,world
175-161,waiw1244,http://concepticon.clld.org/parameters/626,roowo,"earth, land"
175-161,waiw1244,http://concepticon.clld.org/parameters/1228,roowo,"earth=ground, soil"
175-704,waiw1244,http://concepticon.clld.org/parameters/640,aΦačak-rɨ,mud
175-767,waiw1244,http://concepticon.clld.org/parameters/671,ašawa,sand
175-324,waiw1244,http://concepticon.clld.org/parameters/2118,ɨɨΦɨ,"mountain, hill"
175-621,waiw1244,http://concepticon.clld.org/parameters/2118,matɨwɨ-n,"mountain, hill"
175-100,waiw1244,http://concepticon.clld.org/parameters/618,čawawa,"cliff, precipice"
175-728,waiw1244,http://concepticon.clld.org/parameters/652,woskara,"plain, field"
175-442,waiw1244,http://concepticon.clld.org/parameters/921,akawa-n,valley
175-782,waiw1244,http://concepticon.clld.org/parameters/622,čiwya,island
175-253,waiw1244,http://concepticon.clld.org/parameters/113,ečhɨ-rɨ,shore
175-131,waiw1244,http://concepticon.clld.org/parameters/1155,ewta-rɨ,cave
175-225,waiw1244,http://concepticon.clld.org/parameters/948,tuuna,water
175-878,waiw1244,http://concepticon.clld.org/parameters/1474,tuuna ymo,sea
175-568,waiw1244,http://concepticon.clld.org/parameters/258,tɨt-Φe,calm (of sea)
175-645,waiw1244,http://concepticon.clld.org/parameters/259,ɲ-ewčoko-čoko-na,rough (of sea)
175-649,waiw1244,http://concepticon.clld.org/parameters/1768,wakro-n,foam
175-878,waiw1244,http://concepticon.clld.org/parameters/645,tuuna ymo,ocean
175-855,waiw1244,http://concepticon.clld.org/parameters/624,ɲikitho,lake
175-507,waiw1244,http://concepticon.clld.org/parameters/663,yu-kuhya,"gulf, bay"
175-507,waiw1244,http://concepticon.clld.org/parameters/623,yu-kuhya,lagoon
175-887,waiw1244,http://concepticon.clld.org/parameters/978,ewčoko-čoko-n,wave
175-835,waiw1244,http://concepticon.clld.org/parameters/666,eeΦu,"river, stream, brook"
175-676,waiw1244,http://concepticon.clld.org/parameters/666,tuuna yeΦu,"river, stream, brook"
175-61,waiw1244,http://concepticon.clld.org/parameters/2144,tuuna Φɨ-tho,"spring, well"
175-712,waiw1244,http://concepticon.clld.org/parameters/1145,krarasɨ,swamp
175-828,waiw1244,http://concepticon.clld.org/parameters/943,kahši,waterfall
175-548,waiw1244,http://concepticon.clld.org/parameters/420,čomota,"woods, forest"
