ID,Language_ID,Feature_ID,Value,Concept
179-273,roma1327,http://concepticon.clld.org/parameters/965,lume,world
179-1094,roma1327,http://concepticon.clld.org/parameters/626,pamînt,"earth, land"
179-139,roma1327,http://concepticon.clld.org/parameters/626,ţară,"earth, land"
179-327,roma1327,http://concepticon.clld.org/parameters/2,praf,dust
179-563,roma1327,http://concepticon.clld.org/parameters/2,pulbere,dust
179-1017,roma1327,http://concepticon.clld.org/parameters/640,noroiu,mud
179-661,roma1327,http://concepticon.clld.org/parameters/671,nisip,sand
179-653,roma1327,http://concepticon.clld.org/parameters/2118,munte,"mountain, hill"
179-949,roma1327,http://concepticon.clld.org/parameters/2118,deal,"mountain, hill"
179-857,roma1327,http://concepticon.clld.org/parameters/2118,colina,"mountain, hill"
179-586,roma1327,http://concepticon.clld.org/parameters/652,cîmp,"plain, field"
179-119,roma1327,http://concepticon.clld.org/parameters/921,vale,valley
179-255,roma1327,http://concepticon.clld.org/parameters/622,insulă,island
179-594,roma1327,http://concepticon.clld.org/parameters/622,(ostrov),island
179-894,roma1327,http://concepticon.clld.org/parameters/166,continent,mainland
179-275,roma1327,http://concepticon.clld.org/parameters/113,mal,shore
179-345,roma1327,http://concepticon.clld.org/parameters/113,ţărm,shore
179-659,roma1327,http://concepticon.clld.org/parameters/113,coastă,shore
179-337,roma1327,http://concepticon.clld.org/parameters/948,apă,water
179-748,roma1327,http://concepticon.clld.org/parameters/1474,mare,sea
179-267,roma1327,http://concepticon.clld.org/parameters/624,lac,lake
179-597,roma1327,http://concepticon.clld.org/parameters/663,golf,"gulf, bay"
179-1049,roma1327,http://concepticon.clld.org/parameters/978,val,wave
179-251,roma1327,http://concepticon.clld.org/parameters/978,talaz,wave
179-637,roma1327,http://concepticon.clld.org/parameters/978,(undă),wave
179-1099,roma1327,http://concepticon.clld.org/parameters/666,fluviu,"river, stream, brook"
179-203,roma1327,http://concepticon.clld.org/parameters/666,rîŭ,"river, stream, brook"
179-523,roma1327,http://concepticon.clld.org/parameters/666,pîrîŭ,"river, stream, brook"
179-281,roma1327,http://concepticon.clld.org/parameters/2144,izvor,"spring, well"
179-938,roma1327,http://concepticon.clld.org/parameters/2144,puţ,"spring, well"
179-340,roma1327,http://concepticon.clld.org/parameters/2144,fîntînă,"spring, well"
179-981,roma1327,http://concepticon.clld.org/parameters/420,pădure,"woods, forest"
179-306,roma1327,http://concepticon.clld.org/parameters/906,arbore,tree (cf 08.600)
179-289,roma1327,http://concepticon.clld.org/parameters/906,copac,tree (cf 08.600)
179-227,roma1327,http://concepticon.clld.org/parameters/1803,lemn,wood
179-487,roma1327,http://concepticon.clld.org/parameters/2125,piatră,"stone, rock"
179-822,roma1327,http://concepticon.clld.org/parameters/2125,stîncă,"stone, rock"
179-683,roma1327,http://concepticon.clld.org/parameters/2125,rocă,"stone, rock"
179-343,roma1327,http://concepticon.clld.org/parameters/1732,cer,sky
179-1116,roma1327,http://concepticon.clld.org/parameters/1343,soare,sun
179-838,roma1327,http://concepticon.clld.org/parameters/1313,lună,moon
179-990,roma1327,http://concepticon.clld.org/parameters/1430,stea,star
179-180,roma1327,http://concepticon.clld.org/parameters/1654,fulger,lightning
179-660,roma1327,http://concepticon.clld.org/parameters/1150,tunet,thunder
179-103,roma1327,http://concepticon.clld.org/parameters/2007,trăsnet,lightning (as striking)
179-865,roma1327,http://concepticon.clld.org/parameters/630,lumină,light (noun)
179-1124,roma1327,http://concepticon.clld.org/parameters/11,întuneric,darkness
179-112,roma1327,http://concepticon.clld.org/parameters/1388,umbră,"shade, shadow"
179-643,roma1327,http://concepticon.clld.org/parameters/27,aer,air
179-211,roma1327,http://concepticon.clld.org/parameters/27,vazduh,air
179-22,roma1327,http://concepticon.clld.org/parameters/960,vînt,wind
179-347,roma1327,http://concepticon.clld.org/parameters/1489,nor,cloud
179-248,roma1327,http://concepticon.clld.org/parameters/249,ceaţă,fog
179-192,roma1327,http://concepticon.clld.org/parameters/249,negură,fog
179-40,roma1327,http://concepticon.clld.org/parameters/658,ploaie,rain (noun)
179-170,roma1327,http://concepticon.clld.org/parameters/784,zăpadă,snow (noun)
179-645,roma1327,http://concepticon.clld.org/parameters/617,ghiaţă,ice
179-1155,roma1327,http://concepticon.clld.org/parameters/952,timp,weather
179-238,roma1327,http://concepticon.clld.org/parameters/952,vreme,weather
179-980,roma1327,http://concepticon.clld.org/parameters/221,foc,fire
179-836,roma1327,http://concepticon.clld.org/parameters/889,flacără,flame (noun)
179-802,roma1327,http://concepticon.clld.org/parameters/778,fum,smoke (noun)
179-688,roma1327,http://concepticon.clld.org/parameters/646,cenuşe,ashes
179-867,roma1327,http://concepticon.clld.org/parameters/737,aprinde,"light, kindle, ignite"
179-941,roma1327,http://concepticon.clld.org/parameters/737,încinge,"light, kindle, ignite"
179-785,roma1327,http://concepticon.clld.org/parameters/1133,chibrit,match (noun)
179-1010,roma1327,http://concepticon.clld.org/parameters/683,om,"person, human being"
179-667,roma1327,http://concepticon.clld.org/parameters/1554,bărbat,man (vs. woman)
179-1010,roma1327,http://concepticon.clld.org/parameters/1554,om,man (vs. woman)
179-893,roma1327,http://concepticon.clld.org/parameters/962,femeie,woman
179-137,roma1327,http://concepticon.clld.org/parameters/2263,bărbătesc,male
179-93,roma1327,http://concepticon.clld.org/parameters/2260,femeiesc,female
179-988,roma1327,http://concepticon.clld.org/parameters/1366,băiat,boy
179-88,roma1327,http://concepticon.clld.org/parameters/1366,(făt),boy
179-488,roma1327,http://concepticon.clld.org/parameters/1646,fată,girl
