ID,Language_ID,Feature_ID,Value,Concept
186-1101,dani1285,http://concepticon.clld.org/parameters/965,verden,world
186-415,dani1285,http://concepticon.clld.org/parameters/626,jord,"earth, land"
186-728,dani1285,http://concepticon.clld.org/parameters/626,land,"earth, land"
186-540,dani1285,http://concepticon.clld.org/parameters/1228,grund,"earth=ground, soil"
186-1194,dani1285,http://concepticon.clld.org/parameters/2,støv,dust
186-479,dani1285,http://concepticon.clld.org/parameters/640,mudder,mud
186-123,dani1285,http://concepticon.clld.org/parameters/640,smuds,mud
186-768,dani1285,http://concepticon.clld.org/parameters/671,sand,sand
186-1273,dani1285,http://concepticon.clld.org/parameters/2118,bjerg,"mountain, hill"
186-628,dani1285,http://concepticon.clld.org/parameters/2118,fjeld,"mountain, hill"
186-1344,dani1285,http://concepticon.clld.org/parameters/2118,bakke,"mountain, hill"
186-391,dani1285,http://concepticon.clld.org/parameters/618,skær,"cliff, precipice"
186-258,dani1285,http://concepticon.clld.org/parameters/618,klippe,"cliff, precipice"
186-433,dani1285,http://concepticon.clld.org/parameters/652,slette,"plain, field"
186-622,dani1285,http://concepticon.clld.org/parameters/652,mark,"plain, field"
186-1212,dani1285,http://concepticon.clld.org/parameters/921,dal,valley
186-958,dani1285,http://concepticon.clld.org/parameters/622,ø,island
186-1187,dani1285,http://concepticon.clld.org/parameters/166,fastland,mainland
186-766,dani1285,http://concepticon.clld.org/parameters/113,strand,shore
186-1287,dani1285,http://concepticon.clld.org/parameters/113,bred,shore
186-1198,dani1285,http://concepticon.clld.org/parameters/113,kyst,shore
186-513,dani1285,http://concepticon.clld.org/parameters/1155,hule,cave
186-977,dani1285,http://concepticon.clld.org/parameters/948,vand,water
186-295,dani1285,http://concepticon.clld.org/parameters/1474,hav,sea
186-439,dani1285,http://concepticon.clld.org/parameters/1474,sø,sea
186-506,dani1285,http://concepticon.clld.org/parameters/258,stilhed,calm (of sea)
186-120,dani1285,http://concepticon.clld.org/parameters/259,ru,rough (of sea)
186-432,dani1285,http://concepticon.clld.org/parameters/1768,skum,foam
186-277,dani1285,http://concepticon.clld.org/parameters/645,ocean,ocean
186-439,dani1285,http://concepticon.clld.org/parameters/624,sø,lake
186-781,dani1285,http://concepticon.clld.org/parameters/624,indsø,lake
186-838,dani1285,http://concepticon.clld.org/parameters/663,bugt,"gulf, bay"
186-475,dani1285,http://concepticon.clld.org/parameters/623,lagune,lagoon
186-1222,dani1285,http://concepticon.clld.org/parameters/660,rev,reef
