ID,Language_ID,Feature_ID,Value,Concept
189-810,midd1317,http://concepticon.clld.org/parameters/965,world,world
189-549,midd1317,http://concepticon.clld.org/parameters/626,erthe,"earth, land"
189-1323,midd1317,http://concepticon.clld.org/parameters/626,lond,"earth, land"
189-549,midd1317,http://concepticon.clld.org/parameters/1228,erthe,"earth=ground, soil"
189-1684,midd1317,http://concepticon.clld.org/parameters/2,dust,dust
189-940,midd1317,http://concepticon.clld.org/parameters/640,mud-de,mud
189-1434,midd1317,http://concepticon.clld.org/parameters/640,fen,mud
189-931,midd1317,http://concepticon.clld.org/parameters/671,sand,sand
189-757,midd1317,http://concepticon.clld.org/parameters/2118,mount,"mountain, hill"
189-1299,midd1317,http://concepticon.clld.org/parameters/2118,mountain-e,"mountain, hill"
189-5,midd1317,http://concepticon.clld.org/parameters/2118,hil-le,"mountain, hill"
189-1573,midd1317,http://concepticon.clld.org/parameters/618,clif,"cliff, precipice"
189-792,midd1317,http://concepticon.clld.org/parameters/652,plain-e,"plain, field"
189-448,midd1317,http://concepticon.clld.org/parameters/652,feld,"plain, field"
189-1361,midd1317,http://concepticon.clld.org/parameters/921,dale,valley
189-1597,midd1317,http://concepticon.clld.org/parameters/921,dene,valley
189-1104,midd1317,http://concepticon.clld.org/parameters/921,valei-e,valley
189-951,midd1317,http://concepticon.clld.org/parameters/921,vale,valley
189-653,midd1317,http://concepticon.clld.org/parameters/622,ilond,island
189-294,midd1317,http://concepticon.clld.org/parameters/622,ile,island
189-120,midd1317,http://concepticon.clld.org/parameters/166,main-lond,mainland
189-790,midd1317,http://concepticon.clld.org/parameters/113,strond-e,shore
189-1035,midd1317,http://concepticon.clld.org/parameters/113,shore,shore
189-223,midd1317,http://concepticon.clld.org/parameters/113,bank-e,shore
189-1115,midd1317,http://concepticon.clld.org/parameters/113,coste,shore
189-1131,midd1317,http://concepticon.clld.org/parameters/1155,cave,cave
189-504,midd1317,http://concepticon.clld.org/parameters/948,water,water
189-571,midd1317,http://concepticon.clld.org/parameters/1474,se,sea
189-1539,midd1317,http://concepticon.clld.org/parameters/259,rough-e,rough (of sea)
189-384,midd1317,http://concepticon.clld.org/parameters/1768,fom,foam
189-30,midd1317,http://concepticon.clld.org/parameters/645,occean,ocean
189-1208,midd1317,http://concepticon.clld.org/parameters/624,lak-e,lake
189-427,midd1317,http://concepticon.clld.org/parameters/663,goulf,"gulf, bay"
189-263,midd1317,http://concepticon.clld.org/parameters/663,bai,"gulf, bay"
189-1,midd1317,http://concepticon.clld.org/parameters/1662,nes-se,"headland, point"
189-1733,midd1317,http://concepticon.clld.org/parameters/978,wau-e,wave
189-1019,midd1317,http://concepticon.clld.org/parameters/891,tid-e,tide
189-1295,midd1317,http://concepticon.clld.org/parameters/1026,loue ebbe (water),lowtide
189-880,midd1317,http://concepticon.clld.org/parameters/613,heigh water,hightide
189-797,midd1317,http://concepticon.clld.org/parameters/666,river-e,"river, stream, brook"
189-1376,midd1317,http://concepticon.clld.org/parameters/666,strem,"river, stream, brook"
189-769,midd1317,http://concepticon.clld.org/parameters/666,brok,"river, stream, brook"
189-642,midd1317,http://concepticon.clld.org/parameters/1982,gurges,whirlpool
189-1703,midd1317,http://concepticon.clld.org/parameters/1982,wel,whirlpool
189-214,midd1317,http://concepticon.clld.org/parameters/2144,wel-le,"spring, well"
189-1290,midd1317,http://concepticon.clld.org/parameters/2144,spring,"spring, well"
189-772,midd1317,http://concepticon.clld.org/parameters/1145,mareis,swamp
189-46,midd1317,http://concepticon.clld.org/parameters/943,water-fal,waterfall
189-60,midd1317,http://concepticon.clld.org/parameters/420,wode,"woods, forest"
189-1463,midd1317,http://concepticon.clld.org/parameters/420,forest,"woods, forest"
189-1394,midd1317,http://concepticon.clld.org/parameters/906,tre,tree (cf 08.600)
189-1394,midd1317,http://concepticon.clld.org/parameters/1803,tre,wood
189-60,midd1317,http://concepticon.clld.org/parameters/1803,wode,wood
189-249,midd1317,http://concepticon.clld.org/parameters/2125,ston,"stone, rock"
189-701,midd1317,http://concepticon.clld.org/parameters/2125,rok-ke,"stone, rock"
