ID,Language_ID,Feature_ID,Value,Concept
200-1601,bulg1262,http://concepticon.clld.org/parameters/965,svját,world
200-1108,bulg1262,http://concepticon.clld.org/parameters/626,zemjá,"earth, land"
200-1108,bulg1262,http://concepticon.clld.org/parameters/1228,zemjá,"earth=ground, soil"
200-149,bulg1262,http://concepticon.clld.org/parameters/1228,póčva,"earth=ground, soil"
200-1068,bulg1262,http://concepticon.clld.org/parameters/2,prax,dust
200-1167,bulg1262,http://concepticon.clld.org/parameters/640,kal,mud
200-1833,bulg1262,http://concepticon.clld.org/parameters/671,pjásək,sand
200-1708,bulg1262,http://concepticon.clld.org/parameters/2118,planiná,"mountain, hill"
200-619,bulg1262,http://concepticon.clld.org/parameters/2118,xəlm,"mountain, hill"
200-66,bulg1262,http://concepticon.clld.org/parameters/618,strə́mna skalá,"cliff, precipice"
200-556,bulg1262,http://concepticon.clld.org/parameters/618,úrva,"cliff, precipice"
200-1496,bulg1262,http://concepticon.clld.org/parameters/618,própast,"cliff, precipice"
200-1412,bulg1262,http://concepticon.clld.org/parameters/618,[kanará],"cliff, precipice"
200-1272,bulg1262,http://concepticon.clld.org/parameters/652,ravniná,"plain, field"
200-1640,bulg1262,http://concepticon.clld.org/parameters/652,polé,"plain, field"
200-1623,bulg1262,http://concepticon.clld.org/parameters/921,doliná,valley
200-148,bulg1262,http://concepticon.clld.org/parameters/622,óstrov,island
200-1108,bulg1262,http://concepticon.clld.org/parameters/166,zemjá,mainland
200-1446,bulg1262,http://concepticon.clld.org/parameters/166,súša,mainland
200-1713,bulg1262,http://concepticon.clld.org/parameters/166,[kontinént],mainland
200-745,bulg1262,http://concepticon.clld.org/parameters/113,brjag,shore
200-1297,bulg1262,http://concepticon.clld.org/parameters/1155,pešterá,cave
200-787,bulg1262,http://concepticon.clld.org/parameters/948,vodá,water
200-1621,bulg1262,http://concepticon.clld.org/parameters/1474,moré,sea
200-1310,bulg1262,http://concepticon.clld.org/parameters/258,spokójstvie,calm (of sea)
200-224,bulg1262,http://concepticon.clld.org/parameters/258,zatíšie,calm (of sea)
200-136,bulg1262,http://concepticon.clld.org/parameters/259,razvəlnúvan,rough (of sea)
200-1052,bulg1262,http://concepticon.clld.org/parameters/1768,pjána,foam
200-346,bulg1262,http://concepticon.clld.org/parameters/645,[okeán],ocean
200-906,bulg1262,http://concepticon.clld.org/parameters/624,ézero,lake
200-2,bulg1262,http://concepticon.clld.org/parameters/663,záliv,"gulf, bay"
200-188,bulg1262,http://concepticon.clld.org/parameters/623,[lagúna],lagoon
200-650,bulg1262,http://concepticon.clld.org/parameters/660,[rif],reef
200-1779,bulg1262,http://concepticon.clld.org/parameters/1662,nos,"headland, point"
200-293,bulg1262,http://concepticon.clld.org/parameters/978,vəlná,wave
200-302,bulg1262,http://concepticon.clld.org/parameters/891,príliv,tide
200-1737,bulg1262,http://concepticon.clld.org/parameters/891,ótliv,tide
200-29,bulg1262,http://concepticon.clld.org/parameters/1026,náj-nískata tóčka na ótliva,lowtide
200-897,bulg1262,http://concepticon.clld.org/parameters/613,náj-visókata tóčka na príliva,hightide
200-795,bulg1262,http://concepticon.clld.org/parameters/666,reká,"river, stream, brook"
200-863,bulg1262,http://concepticon.clld.org/parameters/666,potók,"river, stream, brook"
200-1042,bulg1262,http://concepticon.clld.org/parameters/666,rúčej,"river, stream, brook"
200-1082,bulg1262,http://concepticon.clld.org/parameters/1982,vodo-vərtéž,whirlpool
200-1821,bulg1262,http://concepticon.clld.org/parameters/1982,vərtóp,whirlpool
200-1278,bulg1262,http://concepticon.clld.org/parameters/2144,ízvor,"spring, well"
200-470,bulg1262,http://concepticon.clld.org/parameters/2144,kládenec̷,"spring, well"
200-637,bulg1262,http://concepticon.clld.org/parameters/1145,bláto,swamp
200-1078,bulg1262,http://concepticon.clld.org/parameters/1145,tresávište,swamp
200-735,bulg1262,http://concepticon.clld.org/parameters/943,vodopád,waterfall
200-833,bulg1262,http://concepticon.clld.org/parameters/420,gorá,"woods, forest"
200-927,bulg1262,http://concepticon.clld.org/parameters/906,dərvó,tree (cf 08.600)
200-927,bulg1262,http://concepticon.clld.org/parameters/1803,dərvó,wood
200-314,bulg1262,http://concepticon.clld.org/parameters/2125,kámək,"stone, rock"
200-301,bulg1262,http://concepticon.clld.org/parameters/2125,skalá,"stone, rock"
200-1412,bulg1262,http://concepticon.clld.org/parameters/2125,[kanará],"stone, rock"
200-1557,bulg1262,http://concepticon.clld.org/parameters/6,zeme-tresénie,earthquake
200-1881,bulg1262,http://concepticon.clld.org/parameters/1732,nebé,sky
200-1464,bulg1262,http://concepticon.clld.org/parameters/1343,slə́nc̷e,sun
200-805,bulg1262,http://concepticon.clld.org/parameters/1313,luná,moon
200-1524,bulg1262,http://concepticon.clld.org/parameters/1430,zvezdá,star
200-1755,bulg1262,http://concepticon.clld.org/parameters/1654,mə́lnija,lightning
200-1812,bulg1262,http://concepticon.clld.org/parameters/1654,svet-kávic̷a,lightning
200-1643,bulg1262,http://concepticon.clld.org/parameters/1150,grəm,thunder
200-954,bulg1262,http://concepticon.clld.org/parameters/1150,grəmotévic̷a,thunder
200-1643,bulg1262,http://concepticon.clld.org/parameters/2007,grəm,lightning (as striking)
200-657,bulg1262,http://concepticon.clld.org/parameters/858,búrja,storm
200-747,bulg1262,http://concepticon.clld.org/parameters/1733,dəgá,rainbow
200-959,bulg1262,http://concepticon.clld.org/parameters/630,svetliná,light (noun)
200-1407,bulg1262,http://concepticon.clld.org/parameters/11,təmniná,darkness
200-1832,bulg1262,http://concepticon.clld.org/parameters/11,mrak,darkness
200-1759,bulg1262,http://concepticon.clld.org/parameters/1388,sjánka,"shade, shadow"
200-341,bulg1262,http://concepticon.clld.org/parameters/1977,rosá,dew
200-1799,bulg1262,http://concepticon.clld.org/parameters/27,və́zdux,air
200-166,bulg1262,http://concepticon.clld.org/parameters/960,vjátər,wind
200-1780,bulg1262,http://concepticon.clld.org/parameters/1489,óblak,cloud
200-179,bulg1262,http://concepticon.clld.org/parameters/249,məglá,fog
200-1002,bulg1262,http://concepticon.clld.org/parameters/658,dəžd,rain (noun)
200-1439,bulg1262,http://concepticon.clld.org/parameters/784,snjag,snow (noun)
200-1456,bulg1262,http://concepticon.clld.org/parameters/617,led,ice
200-1124,bulg1262,http://concepticon.clld.org/parameters/952,vréme,weather
200-1218,bulg1262,http://concepticon.clld.org/parameters/221,ógən,fire
200-1668,bulg1262,http://concepticon.clld.org/parameters/889,plámək,flame (noun)
200-488,bulg1262,http://concepticon.clld.org/parameters/778,dim,smoke (noun)
200-1374,bulg1262,http://concepticon.clld.org/parameters/646,pépel,ashes
200-995,bulg1262,http://concepticon.clld.org/parameters/67,žar,embers
200-1331,bulg1262,http://concepticon.clld.org/parameters/67,žaráva,embers
200-828,bulg1262,http://concepticon.clld.org/parameters/141,izgárjam/ izgorjá,burn (vb trans)
200-1518,bulg1262,http://concepticon.clld.org/parameters/1428,gorjá,burn (vb intrans)
200-537,bulg1262,http://concepticon.clld.org/parameters/737,pálja,"light, kindle, ignite"
200-1410,bulg1262,http://concepticon.clld.org/parameters/737,zapálvam/ zapálja,"light, kindle, ignite"
200-1094,bulg1262,http://concepticon.clld.org/parameters/1133,[kibrít],match (noun)
200-1060,bulg1262,http://concepticon.clld.org/parameters/1133,kléčka [kibrít],match (noun)
200-1174,bulg1262,http://concepticon.clld.org/parameters/10,dərvá za goréne,firewood
200-21,bulg1262,http://concepticon.clld.org/parameters/1188,də́rveni və́glišta,charcoal
200-673,bulg1262,http://concepticon.clld.org/parameters/683,čovék,"person, human being"
200-1441,bulg1262,http://concepticon.clld.org/parameters/1554,mə́ž,man (vs. woman)
200-550,bulg1262,http://concepticon.clld.org/parameters/962,žená,woman
200-857,bulg1262,http://concepticon.clld.org/parameters/2263,mə́žki,male
200-1486,bulg1262,http://concepticon.clld.org/parameters/2260,žénski,female
200-1873,bulg1262,http://concepticon.clld.org/parameters/1366,momčé,boy
200-501,bulg1262,http://concepticon.clld.org/parameters/76,júnoša,young man (adolescent)
200-1491,bulg1262,http://concepticon.clld.org/parameters/1646,momíče,girl
200-1772,bulg1262,http://concepticon.clld.org/parameters/77,devójka,young woman (adolescent)
200-1311,bulg1262,http://concepticon.clld.org/parameters/1304,deté,child
200-1566,bulg1262,http://concepticon.clld.org/parameters/1289,[bébe],"infant, baby"
200-865,bulg1262,http://concepticon.clld.org/parameters/1289,pelenáče,"infant, baby"
200-1217,bulg1262,http://concepticon.clld.org/parameters/1289,mladenéc̷,"infant, baby"
200-420,bulg1262,http://concepticon.clld.org/parameters/1289,kərmáče,"infant, baby"
200-1072,bulg1262,http://concepticon.clld.org/parameters/1200,səprúg,husband
200-1441,bulg1262,http://concepticon.clld.org/parameters/1200,mə́ž,husband
200-518,bulg1262,http://concepticon.clld.org/parameters/1199,səprúga,wife
200-550,bulg1262,http://concepticon.clld.org/parameters/1199,žená,wife
200-1263,bulg1262,http://concepticon.clld.org/parameters/203,ožénvam se,marry
200-894,bulg1262,http://concepticon.clld.org/parameters/203,omə́žvam se,marry
200-476,bulg1262,http://concepticon.clld.org/parameters/1259,brák,"marriage, wedding"
200-1499,bulg1262,http://concepticon.clld.org/parameters/1259,ženítba,"marriage, wedding"
200-1488,bulg1262,http://concepticon.clld.org/parameters/1259,brakosəčetánie,"marriage, wedding"
200-609,bulg1262,http://concepticon.clld.org/parameters/1259,svátba,"marriage, wedding"
200-778,bulg1262,http://concepticon.clld.org/parameters/1259,venčávane,"marriage, wedding"
200-1091,bulg1262,http://concepticon.clld.org/parameters/1259,venčávka,"marriage, wedding"
200-583,bulg1262,http://concepticon.clld.org/parameters/1134,razvód,divorce
200-841,bulg1262,http://concepticon.clld.org/parameters/1217,baštá,father
200-997,bulg1262,http://concepticon.clld.org/parameters/1216,májka,mother
200-459,bulg1262,http://concepticon.clld.org/parameters/505,rodíteli,parents
200-490,bulg1262,http://concepticon.clld.org/parameters/424,ožénen mə́ž,married man
200-181,bulg1262,http://concepticon.clld.org/parameters/426,omə́žena žená,married woman
200-406,bulg1262,http://concepticon.clld.org/parameters/1620,sín,son
200-737,bulg1262,http://concepticon.clld.org/parameters/1357,dəšterjá,daughter
200-1311,bulg1262,http://concepticon.clld.org/parameters/1801,deté,offspring (son or daughter)
200-1110,bulg1262,http://concepticon.clld.org/parameters/1801,potómstvo,offspring (son or daughter)
200-1359,bulg1262,http://concepticon.clld.org/parameters/1801,dec̷á,offspring (son or daughter)
200-1797,bulg1262,http://concepticon.clld.org/parameters/1801,potómək,offspring (son or daughter)
200-452,bulg1262,http://concepticon.clld.org/parameters/1801,potómka,offspring (son or daughter)
200-478,bulg1262,http://concepticon.clld.org/parameters/1262,brát,brother
200-515,bulg1262,http://concepticon.clld.org/parameters/1759,báte,older brother
200-640,bulg1262,http://concepticon.clld.org/parameters/1759,bátjo,older brother
200-702,bulg1262,http://concepticon.clld.org/parameters/1759,bátko,older brother
200-645,bulg1262,http://concepticon.clld.org/parameters/1759,baj-,older brother
200-1792,bulg1262,http://concepticon.clld.org/parameters/1760,pó-málək brát,younger brother
200-1470,bulg1262,http://concepticon.clld.org/parameters/1263,sestrá,sister
200-1337,bulg1262,http://concepticon.clld.org/parameters/1758,káka,older sister
200-112,bulg1262,http://concepticon.clld.org/parameters/1758,pó-goljáma sestrá,older sister
200-758,bulg1262,http://concepticon.clld.org/parameters/1761,pó-málka sestrá,younger sister
200-1364,bulg1262,http://concepticon.clld.org/parameters/1640,róden brát/ ródna sestrá,sibling
200-165,bulg1262,http://concepticon.clld.org/parameters/1005,bliznác̷i,twins
200-651,bulg1262,http://concepticon.clld.org/parameters/1383,djádo,grandfather
200-17,bulg1262,http://concepticon.clld.org/parameters/406,stárec̷,old man
200-651,bulg1262,http://concepticon.clld.org/parameters/406,djádo,old man
200-1589,bulg1262,http://concepticon.clld.org/parameters/1496,bába,grandmother
200-462,bulg1262,http://concepticon.clld.org/parameters/907,staríc̷a,old woman
200-1589,bulg1262,http://concepticon.clld.org/parameters/907,bába,old woman
200-532,bulg1262,http://concepticon.clld.org/parameters/1618,vnúk,grandson
200-1027,bulg1262,http://concepticon.clld.org/parameters/1619,vnúčka,granddaughter
200-1515,bulg1262,http://concepticon.clld.org/parameters/1327,číčo,uncle
200-308,bulg1262,http://concepticon.clld.org/parameters/1984,vújčo,mother's brother
200-1515,bulg1262,http://concepticon.clld.org/parameters/1985,číčo,father's brother
200-43,bulg1262,http://concepticon.clld.org/parameters/1272,lélja,aunt
200-1376,bulg1262,http://concepticon.clld.org/parameters/171,vújna,mother's sister
200-397,bulg1262,http://concepticon.clld.org/parameters/170,tétka,father's sister
200-43,bulg1262,http://concepticon.clld.org/parameters/170,lélja,father's sister
200-1854,bulg1262,http://concepticon.clld.org/parameters/1063,plémennik,nephew
200-1819,bulg1262,http://concepticon.clld.org/parameters/1642,plémennica,niece
200-90,bulg1262,http://concepticon.clld.org/parameters/1643,bratovčéd/ bratovčédka,cousin
200-910,bulg1262,http://concepticon.clld.org/parameters/1669,prároditeli,ancestors
200-109,bulg1262,http://concepticon.clld.org/parameters/1669,práotc̷i,ancestors
200-248,bulg1262,http://concepticon.clld.org/parameters/490,potómc̷i,descendants
200-1587,bulg1262,http://concepticon.clld.org/parameters/2255,tə́st,father-in-law (of a man)
200-433,bulg1262,http://concepticon.clld.org/parameters/2254,svékər,father-in-law (of a woman)
200-1808,bulg1262,http://concepticon.clld.org/parameters/2256,tə́šta,mother-in-law (of a man)
200-241,bulg1262,http://concepticon.clld.org/parameters/2257,svekə́rva,mother-in-law (of a woman)
200-1674,bulg1262,http://concepticon.clld.org/parameters/2267,zét,son-in-law (of a man)
200-1674,bulg1262,http://concepticon.clld.org/parameters/2266,zét,son-in-law (of a woman)
200-116,bulg1262,http://concepticon.clld.org/parameters/2265,snaxá,daughter-in-law (of a man)
200-116,bulg1262,http://concepticon.clld.org/parameters/2264,snaxá,daughter-in-law (of a woman)
200-1148,bulg1262,http://concepticon.clld.org/parameters/237,vtóri baštá,stepfather
200-12,bulg1262,http://concepticon.clld.org/parameters/236,máštexa,stepmother
200-1450,bulg1262,http://concepticon.clld.org/parameters/1059,dovéden/ zaváren sín,stepson
200-1843,bulg1262,http://concepticon.clld.org/parameters/1058,dovédena/ zavárena dəsterjá,stepdaughter
200-591,bulg1262,http://concepticon.clld.org/parameters/1149,sirák,orphan
200-1600,bulg1262,http://concepticon.clld.org/parameters/1149,siráče,orphan
200-1208,bulg1262,http://concepticon.clld.org/parameters/1756,vdovíc̷a,widow
200-249,bulg1262,http://concepticon.clld.org/parameters/1981,vdovéc̷,widower
200-3,bulg1262,http://concepticon.clld.org/parameters/1644,rodníni,"relatives, kinsmen"
200-1874,bulg1262,http://concepticon.clld.org/parameters/1644,ródstvenic̷i,"relatives, kinsmen"
200-117,bulg1262,http://concepticon.clld.org/parameters/194,seméjstvo,family
200-1136,bulg1262,http://concepticon.clld.org/parameters/194,[famílija],family
200-204,bulg1262,http://concepticon.clld.org/parameters/1209,áz,I
200-1720,bulg1262,http://concepticon.clld.org/parameters/1215,tí,you (singular)
200-884,bulg1262,http://concepticon.clld.org/parameters/1215,víe,you (singular)
200-767,bulg1262,http://concepticon.clld.org/parameters/262,tój/ tjá/ tó,he/she/it
200-791,bulg1262,http://concepticon.clld.org/parameters/1212,níe,we
200-791,bulg1262,http://concepticon.clld.org/parameters/1131,níe,we (inclusive)
200-791,bulg1262,http://concepticon.clld.org/parameters/1130,níe,we (exclusive)
200-884,bulg1262,http://concepticon.clld.org/parameters/1213,víe,you (plural)
200-1173,bulg1262,http://concepticon.clld.org/parameters/817,té,they
200-979,bulg1262,http://concepticon.clld.org/parameters/619,živótno,animal
200-1732,bulg1262,http://concepticon.clld.org/parameters/619,dobíče,animal
200-857,bulg1262,http://concepticon.clld.org/parameters/2261,mə́žki,male (adj)
200-775,bulg1262,http://concepticon.clld.org/parameters/2261,mə́žkár,male (adj)
200-450,bulg1262,http://concepticon.clld.org/parameters/2261,[saméc̷],male (adj)
200-1495,bulg1262,http://concepticon.clld.org/parameters/2262,ženská,female (adj)
200-1022,bulg1262,http://concepticon.clld.org/parameters/2262,ženski,female (adj)
200-1435,bulg1262,http://concepticon.clld.org/parameters/2262,[sámka],female (adj)
200-512,bulg1262,http://concepticon.clld.org/parameters/631,dobítək,livestock
200-611,bulg1262,http://concepticon.clld.org/parameters/649,páša,pasture
200-638,bulg1262,http://concepticon.clld.org/parameters/649,pásbište,pasture
200-1691,bulg1262,http://concepticon.clld.org/parameters/649,pásište,pasture
200-1286,bulg1262,http://concepticon.clld.org/parameters/263,pastír,herdsman
200-1409,bulg1262,http://concepticon.clld.org/parameters/263,govedár,herdsman
200-866,bulg1262,http://concepticon.clld.org/parameters/851,konjúšna,"stable, stall"
200-835,bulg1262,http://concepticon.clld.org/parameters/851,obór,"stable, stall"
200-1083,bulg1262,http://concepticon.clld.org/parameters/851,kravárnik,"stable, stall"
200-762,bulg1262,http://concepticon.clld.org/parameters/1153,govéda,cattle (bovine)
200-280,bulg1262,http://concepticon.clld.org/parameters/1153,édər dobítək,cattle (bovine)
200-170,bulg1262,http://concepticon.clld.org/parameters/1008,bík,bull
200-606,bulg1262,http://concepticon.clld.org/parameters/1169,vól,ox
200-1474,bulg1262,http://concepticon.clld.org/parameters/1007,kráva,cow
200-731,bulg1262,http://concepticon.clld.org/parameters/1989,telé,calf
200-593,bulg1262,http://concepticon.clld.org/parameters/1331,ovc̷á,sheep
200-1760,bulg1262,http://concepticon.clld.org/parameters/1344,ovén,ram
200-1841,bulg1262,http://concepticon.clld.org/parameters/1344,[kóč],ram
200-593,bulg1262,http://concepticon.clld.org/parameters/1345,ovc̷á,ewe
200-636,bulg1262,http://concepticon.clld.org/parameters/820,ágne,lamb
200-1102,bulg1262,http://concepticon.clld.org/parameters/1348,nérez,boar
200-1544,bulg1262,http://concepticon.clld.org/parameters/1348,šopár,boar
200-234,bulg1262,http://concepticon.clld.org/parameters/1348,gligán,boar
200-1081,bulg1262,http://concepticon.clld.org/parameters/1351,svinjá,sow (2)
200-1428,bulg1262,http://concepticon.clld.org/parameters/1351,svinjá-májka,sow (2)
200-63,bulg1262,http://concepticon.clld.org/parameters/1337,prasé,pig
200-1117,bulg1262,http://concepticon.clld.org/parameters/1502,kozá,goat
200-1040,bulg1262,http://concepticon.clld.org/parameters/264,kozél,he-goat
200-1704,bulg1262,http://concepticon.clld.org/parameters/1972,kozlé,kid
200-807,bulg1262,http://concepticon.clld.org/parameters/1972,járe,kid
200-1523,bulg1262,http://concepticon.clld.org/parameters/615,kón,horse (equine)
200-765,bulg1262,http://concepticon.clld.org/parameters/936,žrebéc̷,stallion
200-226,bulg1262,http://concepticon.clld.org/parameters/938,kobíla,mare
200-985,bulg1262,http://concepticon.clld.org/parameters/1647,kónče,"foal, colt"
200-1246,bulg1262,http://concepticon.clld.org/parameters/1647,žrebčé,"foal, colt"
200-502,bulg1262,http://concepticon.clld.org/parameters/1862,[magáre],"ass, donkey"
200-1312,bulg1262,http://concepticon.clld.org/parameters/1862,osél,"ass, donkey"
200-93,bulg1262,http://concepticon.clld.org/parameters/890,[katər],mule
200-1591,bulg1262,http://concepticon.clld.org/parameters/890,[múle],mule
200-1013,bulg1262,http://concepticon.clld.org/parameters/265,ptíc̷a,fowl
200-1685,bulg1262,http://concepticon.clld.org/parameters/1511,petél,"cock, rooster"
200-1380,bulg1262,http://concepticon.clld.org/parameters/1514,kokóška,hen
200-472,bulg1262,http://concepticon.clld.org/parameters/1318,píle,chicken
200-222,bulg1262,http://concepticon.clld.org/parameters/1187,gə́ska,goose
200-1204,bulg1262,http://concepticon.clld.org/parameters/1360,pátic̷a,duck
200-1045,bulg1262,http://concepticon.clld.org/parameters/539,gnezdó,nest
200-712,bulg1262,http://concepticon.clld.org/parameters/539,pólog,nest
200-1013,bulg1262,http://concepticon.clld.org/parameters/937,ptíc̷a,bird
200-748,bulg1262,http://concepticon.clld.org/parameters/937,ptíčka,bird
200-1303,bulg1262,http://concepticon.clld.org/parameters/950,čájka,seagull
200-827,bulg1262,http://concepticon.clld.org/parameters/758,čápla,heron
200-283,bulg1262,http://concepticon.clld.org/parameters/1905,orél,eagle
200-1553,bulg1262,http://concepticon.clld.org/parameters/307,jástreb,hawk
200-1571,bulg1262,http://concepticon.clld.org/parameters/1185,lešojád,vulture
200-53,bulg1262,http://concepticon.clld.org/parameters/1793,prílep,bat
200-1757,bulg1262,http://concepticon.clld.org/parameters/882,[papagál],parrot
200-789,bulg1262,http://concepticon.clld.org/parameters/913,vrána,crow
200-624,bulg1262,http://concepticon.clld.org/parameters/913,[gárga],crow
200-1575,bulg1262,http://concepticon.clld.org/parameters/1853,gə́ləb,dove
200-592,bulg1262,http://concepticon.clld.org/parameters/735,búxal,owl
200-407,bulg1262,http://concepticon.clld.org/parameters/735,kukumjávka,owl
200-533,bulg1262,http://concepticon.clld.org/parameters/735,sóva,owl
200-1675,bulg1262,http://concepticon.clld.org/parameters/2009,kúče,dog
200-858,bulg1262,http://concepticon.clld.org/parameters/1136,záek,rabbit
200-180,bulg1262,http://concepticon.clld.org/parameters/1208,kótka,cat
200-839,bulg1262,http://concepticon.clld.org/parameters/309,[opósum],opossum
200-1804,bulg1262,http://concepticon.clld.org/parameters/2139,míška,"mouse, rat"
200-172,bulg1262,http://concepticon.clld.org/parameters/2139,plə́x,"mouse, rat"
200-256,bulg1262,http://concepticon.clld.org/parameters/227,ríba,fish
200-1526,bulg1262,http://concepticon.clld.org/parameters/213,pérka,fin (dorsal)
200-1550,bulg1262,http://concepticon.clld.org/parameters/266,ljúspa,fishscale
200-143,bulg1262,http://concepticon.clld.org/parameters/1916,xrilé,gill
200-885,bulg1262,http://concepticon.clld.org/parameters/598,čerúpka,shell
200-1730,bulg1262,http://concepticon.clld.org/parameters/598,rákovina,shell
200-714,bulg1262,http://concepticon.clld.org/parameters/598,rakovína,shell
200-1480,bulg1262,http://concepticon.clld.org/parameters/1110,[akúla],shark
200-1261,bulg1262,http://concepticon.clld.org/parameters/1479,[delfín],"porpoise, dolphin"
200-1001,bulg1262,http://concepticon.clld.org/parameters/957,[kít],whale
200-173,bulg1262,http://concepticon.clld.org/parameters/1013,zmiórka,freshwater eel
200-202,bulg1262,http://concepticon.clld.org/parameters/522,və́lk,wolf
200-1017,bulg1262,http://concepticon.clld.org/parameters/1386,lə́v,lion
