ID,Language_ID,Feature_ID,Value,Concept
218-754,jama1262,http://concepticon.clld.org/parameters/965,ʊɔ(r)l ~ ʊərl,world
218-992,jama1262,http://concepticon.clld.org/parameters/626,ɛrt,"earth, land"
218-77,jama1262,http://concepticon.clld.org/parameters/626,lan,"earth, land"
218-992,jama1262,http://concepticon.clld.org/parameters/1228,ɛrt,"earth=ground, soil"
218-1269,jama1262,http://concepticon.clld.org/parameters/1228,grɔŋ ~ groŋ,"earth=ground, soil"
218-1370,jama1262,http://concepticon.clld.org/parameters/1228,saɩl,"earth=ground, soil"
218-1180,jama1262,http://concepticon.clld.org/parameters/2,das,dust
218-208,jama1262,http://concepticon.clld.org/parameters/640,mɔd,mud
218-503,jama1262,http://concepticon.clld.org/parameters/671,san,sand
218-558,jama1262,http://concepticon.clld.org/parameters/2118,mɔu(n)tɩn,"mountain, hill"
218-508,jama1262,http://concepticon.clld.org/parameters/2118,ɩl,"mountain, hill"
218-802,jama1262,http://concepticon.clld.org/parameters/618,klɩf,"cliff, precipice"
218-95,jama1262,http://concepticon.clld.org/parameters/652,fil,"plain, field"
218-843,jama1262,http://concepticon.clld.org/parameters/921,valɩ,valley
218-1044,jama1262,http://concepticon.clld.org/parameters/622,aɩlan,island
218-123,jama1262,http://concepticon.clld.org/parameters/166,mɛɩn lan,mainland
218-1314,jama1262,http://concepticon.clld.org/parameters/166,kantɩnɛnt,mainland
218-172,jama1262,http://concepticon.clld.org/parameters/113,baŋk,shore
218-788,jama1262,http://concepticon.clld.org/parameters/113,bič,shore
218-948,jama1262,http://concepticon.clld.org/parameters/113,šʊɔr,shore
218-1025,jama1262,http://concepticon.clld.org/parameters/1155,kɛɩv,cave
218-694,jama1262,http://concepticon.clld.org/parameters/948,wāta,water
218-435,jama1262,http://concepticon.clld.org/parameters/1474,si,sea
218-758,jama1262,http://concepticon.clld.org/parameters/258,kʸām,calm (of sea)
218-279,jama1262,http://concepticon.clld.org/parameters/259,rɔf,rough (of sea)
218-1094,jama1262,http://concepticon.clld.org/parameters/1768,fʊɔm,foam
218-603,jama1262,http://concepticon.clld.org/parameters/645,ʊɔšan,ocean
218-447,jama1262,http://concepticon.clld.org/parameters/624,lɛɩk,lake
218-1265,jama1262,http://concepticon.clld.org/parameters/663,gɔlf,"gulf, bay"
218-1182,jama1262,http://concepticon.clld.org/parameters/663,bɛɩ,"gulf, bay"
218-1193,jama1262,http://concepticon.clld.org/parameters/623,lagun,lagoon
218-220,jama1262,http://concepticon.clld.org/parameters/1662,paɩnt,"headland, point"
218-23,jama1262,http://concepticon.clld.org/parameters/978,wɛɩv,wave
218-983,jama1262,http://concepticon.clld.org/parameters/891,taɩd,tide
218-180,jama1262,http://concepticon.clld.org/parameters/1026,lʊɔ taɩd,lowtide
218-213,jama1262,http://concepticon.clld.org/parameters/613,aɩ taɩd,hightide
218-593,jama1262,http://concepticon.clld.org/parameters/666,riva ~ riba,"river, stream, brook"
218-679,jama1262,http://concepticon.clld.org/parameters/666,strim,"river, stream, brook"
218-1028,jama1262,http://concepticon.clld.org/parameters/666,bruk,"river, stream, brook"
218-240,jama1262,http://concepticon.clld.org/parameters/1982,wilɩn ʊɔl,whirlpool
218-430,jama1262,http://concepticon.clld.org/parameters/2144,sprɩŋ,"spring, well"
218-732,jama1262,http://concepticon.clld.org/parameters/2144,wɛl,"spring, well"
218-723,jama1262,http://concepticon.clld.org/parameters/1145,swɔmp ~ swamp,swamp
218-86,jama1262,http://concepticon.clld.org/parameters/943,wāta-fal,waterfall
218-853,jama1262,http://concepticon.clld.org/parameters/420,wudz,"woods, forest"
218-936,jama1262,http://concepticon.clld.org/parameters/420,farɩs,"woods, forest"
218-325,jama1262,http://concepticon.clld.org/parameters/420,buš,"woods, forest"
218-1086,jama1262,http://concepticon.clld.org/parameters/906,tri,tree (cf 08.600)
218-912,jama1262,http://concepticon.clld.org/parameters/1803,(w)ud,wood
218-572,jama1262,http://concepticon.clld.org/parameters/1803,bʊɔd,wood
218-219,jama1262,http://concepticon.clld.org/parameters/2125,rak-stʊn,"stone, rock"
218-823,jama1262,http://concepticon.clld.org/parameters/2125,stʊɔn,"stone, rock"
218-157,jama1262,http://concepticon.clld.org/parameters/2125,rak,"stone, rock"
218-895,jama1262,http://concepticon.clld.org/parameters/6,ɛrt-kwɛɩk,earthquake
218-887,jama1262,http://concepticon.clld.org/parameters/1732,skaɩ,sky
218-769,jama1262,http://concepticon.clld.org/parameters/1343,sɔn,sun
218-203,jama1262,http://concepticon.clld.org/parameters/1313,mun,moon
218-718,jama1262,http://concepticon.clld.org/parameters/1430,stār,star
218-394,jama1262,http://concepticon.clld.org/parameters/1654,laɩtnɩn ~ laɩtnɩŋ,lightning
218-953,jama1262,http://concepticon.clld.org/parameters/1150,tɔnda,thunder
218-232,jama1262,http://concepticon.clld.org/parameters/2007,tɔnda-bal,lightning (as striking)
218-713,jama1262,http://concepticon.clld.org/parameters/858,stām,storm
218-639,jama1262,http://concepticon.clld.org/parameters/1733,rɛɩn-bʊɔ,rainbow
218-377,jama1262,http://concepticon.clld.org/parameters/630,laɩt,light (noun)
218-546,jama1262,http://concepticon.clld.org/parameters/11,dāk-nɩs,darkness
