ID,Language_ID,Feature_ID,Value,Concept
221-564,polc1243,http://concepticon.clld.org/parameters/965,atl kwaŋ,world
221-312,polc1243,http://concepticon.clld.org/parameters/626,atl,"earth, land"
221-312,polc1243,http://concepticon.clld.org/parameters/1228,atl,"earth=ground, soil"
221-969,polc1243,http://concepticon.clld.org/parameters/2,ruŋ,dust
221-643,polc1243,http://concepticon.clld.org/parameters/640,ndwap,mud
221-8,polc1243,http://concepticon.clld.org/parameters/671,nyaasən,sand
221-441,polc1243,http://concepticon.clld.org/parameters/2118,goŋ,"mountain, hill"
221-295,polc1243,http://concepticon.clld.org/parameters/2118,ɓyaŋ,"mountain, hill"
221-244,polc1243,http://concepticon.clld.org/parameters/2118,ɗee,"mountain, hill"
221-649,polc1243,http://concepticon.clld.org/parameters/652,daasə,"plain, field"
221-373,polc1243,http://concepticon.clld.org/parameters/921,luut,valley
221-417,polc1243,http://concepticon.clld.org/parameters/113,bə sal,shore
221-797,polc1243,http://concepticon.clld.org/parameters/1155,koroŋ,cave
221-51,polc1243,http://concepticon.clld.org/parameters/1155,koroŋ tat,cave
221-761,polc1243,http://concepticon.clld.org/parameters/1155,koroŋ pət,cave
221-213,polc1243,http://concepticon.clld.org/parameters/948,maa,water
221-532,polc1243,http://concepticon.clld.org/parameters/1474,tapga maa,sea
221-423,polc1243,http://concepticon.clld.org/parameters/258,yətər raŋ,calm (of sea)
221-699,polc1243,http://concepticon.clld.org/parameters/624,tapga,lake
221-442,polc1243,http://concepticon.clld.org/parameters/666,sal,"river, stream, brook"
221-633,polc1243,http://concepticon.clld.org/parameters/666,ɗwaarə,"river, stream, brook"
221-940,polc1243,http://concepticon.clld.org/parameters/2144,googa,"spring, well"
221-373,polc1243,http://concepticon.clld.org/parameters/1145,luut,swamp
221-547,polc1243,http://concepticon.clld.org/parameters/420,zəŋəm,"woods, forest"
221-132,polc1243,http://concepticon.clld.org/parameters/906,pət,tree (cf 08.600)
221-765,polc1243,http://concepticon.clld.org/parameters/1803,nyansə,wood
221-177,polc1243,http://concepticon.clld.org/parameters/2125,tat,"stone, rock"
221-748,polc1243,http://concepticon.clld.org/parameters/6,atl dəŋəl,earthquake
221-291,polc1243,http://concepticon.clld.org/parameters/1732,leyam,sky
221-268,polc1243,http://concepticon.clld.org/parameters/1343,piɗii,sun
221-163,polc1243,http://concepticon.clld.org/parameters/1313,car,moon
221-271,polc1243,http://concepticon.clld.org/parameters/1430,taŋətlə,star
221-378,polc1243,http://concepticon.clld.org/parameters/1654,vancibi,lightning
