ID,Language_ID,Feature_ID,Value,Concept
226-67,zuni1245,http://concepticon.clld.org/parameters/965,ʔawiteli-,world
226-731,zuni1245,http://concepticon.clld.org/parameters/626,te-yala,"earth, land"
226-471,zuni1245,http://concepticon.clld.org/parameters/1228,ʔaweɬi-,"earth=ground, soil"
226-411,zuni1245,http://concepticon.clld.org/parameters/1228,ʔawekli-,"earth=ground, soil"
226-788,zuni1245,http://concepticon.clld.org/parameters/2,so-,dust
226-468,zuni1245,http://concepticon.clld.org/parameters/640,heli-,mud
226-788,zuni1245,http://concepticon.clld.org/parameters/671,so-,sand
226-545,zuni1245,http://concepticon.clld.org/parameters/2118,yala-,"mountain, hill"
226-85,zuni1245,http://concepticon.clld.org/parameters/2118,kuʔtele-,"mountain, hill"
226-580,zuni1245,http://concepticon.clld.org/parameters/618,teleči,"cliff, precipice"
226-214,zuni1245,http://concepticon.clld.org/parameters/652,te-yačči-na-,"plain, field"
226-384,zuni1245,http://concepticon.clld.org/parameters/948,kˀʸa-,water
226-855,zuni1245,http://concepticon.clld.org/parameters/1474,kˀʸātuɬ ʔullapna,sea
226-128,zuni1245,http://concepticon.clld.org/parameters/1768,ʔummo-,foam
226-855,zuni1245,http://concepticon.clld.org/parameters/645,kˀʸātuɬ ʔullapna,ocean
226-871,zuni1245,http://concepticon.clld.org/parameters/624,kˀʸa-na-,lake
226-312,zuni1245,http://concepticon.clld.org/parameters/666,kˀʸawina-,"river, stream, brook"
226-177,zuni1245,http://concepticon.clld.org/parameters/2144,kˀʸa-na-kʷayi-na-,"spring, well"
226-28,zuni1245,http://concepticon.clld.org/parameters/420,ta-na-yā-we,"woods, forest"
226-154,zuni1245,http://concepticon.clld.org/parameters/906,ta-tta-,tree (cf 08.600)
226-205,zuni1245,http://concepticon.clld.org/parameters/1803,ta-,wood
226-217,zuni1245,http://concepticon.clld.org/parameters/2125,ʔa-,"stone, rock"
226-269,zuni1245,http://concepticon.clld.org/parameters/6,ʔanukʷayi,earthquake
226-593,zuni1245,http://concepticon.clld.org/parameters/1732,ʔaʔ-poʔya-,sky
226-172,zuni1245,http://concepticon.clld.org/parameters/1343,yato-kkʸa,sun
226-242,zuni1245,http://concepticon.clld.org/parameters/1313,ya-ʔona-kkʸa,moon
226-706,zuni1245,http://concepticon.clld.org/parameters/1430,moʔ-yaču-,star
226-428,zuni1245,http://concepticon.clld.org/parameters/1654,wilo-,lightning
226-122,zuni1245,http://concepticon.clld.org/parameters/1150,towowo-,thunder
226-453,zuni1245,http://concepticon.clld.org/parameters/630,ʔakli-,light (noun)
226-347,zuni1245,http://concepticon.clld.org/parameters/11,te-kˀʷi-,darkness
226-535,zuni1245,http://concepticon.clld.org/parameters/1388,te-ɬuʔwa-,"shade, shadow"
226-267,zuni1245,http://concepticon.clld.org/parameters/960,pinna-,wind
226-805,zuni1245,http://concepticon.clld.org/parameters/1489,lo-,cloud
226-149,zuni1245,http://concepticon.clld.org/parameters/249,šipololo-,fog
226-58,zuni1245,http://concepticon.clld.org/parameters/658,ɬito-,rain (noun)
226-499,zuni1245,http://concepticon.clld.org/parameters/784,ʔu-,snow (noun)
226-283,zuni1245,http://concepticon.clld.org/parameters/617,ɬe-m-kˀʸa-ya-,ice
226-331,zuni1245,http://concepticon.clld.org/parameters/952,tewuc̷oʔya-,weather
