ID,Language_ID,Feature_ID,Value,Concept
228-562,tlin1245,http://concepticon.clld.org/parameters/965,lingitˀaaní,world
228-1205,tlin1245,http://concepticon.clld.org/parameters/626,tlˀátk,"earth, land"
228-919,tlin1245,http://concepticon.clld.org/parameters/1228,tlˀéx̣ˀkʷ,"earth=ground, soil"
228-189,tlin1245,http://concepticon.clld.org/parameters/1228,tlˀáx̣ˀkʷ,"earth=ground, soil"
228-1007,tlin1245,http://concepticon.clld.org/parameters/2,kadánǰaa,dust
228-412,tlin1245,http://concepticon.clld.org/parameters/640,ḳútlˀkʷ,mud
228-121,tlin1245,http://concepticon.clld.org/parameters/640,ḳootlˀ,mud
228-933,tlin1245,http://concepticon.clld.org/parameters/671,lˀéiw,sand
228-1208,tlin1245,http://concepticon.clld.org/parameters/671,lˀéiw yátxˀi,sand
228-1165,tlin1245,http://concepticon.clld.org/parameters/2118,šaa,"mountain, hill"
228-210,tlin1245,http://concepticon.clld.org/parameters/2118,šaa yadaa,"mountain, hill"
228-833,tlin1245,http://concepticon.clld.org/parameters/2118,šaa šaakée,"mountain, hill"
228-398,tlin1245,http://concepticon.clld.org/parameters/2118,šaa seiyí,"mountain, hill"
228-956,tlin1245,http://concepticon.clld.org/parameters/2118,gooč,"mountain, hill"
228-821,tlin1245,http://concepticon.clld.org/parameters/618,g̣ílˀ,"cliff, precipice"
228-386,tlin1245,http://concepticon.clld.org/parameters/921,šaanáx̣,valley
228-548,tlin1245,http://concepticon.clld.org/parameters/622,xˀáatˀ,island
228-963,tlin1245,http://concepticon.clld.org/parameters/166,tleiyán,mainland
228-118,tlin1245,http://concepticon.clld.org/parameters/113,yán,shore
228-750,tlin1245,http://concepticon.clld.org/parameters/113,neeč,shore
228-627,tlin1245,http://concepticon.clld.org/parameters/113,éeḳ,shore
228-1040,tlin1245,http://concepticon.clld.org/parameters/113,xákʷ,shore
228-10,tlin1245,http://concepticon.clld.org/parameters/1155,tatóok,cave
228-362,tlin1245,http://concepticon.clld.org/parameters/1155,katóok,cave
228-675,tlin1245,http://concepticon.clld.org/parameters/948,héen,water
228-42,tlin1245,http://concepticon.clld.org/parameters/948,ḳéesˀ,water
228-1109,tlin1245,http://concepticon.clld.org/parameters/1768,x̣eel,foam
228-955,tlin1245,http://concepticon.clld.org/parameters/1768,x̣eil,foam
228-871,tlin1245,http://concepticon.clld.org/parameters/1768,x̣eeš,foam
228-786,tlin1245,http://concepticon.clld.org/parameters/645,éilˀ,ocean
228-534,tlin1245,http://concepticon.clld.org/parameters/624,áa,lake
228-868,tlin1245,http://concepticon.clld.org/parameters/663,g̣eey,"gulf, bay"
228-24,tlin1245,http://concepticon.clld.org/parameters/663,g̣eiy,"gulf, bay"
228-1150,tlin1245,http://concepticon.clld.org/parameters/623,áakˀʷ,lagoon
228-1232,tlin1245,http://concepticon.clld.org/parameters/660,eeč,reef
228-194,tlin1245,http://concepticon.clld.org/parameters/660,hintu eeǰí,reef
228-649,tlin1245,http://concepticon.clld.org/parameters/660,šaltláax̣,reef
228-726,tlin1245,http://concepticon.clld.org/parameters/1662,xˀaa,"headland, point"
228-915,tlin1245,http://concepticon.clld.org/parameters/1662,xˀaa luká,"headland, point"
228-69,tlin1245,http://concepticon.clld.org/parameters/1662,taxˀaayí,"headland, point"
228-1098,tlin1245,http://concepticon.clld.org/parameters/1662,lˀéiw xˀaayí,"headland, point"
228-214,tlin1245,http://concepticon.clld.org/parameters/978,teet,wave
228-1199,tlin1245,http://concepticon.clld.org/parameters/978,teet tlénxˀ,wave
228-90,tlin1245,http://concepticon.clld.org/parameters/891,haat,tide
228-1067,tlin1245,http://concepticon.clld.org/parameters/891,xˀóolˀ,tide
228-1066,tlin1245,http://concepticon.clld.org/parameters/1026,léin,lowtide
228-208,tlin1245,http://concepticon.clld.org/parameters/666,kanaadaayi héen,"river, stream, brook"
228-906,tlin1245,http://concepticon.clld.org/parameters/666,naadaayi heen,"river, stream, brook"
228-875,tlin1245,http://concepticon.clld.org/parameters/666,héen šú,"river, stream, brook"
228-33,tlin1245,http://concepticon.clld.org/parameters/666,hinšú,"river, stream, brook"
228-1010,tlin1245,http://concepticon.clld.org/parameters/666,héen wantú,"river, stream, brook"
228-282,tlin1245,http://concepticon.clld.org/parameters/666,taašuká,"river, stream, brook"
228-1047,tlin1245,http://concepticon.clld.org/parameters/666,héen šáak,"river, stream, brook"
228-388,tlin1245,http://concepticon.clld.org/parameters/666,héen táak,"river, stream, brook"
228-376,tlin1245,http://concepticon.clld.org/parameters/666,héen wát,"river, stream, brook"
228-348,tlin1245,http://concepticon.clld.org/parameters/666,héen tˀiká,"river, stream, brook"
228-209,tlin1245,http://concepticon.clld.org/parameters/1982,haat kool,whirlpool
228-373,tlin1245,http://concepticon.clld.org/parameters/2144,goon,"spring, well"
228-1008,tlin1245,http://concepticon.clld.org/parameters/1145,šáčk,swamp
