ID,Language_ID,Feature_ID,Value,Concept
239-439,rotu1241,http://concepticon.clld.org/parameters/965,rani,world
239-623,rotu1241,http://concepticon.clld.org/parameters/626,hanua,"earth, land"
239-168,rotu1241,http://concepticon.clld.org/parameters/1228,pera,"earth=ground, soil"
239-705,rotu1241,http://concepticon.clld.org/parameters/2,kef-kefu,dust
239-176,rotu1241,http://concepticon.clld.org/parameters/640,mamaʔono,mud
239-926,rotu1241,http://concepticon.clld.org/parameters/671,fan-fana,sand
239-670,rotu1241,http://concepticon.clld.org/parameters/2118,solo,"mountain, hill"
239-473,rotu1241,http://concepticon.clld.org/parameters/618,hɔf ar sisi,"cliff, precipice"
239-719,rotu1241,http://concepticon.clld.org/parameters/652,ut araŋʔesea,"plain, field"
239-1079,rotu1241,http://concepticon.clld.org/parameters/921,maʔea,valley
239-400,rotu1241,http://concepticon.clld.org/parameters/622,ʔɔtmotu,island
239-940,rotu1241,http://concepticon.clld.org/parameters/166,ufa,mainland
239-800,rotu1241,http://concepticon.clld.org/parameters/113,ufaŋa,shore
239-711,rotu1241,http://concepticon.clld.org/parameters/1155,ʔana,cave
239-368,rotu1241,http://concepticon.clld.org/parameters/948,tɔnu,water
239-981,rotu1241,http://concepticon.clld.org/parameters/1474,sɔsi,sea
239-350,rotu1241,http://concepticon.clld.org/parameters/258,toka,calm (of sea)
239-230,rotu1241,http://concepticon.clld.org/parameters/259,vɔlu,rough (of sea)
239-301,rotu1241,http://concepticon.clld.org/parameters/1768,fifi,foam
239-939,rotu1241,http://concepticon.clld.org/parameters/645,liʔu,ocean
239-555,rotu1241,http://concepticon.clld.org/parameters/624,vɔi-loŋa,lake
239-185,rotu1241,http://concepticon.clld.org/parameters/660,haho,reef
239-422,rotu1241,http://concepticon.clld.org/parameters/1662,isu,"headland, point"
239-397,rotu1241,http://concepticon.clld.org/parameters/1662,is-ne-hanua,"headland, point"
239-230,rotu1241,http://concepticon.clld.org/parameters/978,vɔlu,wave
239-1067,rotu1241,http://concepticon.clld.org/parameters/978,peau,wave
239-597,rotu1241,http://concepticon.clld.org/parameters/891,mɔfi,tide
239-776,rotu1241,http://concepticon.clld.org/parameters/1026,mæf-ta-meaɔ,lowtide
239-126,rotu1241,http://concepticon.clld.org/parameters/613,mæf-ta sok,hightide
239-698,rotu1241,http://concepticon.clld.org/parameters/666,sɔfu,"river, stream, brook"
239-1039,rotu1241,http://concepticon.clld.org/parameters/1982,ahio-hio,whirlpool
239-118,rotu1241,http://concepticon.clld.org/parameters/2144,vɔi,"spring, well"
239-438,rotu1241,http://concepticon.clld.org/parameters/1145,rano,swamp
239-992,rotu1241,http://concepticon.clld.org/parameters/420,vao,"woods, forest"
239-680,rotu1241,http://concepticon.clld.org/parameters/906,ʔɔi,tree (cf 08.600)
