ID,Language_ID,Feature_ID,Value,Concept
245-713,chac1249,http://concepticon.clld.org/parameters/965,tu,world
245-713,chac1249,http://concepticon.clld.org/parameters/626,tu,"earth, land"
245-713,chac1249,http://concepticon.clld.org/parameters/1228,tu,"earth=ground, soil"
245-624,chac1249,http://concepticon.clld.org/parameters/2,'uh-'tu-pe,dust
245-579,chac1249,http://concepticon.clld.org/parameters/640,'pihpa,mud
245-898,chac1249,http://concepticon.clld.org/parameters/671,'ɲii-pe,sand
245-1138,chac1249,http://concepticon.clld.org/parameters/2118,'kuyi,"mountain, hill"
245-381,chac1249,http://concepticon.clld.org/parameters/2118,'lun-'guyi,"mountain, hill"
245-1359,chac1249,http://concepticon.clld.org/parameters/618,'lan'baki,"cliff, precipice"
245-373,chac1249,http://concepticon.clld.org/parameters/618,'kuh-tu,"cliff, precipice"
245-798,chac1249,http://concepticon.clld.org/parameters/652,[panba],"plain, field"
245-1328,chac1249,http://concepticon.clld.org/parameters/622,[išla],island
245-1031,chac1249,http://concepticon.clld.org/parameters/113,'ɲi-'ya-ʔ-'pala,shore
245-290,chac1249,http://concepticon.clld.org/parameters/1155,'tu-'huru,cave
245-935,chac1249,http://concepticon.clld.org/parameters/948,pi,water
245-1279,chac1249,http://concepticon.clld.org/parameters/1474,'Φera,sea
245-659,chac1249,http://concepticon.clld.org/parameters/1474,['la'maa],sea
245-412,chac1249,http://concepticon.clld.org/parameters/258,'pi'sunda 'pu-tʸu,calm (of sea)
245-1289,chac1249,http://concepticon.clld.org/parameters/259,['la'maa] 'a'ha-ra,rough (of sea)
245-1067,chac1249,http://concepticon.clld.org/parameters/1768,'čin'bih-pu,foam
245-1036,chac1249,http://concepticon.clld.org/parameters/1768,'šin'bih-pu,foam
245-659,chac1249,http://concepticon.clld.org/parameters/645,['la'maa],ocean
245-367,chac1249,http://concepticon.clld.org/parameters/624,['pusu],lake
245-494,chac1249,http://concepticon.clld.org/parameters/663,['la'maa] pi ['pusu],"gulf, bay"
245-1060,chac1249,http://concepticon.clld.org/parameters/623,pi ['pusu],lagoon
245-1197,chac1249,http://concepticon.clld.org/parameters/660,'ɲi-'yaʔ ['išla],reef
245-527,chac1249,http://concepticon.clld.org/parameters/1662,'tu-'mutu,"headland, point"
245-1017,chac1249,http://concepticon.clld.org/parameters/978,'pi-'sunda,wave
245-1101,chac1249,http://concepticon.clld.org/parameters/978,'pi-'sela,wave
245-1175,chac1249,http://concepticon.clld.org/parameters/891,'pi-'tʸuwa,tide
245-84,chac1249,http://concepticon.clld.org/parameters/1026,'pi-tʸu 'kahte,lowtide
245-1130,chac1249,http://concepticon.clld.org/parameters/613,pi-'a'wema,hightide
245-935,chac1249,http://concepticon.clld.org/parameters/666,pi,"river, stream, brook"
245-711,chac1249,http://concepticon.clld.org/parameters/666,'pi-'hula,"river, stream, brook"
245-1124,chac1249,http://concepticon.clld.org/parameters/1982,'mu'le'hun,whirlpool
245-367,chac1249,http://concepticon.clld.org/parameters/2144,['pusu],"spring, well"
245-1148,chac1249,http://concepticon.clld.org/parameters/1145,'wan'daa,swamp
245-634,chac1249,http://concepticon.clld.org/parameters/943,'pi-'payu,waterfall
245-144,chac1249,http://concepticon.clld.org/parameters/943,'payu,waterfall
245-838,chac1249,http://concepticon.clld.org/parameters/420,'hele,"woods, forest"
245-653,chac1249,http://concepticon.clld.org/parameters/420,'heen-'bala,"woods, forest"
245-1310,chac1249,http://concepticon.clld.org/parameters/906,či,tree (cf 08.600)
245-1310,chac1249,http://concepticon.clld.org/parameters/1803,či,wood
245-36,chac1249,http://concepticon.clld.org/parameters/2125,'šu-'puka,"stone, rock"
245-1033,chac1249,http://concepticon.clld.org/parameters/2125,'lanbaki,"stone, rock"
245-1005,chac1249,http://concepticon.clld.org/parameters/6,'kala,earthquake
245-644,chac1249,http://concepticon.clld.org/parameters/1732,['selu],sky
245-1322,chac1249,http://concepticon.clld.org/parameters/1343,'pahta,sun
245-297,chac1249,http://concepticon.clld.org/parameters/1313,'ke-pe 'pahta,moon
245-1322,chac1249,http://concepticon.clld.org/parameters/1313,'pahta,moon
245-1193,chac1249,http://concepticon.clld.org/parameters/1430,'ma'kara,star
245-886,chac1249,http://concepticon.clld.org/parameters/1654,'kwidʸa 'pidʸa,lightning
245-690,chac1249,http://concepticon.clld.org/parameters/1150,'kwidʸa,thunder
245-886,chac1249,http://concepticon.clld.org/parameters/2007,'kwidʸa 'pidʸa,lightning (as striking)
245-322,chac1249,http://concepticon.clld.org/parameters/858,'i'šuwa 'šu'wa-ba,storm
245-385,chac1249,http://concepticon.clld.org/parameters/1733,['arku],rainbow
245-848,chac1249,http://concepticon.clld.org/parameters/630,'danda,light (noun)
245-881,chac1249,http://concepticon.clld.org/parameters/11,'diš'kehc̷a,darkness
245-268,chac1249,http://concepticon.clld.org/parameters/11,'ya'huu-na,darkness
245-78,chac1249,http://concepticon.clld.org/parameters/1388,'Φaa-'pan-'bele,"shade, shadow"
245-1144,chac1249,http://concepticon.clld.org/parameters/1977,'iš'ta-ʔ 'čipi,dew
245-558,chac1249,http://concepticon.clld.org/parameters/27,'i'šuwa ~ 'i'šuya,air
245-558,chac1249,http://concepticon.clld.org/parameters/960,'i'šuwa ~ 'i'šuya,wind
245-921,chac1249,http://concepticon.clld.org/parameters/1489,'ɲi-'wihča,cloud
245-620,chac1249,http://concepticon.clld.org/parameters/249,'waa-ɲi-'wihča,fog
245-583,chac1249,http://concepticon.clld.org/parameters/658,'šuwa,rain (noun)
245-339,chac1249,http://concepticon.clld.org/parameters/658,šu-pi,rain (noun)
245-1369,chac1249,http://concepticon.clld.org/parameters/784,'iša 'lʸuh-pe,snow (noun)
245-1046,chac1249,http://concepticon.clld.org/parameters/617,'iša-'puka ~ 'iš-'puka,ice
245-90,chac1249,http://concepticon.clld.org/parameters/952,['tinbu],weather
245-1272,chac1249,http://concepticon.clld.org/parameters/221,ɲi,fire
245-20,chac1249,http://concepticon.clld.org/parameters/889,ɲi 'lʸuʔ-'ka-ya,flame (noun)
245-921,chac1249,http://concepticon.clld.org/parameters/778,'ɲi-'wihča,smoke (noun)
245-898,chac1249,http://concepticon.clld.org/parameters/646,'ɲii-pe,ashes
245-455,chac1249,http://concepticon.clld.org/parameters/646,'huʔ-pe,ashes
245-635,chac1249,http://concepticon.clld.org/parameters/67,'ɲin-'guma,embers
245-1302,chac1249,http://concepticon.clld.org/parameters/141,'lʸuʔ-'waa-nu,burn (vb trans)
245-989,chac1249,http://concepticon.clld.org/parameters/141,'huʔ-'ke-nu,burn (vb trans)
245-192,chac1249,http://concepticon.clld.org/parameters/1428,'hu-pe-nu,burn (vb intrans)
245-654,chac1249,http://concepticon.clld.org/parameters/1428,'i-'ka-nu,burn (vb intrans)
245-92,chac1249,http://concepticon.clld.org/parameters/737,'ča-'kaa-nu,"light, kindle, ignite"
245-175,chac1249,http://concepticon.clld.org/parameters/737,'lʸuʔ-ka-'kaa-nu,"light, kindle, ignite"
245-846,chac1249,http://concepticon.clld.org/parameters/127,'man-'bee-nu,extinguish
245-504,chac1249,http://concepticon.clld.org/parameters/1133,'[huu'huru],match (noun)
245-715,chac1249,http://concepticon.clld.org/parameters/10,te,firewood
245-441,chac1249,http://concepticon.clld.org/parameters/1188,'ɲi-n'c̷ala,charcoal
245-1361,chac1249,http://concepticon.clld.org/parameters/683,'čači,"person, human being"
245-308,chac1249,http://concepticon.clld.org/parameters/1554,lʸu-pu,man (vs. woman)
245-971,chac1249,http://concepticon.clld.org/parameters/962,šinbu,woman
245-106,chac1249,http://concepticon.clld.org/parameters/962,'su-pu,woman
245-554,chac1249,http://concepticon.clld.org/parameters/2263,'lʸu-pu,male
245-106,chac1249,http://concepticon.clld.org/parameters/2260,'su-pu,female
245-1234,chac1249,http://concepticon.clld.org/parameters/1366,['un'bee]-na,boy
245-329,chac1249,http://concepticon.clld.org/parameters/1366,na,boy
245-1231,chac1249,http://concepticon.clld.org/parameters/1366,'kaa-na,boy
245-1166,chac1249,http://concepticon.clld.org/parameters/76,'un-na,young man (adolescent)
245-1258,chac1249,http://concepticon.clld.org/parameters/1646,'kaa-'na-ʔ-ma,girl
245-1153,chac1249,http://concepticon.clld.org/parameters/1646,'su-pu 'na-ʔ-ma,girl
245-1076,chac1249,http://concepticon.clld.org/parameters/77,'pan-na,young woman (adolescent)
245-329,chac1249,http://concepticon.clld.org/parameters/1304,na,child
245-1231,chac1249,http://concepticon.clld.org/parameters/1304,'kaa-na,child
245-531,chac1249,http://concepticon.clld.org/parameters/1289,'ka-['wawa],"infant, baby"
245-537,chac1249,http://concepticon.clld.org/parameters/1200,'yaʔ 'ruku,husband
245-103,chac1249,http://concepticon.clld.org/parameters/1199,yaʔ šinbu ~ yaʔ šimbu,wife
245-129,chac1249,http://concepticon.clld.org/parameters/203,'su-pun-'ga-nu,marry
245-804,chac1249,http://concepticon.clld.org/parameters/1259,'man-'c̷u-u-nu,"marriage, wedding"
245-934,chac1249,http://concepticon.clld.org/parameters/1134,'ma-'wee-'la-nu,divorce
245-1008,chac1249,http://concepticon.clld.org/parameters/1217,'apa,father
245-360,chac1249,http://concepticon.clld.org/parameters/1217,'yaʔ 'pa,father
245-552,chac1249,http://concepticon.clld.org/parameters/1216,'ama,mother
245-97,chac1249,http://concepticon.clld.org/parameters/1216,'mama,mother
245-295,chac1249,http://concepticon.clld.org/parameters/505,'a'pa-la,parents
245-16,chac1249,http://concepticon.clld.org/parameters/424,'su-pu 'miya 'ruku,married man
245-482,chac1249,http://concepticon.clld.org/parameters/426,['un'bee] 'miya 'šinbu,married woman
245-329,chac1249,http://concepticon.clld.org/parameters/1620,na,son
245-1234,chac1249,http://concepticon.clld.org/parameters/1620,['un'bee]-na,son
245-497,chac1249,http://concepticon.clld.org/parameters/1357,'na-ʔ-ma,daughter
245-1153,chac1249,http://concepticon.clld.org/parameters/1357,'su-pu 'na-ʔ-ma,daughter
245-1171,chac1249,http://concepticon.clld.org/parameters/1801,'kailʸa,offspring (son or daughter)
245-335,chac1249,http://concepticon.clld.org/parameters/1262,'kaya,brother
245-522,chac1249,http://concepticon.clld.org/parameters/1759,'u'ɲaku,older brother
245-638,chac1249,http://concepticon.clld.org/parameters/1760,'ben-na,younger brother
245-1051,chac1249,http://concepticon.clld.org/parameters/1263,'c̷uhki,sister
245-1332,chac1249,http://concepticon.clld.org/parameters/1758,'u'ɲama,older sister
245-931,chac1249,http://concepticon.clld.org/parameters/1761,'miya,younger sister
245-498,chac1249,http://concepticon.clld.org/parameters/1640,'naa-'tala,sibling
245-1053,chac1249,http://concepticon.clld.org/parameters/1383,aa 'ʔapa,grandfather
245-170,chac1249,http://concepticon.clld.org/parameters/406,'ruku,old man
245-1078,chac1249,http://concepticon.clld.org/parameters/1496,aa 'mama,grandmother
245-1084,chac1249,http://concepticon.clld.org/parameters/907,'kaa-'šinbu ~ 'kaa-'šimbu,old woman
245-913,chac1249,http://concepticon.clld.org/parameters/1618,'paɲa,grandson
245-913,chac1249,http://concepticon.clld.org/parameters/1619,'paɲa,granddaughter
245-1027,chac1249,http://concepticon.clld.org/parameters/1984,'ah'čiyu,mother's brother
245-1331,chac1249,http://concepticon.clld.org/parameters/1984,'uh'puyu,mother's brother
245-516,chac1249,http://concepticon.clld.org/parameters/1985,'a'piku,father's brother
245-1185,chac1249,http://concepticon.clld.org/parameters/171,'man'guku,mother's sister
245-648,chac1249,http://concepticon.clld.org/parameters/170,'u'ɲuku,father's sister
245-250,chac1249,http://concepticon.clld.org/parameters/490,'se-'ra-ʔ 'ha-'mu-la,descendants
245-1177,chac1249,http://concepticon.clld.org/parameters/2255,'an'č-apa,father-in-law (of a man)
245-1177,chac1249,http://concepticon.clld.org/parameters/2254,'an'č-apa,father-in-law (of a woman)
245-287,chac1249,http://concepticon.clld.org/parameters/2256,'an'č-ama,mother-in-law (of a man)
245-302,chac1249,http://concepticon.clld.org/parameters/2256,'aya,mother-in-law (of a man)
245-287,chac1249,http://concepticon.clld.org/parameters/2257,'an'č-ama,mother-in-law (of a woman)
245-302,chac1249,http://concepticon.clld.org/parameters/2257,'aya,mother-in-law (of a woman)
245-366,chac1249,http://concepticon.clld.org/parameters/2267,'kiya,son-in-law (of a man)
245-366,chac1249,http://concepticon.clld.org/parameters/2266,'kiya,son-in-law (of a woman)
245-1195,chac1249,http://concepticon.clld.org/parameters/2265,'suya,daughter-in-law (of a man)
245-1195,chac1249,http://concepticon.clld.org/parameters/2264,'suya,daughter-in-law (of a woman)
245-1118,chac1249,http://concepticon.clld.org/parameters/237,'buu 'ʔapa,stepfather
245-6,chac1249,http://concepticon.clld.org/parameters/236,'buu 'ʔama,stepmother
245-1106,chac1249,http://concepticon.clld.org/parameters/1059,'buu-na,stepson
245-545,chac1249,http://concepticon.clld.org/parameters/1058,'buu-'na-ʔ-ma,stepdaughter
245-1240,chac1249,http://concepticon.clld.org/parameters/1149,'ka'main-na,orphan
245-777,chac1249,http://concepticon.clld.org/parameters/1756,['bi'yuda] šinbu,widow
245-796,chac1249,http://concepticon.clld.org/parameters/1981,['bi'yuda] 'ruku,widower
245-731,chac1249,http://concepticon.clld.org/parameters/1644,'bulu,"relatives, kinsmen"
245-682,chac1249,http://concepticon.clld.org/parameters/1644,['paan'de]-la,"relatives, kinsmen"
245-731,chac1249,http://concepticon.clld.org/parameters/194,'bulu,family
245-1307,chac1249,http://concepticon.clld.org/parameters/1209,i,I
245-209,chac1249,http://concepticon.clld.org/parameters/1209,'i-ya,I
245-882,chac1249,http://concepticon.clld.org/parameters/1215,ɲu-ʔ,you (singular)
245-1102,chac1249,http://concepticon.clld.org/parameters/262,ya-ʔ,he/she/it
245-1393,chac1249,http://concepticon.clld.org/parameters/1212,'lala,we
245-884,chac1249,http://concepticon.clld.org/parameters/1213,'ɲu-lʸa,you (plural)
245-581,chac1249,http://concepticon.clld.org/parameters/817,'ya-'la-ʔ,they
245-976,chac1249,http://concepticon.clld.org/parameters/619,['a'ni'maa],animal
245-554,chac1249,http://concepticon.clld.org/parameters/2261,'lʸu-pu,male (adj)
245-106,chac1249,http://concepticon.clld.org/parameters/2262,'su-pu,female (adj)
245-1007,chac1249,http://concepticon.clld.org/parameters/631,'ča-ʔ 'miya ['a'ni'maa],livestock
245-405,chac1249,http://concepticon.clld.org/parameters/649,['panba],pasture
245-1022,chac1249,http://concepticon.clld.org/parameters/263,['a'ni'maa] 'waš-'ke-mu 'ruku,herdsman
245-453,chac1249,http://concepticon.clld.org/parameters/851,['a'ni'maa] 'suku,"stable, stall"
245-576,chac1249,http://concepticon.clld.org/parameters/1153,['wa'ga]ra,cattle (bovine)
245-219,chac1249,http://concepticon.clld.org/parameters/1008,['turu],bull
245-333,chac1249,http://concepticon.clld.org/parameters/1169,'lʸu-pu ['wa'ga]ra ['ka'padu],ox
245-576,chac1249,http://concepticon.clld.org/parameters/1007,['wa'ga]ra,cow
245-1032,chac1249,http://concepticon.clld.org/parameters/1007,['wa'ka]ra,cow
245-1324,chac1249,http://concepticon.clld.org/parameters/1989,'kaa ['wa'ga]ra,calf
245-928,chac1249,http://concepticon.clld.org/parameters/1331,['u'weha,sheep
245-158,chac1249,http://concepticon.clld.org/parameters/1331,'u'wiša],sheep
245-1072,chac1249,http://concepticon.clld.org/parameters/1344,'lʸu-pu ['u'weha / 'u'wiša],ram
245-1283,chac1249,http://concepticon.clld.org/parameters/1345,'su-pu ['u'weha / 'u'wiša],ewe
245-1003,chac1249,http://concepticon.clld.org/parameters/820,['u'weha / 'u'wiša] kaa na,lamb
245-216,chac1249,http://concepticon.clld.org/parameters/1348,'lʸu-pu 'kuʔči,boar
245-783,chac1249,http://concepticon.clld.org/parameters/1351,'su-pu 'kuʔči,sow (2)
245-88,chac1249,http://concepticon.clld.org/parameters/1337,'kuʔči,pig
245-526,chac1249,http://concepticon.clld.org/parameters/1502,['čibu],goat
245-1125,chac1249,http://concepticon.clld.org/parameters/264,'lʸu-pu ['čibu],he-goat
245-1293,chac1249,http://concepticon.clld.org/parameters/1972,['čibu] kaa na,kid
245-311,chac1249,http://concepticon.clld.org/parameters/615,['ka'walʸu],horse (equine)
245-95,chac1249,http://concepticon.clld.org/parameters/936,'lʸu-pu ['ka'walʸu],stallion
245-13,chac1249,http://concepticon.clld.org/parameters/938,'su-pu ['ka'walʸu],mare
245-922,chac1249,http://concepticon.clld.org/parameters/1647,'kaa ['ka'walʸu],"foal, colt"
245-404,chac1249,http://concepticon.clld.org/parameters/1862,['buru],"ass, donkey"
245-970,chac1249,http://concepticon.clld.org/parameters/890,['mula],mule
245-100,chac1249,http://concepticon.clld.org/parameters/1511,'aa-'ruku,"cock, rooster"
245-544,chac1249,http://concepticon.clld.org/parameters/1511,'lʸu-pu 'wa'lʸapa,"cock, rooster"
245-1344,chac1249,http://concepticon.clld.org/parameters/1514,'su-pu 'wa'lʸapa,hen
245-1391,chac1249,http://concepticon.clld.org/parameters/1514,'na-ʔ-'ama,hen
245-587,chac1249,http://concepticon.clld.org/parameters/1318,'wa'lʸapa,chicken
245-64,chac1249,http://concepticon.clld.org/parameters/1187,'aa ['patu],goose
245-284,chac1249,http://concepticon.clld.org/parameters/1360,['patu],duck
245-1300,chac1249,http://concepticon.clld.org/parameters/539,'ya-'tape,nest
245-181,chac1249,http://concepticon.clld.org/parameters/937,'piču,bird
245-722,chac1249,http://concepticon.clld.org/parameters/937,'pišku,bird
245-72,chac1249,http://concepticon.clld.org/parameters/950,['la'maa] 'piču / 'pišku,seagull
245-341,chac1249,http://concepticon.clld.org/parameters/758,'kahc̷u,heron
245-230,chac1249,http://concepticon.clld.org/parameters/1905,'aa 'pišku / 'piču,eagle
245-224,chac1249,http://concepticon.clld.org/parameters/307,'hu-'ya-lʸu,hawk
245-375,chac1249,http://concepticon.clld.org/parameters/1185,'pe-'tʸutʸu,vulture
245-1349,chac1249,http://concepticon.clld.org/parameters/1793,'šupa,bat
245-1275,chac1249,http://concepticon.clld.org/parameters/1793,'aa-'šupa,bat
245-764,chac1249,http://concepticon.clld.org/parameters/882,['luru],parrot
245-1341,chac1249,http://concepticon.clld.org/parameters/1853,'waʔ'pupu,dove
245-865,chac1249,http://concepticon.clld.org/parameters/1853,'Φi'tuku,dove
245-1230,chac1249,http://concepticon.clld.org/parameters/735,'tʸutʸu,owl
245-560,chac1249,http://concepticon.clld.org/parameters/2009,'kuča,dog
245-1251,chac1249,http://concepticon.clld.org/parameters/1136,'kinu,rabbit
245-19,chac1249,http://concepticon.clld.org/parameters/1208,'miši,cat
245-338,chac1249,http://concepticon.clld.org/parameters/1208,'miči,cat
245-1011,chac1249,http://concepticon.clld.org/parameters/309,'šiɲi,opossum
245-463,chac1249,http://concepticon.clld.org/parameters/2139,'iyu,"mouse, rat"
245-122,chac1249,http://concepticon.clld.org/parameters/2139,'taaʔ-'iyu,"mouse, rat"
245-1127,chac1249,http://concepticon.clld.org/parameters/227,'alʸa,fish
245-639,chac1249,http://concepticon.clld.org/parameters/227,'pi 'alʸa,fish
245-89,chac1249,http://concepticon.clld.org/parameters/213,'paanči,fin (dorsal)
245-1222,chac1249,http://concepticon.clld.org/parameters/266,'miiki,fishscale
245-1030,chac1249,http://concepticon.clld.org/parameters/1916,'mahči,gill
245-1026,chac1249,http://concepticon.clld.org/parameters/598,'na-'pi-ʔ-'kika,shell
245-652,chac1249,http://concepticon.clld.org/parameters/1479,['ku'Φeu],"porpoise, dolphin"
245-953,chac1249,http://concepticon.clld.org/parameters/1910,['raya],stingray
245-34,chac1249,http://concepticon.clld.org/parameters/1013,'pih-'piɲi,freshwater eel
245-742,chac1249,http://concepticon.clld.org/parameters/522,['lubu],wolf
245-1146,chac1249,http://concepticon.clld.org/parameters/1820,['usu],bear
245-1382,chac1249,http://concepticon.clld.org/parameters/1936,'mana,deer
245-23,chac1249,http://concepticon.clld.org/parameters/1350,'wašu,monkey
245-150,chac1249,http://concepticon.clld.org/parameters/1350,'šuri,monkey
245-68,chac1249,http://concepticon.clld.org/parameters/310,mu,louse
245-684,chac1249,http://concepticon.clld.org/parameters/267,mu 'na-'pi-pu,nit (louse egg)
245-808,chac1249,http://concepticon.clld.org/parameters/232,'čihpi ~ 'čišpi,flea
245-1071,chac1249,http://concepticon.clld.org/parameters/1974,['seepin'deru],centipede
245-1082,chac1249,http://concepticon.clld.org/parameters/1538,['ala'kara ~ 'ala'gara],scorpion
245-1264,chac1249,http://concepticon.clld.org/parameters/1575,'su'ku-ʔ-'čilʸi,cockroach
245-62,chac1249,http://concepticon.clld.org/parameters/587,'puna,ant
245-666,chac1249,http://concepticon.clld.org/parameters/587,'kahpu,ant
245-1115,chac1249,http://concepticon.clld.org/parameters/587,'ɲami,ant
245-655,chac1249,http://concepticon.clld.org/parameters/843,'mu'tele,spider
245-1226,chac1249,http://concepticon.clld.org/parameters/1065,'mu'tee 'waaku,spider web
245-1095,chac1249,http://concepticon.clld.org/parameters/665,'tanda,bee
245-1192,chac1249,http://concepticon.clld.org/parameters/1931,'či'ɲa-pe,beeswax
245-607,chac1249,http://concepticon.clld.org/parameters/88,'tanda 'tʸuhtʸu,beehive
245-466,chac1249,http://concepticon.clld.org/parameters/1517,'hala,wasp
245-719,chac1249,http://concepticon.clld.org/parameters/1504,'mai-'ʔama,fly
245-82,chac1249,http://concepticon.clld.org/parameters/1504,'lemai-ʔ'ama,fly
245-271,chac1249,http://concepticon.clld.org/parameters/95,'ɲinbe,"sandfly (midge), gnat"
245-786,chac1249,http://concepticon.clld.org/parameters/1509,'huhu,mosquito
245-1113,chac1249,http://concepticon.clld.org/parameters/1509,'pi-ši'yaya,mosquito
245-1241,chac1249,http://concepticon.clld.org/parameters/1219,'tu-'piɲi,worm
245-202,chac1249,http://concepticon.clld.org/parameters/730,'piɲi,snake
