ID,Language_ID,Feature_ID,Value,Concept
253-186,yano1262,http://concepticon.clld.org/parameters/626,mašitʰa,"earth, land"
253-790,yano1262,http://concepticon.clld.org/parameters/1228,pitʰa,"earth=ground, soil"
253-462,yano1262,http://concepticon.clld.org/parameters/2,hekrã-hekrã,dust
253-246,yano1262,http://concepticon.clld.org/parameters/640,ãhi-ãhi,mud
253-795,yano1262,http://concepticon.clld.org/parameters/671,mrakatahu,sand
253-301,yano1262,http://concepticon.clld.org/parameters/2118,hehu,"mountain, hill"
253-480,yano1262,http://concepticon.clld.org/parameters/652,heyari,"plain, field"
253-786,yano1262,http://concepticon.clld.org/parameters/622,u rə porakaa,island
253-650,yano1262,http://concepticon.clld.org/parameters/113,kasi,shore
253-411,yano1262,http://concepticon.clld.org/parameters/1155,maa ma ka,cave
253-63,yano1262,http://concepticon.clld.org/parameters/948,maũ ũ,water
253-647,yano1262,http://concepticon.clld.org/parameters/1768,moši-moši,foam
253-298,yano1262,http://concepticon.clld.org/parameters/624,wawə-wawə,lake
253-298,yano1262,http://concepticon.clld.org/parameters/623,wawə-wawə,lagoon
253-549,yano1262,http://concepticon.clld.org/parameters/978,u kita-kita-mou,wave
253-66,yano1262,http://concepticon.clld.org/parameters/666,para u,"river, stream, brook"
253-556,yano1262,http://concepticon.clld.org/parameters/666,poko u,"river, stream, brook"
253-393,yano1262,http://concepticon.clld.org/parameters/1982,u ka horara-horara-tou,whirlpool
253-312,yano1262,http://concepticon.clld.org/parameters/2144,pei u he,"spring, well"
253-298,yano1262,http://concepticon.clld.org/parameters/1145,wawə-wawə,swamp
253-42,yano1262,http://concepticon.clld.org/parameters/943,pora,waterfall
253-558,yano1262,http://concepticon.clld.org/parameters/420,urihi,"woods, forest"
253-125,yano1262,http://concepticon.clld.org/parameters/906,hii hi,tree (cf 08.600)
253-434,yano1262,http://concepticon.clld.org/parameters/1803,hii,wood
253-26,yano1262,http://concepticon.clld.org/parameters/2125,maa ma,"stone, rock"
253-702,yano1262,http://concepticon.clld.org/parameters/1732,hetu mɨsi,sky
253-695,yano1262,http://concepticon.clld.org/parameters/1343,motʰoka,sun
253-458,yano1262,http://concepticon.clld.org/parameters/1313,peripo,moon
253-413,yano1262,http://concepticon.clld.org/parameters/1430,šitikari,star
253-679,yano1262,http://concepticon.clld.org/parameters/1654,yãmɨrãɨ,lightning
253-819,yano1262,http://concepticon.clld.org/parameters/1150,yãru,thunder
253-678,yano1262,http://concepticon.clld.org/parameters/2007,tʰãhimi,lightning (as striking)
253-159,yano1262,http://concepticon.clld.org/parameters/858,watori,storm
253-829,yano1262,http://concepticon.clld.org/parameters/1733,hetu kəkɨ,rainbow
253-220,yano1262,http://concepticon.clld.org/parameters/630,hiwatu-wə,light (noun)
253-354,yano1262,http://concepticon.clld.org/parameters/11,mɨ-ru-wə,darkness
253-357,yano1262,http://concepticon.clld.org/parameters/1388,noreši,"shade, shadow"
253-576,yano1262,http://concepticon.clld.org/parameters/1977,hemaãhũ,dew
253-159,yano1262,http://concepticon.clld.org/parameters/960,watori,wind
253-630,yano1262,http://concepticon.clld.org/parameters/1489,ɨhɨraši,cloud
253-630,yano1262,http://concepticon.clld.org/parameters/249,ɨhɨraši,fog
253-179,yano1262,http://concepticon.clld.org/parameters/658,maa,rain (noun)
253-139,yano1262,http://concepticon.clld.org/parameters/617,preyura,ice
253-755,yano1262,http://concepticon.clld.org/parameters/221,koa wakə,fire
253-755,yano1262,http://concepticon.clld.org/parameters/889,koa wakə,flame (noun)
253-503,yano1262,http://concepticon.clld.org/parameters/778,koa wakə ši,smoke (noun)
253-677,yano1262,http://concepticon.clld.org/parameters/646,yupu uši,ashes
253-461,yano1262,http://concepticon.clld.org/parameters/67,koa wakə anamahu,embers
253-138,yano1262,http://concepticon.clld.org/parameters/141,iši-maɨ,burn (vb trans)
253-651,yano1262,http://concepticon.clld.org/parameters/1428,iši-i,burn (vb intrans)
253-442,yano1262,http://concepticon.clld.org/parameters/737,koa wakə piyə-maɨ,"light, kindle, ignite"
253-285,yano1262,http://concepticon.clld.org/parameters/127,koa wakə mɨsi ru-amaɨ,extinguish
253-643,yano1262,http://concepticon.clld.org/parameters/1133,pohoro hi,match (noun)
253-537,yano1262,http://concepticon.clld.org/parameters/10,kõã ãšo,firewood
253-264,yano1262,http://concepticon.clld.org/parameters/1188,õšõhõre,charcoal
253-532,yano1262,http://concepticon.clld.org/parameters/683,yãnõmãmɨ,"person, human being"
253-416,yano1262,http://concepticon.clld.org/parameters/1554,wãrõ,man (vs. woman)
253-667,yano1262,http://concepticon.clld.org/parameters/962,suwə,woman
253-416,yano1262,http://concepticon.clld.org/parameters/2263,wãrõ,male
253-667,yano1262,http://concepticon.clld.org/parameters/2260,suwə,female
253-209,yano1262,http://concepticon.clld.org/parameters/1366,mãrãnãpɨ,boy
253-613,yano1262,http://concepticon.clld.org/parameters/76,huya,young man (adolescent)
253-241,yano1262,http://concepticon.clld.org/parameters/1646,suwə hərɨ,girl
253-282,yano1262,http://concepticon.clld.org/parameters/77,moko,young woman (adolescent)
253-425,yano1262,http://concepticon.clld.org/parameters/1304,ihiru,child
253-198,yano1262,http://concepticon.clld.org/parameters/1289,ihiru oše,"infant, baby"
253-779,yano1262,http://concepticon.clld.org/parameters/1200,heãrõ-yə,husband
253-658,yano1262,http://concepticon.clld.org/parameters/1199,suwə-pɨ-yə,wife
253-508,yano1262,http://concepticon.clld.org/parameters/203,po-u,marry
253-699,yano1262,http://concepticon.clld.org/parameters/1134,hoya-ɨ,divorce
253-145,yano1262,http://concepticon.clld.org/parameters/1217,ha-yə,father
253-315,yano1262,http://concepticon.clld.org/parameters/1216,na-yə,mother
253-711,yano1262,http://concepticon.clld.org/parameters/1620,ihiru-yə,son
253-364,yano1262,http://concepticon.clld.org/parameters/1357,tʰəə-yə,daughter
253-80,yano1262,http://concepticon.clld.org/parameters/1759,ãi-wə,older brother
253-734,yano1262,http://concepticon.clld.org/parameters/1760,oše-yə,younger brother
253-573,yano1262,http://concepticon.clld.org/parameters/1758,ami-yə,older sister
253-734,yano1262,http://concepticon.clld.org/parameters/1761,oše-yə,younger sister
253-80,yano1262,http://concepticon.clld.org/parameters/1383,ãi-wə,grandfather
253-244,yano1262,http://concepticon.clld.org/parameters/406,wãrõ pata,old man
253-814,yano1262,http://concepticon.clld.org/parameters/1496,ami-wə,grandmother
253-517,yano1262,http://concepticon.clld.org/parameters/907,suwə pata,old woman
253-142,yano1262,http://concepticon.clld.org/parameters/1984,šoa-yə,mother's brother
253-145,yano1262,http://concepticon.clld.org/parameters/1985,ha-yə,father's brother
253-315,yano1262,http://concepticon.clld.org/parameters/171,na-yə,mother's sister
253-768,yano1262,http://concepticon.clld.org/parameters/170,yai-yə,father's sister
253-724,yano1262,http://concepticon.clld.org/parameters/1669,no pata-pɨ,ancestors
253-142,yano1262,http://concepticon.clld.org/parameters/2255,šoa-yə,father-in-law (of a man)
253-142,yano1262,http://concepticon.clld.org/parameters/2254,šoa-yə,father-in-law (of a woman)
253-768,yano1262,http://concepticon.clld.org/parameters/2256,yai-yə,mother-in-law (of a man)
253-768,yano1262,http://concepticon.clld.org/parameters/2257,yai-yə,mother-in-law (of a woman)
253-672,yano1262,http://concepticon.clld.org/parameters/2267,hekama-yə,son-in-law (of a man)
253-672,yano1262,http://concepticon.clld.org/parameters/2266,hekama-yə,son-in-law (of a woman)
253-121,yano1262,http://concepticon.clld.org/parameters/2265,tʰatʰə-yə,daughter-in-law (of a man)
253-121,yano1262,http://concepticon.clld.org/parameters/2264,tʰatʰə-yə,daughter-in-law (of a woman)
253-782,yano1262,http://concepticon.clld.org/parameters/1149,wahati,orphan
253-714,yano1262,http://concepticon.clld.org/parameters/1644,maši,"relatives, kinsmen"
253-226,yano1262,http://concepticon.clld.org/parameters/1209,ya,I
253-481,yano1262,http://concepticon.clld.org/parameters/1215,wa,you (singular)
253-185,yano1262,http://concepticon.clld.org/parameters/262,a,he/she/it
253-669,yano1262,http://concepticon.clld.org/parameters/1131,pə-makɨ,we (inclusive)
253-62,yano1262,http://concepticon.clld.org/parameters/1130,ya-makɨ,we (exclusive)
253-527,yano1262,http://concepticon.clld.org/parameters/1213,wa-makɨ,you (plural)
253-718,yano1262,http://concepticon.clld.org/parameters/817,pə,they
253-308,yano1262,http://concepticon.clld.org/parameters/817,tʰə pə,they
253-284,yano1262,http://concepticon.clld.org/parameters/619,yaro,animal
253-416,yano1262,http://concepticon.clld.org/parameters/2261,wãrõ,male (adj)
253-667,yano1262,http://concepticon.clld.org/parameters/2262,suwə,female (adj)
253-575,yano1262,http://concepticon.clld.org/parameters/1007,[paka],cow
253-803,yano1262,http://concepticon.clld.org/parameters/1337,[košino],pig
253-707,yano1262,http://concepticon.clld.org/parameters/265,kakara,fowl
253-707,yano1262,http://concepticon.clld.org/parameters/1514,kakara,hen
253-582,yano1262,http://concepticon.clld.org/parameters/1318,[poyo],chicken
253-421,yano1262,http://concepticon.clld.org/parameters/1360,sapa ũ,duck
253-489,yano1262,http://concepticon.clld.org/parameters/539,pei yapɨkɨ,nest
