ID,Language_ID,Feature_ID,Value,Concept
26-877,avar1256,http://concepticon.clld.org/parameters/901,саманалъул рукъ,adobe
26-14,avar1256,http://concepticon.clld.org/parameters/832,гьоло,bean
26-940,avar1256,http://concepticon.clld.org/parameters/768,—,lunch
26-1170,avar1256,http://concepticon.clld.org/parameters/107,гІаламат,"omen, portent"
26-256,avar1256,http://concepticon.clld.org/parameters/1175,гІуждаллъи,"ghost, phantom"
26-679,avar1256,http://concepticon.clld.org/parameters/1175,цебе тІами,"ghost, phantom"
26-980,avar1256,http://concepticon.clld.org/parameters/2138,хІурулгІин,"fairy, elf"
26-103,avar1256,http://concepticon.clld.org/parameters/2137,хъартай,"sorcerer, witch"
26-953,avar1256,http://concepticon.clld.org/parameters/392,сихІрулъи,"magic, witchcraft, sorcery"
26-239,avar1256,http://concepticon.clld.org/parameters/392,макрулъи,"magic, witchcraft, sorcery"
26-933,avar1256,http://concepticon.clld.org/parameters/1945,хъанч,idol
26-111,avar1256,http://concepticon.clld.org/parameters/1973,сайтІан,demon (evil spirit)
26-1061,avar1256,http://concepticon.clld.org/parameters/1973,илбис,demon (evil spirit)
26-906,avar1256,http://concepticon.clld.org/parameters/878,жужахІ,hell
26-741,avar1256,http://concepticon.clld.org/parameters/1565,алжан,heaven
26-783,avar1256,http://concepticon.clld.org/parameters/303,кІал хьвее,fast (vb)
26-591,avar1256,http://concepticon.clld.org/parameters/8,нагІана кьее,curse
26-1159,avar1256,http://concepticon.clld.org/parameters/391,разилъие,bless
26-863,avar1256,http://concepticon.clld.org/parameters/391,рагІи кьее,bless
26-769,avar1256,http://concepticon.clld.org/parameters/304,вагІза гьабие,preach
26-345,avar1256,http://concepticon.clld.org/parameters/304,вагІза-насихІат гьабие,preach
26-95,avar1256,http://concepticon.clld.org/parameters/1702,илагьия,"holy, sacred"
26-761,avar1256,http://concepticon.clld.org/parameters/852,кашиш,priest
26-474,avar1256,http://concepticon.clld.org/parameters/902,хъахІбалъи,adultery
26-817,avar1256,http://concepticon.clld.org/parameters/845,чІвай,murder
26-323,avar1256,http://concepticon.clld.org/parameters/218,гІарчул гІакІа,fine
26-78,avar1256,http://concepticon.clld.org/parameters/1281,туснахъ,"prison, jail"
26-20,avar1256,http://concepticon.clld.org/parameters/90,мекъа гьечІе,innocent
26-207,avar1256,http://concepticon.clld.org/parameters/390,гІадлу,"penalty, punishment"
26-1186,avar1256,http://concepticon.clld.org/parameters/390,такъсир,"penalty, punishment"
26-356,avar1256,http://concepticon.clld.org/parameters/1682,мекъа,guilty
26-753,avar1256,http://concepticon.clld.org/parameters/988,битІара гьавие,acquit
26-1194,avar1256,http://concepticon.clld.org/parameters/983,мекъа вуге абие,convict (vb)
26-776,avar1256,http://concepticon.clld.org/parameters/983,гІайба вуги абие,convict (vb)
26-771,avar1256,http://concepticon.clld.org/parameters/484,какие,condemn
26-421,avar1256,http://concepticon.clld.org/parameters/1814,гІайб гьабие,accuse
26-92,avar1256,http://concepticon.clld.org/parameters/1939,гьедие,swear
26-778,avar1256,http://concepticon.clld.org/parameters/1712,гьеди,oath
26-793,avar1256,http://concepticon.clld.org/parameters/1034,жавабчи,defendant
26-1052,avar1256,http://concepticon.clld.org/parameters/1144,нугІ,witness
26-43,avar1256,http://concepticon.clld.org/parameters/2020,гІарзачи,plaintiff
26-221,avar1256,http://concepticon.clld.org/parameters/861,судья,judge (noun)
26-189,avar1256,http://concepticon.clld.org/parameters/1067,судалъул къотІи,judgment
26-35,avar1256,http://concepticon.clld.org/parameters/1062,къанон,law
26-491,avar1256,http://concepticon.clld.org/parameters/1062,закон,law
26-1087,avar1256,http://concepticon.clld.org/parameters/1818,суд гьабие,judge (vb)
26-540,avar1256,http://concepticon.clld.org/parameters/1068,суд,court
26-622,avar1256,http://concepticon.clld.org/parameters/1170,хьвее,trap (vb)
26-209,avar1256,http://concepticon.clld.org/parameters/161,гІужда свечІо хутІине,miss (target)
26-87,avar1256,http://concepticon.clld.org/parameters/1172,кьвагьие,shoot
26-139,avar1256,http://concepticon.clld.org/parameters/1075,гьен,trap (noun)
26-940,avar1256,http://concepticon.clld.org/parameters/2013,—,bait
26-655,avar1256,http://concepticon.clld.org/parameters/1435,чантІе ине,hunt
26-139,avar1256,http://concepticon.clld.org/parameters/389,гьен,fish trap
26-601,avar1256,http://concepticon.clld.org/parameters/388,цугІа хьоле сетка,fishnet
26-366,avar1256,http://concepticon.clld.org/parameters/19,леска,fishing line
26-430,avar1256,http://concepticon.clld.org/parameters/1074,шаша,fishhook
26-1046,avar1256,http://concepticon.clld.org/parameters/65,гъорцІел гьабие,ambush
26-219,avar1256,http://concepticon.clld.org/parameters/1858,цугІихъан,fisherman
26-740,avar1256,http://concepticon.clld.org/parameters/1022,давла,"booty, spoils"
26-562,avar1256,http://concepticon.clld.org/parameters/822,кигІан,how many?
26-503,avar1256,http://concepticon.clld.org/parameters/1940,хъараул,"guard, sentinel"
26-439,avar1256,http://concepticon.clld.org/parameters/1459,нагагь,if
26-600,avar1256,http://concepticon.clld.org/parameters/1459,-ни,if
26-276,avar1256,http://concepticon.clld.org/parameters/1157,сай гурени,because
26-113,avar1256,http://concepticon.clld.org/parameters/1268,у,"yes, affirmative"
26-286,avar1256,http://concepticon.clld.org/parameters/1014,яги,or
26-132,avar1256,http://concepticon.clld.org/parameters/1014,ялъуни,or
26-557,avar1256,http://concepticon.clld.org/parameters/1269,гуро,"no, negative"
26-705,avar1256,http://concepticon.clld.org/parameters/1239,кин,how?
26-342,avar1256,http://concepticon.clld.org/parameters/488,къагІида,"way, manner"
26-325,avar1256,http://concepticon.clld.org/parameters/1577,ва,and
26-1193,avar1256,http://concepticon.clld.org/parameters/584,жахІмата,difficult
26-452,avar1256,http://concepticon.clld.org/parameters/1812,хІал бихьие,"try, attempt"
26-145,avar1256,http://concepticon.clld.org/parameters/686,бигьая,easy
26-992,avar1256,http://concepticon.clld.org/parameters/643,къваригІара жо,"need, necessity"
26-509,avar1256,http://concepticon.clld.org/parameters/1902,кьее,betray
26-332,avar1256,http://concepticon.clld.org/parameters/1902,вичие,betray
26-1026,avar1256,http://concepticon.clld.org/parameters/1308,шакдари,doubt
26-258,avar1256,http://concepticon.clld.org/parameters/1841,шакдарие,suspect
26-730,avar1256,http://concepticon.clld.org/parameters/860,сабаб,cause
26-898,avar1256,http://concepticon.clld.org/parameters/860,гІила,cause
26-1142,avar1256,http://concepticon.clld.org/parameters/509,ракІ цІара,"sure, certain"
26-262,avar1256,http://concepticon.clld.org/parameters/1626,бицІи гьабие,explain
26-181,avar1256,http://concepticon.clld.org/parameters/1162,хият,"intention, purpose"
26-185,avar1256,http://concepticon.clld.org/parameters/1162,хиял,"intention, purpose"
26-424,avar1256,http://concepticon.clld.org/parameters/1121,багьголъи,secret
26-966,avar1256,http://concepticon.clld.org/parameters/1523,ракІалдаса ине,forget
26-411,avar1256,http://concepticon.clld.org/parameters/989,бацІада,"clear, plain"
26-492,avar1256,http://concepticon.clld.org/parameters/673,школа,school
