ID,Language_ID,Feature_ID,Value,Concept
260-1401,yagu1244,http://concepticon.clld.org/parameters/1606,wimu,"inside, in"
260-60,yagu1244,http://concepticon.clld.org/parameters/1606,musi,"inside, in"
260-918,yagu1244,http://concepticon.clld.org/parameters/1606,nube,"inside, in"
260-1249,yagu1244,http://concepticon.clld.org/parameters/1882,hũtyahũ,before
260-1349,yagu1244,http://concepticon.clld.org/parameters/1019,hiyada,front
260-145,yagu1244,http://concepticon.clld.org/parameters/1019,mõmu,front
260-1185,yagu1244,http://concepticon.clld.org/parameters/1019,yada,front
260-1396,yagu1244,http://concepticon.clld.org/parameters/1326,-hari,"down, below"
260-1438,yagu1244,http://concepticon.clld.org/parameters/1816,-tunu,beside
260-1439,yagu1244,http://concepticon.clld.org/parameters/723,-hũsi,behind
260-1039,yagu1244,http://concepticon.clld.org/parameters/723,-nihyũ,behind
260-252,yagu1244,http://concepticon.clld.org/parameters/723,-yadasi,behind
260-1259,yagu1244,http://concepticon.clld.org/parameters/1685,riwasi,after
260-444,yagu1244,http://concepticon.clld.org/parameters/1098,hidye,weigh
260-644,yagu1244,http://concepticon.clld.org/parameters/1098,hini,weigh
260-847,yagu1244,http://concepticon.clld.org/parameters/1098,saranu,weigh
260-550,yagu1244,http://concepticon.clld.org/parameters/884,sãy,share (distribute)
260-506,yagu1244,http://concepticon.clld.org/parameters/1887,ne haryi muričewarya,cheap
260-900,yagu1244,http://concepticon.clld.org/parameters/1426,hãmura ra-muričeway,"dear (costly, expensive)"
260-222,yagu1244,http://concepticon.clld.org/parameters/657,muričeway,price
260-1214,yagu1244,http://concepticon.clld.org/parameters/752,[tĩnta],"store, shop"
260-1101,yagu1244,http://concepticon.clld.org/parameters/633,tãryũtyaho,market (place)
260-581,yagu1244,http://concepticon.clld.org/parameters/1082,tãryũtyĩ,merchant
260-846,yagu1244,http://concepticon.clld.org/parameters/1082,[rikyatũ],merchant
260-859,yagu1244,http://concepticon.clld.org/parameters/1571,tãryũtya,sell
260-698,yagu1244,http://concepticon.clld.org/parameters/1869,tãryũy,buy
260-624,yagu1244,http://concepticon.clld.org/parameters/733,[kãnãy],earn
260-38,yagu1244,http://concepticon.clld.org/parameters/1122,[kãnã]čara,wages
260-889,yagu1244,http://concepticon.clld.org/parameters/856,hwatyani,hire
260-600,yagu1244,http://concepticon.clld.org/parameters/1081,[kwenta],"account, reckoning"
260-663,yagu1244,http://concepticon.clld.org/parameters/718,mučenu,pay (vb)
260-1029,yagu1244,http://concepticon.clld.org/parameters/718,muričenu,pay (vb)
260-229,yagu1244,http://concepticon.clld.org/parameters/1914,[diwyi]čara,debt
260-1260,yagu1244,http://concepticon.clld.org/parameters/369,sa- [diwyi],owe
