ID,Language_ID,Feature_ID,Value,Concept
265-129,trin1274,http://concepticon.clld.org/parameters/965,ʔpoɣʔe,world
265-129,trin1274,http://concepticon.clld.org/parameters/626,ʔpoɣʔe,"earth, land"
265-14,trin1274,http://concepticon.clld.org/parameters/1228,'motehi,"earth=ground, soil"
265-14,trin1274,http://concepticon.clld.org/parameters/2,'motehi,dust
265-231,trin1274,http://concepticon.clld.org/parameters/640,'tʸurahi,mud
265-611,trin1274,http://concepticon.clld.org/parameters/671,ta'woparu,sand
265-345,trin1274,http://concepticon.clld.org/parameters/2118,ʔnuɣʔe mari,"mountain, hill"
265-760,trin1274,http://concepticon.clld.org/parameters/618,tačusi,"cliff, precipice"
265-426,trin1274,http://concepticon.clld.org/parameters/652,womʔi,"plain, field"
265-437,trin1274,http://concepticon.clld.org/parameters/622,tʸuupuʔi,island
265-193,trin1274,http://concepticon.clld.org/parameters/113,ta'čočoku,shore
265-464,trin1274,http://concepticon.clld.org/parameters/1155,-peno,cave
265-506,trin1274,http://concepticon.clld.org/parameters/948,une,water
265-257,trin1274,http://concepticon.clld.org/parameters/948,-'une-ra,water
265-629,trin1274,http://concepticon.clld.org/parameters/258,tmotnaʔi,calm (of sea)
265-824,trin1274,http://concepticon.clld.org/parameters/1768,tarissohi,foam
265-160,trin1274,http://concepticon.clld.org/parameters/624,koɣure,lake
265-160,trin1274,http://concepticon.clld.org/parameters/623,koɣure,lagoon
265-312,trin1274,http://concepticon.clld.org/parameters/978,tapkuuʔo,wave
265-96,trin1274,http://concepticon.clld.org/parameters/666,khokre,"river, stream, brook"
265-296,trin1274,http://concepticon.clld.org/parameters/1982,roʔera,whirlpool
265-832,trin1274,http://concepticon.clld.org/parameters/2144,skoku,"spring, well"
265-336,trin1274,http://concepticon.clld.org/parameters/1145,y'momohi,swamp
265-307,trin1274,http://concepticon.clld.org/parameters/420,smeno,"woods, forest"
265-209,trin1274,http://concepticon.clld.org/parameters/906,wkuɣi,tree (cf 08.600)
265-278,trin1274,http://concepticon.clld.org/parameters/906,ykuɣi,tree (cf 08.600)
265-209,trin1274,http://concepticon.clld.org/parameters/1803,wkuɣi,wood
265-278,trin1274,http://concepticon.clld.org/parameters/1803,ykuɣi,wood
265-531,trin1274,http://concepticon.clld.org/parameters/2125,mari,"stone, rock"
265-118,trin1274,http://concepticon.clld.org/parameters/2125,mari-haʔi,"stone, rock"
265-208,trin1274,http://concepticon.clld.org/parameters/6,-yamriko ʔpoɣʔe,earthquake
265-698,trin1274,http://concepticon.clld.org/parameters/1732,anumo,sky
265-722,trin1274,http://concepticon.clld.org/parameters/1343,sače,sun
265-564,trin1274,http://concepticon.clld.org/parameters/1313,kohe,moon
265-474,trin1274,http://concepticon.clld.org/parameters/1430,hreeɣi,star
265-79,trin1274,http://concepticon.clld.org/parameters/1654,emareko,lightning
265-669,trin1274,http://concepticon.clld.org/parameters/1150,-čunnuko,thunder
265-749,trin1274,http://concepticon.clld.org/parameters/2007,-ec̷'čarako,lightning (as striking)
265-501,trin1274,http://concepticon.clld.org/parameters/1733,oʔe,rainbow
265-385,trin1274,http://concepticon.clld.org/parameters/630,-meča,light (noun)
265-549,trin1274,http://concepticon.clld.org/parameters/630,-mikʔu,light (noun)
265-571,trin1274,http://concepticon.clld.org/parameters/11,-mopku,darkness
265-514,trin1274,http://concepticon.clld.org/parameters/11,ta'mopkuwo,darkness
265-544,trin1274,http://concepticon.clld.org/parameters/1388,tkawi,"shade, shadow"
265-342,trin1274,http://concepticon.clld.org/parameters/1977,ʔyoru,dew
265-188,trin1274,http://concepticon.clld.org/parameters/960,tektikwo,wind
265-372,trin1274,http://concepticon.clld.org/parameters/1489,'ukohi,cloud
265-342,trin1274,http://concepticon.clld.org/parameters/249,ʔyoru,fog
265-486,trin1274,http://concepticon.clld.org/parameters/658,tɣiwo,rain (noun)
265-778,trin1274,http://concepticon.clld.org/parameters/221,yuku,fire
265-434,trin1274,http://concepticon.clld.org/parameters/221,-yukne,fire
265-543,trin1274,http://concepticon.clld.org/parameters/889,-nene-yuku,flame (noun)
265-113,trin1274,http://concepticon.clld.org/parameters/778,'ɣhorepa,smoke (noun)
265-495,trin1274,http://concepticon.clld.org/parameters/778,'ɣhore,smoke (noun)
