ID,Language_ID,Feature_ID,Value,Concept
268-110,yavi1244,http://concepticon.clld.org/parameters/965,eɲahiľ̥i,world
268-158,yavi1244,http://concepticon.clld.org/parameters/626,ka'hac̷i,"earth, land"
268-408,yavi1244,http://concepticon.clld.org/parameters/2,ha'ľic̷i,dust
268-133,yavi1244,http://concepticon.clld.org/parameters/640,yaini,mud
268-119,yavi1244,http://concepticon.clld.org/parameters/671,ka'hac̷i-na,sand
268-113,yavi1244,http://concepticon.clld.org/parameters/2118,yaha,"mountain, hill"
268-492,yavi1244,http://concepticon.clld.org/parameters/618,ewi,"cliff, precipice"
268-49,yavi1244,http://concepticon.clld.org/parameters/652,ma'tehuľi,"plain, field"
268-501,yavi1244,http://concepticon.clld.org/parameters/622,ka'dunuľi,island
268-233,yavi1244,http://concepticon.clld.org/parameters/1155,ha'niľ̥i,cave
268-209,yavi1244,http://concepticon.clld.org/parameters/948,weni,water
268-618,yavi1244,http://concepticon.clld.org/parameters/1768,kawi,foam
268-246,yavi1244,http://concepticon.clld.org/parameters/978,si'ľuľitami,wave
268-209,yavi1244,http://concepticon.clld.org/parameters/666,weni,"river, stream, brook"
268-246,yavi1244,http://concepticon.clld.org/parameters/1982,si'ľuľitami,whirlpool
268-518,yavi1244,http://concepticon.clld.org/parameters/2144,[poso],"spring, well"
268-671,yavi1244,http://concepticon.clld.org/parameters/943,numa-kade weni,waterfall
268-105,yavi1244,http://concepticon.clld.org/parameters/420,awac̷i,"woods, forest"
268-254,yavi1244,http://concepticon.clld.org/parameters/906,ata,tree (cf 08.600)
268-254,yavi1244,http://concepticon.clld.org/parameters/1803,ata,wood
268-290,yavi1244,http://concepticon.clld.org/parameters/2125,siha,"stone, rock"
268-143,yavi1244,http://concepticon.clld.org/parameters/1732,enu,sky
268-107,yavi1244,http://concepticon.clld.org/parameters/1343,ka'muľ̥i,sun
268-222,yavi1244,http://concepticon.clld.org/parameters/1313,keľi,moon
268-411,yavi1244,http://concepticon.clld.org/parameters/1430,wiwinaľi,star
268-629,yavi1244,http://concepticon.clld.org/parameters/1150,iye enu,thunder
268-629,yavi1244,http://concepticon.clld.org/parameters/2007,iye enu,lightning (as striking)
268-470,yavi1244,http://concepticon.clld.org/parameters/1733,be'ľ̥uľi,rainbow
268-207,yavi1244,http://concepticon.clld.org/parameters/630,kamunaha-l̥i,light (noun)
268-535,yavi1244,http://concepticon.clld.org/parameters/11,ma'ľ̥ete-hi,darkness
268-338,yavi1244,http://concepticon.clld.org/parameters/1388,nekami,"shade, shadow"
268-584,yavi1244,http://concepticon.clld.org/parameters/1977,[se'renu],dew
268-123,yavi1244,http://concepticon.clld.org/parameters/27,u'wic̷i,air
268-123,yavi1244,http://concepticon.clld.org/parameters/960,u'wic̷i,wind
268-637,yavi1244,http://concepticon.clld.org/parameters/1489,ľ̥i'aľi-ľi enu,cloud
268-151,yavi1244,http://concepticon.clld.org/parameters/658,hawa,rain (noun)
268-110,yavi1244,http://concepticon.clld.org/parameters/952,eɲahiľ̥i,weather
268-393,yavi1244,http://concepticon.clld.org/parameters/221,kaľ̥i,fire
268-458,yavi1244,http://concepticon.clld.org/parameters/778,ľ̥i'aľi,smoke (noun)
268-42,yavi1244,http://concepticon.clld.org/parameters/778,ľ̥i'aľiľi,smoke (noun)
268-408,yavi1244,http://concepticon.clld.org/parameters/646,ha'ľic̷i,ashes
268-462,yavi1244,http://concepticon.clld.org/parameters/67,kaľ̥i-huľisi,embers
268-461,yavi1244,http://concepticon.clld.org/parameters/141,kaha,burn (vb trans)
268-317,yavi1244,http://concepticon.clld.org/parameters/1428,hukua,burn (vb intrans)
268-576,yavi1244,http://concepticon.clld.org/parameters/737,yuteta,"light, kindle, ignite"
268-204,yavi1244,http://concepticon.clld.org/parameters/127,mawata,extinguish
268-555,yavi1244,http://concepticon.clld.org/parameters/1133,[huharu],match (noun)
268-393,yavi1244,http://concepticon.clld.org/parameters/10,kaľ̥i,firewood
268-410,yavi1244,http://concepticon.clld.org/parameters/1188,ľ̥e'remaľi,charcoal
268-612,yavi1244,http://concepticon.clld.org/parameters/683,ka'mewa,"person, human being"
268-310,yavi1244,http://concepticon.clld.org/parameters/1554,enami,man (vs. woman)
268-82,yavi1244,http://concepticon.clld.org/parameters/962,ľ̥a'ľinemi,woman
268-46,yavi1244,http://concepticon.clld.org/parameters/2263,yuwi-naha,male
268-526,yavi1244,http://concepticon.clld.org/parameters/2260,yuwi-si,female
268-363,yavi1244,http://concepticon.clld.org/parameters/1366,maľ̥iani,boy
268-363,yavi1244,http://concepticon.clld.org/parameters/76,maľ̥iani,young man (adolescent)
268-252,yavi1244,http://concepticon.clld.org/parameters/1304,ľ̥ihani,child
268-104,yavi1244,http://concepticon.clld.org/parameters/1289,ke'taľ̥i,"infant, baby"
268-473,yavi1244,http://concepticon.clld.org/parameters/1200,tani,husband
268-342,yavi1244,http://concepticon.clld.org/parameters/1199,hiľ̥u,wife
268-90,yavi1244,http://concepticon.clld.org/parameters/203,[kac̷a],marry
268-266,yavi1244,http://concepticon.clld.org/parameters/1217,ihi,father
268-467,yavi1244,http://concepticon.clld.org/parameters/1216,iľ̥uami,mother
268-663,yavi1244,http://concepticon.clld.org/parameters/505,siwani,parents
268-322,yavi1244,http://concepticon.clld.org/parameters/424,ka-'hiľ̥u-daľu,married man
268-574,yavi1244,http://concepticon.clld.org/parameters/426,ka-'tani-daľu,married woman
268-531,yavi1244,http://concepticon.clld.org/parameters/1620,tain-tani,son
268-339,yavi1244,http://concepticon.clld.org/parameters/1357,tanimi,daughter
268-21,yavi1244,http://concepticon.clld.org/parameters/1262,ic̷i-naha,brother
268-624,yavi1244,http://concepticon.clld.org/parameters/1263,ľ̥inia-naha,sister
268-203,yavi1244,http://concepticon.clld.org/parameters/1640,dede,sibling
268-674,yavi1244,http://concepticon.clld.org/parameters/1383,tusimi,grandfather
268-129,yavi1244,http://concepticon.clld.org/parameters/406,katene-humi,old man
268-64,yavi1244,http://concepticon.clld.org/parameters/1496,siyumi,grandmother
268-523,yavi1244,http://concepticon.clld.org/parameters/907,katia-humi,old woman
268-421,yavi1244,http://concepticon.clld.org/parameters/1327,iku,uncle
268-10,yavi1244,http://concepticon.clld.org/parameters/1272,ľ̥uteya,aunt
268-631,yavi1244,http://concepticon.clld.org/parameters/1063,tanihinaľi,nephew
268-631,yavi1244,http://concepticon.clld.org/parameters/1642,tanihinaľi,niece
268-311,yavi1244,http://concepticon.clld.org/parameters/1643,[prima,cousin
268-420,yavi1244,http://concepticon.clld.org/parameters/1643,primu],cousin
268-416,yavi1244,http://concepticon.clld.org/parameters/2255,matusi,father-in-law (of a man)
268-416,yavi1244,http://concepticon.clld.org/parameters/2254,matusi,father-in-law (of a woman)
268-557,yavi1244,http://concepticon.clld.org/parameters/2256,masiu,mother-in-law (of a man)
268-557,yavi1244,http://concepticon.clld.org/parameters/2257,masiu,mother-in-law (of a woman)
268-345,yavi1244,http://concepticon.clld.org/parameters/2267,yanihi,son-in-law (of a man)
268-370,yavi1244,http://concepticon.clld.org/parameters/2265,yanihi-ľ̥u,daughter-in-law (of a man)
268-385,yavi1244,http://concepticon.clld.org/parameters/1059,tawinakuľe,stepson
268-676,yavi1244,http://concepticon.clld.org/parameters/1644,haľ̥uhemi,"relatives, kinsmen"
268-676,yavi1244,http://concepticon.clld.org/parameters/194,haľ̥uhemi,family
268-616,yavi1244,http://concepticon.clld.org/parameters/1209,nuya-ha,I
268-238,yavi1244,http://concepticon.clld.org/parameters/1215,hiya-ha,you (singular)
268-175,yavi1244,http://concepticon.clld.org/parameters/262,ani-hi,he/she/it
268-37,yavi1244,http://concepticon.clld.org/parameters/1212,waya-ha,we
268-365,yavi1244,http://concepticon.clld.org/parameters/1213,niya-ha,you (plural)
268-652,yavi1244,http://concepticon.clld.org/parameters/817,anini,they
268-561,yavi1244,http://concepticon.clld.org/parameters/619,niľ̥i,animal
268-540,yavi1244,http://concepticon.clld.org/parameters/649,yewaľi,pasture
268-381,yavi1244,http://concepticon.clld.org/parameters/1153,[baka],cattle (bovine)
268-639,yavi1244,http://concepticon.clld.org/parameters/1008,[toro,bull
268-8,yavi1244,http://concepticon.clld.org/parameters/1008,turu],bull
268-381,yavi1244,http://concepticon.clld.org/parameters/1007,[baka],cow
268-666,yavi1244,http://concepticon.clld.org/parameters/1989,[baka-sani],calf
268-439,yavi1244,http://concepticon.clld.org/parameters/1337,[kuc̷i],pig
268-344,yavi1244,http://concepticon.clld.org/parameters/615,[ka'wayu],horse (equine)
268-52,yavi1244,http://concepticon.clld.org/parameters/1862,[bur̃u],"ass, donkey"
268-554,yavi1244,http://concepticon.clld.org/parameters/890,[muľa],mule
268-259,yavi1244,http://concepticon.clld.org/parameters/1511,ku'ame,"cock, rooster"
268-259,yavi1244,http://concepticon.clld.org/parameters/1514,ku'ame,hen
268-495,yavi1244,http://concepticon.clld.org/parameters/1318,ku'ame-sani,chicken
268-182,yavi1244,http://concepticon.clld.org/parameters/1360,[patu],duck
