ID,Language_ID,Feature_ID,Value,Concept
270-252,chip1262,http://concepticon.clld.org/parameters/626,yoḳa,"earth, land"
270-252,chip1262,http://concepticon.clld.org/parameters/1228,yoḳa,"earth=ground, soil"
270-486,chip1262,http://concepticon.clld.org/parameters/2,ṣ̌ḳeti,dust
270-602,chip1262,http://concepticon.clld.org/parameters/640,lxoki,mud
270-886,chip1262,http://concepticon.clld.org/parameters/671,pʰila,sand
270-224,chip1262,http://concepticon.clld.org/parameters/2118,kuru,"mountain, hill"
270-310,chip1262,http://concepticon.clld.org/parameters/652,šḳala,"plain, field"
270-264,chip1262,http://concepticon.clld.org/parameters/948,ḳʰaš,water
270-514,chip1262,http://concepticon.clld.org/parameters/258,šexḳ-,calm (of sea)
270-207,chip1262,http://concepticon.clld.org/parameters/1768,č̣ˀutu,foam
270-479,chip1262,http://concepticon.clld.org/parameters/624,x̣oči,lake
270-393,chip1262,http://concepticon.clld.org/parameters/978,lxoḳxi,wave
270-484,chip1262,http://concepticon.clld.org/parameters/666,puxu,"river, stream, brook"
270-416,chip1262,http://concepticon.clld.org/parameters/2144,pʰoma,"spring, well"
270-542,chip1262,http://concepticon.clld.org/parameters/2144,tux,"spring, well"
270-240,chip1262,http://concepticon.clld.org/parameters/420,munti-naka,"woods, forest"
270-511,chip1262,http://concepticon.clld.org/parameters/906,munti,tree (cf 08.600)
270-374,chip1262,http://concepticon.clld.org/parameters/1803,para,wood
270-118,chip1262,http://concepticon.clld.org/parameters/2125,č̣ara,"stone, rock"
270-519,chip1262,http://concepticon.clld.org/parameters/2125,maš,"stone, rock"
270-188,chip1262,http://concepticon.clld.org/parameters/1732,arax̣pača,sky
270-44,chip1262,http://concepticon.clld.org/parameters/1732,pača (?),sky
270-434,chip1262,http://concepticon.clld.org/parameters/1343,tʰuɲi,sun
270-104,chip1262,http://concepticon.clld.org/parameters/1313,xiiš,moon
270-911,chip1262,http://concepticon.clld.org/parameters/1430,wara-wara,star
270-543,chip1262,http://concepticon.clld.org/parameters/1654,lʸiwx lʸiwxɲi,lightning
270-762,chip1262,http://concepticon.clld.org/parameters/1150,xorxorɲi,thunder
270-43,chip1262,http://concepticon.clld.org/parameters/858,pʰursanti tʰami,storm
270-603,chip1262,http://concepticon.clld.org/parameters/1733,kumari,rainbow
270-906,chip1262,http://concepticon.clld.org/parameters/630,kx̣ana,light (noun)
270-731,chip1262,http://concepticon.clld.org/parameters/11,ṣumči,darkness
270-467,chip1262,http://concepticon.clld.org/parameters/1388,šiwš,"shade, shadow"
270-736,chip1262,http://concepticon.clld.org/parameters/1977,pʰewi,dew
270-287,chip1262,http://concepticon.clld.org/parameters/27,kera,air
270-816,chip1262,http://concepticon.clld.org/parameters/960,tʰami,wind
270-821,chip1262,http://concepticon.clld.org/parameters/1489,c̷xiri,cloud
270-857,chip1262,http://concepticon.clld.org/parameters/658,čixɲi,rain (noun)
270-228,chip1262,http://concepticon.clld.org/parameters/784,ḳʰatɲi,snow (noun)
270-436,chip1262,http://concepticon.clld.org/parameters/617,uyi,ice
270-836,chip1262,http://concepticon.clld.org/parameters/221,ux,fire
270-486,chip1262,http://concepticon.clld.org/parameters/778,ṣ̌ḳeti,smoke (noun)
270-612,chip1262,http://concepticon.clld.org/parameters/646,ḳʰup,ashes
270-101,chip1262,http://concepticon.clld.org/parameters/67,ux parasa,embers
270-180,chip1262,http://concepticon.clld.org/parameters/141,tan-ḳat-,burn (vb trans)
270-186,chip1262,http://concepticon.clld.org/parameters/141,tʰap-š,burn (vb trans)
270-186,chip1262,http://concepticon.clld.org/parameters/1428,tʰap-š,burn (vb intrans)
270-907,chip1262,http://concepticon.clld.org/parameters/737,pek-š,"light, kindle, ignite"
270-624,chip1262,http://concepticon.clld.org/parameters/737,ux peḳ-š,"light, kindle, ignite"
270-525,chip1262,http://concepticon.clld.org/parameters/10,ṣ̌up,firewood
270-47,chip1262,http://concepticon.clld.org/parameters/683,ṣ̌oɲi,"person, human being"
270-92,chip1262,http://concepticon.clld.org/parameters/1554,luktaḳa,man (vs. woman)
270-47,chip1262,http://concepticon.clld.org/parameters/1554,ṣ̌oɲi,man (vs. woman)
270-597,chip1262,http://concepticon.clld.org/parameters/962,maataḳa,woman
270-898,chip1262,http://concepticon.clld.org/parameters/962,ṣ̌on,woman
270-255,chip1262,http://concepticon.clld.org/parameters/2263,ker-,male
270-278,chip1262,http://concepticon.clld.org/parameters/2263,keru,male
270-373,chip1262,http://concepticon.clld.org/parameters/2260,lxata,female
270-357,chip1262,http://concepticon.clld.org/parameters/1366,lukmaxč,boy
270-246,chip1262,http://concepticon.clld.org/parameters/76,pˀišu,young man (adolescent)
270-267,chip1262,http://concepticon.clld.org/parameters/1646,uš,girl
270-361,chip1262,http://concepticon.clld.org/parameters/77,pˀiš,young woman (adolescent)
270-547,chip1262,http://concepticon.clld.org/parameters/77,tur,young woman (adolescent)
270-345,chip1262,http://concepticon.clld.org/parameters/77,tura,young woman (adolescent)
270-357,chip1262,http://concepticon.clld.org/parameters/1304,lukmaxč,child
270-229,chip1262,http://concepticon.clld.org/parameters/1289,čula,"infant, baby"
270-490,chip1262,http://concepticon.clld.org/parameters/1200,luko,husband
270-92,chip1262,http://concepticon.clld.org/parameters/1200,luktaḳa,husband
270-138,chip1262,http://concepticon.clld.org/parameters/1199,tʰun,wife
270-496,chip1262,http://concepticon.clld.org/parameters/203,šal-š,marry
270-406,chip1262,http://concepticon.clld.org/parameters/1259,šalš pʰixšta,"marriage, wedding"
270-462,chip1262,http://concepticon.clld.org/parameters/1134,xalxtaš,divorce
270-454,chip1262,http://concepticon.clld.org/parameters/1217,exp,father
270-368,chip1262,http://concepticon.clld.org/parameters/1216,mama,mother
270-208,chip1262,http://concepticon.clld.org/parameters/1216,maa,mother
270-365,chip1262,http://concepticon.clld.org/parameters/505,maa-exp,parents
270-92,chip1262,http://concepticon.clld.org/parameters/424,luktaḳa,married man
270-138,chip1262,http://concepticon.clld.org/parameters/426,tʰun,married woman
270-849,chip1262,http://concepticon.clld.org/parameters/1620,maxč,son
270-420,chip1262,http://concepticon.clld.org/parameters/1357,maxt,daughter
270-314,chip1262,http://concepticon.clld.org/parameters/1801,mati,offspring (son or daughter)
270-363,chip1262,http://concepticon.clld.org/parameters/1262,xila,brother
270-363,chip1262,http://concepticon.clld.org/parameters/1759,xila,older brother
270-131,chip1262,http://concepticon.clld.org/parameters/1760,laxk,younger brother
270-712,chip1262,http://concepticon.clld.org/parameters/1263,kulʸaka,sister
270-131,chip1262,http://concepticon.clld.org/parameters/1761,laxk,younger sister
270-133,chip1262,http://concepticon.clld.org/parameters/1005,pača,twins
270-826,chip1262,http://concepticon.clld.org/parameters/1383,matɲilʸa,grandfather
270-359,chip1262,http://concepticon.clld.org/parameters/406,čawk-,old man
270-674,chip1262,http://concepticon.clld.org/parameters/406,čawkʷa,old man
270-309,chip1262,http://concepticon.clld.org/parameters/1496,matilʸa,grandmother
270-674,chip1262,http://concepticon.clld.org/parameters/907,čawkʷa,old woman
270-309,chip1262,http://concepticon.clld.org/parameters/907,matilʸa,old woman
270-256,chip1262,http://concepticon.clld.org/parameters/1327,tulu,uncle
270-589,chip1262,http://concepticon.clld.org/parameters/1272,ipala,aunt
270-271,chip1262,http://concepticon.clld.org/parameters/1272,upli,aunt
270-700,chip1262,http://concepticon.clld.org/parameters/1272,malaḳa,aunt
270-112,chip1262,http://concepticon.clld.org/parameters/2255,axmuš exp,father-in-law (of a man)
270-509,chip1262,http://concepticon.clld.org/parameters/2254,ḳʰiɲi,father-in-law (of a woman)
270-226,chip1262,http://concepticon.clld.org/parameters/2256,axmuš maa,mother-in-law (of a man)
270-915,chip1262,http://concepticon.clld.org/parameters/2267,waši,son-in-law (of a man)
270-317,chip1262,http://concepticon.clld.org/parameters/237,wiri exp,stepfather
270-319,chip1262,http://concepticon.clld.org/parameters/236,wiri maa,stepmother
270-347,chip1262,http://concepticon.clld.org/parameters/1149,axara,orphan
270-151,chip1262,http://concepticon.clld.org/parameters/1756,ṣ̌ew,widow
270-609,chip1262,http://concepticon.clld.org/parameters/1981,ṣ̌ewa,widower
270-167,chip1262,http://concepticon.clld.org/parameters/1644,[parinti],"relatives, kinsmen"
