ID,Language_ID,Feature_ID,Value,Concept
272-653,arao1248,http://concepticon.clld.org/parameters/965,ewa,world
272-427,arao1248,http://concepticon.clld.org/parameters/965,eowa,world
272-653,arao1248,http://concepticon.clld.org/parameters/626,ewa,"earth, land"
272-427,arao1248,http://concepticon.clld.org/parameters/626,eowa,"earth, land"
272-367,arao1248,http://concepticon.clld.org/parameters/1228,mezizo,"earth=ground, soil"
272-288,arao1248,http://concepticon.clld.org/parameters/2,poc̷ac̷a-i,dust
272-402,arao1248,http://concepticon.clld.org/parameters/640,a-bela-bela,mud
272-367,arao1248,http://concepticon.clld.org/parameters/671,mezizo,sand
272-65,arao1248,http://concepticon.clld.org/parameters/2118,ewašokʷe,"mountain, hill"
272-357,arao1248,http://concepticon.clld.org/parameters/618,pilika,"cliff, precipice"
272-218,arao1248,http://concepticon.clld.org/parameters/652,zei,"plain, field"
272-761,arao1248,http://concepticon.clld.org/parameters/652,paša,"plain, field"
272-80,arao1248,http://concepticon.clld.org/parameters/622,piwiwineti,island
272-776,arao1248,http://concepticon.clld.org/parameters/113,patatahapo,shore
272-500,arao1248,http://concepticon.clld.org/parameters/1155,talale,cave
272-509,arao1248,http://concepticon.clld.org/parameters/1155,lala,cave
272-883,arao1248,http://concepticon.clld.org/parameters/948,e-na,water
272-430,arao1248,http://concepticon.clld.org/parameters/948,eowi,water
272-918,arao1248,http://concepticon.clld.org/parameters/1474,c̷eiɲena,sea
272-659,arao1248,http://concepticon.clld.org/parameters/259,c̷oma,rough (of sea)
272-684,arao1248,http://concepticon.clld.org/parameters/1768,moba,foam
272-520,arao1248,http://concepticon.clld.org/parameters/624,bai,lake
272-872,arao1248,http://concepticon.clld.org/parameters/623,wac̷a,lagoon
272-845,arao1248,http://concepticon.clld.org/parameters/666,šašo-kʷe,"river, stream, brook"
272-573,arao1248,http://concepticon.clld.org/parameters/666,mano,"river, stream, brook"
272-178,arao1248,http://concepticon.clld.org/parameters/2144,sipia,"spring, well"
272-222,arao1248,http://concepticon.clld.org/parameters/1145,waza-waza,swamp
272-135,arao1248,http://concepticon.clld.org/parameters/420,eiye,"woods, forest"
272-11,arao1248,http://concepticon.clld.org/parameters/906,akʷi,tree (cf 08.600)
272-936,arao1248,http://concepticon.clld.org/parameters/1803,amaha,wood
272-51,arao1248,http://concepticon.clld.org/parameters/2125,mahana,"stone, rock"
272-333,arao1248,http://concepticon.clld.org/parameters/1732,baepa,sky
272-583,arao1248,http://concepticon.clld.org/parameters/1343,zeti,sun
272-448,arao1248,http://concepticon.clld.org/parameters/1313,badi,moon
272-451,arao1248,http://concepticon.clld.org/parameters/1654,popa,lightning
272-841,arao1248,http://concepticon.clld.org/parameters/1150,tili-tili,thunder
272-451,arao1248,http://concepticon.clld.org/parameters/2007,popa,lightning (as striking)
272-388,arao1248,http://concepticon.clld.org/parameters/1733,walibao,rainbow
272-55,arao1248,http://concepticon.clld.org/parameters/630,ode,light (noun)
