ID,Language_ID,Feature_ID,Value,Concept
276-532,taca1256,http://concepticon.clld.org/parameters/965,yawa,world
276-549,taca1256,http://concepticon.clld.org/parameters/626,meď̶i,"earth, land"
276-532,taca1256,http://concepticon.clld.org/parameters/626,yawa,"earth, land"
276-321,taca1256,http://concepticon.clld.org/parameters/2,epamo,dust
276-788,taca1256,http://concepticon.clld.org/parameters/640,hočo-hočo,mud
276-99,taca1256,http://concepticon.clld.org/parameters/671,hoto-hoto,sand
276-1066,taca1256,http://concepticon.clld.org/parameters/2118,e-mata,"mountain, hill"
276-451,taca1256,http://concepticon.clld.org/parameters/2118,moroko,"mountain, hill"
276-1023,taca1256,http://concepticon.clld.org/parameters/618,ekewiwi,"cliff, precipice"
276-694,taca1256,http://concepticon.clld.org/parameters/652,yac̷i,"plain, field"
276-911,taca1256,http://concepticon.clld.org/parameters/652,ď̶ei,"plain, field"
276-603,taca1256,http://concepticon.clld.org/parameters/622,eðapopo,island
276-1061,taca1256,http://concepticon.clld.org/parameters/113,ekeke,shore
276-928,taca1256,http://concepticon.clld.org/parameters/1155,rara,cave
276-526,taca1256,http://concepticon.clld.org/parameters/948,yawi,water
276-932,taca1256,http://concepticon.clld.org/parameters/258,yawi emic̷ineti,calm (of sea)
276-334,taca1256,http://concepticon.clld.org/parameters/1768,e-hoba,foam
276-621,taca1256,http://concepticon.clld.org/parameters/624,bai,lake
276-580,taca1256,http://concepticon.clld.org/parameters/623,bai pača,lagoon
276-1016,taca1256,http://concepticon.clld.org/parameters/623,wac̷a,lagoon
276-94,taca1256,http://concepticon.clld.org/parameters/1662,ena wibo,"headland, point"
276-486,taca1256,http://concepticon.clld.org/parameters/978,moko-moko-,wave
276-215,taca1256,http://concepticon.clld.org/parameters/666,ena,"river, stream, brook"
276-243,taca1256,http://concepticon.clld.org/parameters/666,ena-baki,"river, stream, brook"
276-166,taca1256,http://concepticon.clld.org/parameters/1982,kʷaroro-,whirlpool
