ID,Language_ID,Feature_ID,Value,Concept
280-44,paca1246,http://concepticon.clld.org/parameters/1181,'koti,palm tree
280-38,paca1246,http://concepticon.clld.org/parameters/906,'hiwi,tree
280-19,paca1246,http://concepticon.clld.org/parameters/239,'hoa,flower
280-48,paca1246,http://concepticon.clld.org/parameters/239,řeṣ̌'pana,flower
280-27,paca1246,http://concepticon.clld.org/parameters/628,'pɨʔi,leaf
280-73,paca1246,http://concepticon.clld.org/parameters/670,ta'pono,root
280-26,paca1246,http://concepticon.clld.org/parameters/506,'ṣ̌ɨki,"maize, corn"
280-42,paca1246,http://concepticon.clld.org/parameters/212,'wai,field (for cultivation)
280-92,paca1246,http://concepticon.clld.org/parameters/1252,'ṣ̌owo,house
280-41,paca1246,http://concepticon.clld.org/parameters/1860,'kisi,bead
280-62,paca1246,http://concepticon.clld.org/parameters/1850,waṣ̌'mɨna,cotton
280-30,paca1246,http://concepticon.clld.org/parameters/744,'wači,egg
280-35,paca1246,http://concepticon.clld.org/parameters/1507,'kɨo,fruit
280-46,paca1246,http://concepticon.clld.org/parameters/1594,'moto,"meal, flour"
280-11,paca1246,http://concepticon.clld.org/parameters/1533,paṣ̌na'hai,hunger
280-14,paca1246,http://concepticon.clld.org/parameters/1224,'taka,liver
280-57,paca1246,http://concepticon.clld.org/parameters/688,'taṣ̌a,lung
280-13,paca1246,http://concepticon.clld.org/parameters/1223,howi'ti,heart
280-47,paca1246,http://concepticon.clld.org/parameters/1301,'taʔɨ,foot
280-53,paca1246,http://concepticon.clld.org/parameters/1297,'wiko,leg
280-43,paca1246,http://concepticon.clld.org/parameters/1277,mɨ'kɨna,hand
280-72,paca1246,http://concepticon.clld.org/parameters/1673,po'yana,arm
280-20,paca1246,http://concepticon.clld.org/parameters/1380,'ṣ̌ɨna,tooth
280-58,paca1246,http://concepticon.clld.org/parameters/1205,'hana,tongue
280-10,paca1246,http://concepticon.clld.org/parameters/674,kɨ'wɨči,mouth
280-93,paca1246,http://concepticon.clld.org/parameters/1221,řɨ'kina,nose
280-83,paca1246,http://concepticon.clld.org/parameters/1247,'paʔoki,ear
280-37,paca1246,http://concepticon.clld.org/parameters/1248,'wɨřo,eye
280-89,paca1246,http://concepticon.clld.org/parameters/1730,'tamo,cheek
280-51,paca1246,http://concepticon.clld.org/parameters/1256,'mapo,head
280-23,paca1246,http://concepticon.clld.org/parameters/1394,'ṣ̌ao,bone
280-55,paca1246,http://concepticon.clld.org/parameters/946,'himi,blood
280-76,paca1246,http://concepticon.clld.org/parameters/678,'kɨni,beard
280-61,paca1246,http://concepticon.clld.org/parameters/1040,'woo,hair (head)
280-71,paca1246,http://concepticon.clld.org/parameters/763,'wiči,"skin, hide"
280-52,paca1246,http://concepticon.clld.org/parameters/112,'ṣ̌awɨ,turtle
280-36,paca1246,http://concepticon.clld.org/parameters/503,wɨṣ̌ko,frog
280-31,paca1246,http://concepticon.clld.org/parameters/1509,'wii,mosquito
280-69,paca1246,http://concepticon.clld.org/parameters/95,'šio,"sandfly (midge), gnat"
280-21,paca1246,http://concepticon.clld.org/parameters/95,'čio,"sandfly (midge), gnat"
280-39,paca1246,http://concepticon.clld.org/parameters/1517,'wina,wasp
280-5,paca1246,http://concepticon.clld.org/parameters/620,wɨ'oso,insect
280-86,paca1246,http://concepticon.clld.org/parameters/1936,'čaṣ̌o,deer
280-74,paca1246,http://concepticon.clld.org/parameters/227,sa'nino,fish
280-4,paca1246,http://concepticon.clld.org/parameters/227,'woɨ,fish
280-7,paca1246,http://concepticon.clld.org/parameters/735,'popo,owl
280-32,paca1246,http://concepticon.clld.org/parameters/882,'wawa,parrot
280-84,paca1246,http://concepticon.clld.org/parameters/1185,po'iko,vulture
