ID,Language_ID,Feature_ID,Value,Concept
283-922,cayu1262,http://concepticon.clld.org/parameters/965,datɨ,world
283-404,cayu1262,http://concepticon.clld.org/parameters/626,tati,"earth, land"
283-835,cayu1262,http://concepticon.clld.org/parameters/640,pɔne,mud
283-736,cayu1262,http://concepticon.clld.org/parameters/640,poone,mud
283-704,cayu1262,http://concepticon.clld.org/parameters/671,ripu,sand
283-503,cayu1262,http://concepticon.clld.org/parameters/2118,rɔ'retui,"mountain, hill"
283-209,cayu1262,http://concepticon.clld.org/parameters/622,ǰuke,island
283-607,cayu1262,http://concepticon.clld.org/parameters/113,rabɨbɨrɨ,shore
283-27,cayu1262,http://concepticon.clld.org/parameters/948,ta,water
283-517,cayu1262,http://concepticon.clld.org/parameters/948,kita,water
283-309,cayu1262,http://concepticon.clld.org/parameters/948,dabe,water
283-630,cayu1262,http://concepticon.clld.org/parameters/1768,bɔ,foam
283-391,cayu1262,http://concepticon.clld.org/parameters/624,kuri ~ kui,lake
283-467,cayu1262,http://concepticon.clld.org/parameters/624,ki-kuri,lake
283-367,cayu1262,http://concepticon.clld.org/parameters/623,rĩnũrũ,lagoon
283-313,cayu1262,http://concepticon.clld.org/parameters/666,ɲera'barike ~ ɲera'baike,"river, stream, brook"
283-527,cayu1262,http://concepticon.clld.org/parameters/1982,'dačuču,whirlpool
283-42,cayu1262,http://concepticon.clld.org/parameters/1982,ra'čokimi,whirlpool
283-199,cayu1262,http://concepticon.clld.org/parameters/1145,rinɨ̃rɨ̃ ~ rĩnɨ̃rɨ̃,swamp
283-333,cayu1262,http://concepticon.clld.org/parameters/1145,hɔ'hɔbæ,swamp
283-958,cayu1262,http://concepticon.clld.org/parameters/420,'pipɨdɨ,"woods, forest"
283-291,cayu1262,http://concepticon.clld.org/parameters/420,ɲæ'ra-nãre,"woods, forest"
283-73,cayu1262,http://concepticon.clld.org/parameters/906,'naare ~ nãræ̃ ~ naræ,tree (cf 08.600)
283-870,cayu1262,http://concepticon.clld.org/parameters/1803,'naare ~ nãræ ~ nare,wood
283-325,cayu1262,http://concepticon.clld.org/parameters/2125,'yaroho,"stone, rock"
283-32,cayu1262,http://concepticon.clld.org/parameters/1732,daɨ,sky
283-714,cayu1262,http://concepticon.clld.org/parameters/1343,maka,sun
283-841,cayu1262,http://concepticon.clld.org/parameters/1313,'rããre ~ rãrẽ,moon
283-912,cayu1262,http://concepticon.clld.org/parameters/1430,rawaβa,star
283-40,cayu1262,http://concepticon.clld.org/parameters/1430,ra'uβaβa,star
283-13,cayu1262,http://concepticon.clld.org/parameters/1654,irihe,lightning
283-806,cayu1262,http://concepticon.clld.org/parameters/1150,čãrãrã,thunder
283-128,cayu1262,http://concepticon.clld.org/parameters/2007,heheβe,lightning (as striking)
283-983,cayu1262,http://concepticon.clld.org/parameters/1733,kotiri,rainbow
283-801,cayu1262,http://concepticon.clld.org/parameters/11,ɨ,darkness
283-195,cayu1262,http://concepticon.clld.org/parameters/11,raɨ,darkness
283-32,cayu1262,http://concepticon.clld.org/parameters/11,daɨ,darkness
283-114,cayu1262,http://concepticon.clld.org/parameters/1388,ǰuha,"shade, shadow"
283-60,cayu1262,http://concepticon.clld.org/parameters/1977,βe'rakoho,dew
283-745,cayu1262,http://concepticon.clld.org/parameters/27,da'βukue,air
283-745,cayu1262,http://concepticon.clld.org/parameters/960,da'βukue,wind
283-780,cayu1262,http://concepticon.clld.org/parameters/960,ranihe,wind
283-591,cayu1262,http://concepticon.clld.org/parameters/1489,bɔkɔ,cloud
283-911,cayu1262,http://concepticon.clld.org/parameters/249,rao'mõroe,fog
283-127,cayu1262,http://concepticon.clld.org/parameters/249,ritidaɨ,fog
283-233,cayu1262,http://concepticon.clld.org/parameters/658,da-bo ~ do-bo,rain (noun)
283-90,cayu1262,http://concepticon.clld.org/parameters/658,bo,rain (noun)
283-236,cayu1262,http://concepticon.clld.org/parameters/221,data,fire
283-97,cayu1262,http://concepticon.clld.org/parameters/889,dore,flame (noun)
283-74,cayu1262,http://concepticon.clld.org/parameters/778,nãmo,smoke (noun)
283-873,cayu1262,http://concepticon.clld.org/parameters/778,'naamõ,smoke (noun)
283-566,cayu1262,http://concepticon.clld.org/parameters/646,čɔčɔkɔ,ashes
283-507,cayu1262,http://concepticon.clld.org/parameters/141,βuǰuru,burn (vb trans)
283-180,cayu1262,http://concepticon.clld.org/parameters/1428,tɔpɔ,burn (vb intrans)
283-4,cayu1262,http://concepticon.clld.org/parameters/1428,tɔpɔ-rɔ,burn (vb intrans)
283-914,cayu1262,http://concepticon.clld.org/parameters/737,riǰape,"light, kindle, ignite"
283-56,cayu1262,http://concepticon.clld.org/parameters/127,tɨmɨ,extinguish
283-359,cayu1262,http://concepticon.clld.org/parameters/10,'bisi,firewood
283-903,cayu1262,http://concepticon.clld.org/parameters/10,ɨ̃kæ,firewood
283-972,cayu1262,http://concepticon.clld.org/parameters/1188,tɨ'tẽdore,charcoal
283-695,cayu1262,http://concepticon.clld.org/parameters/683,duaβa,"person, human being"
283-767,cayu1262,http://concepticon.clld.org/parameters/683,dapoa,"person, human being"
283-205,cayu1262,http://concepticon.clld.org/parameters/1554,'ki-asi,man (vs. woman)
283-361,cayu1262,http://concepticon.clld.org/parameters/962,tɔrene ~ tɔ̃rene,woman
283-937,cayu1262,http://concepticon.clld.org/parameters/962,'maβo,woman
283-130,cayu1262,http://concepticon.clld.org/parameters/2263,ra'asiæ,male
283-299,cayu1262,http://concepticon.clld.org/parameters/1366,mačahaɨ,boy
283-865,cayu1262,http://concepticon.clld.org/parameters/1366,mõdĩrĩ,boy
283-380,cayu1262,http://concepticon.clld.org/parameters/76,ma'miasi,young man (adolescent)
283-645,cayu1262,http://concepticon.clld.org/parameters/76,ra-mami'asie,young man (adolescent)
283-681,cayu1262,http://concepticon.clld.org/parameters/1646,ma'βaona,girl
283-79,cayu1262,http://concepticon.clld.org/parameters/77,raha-maβaona,young woman (adolescent)
283-410,cayu1262,http://concepticon.clld.org/parameters/1304,mami,child
283-563,cayu1262,http://concepticon.clld.org/parameters/1304,rɔmi,child
283-960,cayu1262,http://concepticon.clld.org/parameters/1200,ka-te-ri,husband
