ID,Language_ID,Feature_ID,Value,Concept
285-509,movi1243,http://concepticon.clld.org/parameters/965,[mundo],world
285-818,movi1243,http://concepticon.clld.org/parameters/1228,ɬakam̉-ɓa,"earth=ground, soil"
285-328,movi1243,http://concepticon.clld.org/parameters/2,βus-kʷa,dust
285-602,movi1243,http://concepticon.clld.org/parameters/640,ɓuɓun̉-kʷa,mud
285-471,movi1243,http://concepticon.clld.org/parameters/671,wiʔwis,sand
285-234,movi1243,http://concepticon.clld.org/parameters/2118,ɗuɗuʔ-kʷa,"mountain, hill"
285-905,movi1243,http://concepticon.clld.org/parameters/618,ɬaβaɬ-kʷa,"cliff, precipice"
285-573,movi1243,http://concepticon.clld.org/parameters/652,ɓen̉-ʔi,"plain, field"
285-451,movi1243,http://concepticon.clld.org/parameters/622,pai-ɬim,island
285-537,movi1243,http://concepticon.clld.org/parameters/113,ɓih-ra,shore
285-770,movi1243,http://concepticon.clld.org/parameters/1155,siɬ-kʷa,cave
285-839,movi1243,http://concepticon.clld.org/parameters/948,tomi,water
285-207,movi1243,http://concepticon.clld.org/parameters/258,tah-poh,calm (of sea)
285-717,movi1243,http://concepticon.clld.org/parameters/1768,taβa-kʷa,foam
285-325,movi1243,http://concepticon.clld.org/parameters/624,pou-lo,lake
285-1,movi1243,http://concepticon.clld.org/parameters/663,wala-čo,"gulf, bay"
285-260,movi1243,http://concepticon.clld.org/parameters/978,papau-ɬa,wave
285-11,movi1243,http://concepticon.clld.org/parameters/1026,osni-wanas,lowtide
285-412,movi1243,http://concepticon.clld.org/parameters/666,in̉-wa,"river, stream, brook"
285-863,movi1243,http://concepticon.clld.org/parameters/2144,lu-βe,"spring, well"
285-777,movi1243,http://concepticon.clld.org/parameters/1145,ɓeteɬ-kʷa,swamp
285-516,movi1243,http://concepticon.clld.org/parameters/420,čaʔ-mo,"woods, forest"
285-552,movi1243,http://concepticon.clld.org/parameters/906,koʔo,tree (cf 08.600)
285-552,movi1243,http://concepticon.clld.org/parameters/1803,koʔo,wood
285-946,movi1243,http://concepticon.clld.org/parameters/2125,čam-pa,"stone, rock"
285-668,movi1243,http://concepticon.clld.org/parameters/1732,ɓen̉-ra,sky
285-73,movi1243,http://concepticon.clld.org/parameters/1343,tinno,sun
285-346,movi1243,http://concepticon.clld.org/parameters/1313,yeh-čo,moon
285-455,movi1243,http://concepticon.clld.org/parameters/1430,ɗiɗin-kʷa,star
285-943,movi1243,http://concepticon.clld.org/parameters/1654,yam-pa,lightning
285-271,movi1243,http://concepticon.clld.org/parameters/1150,wurul-čeɬ,thunder
285-250,movi1243,http://concepticon.clld.org/parameters/2007,tapel-čeɬ,lightning (as striking)
285-308,movi1243,http://concepticon.clld.org/parameters/858,luʔ-waʔa,storm
285-664,movi1243,http://concepticon.clld.org/parameters/1733,koʔo-čaʔa,rainbow
285-101,movi1243,http://concepticon.clld.org/parameters/630,hel-ra,light (noun)
285-868,movi1243,http://concepticon.clld.org/parameters/11,payaʔ-ni,darkness
285-48,movi1243,http://concepticon.clld.org/parameters/1388,laɓa-yas,"shade, shadow"
285-898,movi1243,http://concepticon.clld.org/parameters/1977,ɓeɬ-lo,dew
285-119,movi1243,http://concepticon.clld.org/parameters/960,pou-muh,wind
285-198,movi1243,http://concepticon.clld.org/parameters/1489,ɓe-yas,cloud
285-430,movi1243,http://concepticon.clld.org/parameters/249,βu-ɓuh-ni,fog
