ID,Language_ID,Feature_ID,Value,Concept
290-934,para1311,http://concepticon.clld.org/parameters/965,arapɨ,world
290-594,para1311,http://concepticon.clld.org/parameters/626,ɨvɨ-ape,"earth, land"
290-1531,para1311,http://concepticon.clld.org/parameters/1228,ɨvɨ,"earth=ground, soil"
290-789,para1311,http://concepticon.clld.org/parameters/2,ɨvɨ-tiᵐbo,dust
290-1603,para1311,http://concepticon.clld.org/parameters/640,ɲaɨʔũ,mud
290-861,para1311,http://concepticon.clld.org/parameters/640,tuǰu,mud
290-604,para1311,http://concepticon.clld.org/parameters/671,ɨvɨ-kuʔi,sand
290-839,para1311,http://concepticon.clld.org/parameters/2118,ɨvɨ-tɨ,"mountain, hill"
290-738,para1311,http://concepticon.clld.org/parameters/618,ɨvɨ-ʔã,"cliff, precipice"
290-711,para1311,http://concepticon.clld.org/parameters/652,ǰoǰa,"plain, field"
290-1508,para1311,http://concepticon.clld.org/parameters/652,ɲu,"plain, field"
290-1679,para1311,http://concepticon.clld.org/parameters/921,ɨvɨ-tɨ-paʔũ,valley
290-1224,para1311,http://concepticon.clld.org/parameters/622,ɨ-paʔũ,island
290-1042,para1311,http://concepticon.clld.org/parameters/622,ɲu-paʔũ,island
290-1440,para1311,http://concepticon.clld.org/parameters/166,ɨvɨ ɣʷasu,mainland
290-732,para1311,http://concepticon.clld.org/parameters/166,ɨvɨ-vusu,mainland
290-1494,para1311,http://concepticon.clld.org/parameters/113,t-eᵐbeʔɨ,shore
290-823,para1311,http://concepticon.clld.org/parameters/113,ɨ-reᵐbeʔɨ,shore
290-420,para1311,http://concepticon.clld.org/parameters/1155,ita-kua,cave
290-1608,para1311,http://concepticon.clld.org/parameters/948,ɨ,water
290-984,para1311,http://concepticon.clld.org/parameters/1474,para,sea
290-1060,para1311,http://concepticon.clld.org/parameters/258,pɨʔaɣʷapɨ,calm (of sea)
290-235,para1311,http://concepticon.clld.org/parameters/258,ɨvɨ-tuporeʔɨ̃,calm (of sea)
290-17,para1311,http://concepticon.clld.org/parameters/259,kuču,rough (of sea)
