ID,Language_ID,Feature_ID,Value,Concept
294-490,kain1272,http://concepticon.clld.org/parameters/965,ɛ̃prã,world
294-1310,kain1272,http://concepticon.clld.org/parameters/626,ŋa,"earth, land"
294-1310,kain1272,http://concepticon.clld.org/parameters/1228,ŋa,"earth=ground, soil"
294-490,kain1272,http://concepticon.clld.org/parameters/1228,ɛ̃prã,"earth=ground, soil"
294-928,kain1272,http://concepticon.clld.org/parameters/2,ΦunΦur,dust
294-885,kain1272,http://concepticon.clld.org/parameters/2,Φun-Φun,dust
294-729,kain1272,http://concepticon.clld.org/parameters/640,ŋoʔor,mud
294-968,kain1272,http://concepticon.clld.org/parameters/640,ɔrɛ,mud
294-721,kain1272,http://concepticon.clld.org/parameters/640,sɔw,mud
294-1073,kain1272,http://concepticon.clld.org/parameters/671,rɨ̃ɲrɨ̃y,sand
294-954,kain1272,http://concepticon.clld.org/parameters/671,rĩɲrĩy,sand
294-1216,kain1272,http://concepticon.clld.org/parameters/2118,krĩ,"mountain, hill"
294-272,kain1272,http://concepticon.clld.org/parameters/2118,pãnɔɲ,"mountain, hill"
294-722,kain1272,http://concepticon.clld.org/parameters/2118,sɔr,"mountain, hill"
294-363,kain1272,http://concepticon.clld.org/parameters/618,rənrɔr,"cliff, precipice"
294-112,kain1272,http://concepticon.clld.org/parameters/652,re,"plain, field"
294-822,kain1272,http://concepticon.clld.org/parameters/652,kɨyɛr,"plain, field"
294-1158,kain1272,http://concepticon.clld.org/parameters/921,krĩ wãso,valley
294-1132,kain1272,http://concepticon.clld.org/parameters/622,kutɛ,island
294-830,kain1272,http://concepticon.clld.org/parameters/622,kutiŋtɛ,island
294-930,kain1272,http://concepticon.clld.org/parameters/622,ŋoy wãso,island
294-1369,kain1272,http://concepticon.clld.org/parameters/622,wãsoŋso,island
294-591,kain1272,http://concepticon.clld.org/parameters/113,ŋoy Φɨr,shore
294-1211,kain1272,http://concepticon.clld.org/parameters/1155,pɔ nor,cave
294-1362,kain1272,http://concepticon.clld.org/parameters/1155,pãrɔ nor,cave
294-436,kain1272,http://concepticon.clld.org/parameters/948,ŋoy,water
294-308,kain1272,http://concepticon.clld.org/parameters/1474,ŋoy-kaΦãn-tũ,sea
294-1375,kain1272,http://concepticon.clld.org/parameters/258,hun ke,calm (of sea)
294-814,kain1272,http://concepticon.clld.org/parameters/259,ŋoy tə̃ krɛm ke,rough (of sea)
294-456,kain1272,http://concepticon.clld.org/parameters/1768,yɛ̃nŋɛy,foam
294-459,kain1272,http://concepticon.clld.org/parameters/645,ŋoy kaΦãn tũ,ocean
294-701,kain1272,http://concepticon.clld.org/parameters/624,ʔɔrɛ niŋ,lake
294-568,kain1272,http://concepticon.clld.org/parameters/660,pɔ tɨ̃ rənrɔr,reef
294-338,kain1272,http://concepticon.clld.org/parameters/978,krɛm ke,wave
294-899,kain1272,http://concepticon.clld.org/parameters/1026,ŋɨmke,lowtide
294-1118,kain1272,http://concepticon.clld.org/parameters/1026,ŋɨw,lowtide
294-608,kain1272,http://concepticon.clld.org/parameters/613,ŋoy Φɔr,hightide
294-1225,kain1272,http://concepticon.clld.org/parameters/666,ŋoy tɛy,"river, stream, brook"
294-207,kain1272,http://concepticon.clld.org/parameters/2144,niŋ,"spring, well"
294-207,kain1272,http://concepticon.clld.org/parameters/1145,niŋ,swamp
294-968,kain1272,http://concepticon.clld.org/parameters/1145,ɔrɛ,swamp
294-433,kain1272,http://concepticon.clld.org/parameters/943,sa,waterfall
294-624,kain1272,http://concepticon.clld.org/parameters/943,kruŋ,waterfall
294-1257,kain1272,http://concepticon.clld.org/parameters/420,wãɲ,"woods, forest"
294-788,kain1272,http://concepticon.clld.org/parameters/420,nɛ̃n,"woods, forest"
294-859,kain1272,http://concepticon.clld.org/parameters/906,ka,tree (cf 08.600)
294-859,kain1272,http://concepticon.clld.org/parameters/1803,ka,wood
294-1003,kain1272,http://concepticon.clld.org/parameters/2125,pɔ,"stone, rock"
294-405,kain1272,http://concepticon.clld.org/parameters/6,ŋa tə̃ yũrn ke,earthquake
294-509,kain1272,http://concepticon.clld.org/parameters/1732,kaɲkã,sky
294-37,kain1272,http://concepticon.clld.org/parameters/1343,rã,sun
294-1297,kain1272,http://concepticon.clld.org/parameters/1343,rãrĩr,sun
294-965,kain1272,http://concepticon.clld.org/parameters/1343,rɛ̃rĩr,sun
294-686,kain1272,http://concepticon.clld.org/parameters/1313,kɨṣ̌ã,moon
294-955,kain1272,http://concepticon.clld.org/parameters/1313,kɨsã,moon
294-666,kain1272,http://concepticon.clld.org/parameters/1430,krĩŋ,star
294-794,kain1272,http://concepticon.clld.org/parameters/1654,mrãrn ke,lightning
294-1065,kain1272,http://concepticon.clld.org/parameters/1150,ta tə̃ tə̃rə̃r hɛ,thunder
294-817,kain1272,http://concepticon.clld.org/parameters/1150,kɔhun,thunder
294-96,kain1272,http://concepticon.clld.org/parameters/858,kɔho,storm
294-131,kain1272,http://concepticon.clld.org/parameters/858,ta kriŋ,storm
294-496,kain1272,http://concepticon.clld.org/parameters/1733,ŋɔʔor no,rainbow
294-869,kain1272,http://concepticon.clld.org/parameters/1733,ta no,rainbow
294-566,kain1272,http://concepticon.clld.org/parameters/630,yɛ̃nŋrɛ̃,light (noun)
294-965,kain1272,http://concepticon.clld.org/parameters/630,rɛ̃rĩr,light (noun)
294-1297,kain1272,http://concepticon.clld.org/parameters/630,rãrĩr,light (noun)
294-785,kain1272,http://concepticon.clld.org/parameters/11,kutɨ-ŋ,darkness
294-117,kain1272,http://concepticon.clld.org/parameters/11,ŋə̃m kɛ,darkness
294-50,kain1272,http://concepticon.clld.org/parameters/1388,Φɛ̃nya,"shade, shadow"
294-1174,kain1272,http://concepticon.clld.org/parameters/1388,kãɲmɛŋ,"shade, shadow"
294-64,kain1272,http://concepticon.clld.org/parameters/1388,kãɲwɛŋ,"shade, shadow"
294-49,kain1272,http://concepticon.clld.org/parameters/1977,kãŋΦɛr,dew
294-959,kain1272,http://concepticon.clld.org/parameters/1977,kɔŋΦɛ̃r,dew
294-438,kain1272,http://concepticon.clld.org/parameters/1977,krɛ̃ŋΦɛr,dew
294-982,kain1272,http://concepticon.clld.org/parameters/960,kãka,wind
294-96,kain1272,http://concepticon.clld.org/parameters/960,kɔho,wind
294-1296,kain1272,http://concepticon.clld.org/parameters/1489,ŋɔŋ,cloud
294-684,kain1272,http://concepticon.clld.org/parameters/1489,kaɲkã ŋɔŋ,cloud
294-979,kain1272,http://concepticon.clld.org/parameters/1489,ŋɔŋŋɔŋ,cloud
294-1064,kain1272,http://concepticon.clld.org/parameters/1489,ŋuŋŋɔŋ,cloud
294-275,kain1272,http://concepticon.clld.org/parameters/249,krũy,fog
294-699,kain1272,http://concepticon.clld.org/parameters/658,ta,rain (noun)
294-985,kain1272,http://concepticon.clld.org/parameters/658,ta kutɛ̃,rain (noun)
