ID,Language_ID,Feature_ID,Value,Concept
304-202,iyoj1235,http://concepticon.clld.org/parameters/626,axnat (f.),"earth, land"
304-202,iyoj1235,http://concepticon.clld.org/parameters/1228,axnat (f.),"earth=ground, soil"
304-577,iyoj1235,http://concepticon.clld.org/parameters/2,lamak (m.),dust
304-181,iyoj1235,http://concepticon.clld.org/parameters/640,isat,mud
304-342,iyoj1235,http://concepticon.clld.org/parameters/671,isye,sand
304-28,iyoj1235,http://concepticon.clld.org/parameters/2118,takixnakiʔ,"mountain, hill"
304-938,iyoj1235,http://concepticon.clld.org/parameters/618,takina (m.),"cliff, precipice"
304-950,iyoj1235,http://concepticon.clld.org/parameters/652,fʷex (f.),"plain, field"
304-346,iyoj1235,http://concepticon.clld.org/parameters/113,tewk takinaʔ,shore
304-836,iyoj1235,http://concepticon.clld.org/parameters/1155,ixwo (f.),cave
304-56,iyoj1235,http://concepticon.clld.org/parameters/948,anat,water
304-770,iyoj1235,http://concepticon.clld.org/parameters/1768,-satyuʔ,foam
304-935,iyoj1235,http://concepticon.clld.org/parameters/623,anat-let (f.),lagoon
304-858,iyoj1235,http://concepticon.clld.org/parameters/1662,takina-ki-laseʔ,"headland, point"
304-136,iyoj1235,http://concepticon.clld.org/parameters/978,anat-isawompe,wave
304-1033,iyoj1235,http://concepticon.clld.org/parameters/666,tewak (m.),"river, stream, brook"
304-624,iyoj1235,http://concepticon.clld.org/parameters/1982,ofʷatakiʔ,whirlpool
304-602,iyoj1235,http://concepticon.clld.org/parameters/2144,tokkiʔ,"spring, well"
304-947,iyoj1235,http://concepticon.clld.org/parameters/1145,naxe,swamp
304-882,iyoj1235,http://concepticon.clld.org/parameters/943,anat-aleteyin,waterfall
304-290,iyoj1235,http://concepticon.clld.org/parameters/420,linaʔ,"woods, forest"
304-305,iyoj1235,http://concepticon.clld.org/parameters/906,alaʔ,tree (cf 08.600)
304-305,iyoj1235,http://concepticon.clld.org/parameters/1803,alaʔ,wood
304-439,iyoj1235,http://concepticon.clld.org/parameters/2125,-poy (f.),"stone, rock"
304-378,iyoj1235,http://concepticon.clld.org/parameters/6,axnat-tiwesi,earthquake
304-321,iyoj1235,http://concepticon.clld.org/parameters/1732,poleʔ,sky
304-525,iyoj1235,http://concepticon.clld.org/parameters/1343,kilay,sun
304-714,iyoj1235,http://concepticon.clld.org/parameters/1313,weʔla,moon
304-276,iyoj1235,http://concepticon.clld.org/parameters/1430,kates (f.),star
304-1021,iyoj1235,http://concepticon.clld.org/parameters/1654,yexey (?),lightning
304-275,iyoj1235,http://concepticon.clld.org/parameters/1654,tˀakayi,lightning
304-685,iyoj1235,http://concepticon.clld.org/parameters/1150,-syulteni,thunder
304-1021,iyoj1235,http://concepticon.clld.org/parameters/2007,yexey (?),lightning (as striking)
304-1002,iyoj1235,http://concepticon.clld.org/parameters/858,afʷesyeyi,storm
304-667,iyoj1235,http://concepticon.clld.org/parameters/1733,sapalkat,rainbow
304-237,iyoj1235,http://concepticon.clld.org/parameters/630,lal,light (noun)
304-261,iyoj1235,http://concepticon.clld.org/parameters/630,xloma,light (noun)
304-251,iyoj1235,http://concepticon.clld.org/parameters/11,axna,darkness
304-1066,iyoj1235,http://concepticon.clld.org/parameters/1388,-peluk ~ -piluk (m.),"shade, shadow"
304-855,iyoj1235,http://concepticon.clld.org/parameters/1977,yista (m.),dew
304-365,iyoj1235,http://concepticon.clld.org/parameters/27,-yel (f.),air
304-585,iyoj1235,http://concepticon.clld.org/parameters/960,laxwu,wind
