ID,Language_ID,Feature_ID,Value,Concept
306-251,wich1264,http://concepticon.clld.org/parameters/965,ni'ɬokeh hoh'nat,world
306-1015,wich1264,http://concepticon.clld.org/parameters/626,hoh'nat,"earth, land"
306-211,wich1264,http://concepticon.clld.org/parameters/1228,tˀen-'tah,"earth=ground, soil"
306-115,wich1264,http://concepticon.clld.org/parameters/2,hohnat-'muk,dust
306-165,wich1264,http://concepticon.clld.org/parameters/640,ih'ɲot,mud
306-965,wich1264,http://concepticon.clld.org/parameters/671,hu'lu,sand
306-166,wich1264,http://concepticon.clld.org/parameters/2118,tače'nah,"mountain, hill"
306-402,wich1264,http://concepticon.clld.org/parameters/618,is'tak-čo,"cliff, precipice"
306-808,wich1264,http://concepticon.clld.org/parameters/652,a'ɬu,"plain, field"
306-675,wich1264,http://concepticon.clld.org/parameters/652,aɬu-'tah,"plain, field"
306-951,wich1264,http://concepticon.clld.org/parameters/921,tačeh'na-s kawah'ɲi,valley
306-511,wich1264,http://concepticon.clld.org/parameters/622,inot-'wet,island
306-226,wich1264,http://concepticon.clld.org/parameters/166,tˀen-'tas,mainland
306-654,wich1264,http://concepticon.clld.org/parameters/113,tewuk-'ɬip,shore
306-274,wich1264,http://concepticon.clld.org/parameters/1155,-ɬu'kʷeʔ,cave
306-164,wich1264,http://concepticon.clld.org/parameters/948,i'not,water
306-666,wich1264,http://concepticon.clld.org/parameters/1474,i'not-li'tak,sea
306-652,wich1264,http://concepticon.clld.org/parameters/1768,-la-khuh,foam
306-896,wich1264,http://concepticon.clld.org/parameters/624,lawu'mek,lake
306-715,wich1264,http://concepticon.clld.org/parameters/663,-la-le'nek,"gulf, bay"
306-973,wich1264,http://concepticon.clld.org/parameters/623,teykʷi'tah,lagoon
306-166,wich1264,http://concepticon.clld.org/parameters/1662,tače'nah,"headland, point"
306-1048,wich1264,http://concepticon.clld.org/parameters/978,komok-'tah,wave
306-1045,wich1264,http://concepticon.clld.org/parameters/666,te'wuk,"river, stream, brook"
306-671,wich1264,http://concepticon.clld.org/parameters/1982,tewuk-le'nek,whirlpool
306-948,wich1264,http://concepticon.clld.org/parameters/2144,inot-c̷i'hʷik,"spring, well"
306-165,wich1264,http://concepticon.clld.org/parameters/1145,ih'ɲot,swamp
306-283,wich1264,http://concepticon.clld.org/parameters/943,inot-no'yih,waterfall
306-277,wich1264,http://concepticon.clld.org/parameters/420,tah'ɲi,"woods, forest"
306-661,wich1264,http://concepticon.clld.org/parameters/906,haʔ'loʔ,tree (cf 08.600)
306-517,wich1264,http://concepticon.clld.org/parameters/2125,ten'teʔ,"stone, rock"
306-918,wich1264,http://concepticon.clld.org/parameters/6,hohnat-'wahiʔ,earthquake
306-602,wich1264,http://concepticon.clld.org/parameters/1732,pe'leʔ,sky
306-411,wich1264,http://concepticon.clld.org/parameters/1343,hʷa'laʔ,sun
306-317,wich1264,http://concepticon.clld.org/parameters/1313,weʔ'laʔ,moon
306-1024,wich1264,http://concepticon.clld.org/parameters/1430,ka'tes,star
306-495,wich1264,http://concepticon.clld.org/parameters/1654,yokʷ-lep,lightning
306-724,wich1264,http://concepticon.clld.org/parameters/1150,peɬa-'čˀe,thunder
306-369,wich1264,http://concepticon.clld.org/parameters/2007,peɬay-'yip,lightning (as striking)
306-854,wich1264,http://concepticon.clld.org/parameters/858,pe'ɬay,storm
306-647,wich1264,http://concepticon.clld.org/parameters/1733,la-'wuʔ,rainbow
306-1042,wich1264,http://concepticon.clld.org/parameters/630,i'siʔ,light (noun)
