ID,Language_ID,Feature_ID,Value,Concept
308-246,kunz1244,http://concepticon.clld.org/parameters/626,hoyri,"earth, land"
308-194,kunz1244,http://concepticon.clld.org/parameters/626,hoi-re,"earth, land"
308-246,kunz1244,http://concepticon.clld.org/parameters/1228,hoyri,"earth=ground, soil"
308-258,kunz1244,http://concepticon.clld.org/parameters/1228,ttunar,"earth=ground, soil"
308-504,kunz1244,http://concepticon.clld.org/parameters/1228,hoy-tu,"earth=ground, soil"
308-188,kunz1244,http://concepticon.clld.org/parameters/2,pockor,dust
308-329,kunz1244,http://concepticon.clld.org/parameters/640,yot-to,mud
308-455,kunz1244,http://concepticon.clld.org/parameters/640,quis-ti,mud
308-247,kunz1244,http://concepticon.clld.org/parameters/671,horckte,sand
308-575,kunz1244,http://concepticon.clld.org/parameters/671,si-tche-re,sand
308-435,kunz1244,http://concepticon.clld.org/parameters/2118,ckabur,"mountain, hill"
308-211,kunz1244,http://concepticon.clld.org/parameters/2118,caur,"mountain, hill"
308-323,kunz1244,http://concepticon.clld.org/parameters/652,tul-va,"plain, field"
308-87,kunz1244,http://concepticon.clld.org/parameters/652,ttul-va,"plain, field"
308-456,kunz1244,http://concepticon.clld.org/parameters/921,ckalal,valley
308-451,kunz1244,http://concepticon.clld.org/parameters/1155,toco,cave
308-762,kunz1244,http://concepticon.clld.org/parameters/1155,[ckoiba],cave
308-186,kunz1244,http://concepticon.clld.org/parameters/948,puri,water
308-304,kunz1244,http://concepticon.clld.org/parameters/948,puy,water
308-508,kunz1244,http://concepticon.clld.org/parameters/948,[yacko],water
308-114,kunz1244,http://concepticon.clld.org/parameters/666,back-cka,"river, stream, brook"
308-325,kunz1244,http://concepticon.clld.org/parameters/666,vac-ka,"river, stream, brook"
308-267,kunz1244,http://concepticon.clld.org/parameters/1982,tchinckonao,whirlpool
308-118,kunz1244,http://concepticon.clld.org/parameters/1982,ckoi-man,whirlpool
308-645,kunz1244,http://concepticon.clld.org/parameters/2144,cherejner,"spring, well"
308-781,kunz1244,http://concepticon.clld.org/parameters/2144,cheresner,"spring, well"
308-672,kunz1244,http://concepticon.clld.org/parameters/2144,cheresnir,"spring, well"
308-51,kunz1244,http://concepticon.clld.org/parameters/906,yali,tree (cf 08.600)
308-322,kunz1244,http://concepticon.clld.org/parameters/906,yaii,tree (cf 08.600)
308-655,kunz1244,http://concepticon.clld.org/parameters/2125,ckaitchi,"stone, rock"
308-190,kunz1244,http://concepticon.clld.org/parameters/2125,cai-chi,"stone, rock"
308-177,kunz1244,http://concepticon.clld.org/parameters/1343,ckapin,sun
308-829,kunz1244,http://concepticon.clld.org/parameters/1343,caapin,sun
308-677,kunz1244,http://concepticon.clld.org/parameters/1313,ckamur,moon
308-585,kunz1244,http://concepticon.clld.org/parameters/1313,cáhmor,moon
308-291,kunz1244,http://concepticon.clld.org/parameters/1430,haalar,star
308-380,kunz1244,http://concepticon.clld.org/parameters/1430,halar,star
308-409,kunz1244,http://concepticon.clld.org/parameters/1430,ahlar,star
308-772,kunz1244,http://concepticon.clld.org/parameters/1150,lul-an-tur,thunder
308-468,kunz1244,http://concepticon.clld.org/parameters/858,ckoimar,storm
308-569,kunz1244,http://concepticon.clld.org/parameters/1733,ckoitchi,rainbow
308-807,kunz1244,http://concepticon.clld.org/parameters/630,lalcktchir,light (noun)
308-563,kunz1244,http://concepticon.clld.org/parameters/1388,minas,"shade, shadow"
308-124,kunz1244,http://concepticon.clld.org/parameters/27,ckelinar,air
308-221,kunz1244,http://concepticon.clld.org/parameters/27,[huayra],air
308-615,kunz1244,http://concepticon.clld.org/parameters/960,ckuri,wind
308-156,kunz1244,http://concepticon.clld.org/parameters/960,khuri,wind
308-154,kunz1244,http://concepticon.clld.org/parameters/960,khuro,wind
308-100,kunz1244,http://concepticon.clld.org/parameters/1489,molti,cloud
308-303,kunz1244,http://concepticon.clld.org/parameters/1489,molle,cloud
308-101,kunz1244,http://concepticon.clld.org/parameters/1489,molte,cloud
308-101,kunz1244,http://concepticon.clld.org/parameters/249,molte,fog
308-303,kunz1244,http://concepticon.clld.org/parameters/249,molle,fog
308-445,kunz1244,http://concepticon.clld.org/parameters/658,saire,rain (noun)
308-283,kunz1244,http://concepticon.clld.org/parameters/658,zaire,rain (noun)
308-450,kunz1244,http://concepticon.clld.org/parameters/658,sairi,rain (noun)
308-379,kunz1244,http://concepticon.clld.org/parameters/784,tsimir,snow (noun)
308-512,kunz1244,http://concepticon.clld.org/parameters/784,tchi-mir,snow (noun)
308-477,kunz1244,http://concepticon.clld.org/parameters/221,ho-hónima,fire
308-130,kunz1244,http://concepticon.clld.org/parameters/221,humur,fire
308-520,kunz1244,http://concepticon.clld.org/parameters/221,ckelar,fire
308-556,kunz1244,http://concepticon.clld.org/parameters/778,ttoy-ur,smoke (noun)
308-614,kunz1244,http://concepticon.clld.org/parameters/646,tchili,ashes
308-520,kunz1244,http://concepticon.clld.org/parameters/67,ckelar,embers
308-697,kunz1244,http://concepticon.clld.org/parameters/141,ho-na-tur,burn (vb trans)
308-386,kunz1244,http://concepticon.clld.org/parameters/1428,lock-tur,burn (vb intrans)
308-347,kunz1244,http://concepticon.clld.org/parameters/1428,tu-mai-na-tur,burn (vb intrans)
308-815,kunz1244,http://concepticon.clld.org/parameters/737,loc-kun-tur,"light, kindle, ignite"
308-333,kunz1244,http://concepticon.clld.org/parameters/737,hay-ian-tur,"light, kindle, ignite"
308-340,kunz1244,http://concepticon.clld.org/parameters/127,si-an-tur,extinguish
308-414,kunz1244,http://concepticon.clld.org/parameters/10,hackamur,firewood
308-679,kunz1244,http://concepticon.clld.org/parameters/10,hak'amur,firewood
308-632,kunz1244,http://concepticon.clld.org/parameters/1554,sima,man (vs. woman)
308-5,kunz1244,http://concepticon.clld.org/parameters/1554,sim-ma,man (vs. woman)
308-412,kunz1244,http://concepticon.clld.org/parameters/962,lickau,woman
308-290,kunz1244,http://concepticon.clld.org/parameters/962,liq'cau,woman
308-550,kunz1244,http://concepticon.clld.org/parameters/2263,ttari,male
308-42,kunz1244,http://concepticon.clld.org/parameters/2263,t'ari,male
308-806,kunz1244,http://concepticon.clld.org/parameters/2260,qui-bur,female
308-776,kunz1244,http://concepticon.clld.org/parameters/2260,liq-cau,female
308-126,kunz1244,http://concepticon.clld.org/parameters/1366,pauna,boy
308-771,kunz1244,http://concepticon.clld.org/parameters/1366,sima pauna,boy
308-260,kunz1244,http://concepticon.clld.org/parameters/76,yaalir,young man (adolescent)
308-696,kunz1244,http://concepticon.clld.org/parameters/76,baina,young man (adolescent)
308-127,kunz1244,http://concepticon.clld.org/parameters/1646,lickau pauna,girl
308-554,kunz1244,http://concepticon.clld.org/parameters/1646,pauna licau,girl
308-128,kunz1244,http://concepticon.clld.org/parameters/77,ay-ián,young woman (adolescent)
308-126,kunz1244,http://concepticon.clld.org/parameters/1304,pauna,child
308-625,kunz1244,http://concepticon.clld.org/parameters/1304,panck-ti,child
308-632,kunz1244,http://concepticon.clld.org/parameters/1200,sima,husband
308-5,kunz1244,http://concepticon.clld.org/parameters/1200,sim-ma,husband
308-244,kunz1244,http://concepticon.clld.org/parameters/1199,licki,wife
308-125,kunz1244,http://concepticon.clld.org/parameters/1199,kiqui,wife
308-150,kunz1244,http://concepticon.clld.org/parameters/1217,tickan,father
308-358,kunz1244,http://concepticon.clld.org/parameters/1217,tic'han,father
308-515,kunz1244,http://concepticon.clld.org/parameters/1216,patta,mother
308-302,kunz1244,http://concepticon.clld.org/parameters/1216,pat'ta,mother
308-731,kunz1244,http://concepticon.clld.org/parameters/1620,pahni,son
308-481,kunz1244,http://concepticon.clld.org/parameters/1620,panni,son
308-688,kunz1244,http://concepticon.clld.org/parameters/1357,pahni lickau,daughter
308-278,kunz1244,http://concepticon.clld.org/parameters/1357,pahni liq'cau,daughter
308-23,kunz1244,http://concepticon.clld.org/parameters/1262,pitchau,brother
308-684,kunz1244,http://concepticon.clld.org/parameters/1262,sahli,brother
308-423,kunz1244,http://concepticon.clld.org/parameters/1760,[sulcka],younger brother
308-719,kunz1244,http://concepticon.clld.org/parameters/1263,sahli lickau,sister
308-547,kunz1244,http://concepticon.clld.org/parameters/1263,zahli liqcau,sister
308-242,kunz1244,http://concepticon.clld.org/parameters/1005,pinnau,twins
308-588,kunz1244,http://concepticon.clld.org/parameters/1383,[aulo],grandfather
308-434,kunz1244,http://concepticon.clld.org/parameters/406,ckonicks,old man
308-832,kunz1244,http://concepticon.clld.org/parameters/406,muy-i,old man
308-363,kunz1244,http://concepticon.clld.org/parameters/907,ckannau,old woman
308-197,kunz1244,http://concepticon.clld.org/parameters/1618,ckamai,grandson
308-647,kunz1244,http://concepticon.clld.org/parameters/1618,cahmai,grandson
308-765,kunz1244,http://concepticon.clld.org/parameters/1063,pitchipani,nephew
308-18,kunz1244,http://concepticon.clld.org/parameters/1642,salipani,niece
308-57,kunz1244,http://concepticon.clld.org/parameters/2256,ttosi,mother-in-law (of a man)
308-273,kunz1244,http://concepticon.clld.org/parameters/1149,pucki,orphan
308-566,kunz1244,http://concepticon.clld.org/parameters/1149,puk'i,orphan
308-785,kunz1244,http://concepticon.clld.org/parameters/1149,puqui,orphan
308-27,kunz1244,http://concepticon.clld.org/parameters/1209,ackcka,I
308-850,kunz1244,http://concepticon.clld.org/parameters/1209,acsa,I
308-162,kunz1244,http://concepticon.clld.org/parameters/1209,akia,I
308-834,kunz1244,http://concepticon.clld.org/parameters/1215,tchema,you (singular)
308-848,kunz1244,http://concepticon.clld.org/parameters/1215,chema,you (singular)
308-250,kunz1244,http://concepticon.clld.org/parameters/262,ía,he/she/it
308-184,kunz1244,http://concepticon.clld.org/parameters/262,ckachir (ckatchbi),he/she/it
308-573,kunz1244,http://concepticon.clld.org/parameters/262,ilckau-ya,he/she/it
308-349,kunz1244,http://concepticon.clld.org/parameters/1212,ckunna,we
308-816,kunz1244,http://concepticon.clld.org/parameters/1212,cunna,we
308-749,kunz1244,http://concepticon.clld.org/parameters/1213,chime,you (plural)
308-635,kunz1244,http://concepticon.clld.org/parameters/817,ickota,they
308-334,kunz1244,http://concepticon.clld.org/parameters/817,k'hota-cota,they
308-89,kunz1244,http://concepticon.clld.org/parameters/817,ícota,they
308-178,kunz1244,http://concepticon.clld.org/parameters/2262,ckibur,female (adj)
308-494,kunz1244,http://concepticon.clld.org/parameters/1337,[ckutchi],pig
308-769,kunz1244,http://concepticon.clld.org/parameters/1514,[athalpa],hen
308-232,kunz1244,http://concepticon.clld.org/parameters/1318,pani,chicken
308-633,kunz1244,http://concepticon.clld.org/parameters/1318,[tchiuchi],chicken
308-626,kunz1244,http://concepticon.clld.org/parameters/1360,tchockbar,duck
308-821,kunz1244,http://concepticon.clld.org/parameters/1360,chopor,duck
308-396,kunz1244,http://concepticon.clld.org/parameters/539,hitan,nest
308-743,kunz1244,http://concepticon.clld.org/parameters/937,latchir,bird
308-362,kunz1244,http://concepticon.clld.org/parameters/937,laachir,bird
308-636,kunz1244,http://concepticon.clld.org/parameters/937,lacira,bird
308-682,kunz1244,http://concepticon.clld.org/parameters/1905,vitti,eagle
308-501,kunz1244,http://concepticon.clld.org/parameters/913,haari,crow
308-469,kunz1244,http://concepticon.clld.org/parameters/1853,ckir-ckir,dove
308-779,kunz1244,http://concepticon.clld.org/parameters/1853,toiva,dove
308-264,kunz1244,http://concepticon.clld.org/parameters/735,ckoscko,owl
308-73,kunz1244,http://concepticon.clld.org/parameters/735,cos-co,owl
308-734,kunz1244,http://concepticon.clld.org/parameters/735,[tuckur],owl
308-372,kunz1244,http://concepticon.clld.org/parameters/2009,lockma,dog
308-612,kunz1244,http://concepticon.clld.org/parameters/2009,lojma,dog
308-420,kunz1244,http://concepticon.clld.org/parameters/2009,locjma,dog
308-276,kunz1244,http://concepticon.clld.org/parameters/1136,puluckur,rabbit
308-259,kunz1244,http://concepticon.clld.org/parameters/1136,cururo,rabbit
308-371,kunz1244,http://concepticon.clld.org/parameters/1208,[mitchi],cat
308-424,kunz1244,http://concepticon.clld.org/parameters/2139,ckilli,"mouse, rat"
308-157,kunz1244,http://concepticon.clld.org/parameters/2139,ckilir,"mouse, rat"
308-666,kunz1244,http://concepticon.clld.org/parameters/2139,killi,"mouse, rat"
308-787,kunz1244,http://concepticon.clld.org/parameters/227,ckacktchi,fish
308-617,kunz1244,http://concepticon.clld.org/parameters/1386,ckuru,lion
308-369,kunz1244,http://concepticon.clld.org/parameters/1386,kúh-ri,lion
308-685,kunz1244,http://concepticon.clld.org/parameters/1312,tchapur,fox
308-170,kunz1244,http://concepticon.clld.org/parameters/1312,tschápur,fox
308-837,kunz1244,http://concepticon.clld.org/parameters/310,hebir,louse
308-205,kunz1244,http://concepticon.clld.org/parameters/267,cketchir,nit (louse egg)
308-673,kunz1244,http://concepticon.clld.org/parameters/267,ckitche,nit (louse egg)
308-813,kunz1244,http://concepticon.clld.org/parameters/1538,pickar,scorpion
308-723,kunz1244,http://concepticon.clld.org/parameters/1575,ckackma,cockroach
308-22,kunz1244,http://concepticon.clld.org/parameters/843,kuma,spider
308-187,kunz1244,http://concepticon.clld.org/parameters/665,lulan,bee
308-810,kunz1244,http://concepticon.clld.org/parameters/1517,cura,wasp
308-34,kunz1244,http://concepticon.clld.org/parameters/1517,curato,wasp
308-316,kunz1244,http://concepticon.clld.org/parameters/1504,pairi,fly
308-220,kunz1244,http://concepticon.clld.org/parameters/1509,tchuckun,mosquito
308-185,kunz1244,http://concepticon.clld.org/parameters/1509,paire,mosquito
308-231,kunz1244,http://concepticon.clld.org/parameters/1509,tchuckur,mosquito
308-331,kunz1244,http://concepticon.clld.org/parameters/1219,ttockomar,worm
308-270,kunz1244,http://concepticon.clld.org/parameters/1219,tock-mar,worm
308-286,kunz1244,http://concepticon.clld.org/parameters/1791,tchocko,butterfly
308-773,kunz1244,http://concepticon.clld.org/parameters/1791,[pilpinto],butterfly
308-432,kunz1244,http://concepticon.clld.org/parameters/503,misckán,frog
308-819,kunz1244,http://concepticon.clld.org/parameters/503,[ampatur],frog
308-367,kunz1244,http://concepticon.clld.org/parameters/632,tchalti,lizard
308-718,kunz1244,http://concepticon.clld.org/parameters/632,chalte,lizard
308-76,kunz1244,http://concepticon.clld.org/parameters/632,challe,lizard
308-753,kunz1244,http://concepticon.clld.org/parameters/1480,ckooli,body
308-339,kunz1244,http://concepticon.clld.org/parameters/763,ckati,"skin, hide"
308-203,kunz1244,http://concepticon.clld.org/parameters/763,cka-tir,"skin, hide"
308-430,kunz1244,http://concepticon.clld.org/parameters/1040,mussur,hair (head)
308-140,kunz1244,http://concepticon.clld.org/parameters/1040,musa,hair (head)
308-639,kunz1244,http://concepticon.clld.org/parameters/678,huntur,beard
308-295,kunz1244,http://concepticon.clld.org/parameters/678,[suntia],beard
308-392,kunz1244,http://concepticon.clld.org/parameters/946,laari,blood
308-483,kunz1244,http://concepticon.clld.org/parameters/946,lay-ir,blood
308-704,kunz1244,http://concepticon.clld.org/parameters/946,lari,blood
308-756,kunz1244,http://concepticon.clld.org/parameters/1394,mulur,bone
308-793,kunz1244,http://concepticon.clld.org/parameters/801,ckarao,rib
308-790,kunz1244,http://concepticon.clld.org/parameters/801,ckarau,rib
308-69,kunz1244,http://concepticon.clld.org/parameters/801,ckaru,rib
308-462,kunz1244,http://concepticon.clld.org/parameters/1393,[backra],horn
308-660,kunz1244,http://concepticon.clld.org/parameters/1220,peckay,tail
308-83,kunz1244,http://concepticon.clld.org/parameters/1291,chocklo,back
308-513,kunz1244,http://concepticon.clld.org/parameters/1291,choclo,back
308-21,kunz1244,http://concepticon.clld.org/parameters/1256,lacksi,head
308-542,kunz1244,http://concepticon.clld.org/parameters/1256,hlacse,head
308-552,kunz1244,http://concepticon.clld.org/parameters/1256,hjlacse,head
308-690,kunz1244,http://concepticon.clld.org/parameters/1605,ckot-cko,skull
308-846,kunz1244,http://concepticon.clld.org/parameters/1583,coyo,brain
308-712,kunz1244,http://concepticon.clld.org/parameters/1583,mutuck-tur,brain
308-279,kunz1244,http://concepticon.clld.org/parameters/1560,ckúlan,face
308-732,kunz1244,http://concepticon.clld.org/parameters/1560,culam,face
308-461,kunz1244,http://concepticon.clld.org/parameters/123,ckacka,forehead
308-376,kunz1244,http://concepticon.clld.org/parameters/123,ccaca,forehead
308-634,kunz1244,http://concepticon.clld.org/parameters/123,k'ak'a,forehead
308-729,kunz1244,http://concepticon.clld.org/parameters/798,tackil,jaw
308-320,kunz1244,http://concepticon.clld.org/parameters/798,silatackil,jaw
308-581,kunz1244,http://concepticon.clld.org/parameters/1730,bitis,cheek
308-725,kunz1244,http://concepticon.clld.org/parameters/1248,ckepi,eye
308-253,kunz1244,http://concepticon.clld.org/parameters/1248,qquepe,eye
308-139,kunz1244,http://concepticon.clld.org/parameters/1248,ikhepe,eye
308-404,kunz1244,http://concepticon.clld.org/parameters/1173,ckackasima,eyebrow
308-754,kunz1244,http://concepticon.clld.org/parameters/17,ckepi-ckati,eyelid
308-58,kunz1244,http://concepticon.clld.org/parameters/1540,ckepi-sinna,eyelash
308-341,kunz1244,http://concepticon.clld.org/parameters/1655,tchi-pac-kin-tur,blink
308-710,kunz1244,http://concepticon.clld.org/parameters/1247,ckai-ckai,ear
308-519,kunz1244,http://concepticon.clld.org/parameters/1247,aicke,ear
308-605,kunz1244,http://concepticon.clld.org/parameters/1221,sep-pi,nose
308-728,kunz1244,http://concepticon.clld.org/parameters/1221,sepe,nose
308-85,kunz1244,http://concepticon.clld.org/parameters/208,sepil-tur,mucus (nasal)
308-106,kunz1244,http://concepticon.clld.org/parameters/674,ckaipi,mouth
308-565,kunz1244,http://concepticon.clld.org/parameters/674,khaipe,mouth
308-98,kunz1244,http://concepticon.clld.org/parameters/674,quaipi,mouth
308-663,kunz1244,http://concepticon.clld.org/parameters/478,tchuinu,lip
308-15,kunz1244,http://concepticon.clld.org/parameters/1205,las-si,tongue
308-523,kunz1244,http://concepticon.clld.org/parameters/1205,lasi,tongue
308-117,kunz1244,http://concepticon.clld.org/parameters/1205,las-kar,tongue
308-845,kunz1244,http://concepticon.clld.org/parameters/1380,ckénia,tooth
308-839,kunz1244,http://concepticon.clld.org/parameters/1380,cune,tooth
308-111,kunz1244,http://concepticon.clld.org/parameters/139,ckentchockol,gums
308-230,kunz1244,http://concepticon.clld.org/parameters/139,ckeu,gums
308-339,kunz1244,http://concepticon.clld.org/parameters/1333,ckati,neck
308-831,kunz1244,http://concepticon.clld.org/parameters/1333,ccati,neck
308-593,kunz1244,http://concepticon.clld.org/parameters/1333,[ckooyo],neck
308-846,kunz1244,http://concepticon.clld.org/parameters/1347,coyo,nape of neck
308-770,kunz1244,http://concepticon.clld.org/parameters/1346,ckomal,throat
308-506,kunz1244,http://concepticon.clld.org/parameters/1346,malckar,throat
308-499,kunz1244,http://concepticon.clld.org/parameters/1346,comála,throat
308-238,kunz1244,http://concepticon.clld.org/parameters/1482,tchocklo,shoulder
308-513,kunz1244,http://concepticon.clld.org/parameters/1482,choclo,shoulder
308-748,kunz1244,http://concepticon.clld.org/parameters/1673,socke,arm
308-132,kunz1244,http://concepticon.clld.org/parameters/1673,soke,arm
308-191,kunz1244,http://concepticon.clld.org/parameters/1673,soqui,arm
308-336,kunz1244,http://concepticon.clld.org/parameters/1886,matackai,armpit
308-498,kunz1244,http://concepticon.clld.org/parameters/981,tickne,elbow
308-377,kunz1244,http://concepticon.clld.org/parameters/981,tic-ni,elbow
308-555,kunz1244,http://concepticon.clld.org/parameters/1277,suy-i,hand
308-330,kunz1244,http://concepticon.clld.org/parameters/1277,suyi,hand
308-280,kunz1244,http://concepticon.clld.org/parameters/1183,sutalanau,palm of hand
308-843,kunz1244,http://concepticon.clld.org/parameters/1303,sulay-ie,finger
308-71,kunz1244,http://concepticon.clld.org/parameters/1303,sui,finger
308-782,kunz1244,http://concepticon.clld.org/parameters/1258,khin,fingernail
308-473,kunz1244,http://concepticon.clld.org/parameters/1258,cken-ni,fingernail
308-548,kunz1244,http://concepticon.clld.org/parameters/1258,kh'in,fingernail
308-820,kunz1244,http://concepticon.clld.org/parameters/1297,nan,leg
308-637,kunz1244,http://concepticon.clld.org/parameters/498,nan-tchackti,calf of leg
308-606,kunz1244,http://concepticon.clld.org/parameters/498,poi-ya,calf of leg
308-8,kunz1244,http://concepticon.clld.org/parameters/1371,pocklo,knee
308-791,kunz1244,http://concepticon.clld.org/parameters/1371,ckolck-ul,knee
308-522,kunz1244,http://concepticon.clld.org/parameters/1371,colc'ul,knee
308-217,kunz1244,http://concepticon.clld.org/parameters/1301,ckutchir,foot
308-742,kunz1244,http://concepticon.clld.org/parameters/1301,cuchi,foot
308-298,kunz1244,http://concepticon.clld.org/parameters/1301,khoche,foot
308-405,kunz1244,http://concepticon.clld.org/parameters/803,ckulub,ankle
308-81,kunz1244,http://concepticon.clld.org/parameters/803,k'ulub,ankle
308-583,kunz1244,http://concepticon.clld.org/parameters/980,ckai-yi,heel
308-415,kunz1244,http://concepticon.clld.org/parameters/1257,ack-iu,wing
308-415,kunz1244,http://concepticon.clld.org/parameters/1201,ack-iu,feather
308-830,kunz1244,http://concepticon.clld.org/parameters/1201,hackiu,feather
