ID,Language_ID,Feature_ID,Value,Concept
310-475,tehu1242,http://concepticon.clld.org/parameters/1844,'yeney,boat
310-393,tehu1242,http://concepticon.clld.org/parameters/710,'aḳlčn,wheel
310-500,tehu1242,http://concepticon.clld.org/parameters/667,'nōm,road
310-221,tehu1242,http://concepticon.clld.org/parameters/1452,'wor-,"push, shove"
310-93,tehu1242,http://concepticon.clld.org/parameters/1452,'-amneʔ-,"push, shove"
310-334,tehu1242,http://concepticon.clld.org/parameters/1452,m 'wake-,"push, shove"
310-339,tehu1242,http://concepticon.clld.org/parameters/367,'ōks-,ride
310-303,tehu1242,http://concepticon.clld.org/parameters/1127,-e 'weytˀ-,send
310-109,tehu1242,http://concepticon.clld.org/parameters/692,'eʔn-,bring
310-626,tehu1242,http://concepticon.clld.org/parameters/692,'pˀaščˀ-,bring
310-757,tehu1242,http://concepticon.clld.org/parameters/692,'āneʔ-,bring
310-29,tehu1242,http://concepticon.clld.org/parameters/749,'ašeʔ-,enter
310-685,tehu1242,http://concepticon.clld.org/parameters/1387,e'e-,"reach, arrive"
310-511,tehu1242,http://concepticon.clld.org/parameters/1085,'ōkoʔ-,follow
310-222,tehu1242,http://concepticon.clld.org/parameters/1085,'kˀewkˀ-,follow
310-483,tehu1242,http://concepticon.clld.org/parameters/1085,'-ayno-,follow
310-587,tehu1242,http://concepticon.clld.org/parameters/956,e 'moʔy-,flee
310-299,tehu1242,http://concepticon.clld.org/parameters/956,'māyno-,flee
310-697,tehu1242,http://concepticon.clld.org/parameters/581,'wāl-,come back
310-411,tehu1242,http://concepticon.clld.org/parameters/1446,'ā-,come
310-306,tehu1242,http://concepticon.clld.org/parameters/1446,'hēwt-,come
310-177,tehu1242,http://concepticon.clld.org/parameters/705,'-eknh-,go up
310-556,tehu1242,http://concepticon.clld.org/parameters/705,aw'reʔn-,go up
310-239,tehu1242,http://concepticon.clld.org/parameters/695,'čeʔn-,go
310-530,tehu1242,http://concepticon.clld.org/parameters/695,'waʔn-,go
310-184,tehu1242,http://concepticon.clld.org/parameters/1519,o'lakˀ-,run
310-756,tehu1242,http://concepticon.clld.org/parameters/1519,'āte-,run
310-718,tehu1242,http://concepticon.clld.org/parameters/1519,o'akˀr-,run
310-662,tehu1242,http://concepticon.clld.org/parameters/1443,e'rē-,walk
310-61,tehu1242,http://concepticon.clld.org/parameters/1879,'čočaʔw-,dance
310-547,tehu1242,http://concepticon.clld.org/parameters/1879,'anx-,dance
310-188,tehu1242,http://concepticon.clld.org/parameters/1829,e'heʔn-,"jump, leap"
310-119,tehu1242,http://concepticon.clld.org/parameters/1324,w'tˀoreʔ-,"slide, slip"
310-145,tehu1242,http://concepticon.clld.org/parameters/1324,e'tˀolḳˀ-,"slide, slip"
310-579,tehu1242,http://concepticon.clld.org/parameters/66,'tepˀn k e 'ōyeʔ-,kneel
310-148,tehu1242,http://concepticon.clld.org/parameters/175,e'šāpˀ-,blow
310-74,tehu1242,http://concepticon.clld.org/parameters/1441,'heʔn-,fly (vb)
310-166,tehu1242,http://concepticon.clld.org/parameters/1441,'wāleš-,fly (vb)
310-624,tehu1242,http://concepticon.clld.org/parameters/1441,hāše-,fly (vb)
310-280,tehu1242,http://concepticon.clld.org/parameters/1439,'šāg-he-,swim
310-224,tehu1242,http://concepticon.clld.org/parameters/1456,'-ayt-,throw
310-328,tehu1242,http://concepticon.clld.org/parameters/1456,'pˀaweʔ,throw
310-248,tehu1242,http://concepticon.clld.org/parameters/2253,'kētˀ-,drip
310-5,tehu1242,http://concepticon.clld.org/parameters/1280,'w-at-,fall
310-684,tehu1242,http://concepticon.clld.org/parameters/1280,'w-ahe-,fall
310-350,tehu1242,http://concepticon.clld.org/parameters/1588,'sarwroʔ,turn over
310-267,tehu1242,http://concepticon.clld.org/parameters/765,o'tat-,move
310-660,tehu1242,http://concepticon.clld.org/parameters/765,'yāʔ-,move
310-50,tehu1242,http://concepticon.clld.org/parameters/2001,'axn,paint (vb)
310-650,tehu1242,http://concepticon.clld.org/parameters/195,'eʔw,mat
310-308,tehu1242,http://concepticon.clld.org/parameters/1539,'pˀat,basket
310-76,tehu1242,http://concepticon.clld.org/parameters/1539,'hōl-n,basket
310-22,tehu1242,http://concepticon.clld.org/parameters/621,'tawk,iron
310-720,tehu1242,http://concepticon.clld.org/parameters/502,'hol-n,nail
310-576,tehu1242,http://concepticon.clld.org/parameters/502,'hāmtn,nail
310-147,tehu1242,http://concepticon.clld.org/parameters/245,'wamnektn-we,broom
310-510,tehu1242,http://concepticon.clld.org/parameters/230,'wamnwnkt,sweep
310-399,tehu1242,http://concepticon.clld.org/parameters/1453,'čˀaʔ-,wash
310-344,tehu1242,http://concepticon.clld.org/parameters/1453,'čˀaʔ-mčˀ,wash
310-751,tehu1242,http://concepticon.clld.org/parameters/1453,e'čˀe-,wash
310-706,tehu1242,http://concepticon.clld.org/parameters/38,e'wāyšm,spread out
310-288,tehu1242,http://concepticon.clld.org/parameters/38,'-aʔwrh-,spread out
310-359,tehu1242,http://concepticon.clld.org/parameters/38,'peteh-,spread out
310-498,tehu1242,http://concepticon.clld.org/parameters/214,'pˀeʔ-,stretch
310-550,tehu1242,http://concepticon.clld.org/parameters/1455,'-erh-,pull
310-180,tehu1242,http://concepticon.clld.org/parameters/1449,'-āyho-,"rub, wipe"
310-565,tehu1242,http://concepticon.clld.org/parameters/1449,'haloʔ-,"rub, wipe"
310-102,tehu1242,http://concepticon.clld.org/parameters/588,'wātˀeʔnk,broken
310-266,tehu1242,http://concepticon.clld.org/parameters/680,'-āteʔ-,break
310-415,tehu1242,http://concepticon.clld.org/parameters/680,'šaʔmčˀ-,break
310-153,tehu1242,http://concepticon.clld.org/parameters/677,'pelkel,ax
310-297,tehu1242,http://concepticon.clld.org/parameters/1352,'hen,knife
310-754,tehu1242,http://concepticon.clld.org/parameters/1434,'-āmx-,stab
310-558,tehu1242,http://concepticon.clld.org/parameters/1434,'čˀaʔteš-,stab
310-2,tehu1242,http://concepticon.clld.org/parameters/1432,'čˀer-,cut
310-584,tehu1242,http://concepticon.clld.org/parameters/1432,'wepˀlpˀ-,cut
310-643,tehu1242,http://concepticon.clld.org/parameters/1432,'tˀa/eḳˀnk,cut
310-108,tehu1242,http://concepticon.clld.org/parameters/2133,'-ah-y-e-,"strike (hit, beat)"
310-451,tehu1242,http://concepticon.clld.org/parameters/2133,'-ahe-,"strike (hit, beat)"
310-317,tehu1242,http://concepticon.clld.org/parameters/760,'tapˀr,knot (noun)
310-623,tehu1242,http://concepticon.clld.org/parameters/1218,'nontegen,"rope, cord"
310-319,tehu1242,http://concepticon.clld.org/parameters/1218,'kawn,"rope, cord"
310-281,tehu1242,http://concepticon.clld.org/parameters/1218,'kˀāčˀ,"rope, cord"
310-428,tehu1242,http://concepticon.clld.org/parameters/1917,'-oʔx-,"tie, bind"
310-572,tehu1242,http://concepticon.clld.org/parameters/1470,o'gerkˀer,fold
310-612,tehu1242,http://concepticon.clld.org/parameters/2004,'kˀaynen,bend
310-615,tehu1242,http://concepticon.clld.org/parameters/984,'čerč-,work
310-601,tehu1242,http://concepticon.clld.org/parameters/813,'mātˀ,"do, make"
310-683,tehu1242,http://concepticon.clld.org/parameters/813,'me-,"do, make"
310-308,tehu1242,http://concepticon.clld.org/parameters/1204,'pˀat,bark
310-106,tehu1242,http://concepticon.clld.org/parameters/344,'tˀe,tree trunk
310-103,tehu1242,http://concepticon.clld.org/parameters/1124,'anwe,pipe
310-192,tehu1242,http://concepticon.clld.org/parameters/1689,e'leʔ-,smoke (tobacco)
310-568,tehu1242,http://concepticon.clld.org/parameters/974,'g̣olḳl,tobacco
310-668,tehu1242,http://concepticon.clld.org/parameters/974,'yawč,tobacco
310-564,tehu1242,http://concepticon.clld.org/parameters/974,'eʔmḳn,tobacco
310-374,tehu1242,http://concepticon.clld.org/parameters/906,'gorwr,tree
310-20,tehu1242,http://concepticon.clld.org/parameters/670,'tˀapr,root
310-265,tehu1242,http://concepticon.clld.org/parameters/653,e'maxn,plant (noun)
310-65,tehu1242,http://concepticon.clld.org/parameters/606,'kˀōr,grass
310-28,tehu1242,http://concepticon.clld.org/parameters/1418,'-aʔy-,dig
310-401,tehu1242,http://concepticon.clld.org/parameters/1418,m 'sēwe-,dig
310-90,tehu1242,http://concepticon.clld.org/parameters/281,'ho,"post, pole"
310-448,tehu1242,http://concepticon.clld.org/parameters/281,'omkˀo,"post, pole"
310-272,tehu1242,http://concepticon.clld.org/parameters/281,'tˀēxn,"post, pole"
310-358,tehu1242,http://concepticon.clld.org/parameters/769,'kāw 'awrkˀn,roof
310-391,tehu1242,http://concepticon.clld.org/parameters/1476,'peyoy,chair
310-378,tehu1242,http://concepticon.clld.org/parameters/806,e'pˀokˀrn,blanket
310-549,tehu1242,http://concepticon.clld.org/parameters/1663,'y-awkˀn,bed
310-580,tehu1242,http://concepticon.clld.org/parameters/1632,'kerhkˀn,floor
310-620,tehu1242,http://concepticon.clld.org/parameters/1567,'gōnkˀo,"door, gate"
310-409,tehu1242,http://concepticon.clld.org/parameters/1450,'wawkˀn,room
310-486,tehu1242,http://concepticon.clld.org/parameters/1450,'čˀarškˀn,room
310-711,tehu1242,http://concepticon.clld.org/parameters/334,'kohtˀm,cookhouse
310-360,tehu1242,http://concepticon.clld.org/parameters/1316,'kāw,tent
310-735,tehu1242,http://concepticon.clld.org/parameters/1316,'weʔnay,tent
310-753,tehu1242,http://concepticon.clld.org/parameters/1099,'ḳarḳ-,"dwell, live"
310-253,tehu1242,http://concepticon.clld.org/parameters/1099,'wey 'en-,"dwell, live"
310-51,tehu1242,http://concepticon.clld.org/parameters/1171,'kˀē-yoy,mirror
310-589,tehu1242,http://concepticon.clld.org/parameters/1475,'wašmkˀenwe,comb
310-655,tehu1242,http://concepticon.clld.org/parameters/68,'šaʔyn,tattoo
310-434,tehu1242,http://concepticon.clld.org/parameters/330,k 'eroʔnwe,"headband, headdress"
310-425,tehu1242,http://concepticon.clld.org/parameters/330,k 'kˀohyenwe,"headband, headdress"
310-275,tehu1242,http://concepticon.clld.org/parameters/770,'kern,earring
310-507,tehu1242,http://concepticon.clld.org/parameters/1961,'g̣eroḳ ~ 'gerokn,necklace
310-692,tehu1242,http://concepticon.clld.org/parameters/1860,'hemnkn,bead
310-745,tehu1242,http://concepticon.clld.org/parameters/1754,'xentekn,bracelet
310-16,tehu1242,http://concepticon.clld.org/parameters/1374,'or 'ḳoʔgen,ring (for finger)
310-470,tehu1242,http://concepticon.clld.org/parameters/64,'kayčel,pin
310-534,tehu1242,http://concepticon.clld.org/parameters/64,'asr,pin
310-642,tehu1242,http://concepticon.clld.org/parameters/757,'sepr,button
310-49,tehu1242,http://concepticon.clld.org/parameters/2130,'kˀō,"hat, cap"
310-343,tehu1242,http://concepticon.clld.org/parameters/772,'wātˀn,"belt, girdle"
310-464,tehu1242,http://concepticon.clld.org/parameters/585,'čˀokr,boot
310-234,tehu1242,http://concepticon.clld.org/parameters/1381,'aʔyen,shoe
310-472,tehu1242,http://concepticon.clld.org/parameters/809,'čˀoreʔn,trousers
310-441,tehu1242,http://concepticon.clld.org/parameters/1600,'pokˀrn,skirt
310-539,tehu1242,http://concepticon.clld.org/parameters/1600,'oʔhyeʔn,skirt
310-310,tehu1242,http://concepticon.clld.org/parameters/603,'sāras,coat
310-268,tehu1242,http://concepticon.clld.org/parameters/603,'šalg̣e,coat
310-368,tehu1242,http://concepticon.clld.org/parameters/474,'aʔmn,woman's dress
310-738,tehu1242,http://concepticon.clld.org/parameters/327,'lečo,poncho
310-693,tehu1242,http://concepticon.clld.org/parameters/326,'kay,cloak
310-281,tehu1242,http://concepticon.clld.org/parameters/1161,'kˀāčˀ,thread
310-141,tehu1242,http://concepticon.clld.org/parameters/1382,'hol-n-we,needle
310-196,tehu1242,http://concepticon.clld.org/parameters/1457,'hol-,sew
310-80,tehu1242,http://concepticon.clld.org/parameters/1457,m 'wākˀekˀe-,sew
310-392,tehu1242,http://concepticon.clld.org/parameters/133,'wetˀ,weave
310-379,tehu1242,http://concepticon.clld.org/parameters/121,'meḳˀ-,spin
310-351,tehu1242,http://concepticon.clld.org/parameters/277,'meḳˀn-we,spindle
310-367,tehu1242,http://concepticon.clld.org/parameters/277,'tēnokn,spindle
310-693,tehu1242,http://concepticon.clld.org/parameters/629,'kay,leather
310-140,tehu1242,http://concepticon.clld.org/parameters/629,'kortˀwen,leather
310-325,tehu1242,http://concepticon.clld.org/parameters/580,'čˀeh,fur
310-137,tehu1242,http://concepticon.clld.org/parameters/580,'geper,fur
310-742,tehu1242,http://concepticon.clld.org/parameters/580,šon,fur
310-104,tehu1242,http://concepticon.clld.org/parameters/964,'pah,wool
310-476,tehu1242,http://concepticon.clld.org/parameters/1895,'ḳāḳewtn,"clothing, clothes"
310-621,tehu1242,http://concepticon.clld.org/parameters/1556,'sayg̣on ~ šeg̣on,egg yolk
310-112,tehu1242,http://concepticon.clld.org/parameters/744,'seʔn,egg
310-205,tehu1242,http://concepticon.clld.org/parameters/744,'ōm,egg
310-474,tehu1242,http://concepticon.clld.org/parameters/1639,'lam,beer
310-474,tehu1242,http://concepticon.clld.org/parameters/1524,'lam,wine
310-736,tehu1242,http://concepticon.clld.org/parameters/731,'āčˀ,"beverage, drink"
310-36,tehu1242,http://concepticon.clld.org/parameters/93,'nax-tˀn,milk (vb)
310-107,tehu1242,http://concepticon.clld.org/parameters/635,'nax,milk (noun)
310-485,tehu1242,http://concepticon.clld.org/parameters/862,'ḳˀoʔn,sugar
310-311,tehu1242,http://concepticon.clld.org/parameters/862,'ḳā,sugar
310-355,tehu1242,http://concepticon.clld.org/parameters/1274,'hečn,salt
310-484,tehu1242,http://concepticon.clld.org/parameters/1274,'čˀagaʔ,salt
310-383,tehu1242,http://concepticon.clld.org/parameters/323,'ām,"grease, fat"
310-237,tehu1242,http://concepticon.clld.org/parameters/323,'ol,"grease, fat"
310-485,tehu1242,http://concepticon.clld.org/parameters/1507,'ḳˀoʔn,fruit
310-658,tehu1242,http://concepticon.clld.org/parameters/1507,'ḳōn,fruit
310-736,tehu1242,http://concepticon.clld.org/parameters/1547,'āčˀ,"soup, broth"
310-113,tehu1242,http://concepticon.clld.org/parameters/634,'yepˀr,meat
310-59,tehu1242,http://concepticon.clld.org/parameters/224,'ečˀ-,mortar (2)
310-435,tehu1242,http://concepticon.clld.org/parameters/1594,'xelmn,"meal, flour"
310-508,tehu1242,http://concepticon.clld.org/parameters/2017,'ayox-,"stir, mix"
310-250,tehu1242,http://concepticon.clld.org/parameters/1368,'kˀātˀn,bread
310-285,tehu1242,http://concepticon.clld.org/parameters/1302,'oreʔ,fork (2)
310-297,tehu1242,http://concepticon.clld.org/parameters/1352,'hen,knife (2)
310-286,tehu1242,http://concepticon.clld.org/parameters/1352,'pˀayxn,knife (2)
310-728,tehu1242,http://concepticon.clld.org/parameters/1378,'kˀoyoʔ,spoon
310-496,tehu1242,http://concepticon.clld.org/parameters/476,'kˀonkn,"cup, drinking vessel"
310-716,tehu1242,http://concepticon.clld.org/parameters/854,'kˀonpˀnk,kettle
310-418,tehu1242,http://concepticon.clld.org/parameters/1462,'aškˀm,"pot, cooking vessel"
310-575,tehu1242,http://concepticon.clld.org/parameters/1462,'kˀātˀn-we,"pot, cooking vessel"
310-758,tehu1242,http://concepticon.clld.org/parameters/1143,'pekˀ,oven
310-654,tehu1242,http://concepticon.clld.org/parameters/792,'ḳatḳte-,boil (vb)
310-149,tehu1242,http://concepticon.clld.org/parameters/2146,m 'ḳˀax-,"roast, fry"
310-207,tehu1242,http://concepticon.clld.org/parameters/1100,'opˀen-,cook
310-433,tehu1242,http://concepticon.clld.org/parameters/1100,'pˀāk-,cook
310-318,tehu1242,http://concepticon.clld.org/parameters/1100,'wān,cook
310-703,tehu1242,http://concepticon.clld.org/parameters/897,e'oʔ-,swallow
310-691,tehu1242,http://concepticon.clld.org/parameters/848,'ow-kˀen,thirst
310-88,tehu1242,http://concepticon.clld.org/parameters/1533,'pāl-,hunger
310-531,tehu1242,http://concepticon.clld.org/parameters/1401,e 'leʔ-,drink
310-181,tehu1242,http://concepticon.clld.org/parameters/1401,k m'leʔ-,drink
310-230,tehu1242,http://concepticon.clld.org/parameters/1728,'posḳnk,rotten
310-69,tehu1242,http://concepticon.clld.org/parameters/178,e'aš,ripe
310-69,tehu1242,http://concepticon.clld.org/parameters/269,e'aš,cooked
310-124,tehu1242,http://concepticon.clld.org/parameters/256,'hātˀn,food
310-159,tehu1242,http://concepticon.clld.org/parameters/256,'gā,food
310-274,tehu1242,http://concepticon.clld.org/parameters/1336,'hatˀ-ye-,eat
310-406,tehu1242,http://concepticon.clld.org/parameters/1336,'pˀaʔen,eat
310-21,tehu1242,http://concepticon.clld.org/parameters/1336,'wetˀ-,eat
310-197,tehu1242,http://concepticon.clld.org/parameters/1463,e'hornk,intoxicated
310-323,tehu1242,http://concepticon.clld.org/parameters/1653,'aykˀn 'čˀom,blind
310-416,tehu1242,http://concepticon.clld.org/parameters/996,'gēpnk,deaf
310-734,tehu1242,http://concepticon.clld.org/parameters/168,k-m 'šān-,rest
310-100,tehu1242,http://concepticon.clld.org/parameters/1564,k 'maš-,lazy
310-712,tehu1242,http://concepticon.clld.org/parameters/1757,'wōtš-,"tired, weary"
310-521,tehu1242,http://concepticon.clld.org/parameters/1372,'ākč,"medicine, drug"
310-629,tehu1242,http://concepticon.clld.org/parameters/597,'waʔmenk,physician
310-493,tehu1242,http://concepticon.clld.org/parameters/499,'ayo-,"cure, heal"
310-714,tehu1242,http://concepticon.clld.org/parameters/148,'poltˀel-,itch
310-482,tehu1242,http://concepticon.clld.org/parameters/1903,k 'šeneʔš-,swelling
310-638,tehu1242,http://concepticon.clld.org/parameters/1109,'čām,"wound, sore"
310-605,tehu1242,http://concepticon.clld.org/parameters/1109,'wepˀlpˀn,"wound, sore"
310-347,tehu1242,http://concepticon.clld.org/parameters/1847,'šoyo-,"sick, sickness"
310-671,tehu1242,http://concepticon.clld.org/parameters/1847,'kaheyšo-,"sick, sickness"
310-669,tehu1242,http://concepticon.clld.org/parameters/1364,k 'hāpˀn,"well, health"
310-617,tehu1242,http://concepticon.clld.org/parameters/1364,k 'hāpˀnk,"well, health"
310-458,tehu1242,http://concepticon.clld.org/parameters/1601,k 'mašenk,weak
310-473,tehu1242,http://concepticon.clld.org/parameters/1601,k 'gōlnk,weak
310-516,tehu1242,http://concepticon.clld.org/parameters/785,'pˀaro-,"strong, mighty, powerful"
310-165,tehu1242,http://concepticon.clld.org/parameters/1719,'-ah-,bury (the dead)
310-19,tehu1242,http://concepticon.clld.org/parameters/1719,'-aʔkr-,bury (the dead)
310-121,tehu1242,http://concepticon.clld.org/parameters/767,'ham-n-k,corpse
310-436,tehu1242,http://concepticon.clld.org/parameters/1417,e'ma-,kill
310-467,tehu1242,http://concepticon.clld.org/parameters/1494,'ham-,"die, dead"
310-130,tehu1242,http://concepticon.clld.org/parameters/1422,'aykˀ-,"live, living, life"
310-632,tehu1242,http://concepticon.clld.org/parameters/1123,'wašeynen,pregnant
310-664,tehu1242,http://concepticon.clld.org/parameters/1090,'ele-,born (to be)
310-622,tehu1242,http://concepticon.clld.org/parameters/1152,'aml 'mātˀ-,beget (of father)
310-9,tehu1242,http://concepticon.clld.org/parameters/138,k 'šāg-,bathe
310-454,tehu1242,http://concepticon.clld.org/parameters/1785,'yō-,have sexual intercourse
310-169,tehu1242,http://concepticon.clld.org/parameters/1785,'ātˀ-,have sexual intercourse
310-384,tehu1242,http://concepticon.clld.org/parameters/676,'šaʔ-,defecate
310-279,tehu1242,http://concepticon.clld.org/parameters/592,'tˀēpˀ-,urinate
310-432,tehu1242,http://concepticon.clld.org/parameters/1602,e'paš-,wake up
310-43,tehu1242,http://concepticon.clld.org/parameters/1920,k 'yōm-,dream
310-538,tehu1242,http://concepticon.clld.org/parameters/1983,'čˀayto 'hoh-,snore
310-201,tehu1242,http://concepticon.clld.org/parameters/1585,'kˀōtˀ-,sleep
310-146,tehu1242,http://concepticon.clld.org/parameters/1585,e'šeʔne-,sleep
310-42,tehu1242,http://concepticon.clld.org/parameters/319,'ōtˀ-,lick
310-447,tehu1242,http://concepticon.clld.org/parameters/1403,'šō-,bite
310-233,tehu1242,http://concepticon.clld.org/parameters/1440,'tēp,spit
310-369,tehu1242,http://concepticon.clld.org/parameters/1278,'wayg̣n-,vomit
310-132,tehu1242,http://concepticon.clld.org/parameters/1278,'ʔwtˀon-,vomit
310-748,tehu1242,http://concepticon.clld.org/parameters/1278,'ḳoʔrn-,vomit
310-13,tehu1242,http://concepticon.clld.org/parameters/162,'palpšn,hiccough
310-289,tehu1242,http://concepticon.clld.org/parameters/879,k 'aʔwn-,cough
310-518,tehu1242,http://concepticon.clld.org/parameters/1407,'hoh-,"breathe, breath"
310-297,tehu1242,http://concepticon.clld.org/parameters/1222,'hen,penis
310-704,tehu1242,http://concepticon.clld.org/parameters/797,'naʔm,testicle
310-170,tehu1242,http://concepticon.clld.org/parameters/804,'tˀeʔn,womb
310-226,tehu1242,http://concepticon.clld.org/parameters/804,'oškˀn,womb
310-729,tehu1242,http://concepticon.clld.org/parameters/834,'čˀō,buttocks
310-705,tehu1242,http://concepticon.clld.org/parameters/1745,'goh,hip
310-750,tehu1242,http://concepticon.clld.org/parameters/1681,'āč,waist
310-154,tehu1242,http://concepticon.clld.org/parameters/1681,'gewkl,waist
310-529,tehu1242,http://concepticon.clld.org/parameters/1991,'lē,"intestines, guts"
310-361,tehu1242,http://concepticon.clld.org/parameters/819,'hatˀn,stomach
310-312,tehu1242,http://concepticon.clld.org/parameters/1224,'čˀew,liver
310-231,tehu1242,http://concepticon.clld.org/parameters/489,'tap,kidney
310-527,tehu1242,http://concepticon.clld.org/parameters/688,'golt,lung
310-41,tehu1242,http://concepticon.clld.org/parameters/1223,'šeh,heart
310-101,tehu1242,http://concepticon.clld.org/parameters/1223,'koyenkˀn,heart
310-392,tehu1242,http://concepticon.clld.org/parameters/1838,'wetˀ,navel
310-107,tehu1242,http://concepticon.clld.org/parameters/154,'nax,udder
310-505,tehu1242,http://concepticon.clld.org/parameters/1402,'hēn,breast (of woman)
