ID,Language_ID,Feature_ID,Value,Concept
32-531,andi1255,http://concepticon.clld.org/parameters/1427,багъу,beautiful
32-47,andi1255,http://concepticon.clld.org/parameters/1687,беццихъиду,praise
32-733,andi1255,http://concepticon.clld.org/parameters/381,гьила бигъоллу,blame
32-1058,andi1255,http://concepticon.clld.org/parameters/381,путан бигъоллу,blame
32-106,andi1255,http://concepticon.clld.org/parameters/1293,чІило,"mistake, error"
32-248,andi1255,http://concepticon.clld.org/parameters/1293,гъалатІ,"mistake, error"
32-715,andi1255,http://concepticon.clld.org/parameters/134,чІило данигьир,fault
32-106,andi1255,http://concepticon.clld.org/parameters/1390,чІило,wrong
32-21,andi1255,http://concepticon.clld.org/parameters/1725,вутІи,"right, correct"
32-1018,andi1255,http://concepticon.clld.org/parameters/1292,тІулу,bad
32-690,andi1255,http://concepticon.clld.org/parameters/1035,чончи,good
32-1220,andi1255,http://concepticon.clld.org/parameters/1035,шув,good
32-760,andi1255,http://concepticon.clld.org/parameters/1528,гьилакку,forgive
32-200,andi1255,http://concepticon.clld.org/parameters/1528,вулІиду,forgive
32-229,andi1255,http://concepticon.clld.org/parameters/13,бужоллу,deceit
32-857,andi1255,http://concepticon.clld.org/parameters/601,шогул,"lie, tell lies"
32-1149,andi1255,http://concepticon.clld.org/parameters/601,мараги,"lie, tell lies"
32-746,andi1255,http://concepticon.clld.org/parameters/601,мидигу,"lie, tell lies"
32-807,andi1255,http://concepticon.clld.org/parameters/1657,гьумгъиб,true
32-33,andi1255,http://concepticon.clld.org/parameters/100,бужурлогусси,faithful
32-1204,andi1255,http://concepticon.clld.org/parameters/1092,хьул бикІиду,hope
32-1209,andi1255,http://concepticon.clld.org/parameters/1784,хьул,"desire, want"
32-163,andi1255,http://concepticon.clld.org/parameters/1750,вочІиду,choose
32-39,andi1255,http://concepticon.clld.org/parameters/1810,сирдир,danger
32-39,andi1255,http://concepticon.clld.org/parameters/781,сирдир,"fear, fright"
32-889,andi1255,http://concepticon.clld.org/parameters/3,бэъйа,brave
32-239,andi1255,http://concepticon.clld.org/parameters/1779,къваку,dare
32-1299,andi1255,http://concepticon.clld.org/parameters/174,чІугьунниб,proud
32-1148,andi1255,http://concepticon.clld.org/parameters/1776,сули,shame (noun)
32-352,andi1255,http://concepticon.clld.org/parameters/40,бахилълъар,"envy, jealousy"
32-569,andi1255,http://concepticon.clld.org/parameters/40,рокІо хъубилъир,"envy, jealousy"
32-638,andi1255,http://concepticon.clld.org/parameters/82,ссим,anger
