ID,Language_ID,Feature_ID,Value,Concept
34-1104,akhv1239,http://concepticon.clld.org/parameters/1576,гекьи-кьІа билъулахъе,pile up
34-899,akhv1239,http://concepticon.clld.org/parameters/1576,бушавлахъе,pile up
34-899,akhv1239,http://concepticon.clld.org/parameters/371,бушавлахъе,pick up
34-47,akhv1239,http://concepticon.clld.org/parameters/371,гьерчІавлахъе,pick up
34-899,akhv1239,http://concepticon.clld.org/parameters/7,бушавлахъе,"collect, gather"
34-405,akhv1239,http://concepticon.clld.org/parameters/838,гекьи буххери,"remains, left overs"
34-1069,akhv1239,http://concepticon.clld.org/parameters/987,буххулахъе,"remain, stay"
34-685,akhv1239,http://concepticon.clld.org/parameters/1442,багъавлахъе,stand
34-1040,akhv1239,http://concepticon.clld.org/parameters/215,кІвамулахъе,lie down
34-1397,akhv1239,http://concepticon.clld.org/parameters/1416,гъарде бугъулахъе,sit
34-663,akhv1239,http://concepticon.clld.org/parameters/998,билъулахъе,put
34-327,akhv1239,http://concepticon.clld.org/parameters/723,миша,place
34-1254,akhv1239,http://concepticon.clld.org/parameters/1591,-кьІа,"up, above"
34-927,akhv1239,http://concepticon.clld.org/parameters/1485,гекьи,under
34-437,akhv1239,http://concepticon.clld.org/parameters/762,бехалъихъе,outside
34-372,akhv1239,http://concepticon.clld.org/parameters/1606,гелІи,"inside, in"
34-966,akhv1239,http://concepticon.clld.org/parameters/1019,ссиги,front
34-966,akhv1239,http://concepticon.clld.org/parameters/1882,ссиги,before
34-43,akhv1239,http://concepticon.clld.org/parameters/1882,гьошделакъІо,before
34-926,akhv1239,http://concepticon.clld.org/parameters/1326,гекьа,"down, below"
34-39,akhv1239,http://concepticon.clld.org/parameters/1326,кьІавнекьа,"down, below"
34-86,akhv1239,http://concepticon.clld.org/parameters/1816,эшебахъе,beside
34-1063,akhv1239,http://concepticon.clld.org/parameters/723,хъІедо,behind
34-1063,akhv1239,http://concepticon.clld.org/parameters/1685,хъІедо,after
34-446,akhv1239,http://concepticon.clld.org/parameters/1098,данулахъе,weigh
34-1216,akhv1239,http://concepticon.clld.org/parameters/884,бикъулахъе,share (distribute)
34-612,akhv1239,http://concepticon.clld.org/parameters/1887,учузедаб,cheap
34-661,akhv1239,http://concepticon.clld.org/parameters/1426,ххирадаба,"dear (costly, expensive)"
34-19,akhv1239,http://concepticon.clld.org/parameters/657,багьа,price
34-451,akhv1239,http://concepticon.clld.org/parameters/752,тукани,"store, shop"
34-943,akhv1239,http://concepticon.clld.org/parameters/633,базари,market (place)
34-950,akhv1239,http://concepticon.clld.org/parameters/1082,даранчи,merchant
34-202,akhv1239,http://concepticon.clld.org/parameters/2135,охье-бехери,"trade, barter"
34-302,akhv1239,http://concepticon.clld.org/parameters/1571,охьулахъе,sell
34-1274,akhv1239,http://concepticon.clld.org/parameters/1869,бехулахъе,buy
34-772,akhv1239,http://concepticon.clld.org/parameters/733,бичайтІулахъе,earn
34-254,akhv1239,http://concepticon.clld.org/parameters/1122,харже,wages
34-329,akhv1239,http://concepticon.clld.org/parameters/1122,мишо,wages
34-1310,akhv1239,http://concepticon.clld.org/parameters/856,заманалъа бехулахъе,hire
34-1237,akhv1239,http://concepticon.clld.org/parameters/873,налоги,"tax, tribute"
34-231,akhv1239,http://concepticon.clld.org/parameters/873,магъало,"tax, tribute"
34-136,akhv1239,http://concepticon.clld.org/parameters/1081,хІисаб,"account, reckoning"
34-194,akhv1239,http://concepticon.clld.org/parameters/718,гьебе охьулахъе,pay (vb)
34-583,akhv1239,http://concepticon.clld.org/parameters/1914,къарзе,debt
34-737,akhv1239,http://concepticon.clld.org/parameters/1914,гьебе,debt
34-735,akhv1239,http://concepticon.clld.org/parameters/369,къарзикьи (гьебекьи) бикІулахъе,owe
34-573,akhv1239,http://concepticon.clld.org/parameters/1823,къарзелълъа бехулахъе,borrow
34-548,akhv1239,http://concepticon.clld.org/parameters/582,къарзелълъа охьулахъе,lend
34-63,akhv1239,http://concepticon.clld.org/parameters/1774,къарундав,"avaricious, stingy"
34-1032,akhv1239,http://concepticon.clld.org/parameters/1774,хъарсиндаб,"avaricious, stingy"
34-5,akhv1239,http://concepticon.clld.org/parameters/1934,хъІаролІи,beggar
34-116,akhv1239,http://concepticon.clld.org/parameters/1674,мискиндаба,poor
34-51,akhv1239,http://concepticon.clld.org/parameters/712,мачадав,rich
34-1024,akhv1239,http://concepticon.clld.org/parameters/1867,кІкІанаб арчи,coin
34-412,akhv1239,http://concepticon.clld.org/parameters/1867,кІебекІи,coin
34-1133,akhv1239,http://concepticon.clld.org/parameters/1559,арчи,money
34-132,akhv1239,http://concepticon.clld.org/parameters/1095,утессулахъе,"release, let go"
34-1023,akhv1239,http://concepticon.clld.org/parameters/1095,отулахъе,"release, let go"
34-1331,akhv1239,http://concepticon.clld.org/parameters/1660,бухьавлахъе,lose
34-53,akhv1239,http://concepticon.clld.org/parameters/719,бичуᴴлахъе,find
34-742,akhv1239,http://concepticon.clld.org/parameters/1468,эхъевлахъе,"seek, look for"
34-507,akhv1239,http://concepticon.clld.org/parameters/44,зарал гувлахъе,"harm, injure, damage"
34-1048,akhv1239,http://concepticon.clld.org/parameters/681,баххавлахъе,destroy
34-83,akhv1239,http://concepticon.clld.org/parameters/2008,хвассар гувлахъе,"save, rescue"
34-139,akhv1239,http://concepticon.clld.org/parameters/2008,борчІилейтІулахъе,"save, rescue"
34-712,akhv1239,http://concepticon.clld.org/parameters/1997,чІинулахъе,"preserve, look after"
34-605,akhv1239,http://concepticon.clld.org/parameters/85,беха бушавлахъе,give back
34-302,akhv1239,http://concepticon.clld.org/parameters/1447,охьулахъе,give
34-917,akhv1239,http://concepticon.clld.org/parameters/738,къай-чІвай,thing
34-712,akhv1239,http://concepticon.clld.org/parameters/1477,чІинулахъе,"keep, retain"
34-1049,akhv1239,http://concepticon.clld.org/parameters/694,бекъІулахъе,"get, obtain"
34-747,akhv1239,http://concepticon.clld.org/parameters/1448,бихьулахъе,hold
