ID,Language_ID,Feature_ID,Value,Concept
38-298,ghod1238,http://concepticon.clld.org/parameters/704,цӀинкӀи,clean
38-1010,ghod1238,http://concepticon.clld.org/parameters/1230,хъуби,"dirty, soiled"
38-944,ghod1238,http://concepticon.clld.org/parameters/1287,сайи,cold
38-512,ghod1238,http://concepticon.clld.org/parameters/1232,ансса,warm
38-1234,ghod1238,http://concepticon.clld.org/parameters/1286,цӀатабу,hot
38-1125,ghod1238,http://concepticon.clld.org/parameters/1398,бекъу,dry
38-45,ghod1238,http://concepticon.clld.org/parameters/1726,биччи,"wet, damp"
38-1005,ghod1238,http://concepticon.clld.org/parameters/1052,папа,light (in weight)
38-682,ghod1238,http://concepticon.clld.org/parameters/1210,гьакӀуба,heavy
38-383,ghod1238,http://concepticon.clld.org/parameters/379,гъвантІи,"blunt, dull"
38-62,ghod1238,http://concepticon.clld.org/parameters/1396,багьараб,sharp
38-469,ghod1238,http://concepticon.clld.org/parameters/1234,битІи(ссу),smooth
38-916,ghod1238,http://concepticon.clld.org/parameters/1923,хъачІаб,rough
38-963,ghod1238,http://concepticon.clld.org/parameters/1856,лъуна,soft
38-674,ghod1238,http://concepticon.clld.org/parameters/1884,бещаб,hard
38-1024,ghod1238,http://concepticon.clld.org/parameters/1079,—,feel
38-1045,ghod1238,http://concepticon.clld.org/parameters/1892,кӀутӀиᴴ,touch
38-1020,ghod1238,http://concepticon.clld.org/parameters/378,ццими,pinch
38-697,ghod1238,http://concepticon.clld.org/parameters/1425,ххайи,green
38-97,ghod1238,http://concepticon.clld.org/parameters/1424,ччакку,yellow
38-774,ghod1238,http://concepticon.clld.org/parameters/837,хъайилІа,blue
38-661,ghod1238,http://concepticon.clld.org/parameters/156,ирхха,red
38-422,ghod1238,http://concepticon.clld.org/parameters/163,бечӀер,black
38-1127,ghod1238,http://concepticon.clld.org/parameters/1335,гьацӀа,white
38-1072,ghod1238,http://concepticon.clld.org/parameters/706,синдил,dark (in color)
38-1216,ghod1238,http://concepticon.clld.org/parameters/250,квану,light (in color)
38-979,ghod1238,http://concepticon.clld.org/parameters/1613,кьери,color
38-1216,ghod1238,http://concepticon.clld.org/parameters/679,квану,bright
38-566,ghod1238,http://concepticon.clld.org/parameters/708,канлъи,shine
38-1033,ghod1238,http://concepticon.clld.org/parameters/1039,гьаъали,show
38-7,ghod1238,http://concepticon.clld.org/parameters/1819,гьалищи,"look, look at"
38-685,ghod1238,http://concepticon.clld.org/parameters/1409,гьаи,see
38-1061,ghod1238,http://concepticon.clld.org/parameters/1314,щинтӀибу,"quiet, silence"
38-360,ghod1238,http://concepticon.clld.org/parameters/1314,аччахъибешттабу,"quiet, silence"
38-1097,ghod1238,http://concepticon.clld.org/parameters/377,анлъалу,loud
38-951,ghod1238,http://concepticon.clld.org/parameters/1811,лъаччу,"sound, noise"
38-24,ghod1238,http://concepticon.clld.org/parameters/1608,гьантӀукӀʼа рикки,listen
38-508,ghod1238,http://concepticon.clld.org/parameters/1408,анлъи,hear
38-1038,ghod1238,http://concepticon.clld.org/parameters/70,ццаᴴйихӀалаб,brackish
38-1235,ghod1238,http://concepticon.clld.org/parameters/1906,цикку,"acid, sour"
38-967,ghod1238,http://concepticon.clld.org/parameters/887,букьа,bitter
38-807,ghod1238,http://concepticon.clld.org/parameters/1091,цаᴴйи,salty
38-851,ghod1238,http://concepticon.clld.org/parameters/717,мицца,sweet
38-398,ghod1238,http://concepticon.clld.org/parameters/21,миццалъир,taste
38-645,ghod1238,http://concepticon.clld.org/parameters/21,тІагІам,taste
38-1023,ghod1238,http://concepticon.clld.org/parameters/42,бакъати,"stinking, bad smelling"
38-56,ghod1238,http://concepticon.clld.org/parameters/42,хъуби шаᴴйи,"stinking, bad smelling"
38-720,ghod1238,http://concepticon.clld.org/parameters/376,тӀагӀамаб-чӀиквар шаᴴйи,"fragrant, good smelling"
38-614,ghod1238,http://concepticon.clld.org/parameters/1586,щунни,smell (vb trans)
38-1231,ghod1238,http://concepticon.clld.org/parameters/1586,ссунтІиди,smell (vb trans)
38-652,ghod1238,http://concepticon.clld.org/parameters/375,шунни,sniff
38-841,ghod1238,http://concepticon.clld.org/parameters/1587,шаᴴйи баи,smell (vb intrans)
38-788,ghod1238,http://concepticon.clld.org/parameters/691,решилІи заман,season
38-1186,ghod1238,http://concepticon.clld.org/parameters/1342,къину,summer
38-102,ghod1238,http://concepticon.clld.org/parameters/1276,барийан,autumn
38-1226,ghod1238,http://concepticon.clld.org/parameters/1537,реибу,spring
38-922,ghod1238,http://concepticon.clld.org/parameters/1537,ре̄бу,spring
38-893,ghod1238,http://concepticon.clld.org/parameters/1471,ццибуру,winter
38-497,ghod1238,http://concepticon.clld.org/parameters/1226,реши,year
38-1259,ghod1238,http://concepticon.clld.org/parameters/1370,пурццу,month
38-908,ghod1238,http://concepticon.clld.org/parameters/1700,шаматзибу,Saturday
38-122,ghod1238,http://concepticon.clld.org/parameters/1692,рузманзибу,Friday
38-852,ghod1238,http://concepticon.clld.org/parameters/1693,хамиззибу,Thursday
38-1027,ghod1238,http://concepticon.clld.org/parameters/1694,гӀарбагӀзибу,Wednesday
38-836,ghod1238,http://concepticon.clld.org/parameters/1695,талатзибу,Tuesday
38-997,ghod1238,http://concepticon.clld.org/parameters/1697,итнизибу,Monday
38-903,ghod1238,http://concepticon.clld.org/parameters/1469,гьакьу,week
38-847,ghod1238,http://concepticon.clld.org/parameters/1699,базарзибу,Sunday
38-406,ghod1238,http://concepticon.clld.org/parameters/1323,сагӀати,"clock, timepiece"
38-406,ghod1238,http://concepticon.clld.org/parameters/1353,сагӀати,hour
38-103,ghod1238,http://concepticon.clld.org/parameters/1180,сунассуру,day-before-yesterday
38-1268,ghod1238,http://concepticon.clld.org/parameters/1174,суни,yesterday
38-1141,ghod1238,http://concepticon.clld.org/parameters/1179,саву,day-after-tomorrow
38-785,ghod1238,http://concepticon.clld.org/parameters/1329,рахара,tomorrow
38-692,ghod1238,http://concepticon.clld.org/parameters/1283,гьелъе,today
38-1053,ghod1238,http://concepticon.clld.org/parameters/1629,маркӀачӀулъи,evening
38-1057,ghod1238,http://concepticon.clld.org/parameters/1807,милълъарахъи,afternoon
38-585,ghod1238,http://concepticon.clld.org/parameters/12,лъел,"noon, midday"
38-690,ghod1238,http://concepticon.clld.org/parameters/12,лъелзаман,"noon, midday"
38-476,ghod1238,http://concepticon.clld.org/parameters/1339,рахакьи,morning
38-138,ghod1238,http://concepticon.clld.org/parameters/729,кванлъир,dawn
38-749,ghod1238,http://concepticon.clld.org/parameters/1260,зибу,day
38-577,ghod1238,http://concepticon.clld.org/parameters/1233,релъади,night
38-1142,ghod1238,http://concepticon.clld.org/parameters/1233,релъа,night
38-973,ghod1238,http://concepticon.clld.org/parameters/204,цӀидасса,again
38-496,ghod1238,http://concepticon.clld.org/parameters/204,гьерала,again
38-874,ghod1238,http://concepticon.clld.org/parameters/1656,анщидала,never
38-498,ghod1238,http://concepticon.clld.org/parameters/418,бегъукъалІи,long-time (for a)
38-506,ghod1238,http://concepticon.clld.org/parameters/703,бекъада,soon
38-801,ghod1238,http://concepticon.clld.org/parameters/1544,анщи-анщи,sometimes
38-756,ghod1238,http://concepticon.clld.org/parameters/1852,бекъа-бекъа,often
38-317,ghod1238,http://concepticon.clld.org/parameters/1676,индала,always
38-350,ghod1238,http://concepticon.clld.org/parameters/1676,индадала,always
38-63,ghod1238,http://concepticon.clld.org/parameters/790,хӀадурав,ready
38-1136,ghod1238,http://concepticon.clld.org/parameters/1928,бикъвали,"cease, stop"
38-775,ghod1238,http://concepticon.clld.org/parameters/1928,булІали,"cease, stop"
38-775,ghod1238,http://concepticon.clld.org/parameters/1766,булІали,finish
38-620,ghod1238,http://concepticon.clld.org/parameters/743,вулІи,end (temporal)
38-550,ghod1238,http://concepticon.clld.org/parameters/743,булІи,end (temporal)
38-210,ghod1238,http://concepticon.clld.org/parameters/743,йулІи,end (temporal)
38-208,ghod1238,http://concepticon.clld.org/parameters/1186,дагӀинда-дагӀин,"last, endure"
38-698,ghod1238,http://concepticon.clld.org/parameters/1806,байбихьи иᴴгьи,"begin, beginning"
38-224,ghod1238,http://concepticon.clld.org/parameters/425,суруса бихани,"retard, delay"
38-811,ghod1238,http://concepticon.clld.org/parameters/754,гӀедегӀил иᴴгьи,"hasten, hurry"
38-419,ghod1238,http://concepticon.clld.org/parameters/701,сурисабу,slow
38-707,ghod1238,http://concepticon.clld.org/parameters/1631,ххеххав,"swift, fast, quick"
38-400,ghod1238,http://concepticon.clld.org/parameters/1963,ххеххи,immediately
38-1139,ghod1238,http://concepticon.clld.org/parameters/1963,бекъа,immediately
38-229,ghod1238,http://concepticon.clld.org/parameters/1376,гьера,now
38-393,ghod1238,http://concepticon.clld.org/parameters/477,кватӀаᴴ,late
38-506,ghod1238,http://concepticon.clld.org/parameters/672,бекъада,early
38-1325,ghod1238,http://concepticon.clld.org/parameters/1229,вахар,old
38-197,ghod1238,http://concepticon.clld.org/parameters/1207,гӀолохъанав,young
38-300,ghod1238,http://concepticon.clld.org/parameters/1207,бахІарав,young
38-242,ghod1238,http://concepticon.clld.org/parameters/1231,цӀиᴴву,new
38-1165,ghod1238,http://concepticon.clld.org/parameters/1789,гӀʼасру,age
38-16,ghod1238,http://concepticon.clld.org/parameters/417,лъабцІида,three times
38-748,ghod1238,http://concepticon.clld.org/parameters/892,замана,time
38-80,ghod1238,http://concepticon.clld.org/parameters/892,къару,time
38-376,ghod1238,http://concepticon.clld.org/parameters/1859,лъабулъиссу,third
38-428,ghod1238,http://concepticon.clld.org/parameters/1546,кІʼанцІида,two times
38-191,ghod1238,http://concepticon.clld.org/parameters/1546,кІеда микъилІи,two times
38-466,ghod1238,http://concepticon.clld.org/parameters/1888,кІеда,pair
38-1314,ghod1238,http://concepticon.clld.org/parameters/1888,садахъе,pair
38-504,ghod1238,http://concepticon.clld.org/parameters/1384,кІе̄лъиссу,second
38-220,ghod1238,http://concepticon.clld.org/parameters/1529,гьичІи бехутІуссу,last
38-112,ghod1238,http://concepticon.clld.org/parameters/1529,гьичІиракъударассу,last
38-613,ghod1238,http://concepticon.clld.org/parameters/728,гьичІи ссебассу,first
38-547,ghod1238,http://concepticon.clld.org/parameters/965,дунел,world
38-1031,ghod1238,http://concepticon.clld.org/parameters/626,улка,"earth, land"
38-1205,ghod1238,http://concepticon.clld.org/parameters/626,хІукумат,"earth, land"
38-1166,ghod1238,http://concepticon.clld.org/parameters/1228,ракьи,"earth=ground, soil"
38-928,ghod1238,http://concepticon.clld.org/parameters/1228,унщи,"earth=ground, soil"
38-1200,ghod1238,http://concepticon.clld.org/parameters/640,чарта,mud
38-443,ghod1238,http://concepticon.clld.org/parameters/2,дада,dust
38-225,ghod1238,http://concepticon.clld.org/parameters/671,сира,sand
38-729,ghod1238,http://concepticon.clld.org/parameters/2118,бегьил рекъа,"mountain, hill"
38-616,ghod1238,http://concepticon.clld.org/parameters/2118,бе̄л,"mountain, hill"
38-1199,ghod1238,http://concepticon.clld.org/parameters/618,кьуду,"cliff, precipice"
38-389,ghod1238,http://concepticon.clld.org/parameters/652,хури,"plain, field"
38-536,ghod1238,http://concepticon.clld.org/parameters/921,реккин,valley
38-1296,ghod1238,http://concepticon.clld.org/parameters/622,чІинкІиллъи,island
38-1330,ghod1238,http://concepticon.clld.org/parameters/166,бечІуха ракьи,mainland
38-827,ghod1238,http://concepticon.clld.org/parameters/113,релъалІи бакил,shore
38-941,ghod1238,http://concepticon.clld.org/parameters/1155,речча,cave
38-166,ghod1238,http://concepticon.clld.org/parameters/948,лълъени,water
38-1142,ghod1238,http://concepticon.clld.org/parameters/1474,релъа,sea
38-375,ghod1238,http://concepticon.clld.org/parameters/258,щинтІибу (релъа),calm (of sea)
