ID,Language_ID,Feature_ID,Value,Concept
401-1322,thai1261,http://concepticon.clld.org/parameters/1440,nam.4 la:j.1,spit
401-317,thai1261,http://concepticon.clld.org/parameters/126,ŋɨa.2 ʔɔ:k.2,perspire
401-107,thai1261,http://concepticon.clld.org/parameters/1318,kaj.2,chicken
401-11,thai1261,http://concepticon.clld.org/parameters/319,lia.1,lick
401-1610,thai1261,http://concepticon.clld.org/parameters/1643,ja:t.3,cousin
401-716,thai1261,http://concepticon.clld.org/parameters/1654,fa:.4 lɛ:p.3,lightning
401-1382,thai1261,http://concepticon.clld.org/parameters/81,chuaŋ.3 ha:ŋ.2,"span, fathom"
401-757,thai1261,http://concepticon.clld.org/parameters/81,chuaŋ.3,"span, fathom"
401-972,thai1261,http://concepticon.clld.org/parameters/388,hɛ:.5,fishnet
401-1033,thai1261,http://concepticon.clld.org/parameters/1332,phɨan.3 ban.3,neighbor
401-670,thai1261,http://concepticon.clld.org/parameters/1810,ʔan.1-ta.1-ra:j.1,danger
401-94,thai1261,http://concepticon.clld.org/parameters/1014,rɨ:.5,or
401-761,thai1261,http://concepticon.clld.org/parameters/1506,ma:t.3 wat.4,measure
401-1742,thai1261,http://concepticon.clld.org/parameters/1621,ca:m.1,sneeze
401-664,thai1261,http://concepticon.clld.org/parameters/274,nuat.3,knead
401-1733,thai1261,http://concepticon.clld.org/parameters/274,pan.3,knead
401-1078,thai1261,http://concepticon.clld.org/parameters/875,cha:ŋ.3 tham.1 rɔ:ŋ.1 tha:w.4,"shoemaker, cobbler"
401-242,thai1261,http://concepticon.clld.org/parameters/829,can.1-than.1,rafter
401-1020,thai1261,http://concepticon.clld.org/parameters/670,ra:k.3,root
401-1599,thai1261,http://concepticon.clld.org/parameters/1514,mɛ:.3 kaj.2,hen
401-247,thai1261,http://concepticon.clld.org/parameters/1430,da:w.1,star
401-844,thai1261,http://concepticon.clld.org/parameters/1642,la:n.5 sa:w.5,niece
401-1561,thai1261,http://concepticon.clld.org/parameters/1486,plu:k.2,plant (vb)
401-534,thai1261,http://concepticon.clld.org/parameters/19,sa:j.5 bet.2,fishing line
401-1714,thai1261,http://concepticon.clld.org/parameters/1459,tha:.3,if
401-1237,thai1261,http://concepticon.clld.org/parameters/781,klua.1,"fear, fright"
401-974,thai1261,http://concepticon.clld.org/parameters/1323,na:.1-li:.4-ka:.1,"clock, timepiece"
401-1447,thai1261,http://concepticon.clld.org/parameters/479,to:.1,grow
401-1500,thai1261,http://concepticon.clld.org/parameters/479,ŋɔ:k.3,grow
401-1336,thai1261,http://concepticon.clld.org/parameters/479,təp.2 to:.1,grow
401-131,thai1261,http://concepticon.clld.org/parameters/479,ca.1-rə:n.1 ŋɔ:k.3 ŋa:m.1,grow
401-457,thai1261,http://concepticon.clld.org/parameters/1934,khɔ:.5 tha:n.1,beggar
401-1693,thai1261,http://concepticon.clld.org/parameters/1934,wa.4-ni.4-phok.4,beggar
401-1085,thai1261,http://concepticon.clld.org/parameters/1047,laj.3 ta:m.1,pursue
401-730,thai1261,http://concepticon.clld.org/parameters/653,phɨ:t.3,plant (noun)
401-526,thai1261,http://concepticon.clld.org/parameters/280,ʔok.2 kaj.2,ridgepole
401-793,thai1261,http://concepticon.clld.org/parameters/273,pɛ:ŋ.3 thi:.3 pha.1-som.5 lɛʔ.4 nuat.3 lɛ:w.4,dough
401-639,thai1261,http://concepticon.clld.org/parameters/879,ʔaj.1,cough
401-917,thai1261,http://concepticon.clld.org/parameters/1063,la:n.5 cha:j.1,nephew
401-744,thai1261,http://concepticon.clld.org/parameters/414,thu:n.1,carry-on-head
401-626,thai1261,http://concepticon.clld.org/parameters/1313,phraʔ.4-can.1,moon
401-528,thai1261,http://concepticon.clld.org/parameters/1313,duaŋ.1 can.1,moon
401-292,thai1261,http://concepticon.clld.org/parameters/170,ʔa:.1,father's sister
401-37,thai1261,http://concepticon.clld.org/parameters/170,pa:.3,father's sister
401-1049,thai1261,http://concepticon.clld.org/parameters/882,nok.4 kɛ:w.3,parrot
401-3,thai1261,http://concepticon.clld.org/parameters/692,nam.1 ma:.1,bring
401-931,thai1261,http://concepticon.clld.org/parameters/162,sa.1-ʔɨk.2,hiccough
401-1531,thai1261,http://concepticon.clld.org/parameters/171,na:.4,mother's sister
401-37,thai1261,http://concepticon.clld.org/parameters/171,pa:.3,mother's sister
401-1482,thai1261,http://concepticon.clld.org/parameters/1733,ruŋ.4,rainbow
401-1630,thai1261,http://concepticon.clld.org/parameters/1733,sa:j.1 ruŋ.4,rainbow
401-1257,thai1261,http://concepticon.clld.org/parameters/1733,ruŋ.4 kin.1 nam.4,rainbow
401-896,thai1261,http://concepticon.clld.org/parameters/1160,co:n.1,thief
401-895,thai1261,http://concepticon.clld.org/parameters/1074,ta.1-khɔ:.5 kiaw.2,fishhook
401-1508,thai1261,http://concepticon.clld.org/parameters/1074,bet.2,fishhook
401-803,thai1261,http://concepticon.clld.org/parameters/1074,khɔ:.5,fishhook
401-514,thai1261,http://concepticon.clld.org/parameters/1358,sat.2-tru:.1,enemy
401-118,thai1261,http://concepticon.clld.org/parameters/724,ʔa:n.2,read
401-1673,thai1261,http://concepticon.clld.org/parameters/1157,phɔʔ.4,because
401-1240,thai1261,http://concepticon.clld.org/parameters/3,kla:.3-ha:n.5,brave
401-256,thai1261,http://concepticon.clld.org/parameters/1819,mɔ:ŋ.1,"look, look at"
401-606,thai1261,http://concepticon.clld.org/parameters/1819,mɔ:ŋ.1 du:.1,"look, look at"
401-1560,thai1261,http://concepticon.clld.org/parameters/1674,con.1,poor
401-49,thai1261,http://concepticon.clld.org/parameters/1085,ta:m.1,follow
401-1513,thai1261,http://concepticon.clld.org/parameters/342,fa:ŋ.1,hay
401-303,thai1261,http://concepticon.clld.org/parameters/1187,ha:n.2,goose
401-1509,thai1261,http://concepticon.clld.org/parameters/279,laŋ.5-kha:.1 baj.1 ca:k.2,thatch
401-825,thai1261,http://concepticon.clld.org/parameters/585,rɔ:ŋ.1 tha:w.4 hum.3 khɔ:.3,boot
