ID,Language_ID,Feature_ID,Value,Concept
404-1046,nort2740,http://concepticon.clld.org/parameters/1440,na:m.6 la:i.2,spit
404-1243,nort2740,http://concepticon.clld.org/parameters/126,hɨ:a.3 ʔɔ:k.3,perspire
404-1057,nort2740,http://concepticon.clld.org/parameters/1318,kai.3,chicken
404-36,nort2740,http://concepticon.clld.org/parameters/319,li:a.2,lick
404-185,nort2740,http://concepticon.clld.org/parameters/1643,pi:.4 nɔ:ŋ.6,cousin
404-528,nort2740,http://concepticon.clld.org/parameters/1654,fa:.6 mɛ:p.4,lightning
404-24,nort2740,http://concepticon.clld.org/parameters/81,suaŋ.4 ha:ŋ.3,"span, fathom"
404-200,nort2740,http://concepticon.clld.org/parameters/388,hɛ:.1,fishnet
404-1227,nort2740,http://concepticon.clld.org/parameters/1332,pɨ:an.4 ba:n.5,neighbor
404-93,nort2740,http://concepticon.clld.org/parameters/1014,lɨ:.1,or
404-275,nort2740,http://concepticon.clld.org/parameters/1810,ʔan.2 ta.7 la:i.2,danger
404-548,nort2740,http://concepticon.clld.org/parameters/1506,khɨ:aŋ.4 wat.6,measure
404-741,nort2740,http://concepticon.clld.org/parameters/1774,khi:.5 ci.7,"avaricious, stingy"
404-1247,nort2740,http://concepticon.clld.org/parameters/1621,ca:m.1,sneeze
404-1229,nort2740,http://concepticon.clld.org/parameters/274,pan.5,knead
404-562,nort2740,http://concepticon.clld.org/parameters/875,khon.2 tɛ:ŋ.3 kɨ:ak.3,"shoemaker, cobbler"
404-1256,nort2740,http://concepticon.clld.org/parameters/829,can.2 than.2,rafter
404-148,nort2740,http://concepticon.clld.org/parameters/670,ha:k.4,root
404-916,nort2740,http://concepticon.clld.org/parameters/1514,kai.3 mɛ:.4,hen
404-1021,nort2740,http://concepticon.clld.org/parameters/1430,da:u.2,star
404-991,nort2740,http://concepticon.clld.org/parameters/1642,la:n.1 sa:u.1,niece
404-339,nort2740,http://concepticon.clld.org/parameters/1486,pu:k.3,plant (vb)
