ID,Language_ID,Feature_ID,Value,Concept
409-252,shan1277,http://concepticon.clld.org/parameters/1187,ha:n.2,goose
409-82,shan1277,http://concepticon.clld.org/parameters/1318,kaj.2,chicken
409-415,shan1277,http://concepticon.clld.org/parameters/1643,pi:.4 nɔ:ŋ.5,cousin
409-75,shan1277,http://concepticon.clld.org/parameters/1733,hoŋ.1-haj.1,rainbow
409-909,shan1277,http://concepticon.clld.org/parameters/1733,hoŋ.1-haj.1 tok.1 kin.3 nam.5,rainbow
409-829,shan1277,http://concepticon.clld.org/parameters/250,si:.3 ʔɔ:n.2,light (in color)
409-854,shan1277,http://concepticon.clld.org/parameters/250,si:.3 ca:ŋ.3,light (in color)
409-573,shan1277,http://concepticon.clld.org/parameters/1654,pha:.5 mjɛp.4,lightning
409-574,shan1277,http://concepticon.clld.org/parameters/81,khɨ:p.4,"span, fathom"
409-1002,shan1277,http://concepticon.clld.org/parameters/1332,taj.1 kɔ:.5 wan.4 lew.3 kan.3,neighbor
409-806,shan1277,http://concepticon.clld.org/parameters/388,hɛ:.3,fishnet
409-1387,shan1277,http://concepticon.clld.org/parameters/1014,ʔam.2 nan.3,or
409-1447,shan1277,http://concepticon.clld.org/parameters/1506,tjɛ:k.4,measure
409-1163,shan1277,http://concepticon.clld.org/parameters/1810,ʔan.2-ta.2-le:.2,danger
409-401,shan1277,http://concepticon.clld.org/parameters/670,ha:k.4,root
409-1437,shan1277,http://concepticon.clld.org/parameters/1774,khi:.4 thi:.2,"avaricious, stingy"
409-803,shan1277,http://concepticon.clld.org/parameters/1514,kaj.2 mɛ:.4,hen
409-1068,shan1277,http://concepticon.clld.org/parameters/1621,khi:.4 ca:m.3,sneeze
409-804,shan1277,http://concepticon.clld.org/parameters/274,no:t.4,knead
409-1475,shan1277,http://concepticon.clld.org/parameters/274,pan.4,knead
409-265,shan1277,http://concepticon.clld.org/parameters/875,kon.1 het.1 sɔk.1-tin.3,"shoemaker, cobbler"
409-843,shan1277,http://concepticon.clld.org/parameters/829,maj.5 lat.1 cɔ:m.3,rafter
409-1495,shan1277,http://concepticon.clld.org/parameters/1642,la:n.3 sa:w.3,niece
409-824,shan1277,http://concepticon.clld.org/parameters/1486,phu:k.2,plant (vb)
409-1481,shan1277,http://concepticon.clld.org/parameters/1430,la:w.3,star
409-759,shan1277,http://concepticon.clld.org/parameters/19,sa:j.3 met.1,fishing line
409-1226,shan1277,http://concepticon.clld.org/parameters/1459,saŋ.3 wa:.4,if
409-1438,shan1277,http://concepticon.clld.org/parameters/781,ko:.3,"fear, fright"
409-1193,shan1277,http://concepticon.clld.org/parameters/1323,na:.2-li:.2,"clock, timepiece"
409-1367,shan1277,http://concepticon.clld.org/parameters/479,cew.1 jaɨ.2,grow
409-570,shan1277,http://concepticon.clld.org/parameters/1934,kon.1 tuk.5,beggar
409-1264,shan1277,http://concepticon.clld.org/parameters/1934,kon.1 jɔ:n.1,beggar
