ID,Language_ID,Feature_ID,Value,Concept
41-1252,khva1239,http://concepticon.clld.org/parameters/193,кІанур,shallow
41-1267,khva1239,http://concepticon.clld.org/parameters/1593,гъваридал,deep
41-103,khva1239,http://concepticon.clld.org/parameters/1400,зейзу,thin (in dimension)
41-1406,khva1239,http://concepticon.clld.org/parameters/1400,нишу,thin (in dimension)
41-1150,khva1239,http://concepticon.clld.org/parameters/1244,личу,thick (in dimension)
41-691,khva1239,http://concepticon.clld.org/parameters/1244,лъалъару,thick (in dimension)
41-1406,khva1239,http://concepticon.clld.org/parameters/1267,нишу,narrow
41-524,khva1239,http://concepticon.clld.org/parameters/1243,хойлу,"wide, broad"
41-1150,khva1239,http://concepticon.clld.org/parameters/1243,личу,"wide, broad"
41-815,khva1239,http://concepticon.clld.org/parameters/1645,кІойту,short
41-1278,khva1239,http://concepticon.clld.org/parameters/711,лехола,tall
41-1278,khva1239,http://concepticon.clld.org/parameters/1203,лехола,long
41-721,khva1239,http://concepticon.clld.org/parameters/1246,акІей,"small, little"
41-1387,khva1239,http://concepticon.clld.org/parameters/1202,лукъу,"large, big"
41-1280,khva1239,http://concepticon.clld.org/parameters/81,тІигьу,"span, fathom"
41-1004,khva1239,http://concepticon.clld.org/parameters/1506,насагьа,measure
41-1202,khva1239,http://concepticon.clld.org/parameters/1506,наса,measure
41-507,khva1239,http://concepticon.clld.org/parameters/479,лехъа,grow
41-435,khva1239,http://concepticon.clld.org/parameters/479,букъу бехъва,grow
41-159,khva1239,http://concepticon.clld.org/parameters/1595,къилба,south
41-1402,khva1239,http://concepticon.clld.org/parameters/1598,север,north
41-214,khva1239,http://concepticon.clld.org/parameters/1817,бухъ микьазаса,west
41-1163,khva1239,http://concepticon.clld.org/parameters/1817,магъриб,west
41-1066,khva1239,http://concepticon.clld.org/parameters/1877,бухъ болІохазаса,east
41-304,khva1239,http://concepticon.clld.org/parameters/1877,машрикъ,east
41-39,khva1239,http://concepticon.clld.org/parameters/1406,михъе,far (adv)
41-1013,khva1239,http://concepticon.clld.org/parameters/1942,погьо,near (adv)
41-1175,khva1239,http://concepticon.clld.org/parameters/244,кІвечІабе (пу),left (side)
41-1331,khva1239,http://concepticon.clld.org/parameters/1019,кІветІабе (пу),right (side)
41-499,khva1239,http://concepticon.clld.org/parameters/1093,болъакьоса микІо,"middle, center"
41-1146,khva1239,http://concepticon.clld.org/parameters/682,пу,side
41-479,khva1239,http://concepticon.clld.org/parameters/863,бала,edge
41-1379,khva1239,http://concepticon.clld.org/parameters/372,цІокъу,pointed
41-637,khva1239,http://concepticon.clld.org/parameters/742,рагІал,end
41-1079,khva1239,http://concepticon.clld.org/parameters/742,ахир,end
41-892,khva1239,http://concepticon.clld.org/parameters/690,икьу,bottom
41-69,khva1239,http://concepticon.clld.org/parameters/1753,кеча,top
41-1276,khva1239,http://concepticon.clld.org/parameters/721,гилъ,low
41-160,khva1239,http://concepticon.clld.org/parameters/1265,кьала,high
41-1310,khva1239,http://concepticon.clld.org/parameters/602,цицаха,"hide, conceal"
41-1108,khva1239,http://concepticon.clld.org/parameters/602,гвангва,"hide, conceal"
41-466,khva1239,http://concepticon.clld.org/parameters/761,цуцаха,cover
41-1357,khva1239,http://concepticon.clld.org/parameters/761,кьолал латІакІва,cover
41-1030,khva1239,http://concepticon.clld.org/parameters/1046,нухъа,"shut, close"
41-889,khva1239,http://concepticon.clld.org/parameters/1156,нагъа,open
41-168,khva1239,http://concepticon.clld.org/parameters/1119,бикьида,divide
41-61,khva1239,http://concepticon.clld.org/parameters/1119,литІа,divide
41-1362,khva1239,http://concepticon.clld.org/parameters/1359,батІал лува,separate
41-1158,khva1239,http://concepticon.clld.org/parameters/1743,гьадийакьал лулІха,"join, unite"
41-1172,khva1239,http://concepticon.clld.org/parameters/1576,лулІха,pile up
41-710,khva1239,http://concepticon.clld.org/parameters/371,шуна,pick up
41-199,khva1239,http://concepticon.clld.org/parameters/371,лака,pick up
41-1172,khva1239,http://concepticon.clld.org/parameters/7,лулІха,"collect, gather"
41-1225,khva1239,http://concepticon.clld.org/parameters/838,гилъ лІиха гьибан,"remains, left overs"
41-741,khva1239,http://concepticon.clld.org/parameters/987,лІихва,"remain, stay"
41-1161,khva1239,http://concepticon.clld.org/parameters/1442,багьбеча,stand
41-95,khva1239,http://concepticon.clld.org/parameters/215,йахъа,lie down
41-94,khva1239,http://concepticon.clld.org/parameters/215,лъеса,lie down
41-1342,khva1239,http://concepticon.clld.org/parameters/1416,къуде беча,sit
41-1273,khva1239,http://concepticon.clld.org/parameters/998,гила,put
41-215,khva1239,http://concepticon.clld.org/parameters/723,мукІо,place
41-160,khva1239,http://concepticon.clld.org/parameters/1591,кьала,"up, above"
41-1276,khva1239,http://concepticon.clld.org/parameters/1485,гилъ,under
41-1287,khva1239,http://concepticon.clld.org/parameters/762,маджал,outside
41-160,khva1239,http://concepticon.clld.org/parameters/762,кьала,outside
41-1276,khva1239,http://concepticon.clld.org/parameters/1606,гилъ,"inside, in"
41-508,khva1239,http://concepticon.clld.org/parameters/1019,адгъол,front
41-766,khva1239,http://concepticon.clld.org/parameters/1882,адгъолижа,before
41-286,khva1239,http://concepticon.clld.org/parameters/1326,голъ,"down, below"
41-1013,khva1239,http://concepticon.clld.org/parameters/1816,погьо,beside
41-424,khva1239,http://concepticon.clld.org/parameters/1816,ого,beside
41-975,khva1239,http://concepticon.clld.org/parameters/723,гилъикьоса,behind
41-1013,khva1239,http://concepticon.clld.org/parameters/723,погьо,behind
41-914,khva1239,http://concepticon.clld.org/parameters/1685,жогьо,after
41-404,khva1239,http://concepticon.clld.org/parameters/1685,гьед,after
41-1202,khva1239,http://concepticon.clld.org/parameters/1098,наса,weigh
41-328,khva1239,http://concepticon.clld.org/parameters/1098,лакка,weigh
41-236,khva1239,http://concepticon.clld.org/parameters/884,литІа-лона,share (distribute)
41-168,khva1239,http://concepticon.clld.org/parameters/884,бикьида,share (distribute)
41-1239,khva1239,http://concepticon.clld.org/parameters/1887,учузар,cheap
41-1144,khva1239,http://concepticon.clld.org/parameters/1426,хирийав,"dear (costly, expensive)"
41-12,khva1239,http://concepticon.clld.org/parameters/657,багьа,price
41-1408,khva1239,http://concepticon.clld.org/parameters/752,тука,"store, shop"
41-579,khva1239,http://concepticon.clld.org/parameters/633,базар,market (place)
41-361,khva1239,http://concepticon.clld.org/parameters/1082,базарган,merchant
41-483,khva1239,http://concepticon.clld.org/parameters/2135,даран,"trade, barter"
41-216,khva1239,http://concepticon.clld.org/parameters/1571,тилъа,sell
41-985,khva1239,http://concepticon.clld.org/parameters/1571,хижа,sell
41-591,khva1239,http://concepticon.clld.org/parameters/1869,леза,buy
41-125,khva1239,http://concepticon.clld.org/parameters/733,тилІа,earn
41-813,khva1239,http://concepticon.clld.org/parameters/1122,хаж,wages
41-1130,khva1239,http://concepticon.clld.org/parameters/856,ос бува,hire
41-844,khva1239,http://concepticon.clld.org/parameters/873,магъал,"tax, tribute"
41-437,khva1239,http://concepticon.clld.org/parameters/873,налуг,"tax, tribute"
41-122,khva1239,http://concepticon.clld.org/parameters/1081,хІисаб,"account, reckoning"
41-1010,khva1239,http://concepticon.clld.org/parameters/718,ас тилІа,pay (vb)
41-1305,khva1239,http://concepticon.clld.org/parameters/1914,налъи,debt
41-17,khva1239,http://concepticon.clld.org/parameters/369,налъулав,owe
41-157,khva1239,http://concepticon.clld.org/parameters/1823,къарза ласа,borrow
41-315,khva1239,http://concepticon.clld.org/parameters/582,къарза тилъа,lend
41-958,khva1239,http://concepticon.clld.org/parameters/1774,бахилав,"avaricious, stingy"
41-250,khva1239,http://concepticon.clld.org/parameters/1934,гьоддам,beggar
41-685,khva1239,http://concepticon.clld.org/parameters/1674,бискинав,poor
41-946,khva1239,http://concepticon.clld.org/parameters/1674,мискинав,poor
41-1129,khva1239,http://concepticon.clld.org/parameters/712,бечедав,rich
41-1042,khva1239,http://concepticon.clld.org/parameters/712,мичагьав,rich
41-981,khva1239,http://concepticon.clld.org/parameters/1867,шагьи,coin
41-347,khva1239,http://concepticon.clld.org/parameters/1867,келес ос,coin
41-883,khva1239,http://concepticon.clld.org/parameters/1559,ос,money
41-567,khva1239,http://concepticon.clld.org/parameters/1095,лештІа,"release, let go"
41-858,khva1239,http://concepticon.clld.org/parameters/1660,лита,lose
41-1293,khva1239,http://concepticon.clld.org/parameters/719,лиса,find
41-1302,khva1239,http://concepticon.clld.org/parameters/719,лахъаха,find
41-743,khva1239,http://concepticon.clld.org/parameters/719,лисаха,find
41-600,khva1239,http://concepticon.clld.org/parameters/1468,кІвел,"seek, look for"
41-470,khva1239,http://concepticon.clld.org/parameters/44,зарал бува,"harm, injure, damage"
41-658,khva1239,http://concepticon.clld.org/parameters/681,лийаха,destroy
41-282,khva1239,http://concepticon.clld.org/parameters/681,куша,destroy
41-752,khva1239,http://concepticon.clld.org/parameters/2008,хвасар бува,"save, rescue"
41-1296,khva1239,http://concepticon.clld.org/parameters/1997,цІена,"preserve, look after"
41-924,khva1239,http://concepticon.clld.org/parameters/85,жокъомел латІакІа,give back
41-154,khva1239,http://concepticon.clld.org/parameters/85,жокъемел тилІа,give back
41-125,khva1239,http://concepticon.clld.org/parameters/1447,тилІа,give
41-597,khva1239,http://concepticon.clld.org/parameters/738,гьибан,thing
41-1296,khva1239,http://concepticon.clld.org/parameters/1477,цІена,"keep, retain"
41-784,khva1239,http://concepticon.clld.org/parameters/694,ласа,"get, obtain"
41-327,khva1239,http://concepticon.clld.org/parameters/694,лахъа,"get, obtain"
41-1302,khva1239,http://concepticon.clld.org/parameters/1448,лахъаха,hold
41-243,khva1239,http://concepticon.clld.org/parameters/2021,хехилъана лахъаха,"seize, grasp"
41-784,khva1239,http://concepticon.clld.org/parameters/1749,ласа,take
41-899,khva1239,http://concepticon.clld.org/parameters/684,ихтирайаб (гьибан) леча,"own, possess"
41-736,khva1239,http://concepticon.clld.org/parameters/773,леча,have
41-1322,khva1239,http://concepticon.clld.org/parameters/773,мидеба леча,have
41-1026,khva1239,http://concepticon.clld.org/parameters/1922,чІидокьо лечха,land (vb)
41-372,khva1239,http://concepticon.clld.org/parameters/610,порт,"harbor, port"
41-872,khva1239,http://concepticon.clld.org/parameters/1870,йакорь,anchor
41-1346,khva1239,http://concepticon.clld.org/parameters/786,парус,sail (noun)
41-977,khva1239,http://concepticon.clld.org/parameters/184,мачта,mast
41-919,khva1239,http://concepticon.clld.org/parameters/108,рул,rudder
41-106,khva1239,http://concepticon.clld.org/parameters/1849,квани лува,row (vb)
41-653,khva1239,http://concepticon.clld.org/parameters/234,рахан,paddle (noun)
41-653,khva1239,http://concepticon.clld.org/parameters/108,рахан,oar
41-1216,khva1239,http://concepticon.clld.org/parameters/1664,плот,raft
41-98,khva1239,http://concepticon.clld.org/parameters/416,лодка,outrigger
41-98,khva1239,http://concepticon.clld.org/parameters/1970,лодка,canoe
41-98,khva1239,http://concepticon.clld.org/parameters/1844,лодка,boat
41-550,khva1239,http://concepticon.clld.org/parameters/740,гама,ship
41-162,khva1239,http://concepticon.clld.org/parameters/14,гъамут,yoke
41-420,khva1239,http://concepticon.clld.org/parameters/14,рилІо,yoke
41-245,khva1239,http://concepticon.clld.org/parameters/1769,семи,axle
41-224,khva1239,http://concepticon.clld.org/parameters/710,гъабал,wheel
41-397,khva1239,http://concepticon.clld.org/parameters/122,хІоно,"carriage, wagon, cart"
41-852,khva1239,http://concepticon.clld.org/parameters/1011,тІеро,bridge
41-179,khva1239,http://concepticon.clld.org/parameters/2252,нишу гьуни,path
41-1174,khva1239,http://concepticon.clld.org/parameters/2252,лолес гьуни,path
41-515,khva1239,http://concepticon.clld.org/parameters/667,гьуни,road
41-1399,khva1239,http://concepticon.clld.org/parameters/1452,хъуна,"push, shove"
41-794,khva1239,http://concepticon.clld.org/parameters/367,сайрокьо макІа,ride
41-734,khva1239,http://concepticon.clld.org/parameters/367,микьа,ride
41-213,khva1239,http://concepticon.clld.org/parameters/741,машинакьо макІа,drive
41-734,khva1239,http://concepticon.clld.org/parameters/741,микьа,drive
41-1157,khva1239,http://concepticon.clld.org/parameters/43,беза,lead (vb)
41-414,khva1239,http://concepticon.clld.org/parameters/1127,бештІа,send
41-567,khva1239,http://concepticon.clld.org/parameters/1127,лештІа,send
41-793,khva1239,http://concepticon.clld.org/parameters/692,никъва,bring
41-952,khva1239,http://concepticon.clld.org/parameters/415,къогелъна гилна беза,carry-underarm
41-115,khva1239,http://concepticon.clld.org/parameters/415,кьвакьин гилна леза,carry-underarm
41-1416,khva1239,http://concepticon.clld.org/parameters/414,къемкьон гилна беза,carry-on-head
41-231,khva1239,http://concepticon.clld.org/parameters/413,къехвон гилна беза,carry-on-shoulder
41-1031,khva1239,http://concepticon.clld.org/parameters/413,мичІокьо леза,carry-on-shoulder
41-581,khva1239,http://concepticon.clld.org/parameters/412,лекьенбасна беза,carry-in-hand
41-1157,khva1239,http://concepticon.clld.org/parameters/700,беза,carry (bear)
41-1271,khva1239,http://concepticon.clld.org/parameters/749,гилъел бехъва,enter
41-531,khva1239,http://concepticon.clld.org/parameters/1778,огоха,approach
41-268,khva1239,http://concepticon.clld.org/parameters/1778,погьолъал лихва,approach
41-385,khva1239,http://concepticon.clld.org/parameters/1387,жогьо ботІкъа,"reach, arrive"
41-1415,khva1239,http://concepticon.clld.org/parameters/1047,жогьо эча,pursue
41-854,khva1239,http://concepticon.clld.org/parameters/1085,жогьо лихьа,follow
41-101,khva1239,http://concepticon.clld.org/parameters/1085,халгьи бува,follow
41-719,khva1239,http://concepticon.clld.org/parameters/956,бича,flee
41-26,khva1239,http://concepticon.clld.org/parameters/485,бита,disappear
41-1260,khva1239,http://concepticon.clld.org/parameters/1752,жокъел макІа,"go away, depart"
41-734,khva1239,http://concepticon.clld.org/parameters/1752,микьа,"go away, depart"
41-1353,khva1239,http://concepticon.clld.org/parameters/581,жокъемел лихва,come back
41-418,khva1239,http://concepticon.clld.org/parameters/1446,батІтІа,come
41-625,khva1239,http://concepticon.clld.org/parameters/1107,магъол мехъва,go out
41-288,khva1239,http://concepticon.clld.org/parameters/2014,гилъхой лихІа,go down
41-592,khva1239,http://concepticon.clld.org/parameters/2014,гилъхол микьа,go down
41-459,khva1239,http://concepticon.clld.org/parameters/1102,кьалагъол багьа,climb
41-826,khva1239,http://concepticon.clld.org/parameters/705,кьалагъол йекІа,go up
41-104,khva1239,http://concepticon.clld.org/parameters/705,кьалагъол микьа,go up
41-648,khva1239,http://concepticon.clld.org/parameters/695,йекІа,go
41-734,khva1239,http://concepticon.clld.org/parameters/695,микьа,go
