ID,Language_ID,Feature_ID,Value,Concept
412-301,guib1244,http://concepticon.clld.org/parameters/1187,ha:n.5,goose
412-109,guib1244,http://concepticon.clld.org/parameters/1318,ka:i.5,chicken
412-1153,guib1244,http://concepticon.clld.org/parameters/1851,tai.6,pocket
412-374,guib1244,http://concepticon.clld.org/parameters/692,ta:i.5 tau.3,bring
412-1385,guib1244,http://concepticon.clld.org/parameters/692,tɨ.2 tau.3,bring
412-1258,guib1244,http://concepticon.clld.org/parameters/1643,ko.3 pi:u.3,cousin
412-931,guib1244,http://concepticon.clld.org/parameters/1643,nu:ŋ.4 pi:u.3,cousin
412-1238,guib1244,http://concepticon.clld.org/parameters/1643,ce.3 pi:u.3,cousin
412-195,guib1244,http://concepticon.clld.org/parameters/1654,lap.8 liŋ.6,lightning
412-652,guib1244,http://concepticon.clld.org/parameters/81,huk.8,"span, fathom"
412-35,guib1244,http://concepticon.clld.org/parameters/388,mu:ŋ.4,fishnet
412-1492,guib1244,http://concepticon.clld.org/parameters/388,zwe.1,fishnet
412-61,guib1244,http://concepticon.clld.org/parameters/1332,wun.2 he:n.2 za:n.2,neighbor
412-1286,guib1244,http://concepticon.clld.org/parameters/1332,wun.2 de:n.1 za:n.2,neighbor
412-634,guib1244,http://concepticon.clld.org/parameters/1014,ho.6 nau.2,or
412-546,guib1244,http://concepticon.clld.org/parameters/1810,jim.3,danger
412-1323,guib1244,http://concepticon.clld.org/parameters/1810,jim.3 kai.1,danger
412-1245,guib1244,http://concepticon.clld.org/parameters/1506,ta:k.8,measure
412-853,guib1244,http://concepticon.clld.org/parameters/1774,kje:t.8,"avaricious, stingy"
412-180,guib1244,http://concepticon.clld.org/parameters/1621,a:t.7 cɨ:i.3,sneeze
412-409,guib1244,http://concepticon.clld.org/parameters/274,ho.2 mi:n.6,knead
412-1330,guib1244,http://concepticon.clld.org/parameters/875,ca:ŋ.6 ha:i.2,"shoemaker, cobbler"
412-1081,guib1244,http://concepticon.clld.org/parameters/829,tak.7 fwe:k.7,rafter
