ID,Language_ID,Feature_ID,Value,Concept
419-79,sout2741,http://concepticon.clld.org/parameters/1187,ʔan.33,goose
419-11,sout2741,http://concepticon.clld.org/parameters/1318,qai.53,chicken
419-344,sout2741,http://concepticon.clld.org/parameters/1643,ćai.31 ńoŋ.31 pju.13,cousin
419-710,sout2741,http://concepticon.clld.org/parameters/490,pan.55 lən.212,descendants
419-214,sout2741,http://concepticon.clld.org/parameters/1654,lap.13,lightning
419-260,sout2741,http://concepticon.clld.org/parameters/81,śe.55,"span, fathom"
419-947,sout2741,http://concepticon.clld.org/parameters/1332,ćok.31 khai.453,neighbor
419-1258,sout2741,http://concepticon.clld.org/parameters/388,je.35,fishnet
419-142,sout2741,http://concepticon.clld.org/parameters/1014,nu.53 śi.33,or
419-1282,sout2741,http://concepticon.clld.org/parameters/1733,ljoŋ.212,rainbow
419-523,sout2741,http://concepticon.clld.org/parameters/1810,wâi.212 śen.31,danger
419-626,sout2741,http://concepticon.clld.org/parameters/1506,ljaŋ.212,measure
419-345,sout2741,http://concepticon.clld.org/parameters/670,saŋ.55,root
419-984,sout2741,http://concepticon.clld.org/parameters/1774,khât.13,"avaricious, stingy"
419-935,sout2741,http://concepticon.clld.org/parameters/1621,jân.53,sneeze
419-103,sout2741,http://concepticon.clld.org/parameters/274,ho.212 mjen.55,knead
419-112,sout2741,http://concepticon.clld.org/parameters/875,śaŋ.33 hai.212,"shoemaker, cobbler"
419-1256,sout2741,http://concepticon.clld.org/parameters/829,pek.31,rafter
419-46,sout2741,http://concepticon.clld.org/parameters/1514,mâi.31 qai.53,hen
419-691,sout2741,http://concepticon.clld.org/parameters/1642,pəi.31 lak.31 kwhan.35,niece
419-1310,sout2741,http://concepticon.clld.org/parameters/1486,to.323,plant (vb)
419-244,sout2741,http://concepticon.clld.org/parameters/1430,ćət.55,star
419-130,sout2741,http://concepticon.clld.org/parameters/19,san.53 sip.323,fishing line
419-1008,sout2741,http://concepticon.clld.org/parameters/1459,nu.53,if
419-1215,sout2741,http://concepticon.clld.org/parameters/781,jau.323,"fear, fright"
419-270,sout2741,http://concepticon.clld.org/parameters/1323,ćoŋ.33,"clock, timepiece"
419-1264,sout2741,http://concepticon.clld.org/parameters/479,śit.55,grow
419-169,sout2741,http://concepticon.clld.org/parameters/1934,la.33 qâu.31,beggar
419-981,sout2741,http://concepticon.clld.org/parameters/653,mân.53 ćən.212,plant (noun)
419-417,sout2741,http://concepticon.clld.org/parameters/1047,lâm.55,pursue
419-370,sout2741,http://concepticon.clld.org/parameters/280,śon.55,ridgepole
419-1076,sout2741,http://concepticon.clld.org/parameters/273,mjen.55 ton.212,dough
419-453,sout2741,http://concepticon.clld.org/parameters/879,tâi.55 hâu.55,cough
419-823,sout2741,http://concepticon.clld.org/parameters/1063,lak.31 kwhan.35,nephew
419-154,sout2741,http://concepticon.clld.org/parameters/1313,ńân.55,moon
419-342,sout2741,http://concepticon.clld.org/parameters/170,pa.323,father's sister
419-1251,sout2741,http://concepticon.clld.org/parameters/162,ʔək.212,hiccough
419-1064,sout2741,http://concepticon.clld.org/parameters/171,nəi.31 ʔun.13,mother's sister
419-896,sout2741,http://concepticon.clld.org/parameters/1160,ńân.31,thief
419-629,sout2741,http://concepticon.clld.org/parameters/1136,thu.453,rabbit
419-774,sout2741,http://concepticon.clld.org/parameters/250,ćha.13,light (in color)
419-1253,sout2741,http://concepticon.clld.org/parameters/1074,qâu.55 sip.323,fishhook
419-292,sout2741,http://concepticon.clld.org/parameters/1358,ti.212 jən.212,enemy
419-1164,sout2741,http://concepticon.clld.org/parameters/724,tok.212,read
419-1089,sout2741,http://concepticon.clld.org/parameters/1157,jin.55 jui.33,because
419-551,sout2741,http://concepticon.clld.org/parameters/3,tam.323 mak.323,brave
419-1008,sout2741,http://concepticon.clld.org/parameters/1819,nu.53,"look, look at"
419-934,sout2741,http://concepticon.clld.org/parameters/1819,nâŋ.212,"look, look at"
419-1123,sout2741,http://concepticon.clld.org/parameters/1674,qe.212 me.212 sin.212,poor
419-12,sout2741,http://concepticon.clld.org/parameters/1674,ćoŋ.212,poor
419-668,sout2741,http://concepticon.clld.org/parameters/1085,jin.35,follow
419-1010,sout2741,http://concepticon.clld.org/parameters/342,kwaŋ.55,hay
419-1128,sout2741,http://concepticon.clld.org/parameters/279,muŋ.55 jan.212,thatch
419-935,sout2741,http://concepticon.clld.org/parameters/1028,jân.53,"yawn, gape"
419-118,sout2741,http://concepticon.clld.org/parameters/1511,səi.323 qai.53,"cock, rooster"
419-727,sout2741,http://concepticon.clld.org/parameters/1272,nəi.31 ńak.55,aunt
419-550,sout2741,http://concepticon.clld.org/parameters/1343,ta.53 mən.55,sun
419-487,sout2741,http://concepticon.clld.org/parameters/1985,pu.31 mak.323,father's brother
419-936,sout2741,http://concepticon.clld.org/parameters/1984,ljoŋ.33,mother's brother
419-468,sout2741,http://concepticon.clld.org/parameters/713,ljâk.212,steal
419-238,sout2741,http://concepticon.clld.org/parameters/1858,ńən.212 ʔau.55 pa.55,fisherman
419-494,sout2741,http://concepticon.clld.org/parameters/1325,ho.323 ći.323,"friend, companion"
419-724,sout2741,http://concepticon.clld.org/parameters/1325,pjiŋ.212 pan.31,"friend, companion"
419-862,sout2741,http://concepticon.clld.org/parameters/268,qui.35 nəm.31 mje.212,dribble
419-135,sout2741,http://concepticon.clld.org/parameters/1672,śa.323,write
419-668,sout2741,http://concepticon.clld.org/parameters/1577,jin.35,and
419-649,sout2741,http://concepticon.clld.org/parameters/1577,kâp.35,and
419-1304,sout2741,http://concepticon.clld.org/parameters/1779,qam.323,dare
419-769,sout2741,http://concepticon.clld.org/parameters/1409,li.323 nu.53,see
419-178,sout2741,http://concepticon.clld.org/parameters/1353,ćoŋ.33 tâu.212,hour
419-658,sout2741,http://concepticon.clld.org/parameters/712,me.212 sin.212,rich
419-957,sout2741,http://concepticon.clld.org/parameters/712,me.212 ć äŋ.̄̄,rich
419-992,sout2741,http://concepticon.clld.org/parameters/956,nâŋ.33,flee
419-775,sout2741,http://concepticon.clld.org/parameters/606,ńaŋ.323,grass
419-268,sout2741,http://concepticon.clld.org/parameters/769,səm.55 jan.212,roof
419-1056,sout2741,http://concepticon.clld.org/parameters/1381,hai.212,shoe
419-1111,sout2741,http://concepticon.clld.org/parameters/1368,mjen.55 pau.33,bread
419-1109,sout2741,http://concepticon.clld.org/parameters/1407,sot.323,"breathe, breath"
419-182,sout2741,http://concepticon.clld.org/parameters/1327,ʔo.31,uncle
419-487,sout2741,http://concepticon.clld.org/parameters/1327,pu.31 mak.323,uncle
