ID,Language_ID,Feature_ID,Value,Concept
42-1186,hinu1240,http://concepticon.clld.org/parameters/1124,муштукІ,pipe
42-783,hinu1240,http://concepticon.clld.org/parameters/1784,мурад,"desire, want"
42-635,hinu1240,http://concepticon.clld.org/parameters/1784,къас,"desire, want"
42-1396,hinu1240,http://concepticon.clld.org/parameters/1784,хийал,"desire, want"
42-35,hinu1240,http://concepticon.clld.org/parameters/1198,аши,"much, many"
42-962,hinu1240,http://concepticon.clld.org/parameters/1198,гІурав,"much, many"
42-1485,hinu1240,http://concepticon.clld.org/parameters/1689,таммакус кутІи,smoke (tobacco)
42-575,hinu1240,http://concepticon.clld.org/parameters/1810,хІинкъи,danger
42-353,hinu1240,http://concepticon.clld.org/parameters/98,садахъ,"every, all"
42-427,hinu1240,http://concepticon.clld.org/parameters/98,чІекІкІу,"every, all"
42-1281,hinu1240,http://concepticon.clld.org/parameters/974,таммаку,tobacco
42-575,hinu1240,http://concepticon.clld.org/parameters/781,хІинкъи,"fear, fright"
42-517,hinu1240,http://concepticon.clld.org/parameters/1420,тІотра,count
42-1140,hinu1240,http://concepticon.clld.org/parameters/343,охъотІ,vine
42-607,hinu1240,http://concepticon.clld.org/parameters/3,бахІарчийав,brave
42-115,hinu1240,http://concepticon.clld.org/parameters/3,хІинкъи госме,brave
42-628,hinu1240,http://concepticon.clld.org/parameters/3,гихІондийу,brave
42-19,hinu1240,http://concepticon.clld.org/parameters/1843,гІазал,thousand
42-1033,hinu1240,http://concepticon.clld.org/parameters/968,нехукІра,acorn
42-1034,hinu1240,http://concepticon.clld.org/parameters/1779,багьадур,dare
42-220,hinu1240,http://concepticon.clld.org/parameters/1779,бахІарчи,dare
42-846,hinu1240,http://concepticon.clld.org/parameters/1634,бишон,hundred
42-1359,hinu1240,http://concepticon.clld.org/parameters/1915,йолка,fir
42-600,hinu1240,http://concepticon.clld.org/parameters/174,чІухІарав,proud
42-388,hinu1240,http://concepticon.clld.org/parameters/1710,хъу,twenty
42-295,hinu1240,http://concepticon.clld.org/parameters/1740,ачитІ,pine
42-911,hinu1240,http://concepticon.clld.org/parameters/1776,нич,shame (noun)
42-1105,hinu1240,http://concepticon.clld.org/parameters/1776,намус,shame (noun)
42-68,hinu1240,http://concepticon.clld.org/parameters/1709,оцІено лъено,fifteen
42-425,hinu1240,http://concepticon.clld.org/parameters/1855,мӣ,birch
42-930,hinu1240,http://concepticon.clld.org/parameters/40,рокІве лІехвешлъи,"envy, jealousy"
42-632,hinu1240,http://concepticon.clld.org/parameters/40,жахІда,"envy, jealousy"
42-1013,hinu1240,http://concepticon.clld.org/parameters/1707,оцІено къоно,twelve
42-899,hinu1240,http://concepticon.clld.org/parameters/1950,пепи,beech
42-1085,hinu1240,http://concepticon.clld.org/parameters/82,цим,anger
42-760,hinu1240,http://concepticon.clld.org/parameters/1706,оцІено гьес,eleven
42-663,hinu1240,http://concepticon.clld.org/parameters/644,ролІонукІа,oak
42-1033,hinu1240,http://concepticon.clld.org/parameters/644,нехукІра,oak
42-1373,hinu1240,http://concepticon.clld.org/parameters/1607,этамēз,hate
42-604,hinu1240,http://concepticon.clld.org/parameters/1515,оцІено,ten
42-1115,hinu1240,http://concepticon.clld.org/parameters/906,аже,tree
42-1492,hinu1240,http://concepticon.clld.org/parameters/716,угьдизи бихъа,groan
42-1210,hinu1240,http://concepticon.clld.org/parameters/716,зигардизи бихъа,groan
42-368,hinu1240,http://concepticon.clld.org/parameters/1483,гІачІино,nine
42-1088,hinu1240,http://concepticon.clld.org/parameters/239,гага,flower
42-562,hinu1240,http://concepticon.clld.org/parameters/1651,мокъу,tear (noun)
42-578,hinu1240,http://concepticon.clld.org/parameters/1705,белІно,eight
42-708,hinu1240,http://concepticon.clld.org/parameters/628,лІебу,leaf
42-1500,hinu1240,http://concepticon.clld.org/parameters/1839,бāз,"cry, weep"
42-1134,hinu1240,http://concepticon.clld.org/parameters/1839,батукІа,"cry, weep"
42-586,hinu1240,http://concepticon.clld.org/parameters/1704,олІно,seven
42-1298,hinu1240,http://concepticon.clld.org/parameters/1531,али,branch
42-239,hinu1240,http://concepticon.clld.org/parameters/1141,гурхІел,pity
42-449,hinu1240,http://concepticon.clld.org/parameters/1703,илъно,six
42-335,hinu1240,http://concepticon.clld.org/parameters/670,гІаркьел,root
42-544,hinu1240,http://concepticon.clld.org/parameters/670,рокІе,root
42-608,hinu1240,http://concepticon.clld.org/parameters/493,лъено,five
42-25,hinu1240,http://concepticon.clld.org/parameters/1875,рокІве гурхІези рихъа,"regret, be sorry"
42-789,hinu1240,http://concepticon.clld.org/parameters/1486,релІа,plant (vb)
42-1212,hinu1240,http://concepticon.clld.org/parameters/1486,бижжи рува,plant (vb)
42-464,hinu1240,http://concepticon.clld.org/parameters/1000,ахІи,"anxiety, worry"
42-1384,hinu1240,http://concepticon.clld.org/parameters/1000,ахІи-хІур,"anxiety, worry"
42-1351,hinu1240,http://concepticon.clld.org/parameters/653,бех,plant (noun)
42-471,hinu1240,http://concepticon.clld.org/parameters/1500,укъино,four
42-6,hinu1240,http://concepticon.clld.org/parameters/1668,ургъел,"grief, sorrow, sadness"
