ID,Language_ID,Feature_ID,Value,Concept
421-75,hlai1239,http://concepticon.clld.org/parameters/1440,nom.3 ło:i.1,spit
421-1204,hlai1239,http://concepticon.clld.org/parameters/126,thɨ:n.1 nom.3 ʔom.3,perspire
421-925,hlai1239,http://concepticon.clld.org/parameters/1318,khai.1,chicken
421-100,hlai1239,http://concepticon.clld.org/parameters/319,zi:m.2,lick
421-1182,hlai1239,http://concepticon.clld.org/parameters/1643,pha.3 łau.7 pha.3gu:ŋ.1,cousin
421-506,hlai1239,http://concepticon.clld.org/parameters/1643,pai.3 khaɨ.7 pai.3 gu:ŋ.1,cousin
421-153,hlai1239,http://concepticon.clld.org/parameters/1654,łip.7,lightning
421-50,hlai1239,http://concepticon.clld.org/parameters/81,hwɨp.7,"span, fathom"
421-1046,hlai1239,http://concepticon.clld.org/parameters/388,go:i.3 ła.1,fishnet
421-59,hlai1239,http://concepticon.clld.org/parameters/1332,go:m.1 ploŋ.3 tho:ŋ.3,neighbor
421-578,hlai1239,http://concepticon.clld.org/parameters/1332,ŋa:i.2 ploŋ.3 tho:ŋ.3,neighbor
421-419,hlai1239,http://concepticon.clld.org/parameters/1810,ŋui.3 hi:m.3,danger
421-238,hlai1239,http://concepticon.clld.org/parameters/1014,lak.7 chi.1,or
421-331,hlai1239,http://concepticon.clld.org/parameters/1774,khi:t.7,"avaricious, stingy"
421-580,hlai1239,http://concepticon.clld.org/parameters/1506,lɨ:ŋ.3,measure
421-325,hlai1239,http://concepticon.clld.org/parameters/1621,dań.1,sneeze
421-236,hlai1239,http://concepticon.clld.org/parameters/875,chai.3 be.2 vu:k.1 ko:m.3,"shoemaker, cobbler"
421-950,hlai1239,http://concepticon.clld.org/parameters/829,ru:n.1 ploŋ.3,rafter
421-1080,hlai1239,http://concepticon.clld.org/parameters/670,kei.1,root
421-104,hlai1239,http://concepticon.clld.org/parameters/1514,pai.3 khai.1,hen
421-342,hlai1239,http://concepticon.clld.org/parameters/1430,ra:u.1,star
421-724,hlai1239,http://concepticon.clld.org/parameters/1642,łɨ:k.7 tai.3,niece
421-56,hlai1239,http://concepticon.clld.org/parameters/1642,łɨ:k.7 ŋi:n.1,niece
421-1200,hlai1239,http://concepticon.clld.org/parameters/1486,gwa.1,plant (vb)
421-568,hlai1239,http://concepticon.clld.org/parameters/19,haŋ.54 qa.0 śa:k.11,fishing line
421-68,hlai1239,http://concepticon.clld.org/parameters/1459,la:i.3,if
421-1214,hlai1239,http://concepticon.clld.org/parameters/1459,la:i.3 kom.3,if
421-369,hlai1239,http://concepticon.clld.org/parameters/781,da.3,"fear, fright"
421-40,hlai1239,http://concepticon.clld.org/parameters/1323,ci:ŋ.2,"clock, timepiece"
421-923,hlai1239,http://concepticon.clld.org/parameters/479,loŋ.1,grow
421-272,hlai1239,http://concepticon.clld.org/parameters/1934,ʔa:ŋ.3 koŋ.3,beggar
421-1079,hlai1239,http://concepticon.clld.org/parameters/1047,hwo:n.1,pursue
421-393,hlai1239,http://concepticon.clld.org/parameters/653,koŋ.1 gwa.1,plant (noun)
421-951,hlai1239,http://concepticon.clld.org/parameters/280,tha:n.1 ta:u.3,ridgepole
421-787,hlai1239,http://concepticon.clld.org/parameters/879,gia.1,cough
421-724,hlai1239,http://concepticon.clld.org/parameters/1063,łɨ:k.7 tai.3,nephew
421-56,hlai1239,http://concepticon.clld.org/parameters/1063,łɨ:k.7 ŋi:n.1,nephew
421-771,hlai1239,http://concepticon.clld.org/parameters/1313,ńa:n.1,moon
421-1212,hlai1239,http://concepticon.clld.org/parameters/170,ki:n.1,father's sister
421-333,hlai1239,http://concepticon.clld.org/parameters/414,deŋ.3,carry-on-head
421-687,hlai1239,http://concepticon.clld.org/parameters/162,ʔɨk.8,hiccough
421-1212,hlai1239,http://concepticon.clld.org/parameters/171,ki:n.1,mother's sister
421-192,hlai1239,http://concepticon.clld.org/parameters/882,de:t.8,parrot
421-716,hlai1239,http://concepticon.clld.org/parameters/882,de:u.2,parrot
421-135,hlai1239,http://concepticon.clld.org/parameters/1160,ki:t.7,thief
421-956,hlai1239,http://concepticon.clld.org/parameters/1074,ŋo:t.7 ła.1,fishhook
421-126,hlai1239,http://concepticon.clld.org/parameters/1358,dek.7 na:ŋ.3,enemy
421-919,hlai1239,http://concepticon.clld.org/parameters/724,thak.7,read
421-667,hlai1239,http://concepticon.clld.org/parameters/724,thok.7,read
421-455,hlai1239,http://concepticon.clld.org/parameters/1157,han.3,because
421-769,hlai1239,http://concepticon.clld.org/parameters/3,ʔaɨ.2,brave
421-189,hlai1239,http://concepticon.clld.org/parameters/1819,zu:i.3,"look, look at"
421-980,hlai1239,http://concepticon.clld.org/parameters/1674,va:t́.7,poor
421-784,hlai1239,http://concepticon.clld.org/parameters/692,deɨ.1 pɨ:n.1,bring
421-547,hlai1239,http://concepticon.clld.org/parameters/1085,cɨ.2 riŋ.1,follow
421-1193,hlai1239,http://concepticon.clld.org/parameters/342,ŋwiŋ.3 khaɨ.2,hay
421-1139,hlai1239,http://concepticon.clld.org/parameters/279,plom.2 beɨ.1 ploŋ.3,thatch
421-447,hlai1239,http://concepticon.clld.org/parameters/1028,ka:u.1,"yawn, gape"
421-752,hlai1239,http://concepticon.clld.org/parameters/1511,pha.3 khai.1,"cock, rooster"
421-552,hlai1239,http://concepticon.clld.org/parameters/1272,pei.1,aunt
421-1212,hlai1239,http://concepticon.clld.org/parameters/1272,ki:n.1,aunt
421-799,hlai1239,http://concepticon.clld.org/parameters/1343,cha.1 hwan.1,sun
421-1175,hlai1239,http://concepticon.clld.org/parameters/1985,chai.3,father's brother
421-1175,hlai1239,http://concepticon.clld.org/parameters/1984,chai.3,mother's brother
421-34,hlai1239,http://concepticon.clld.org/parameters/713,zok.7,steal
421-13,hlai1239,http://concepticon.clld.org/parameters/1187,ŋe.1,goose
421-824,hlai1239,http://concepticon.clld.org/parameters/1325,tho:ŋ.3 khun.1,"friend, companion"
421-857,hlai1239,http://concepticon.clld.org/parameters/1672,tha:i.3,write
421-493,hlai1239,http://concepticon.clld.org/parameters/1577,khu.1,and
421-607,hlai1239,http://concepticon.clld.org/parameters/1577,ʔu:ŋ.2,and
421-865,hlai1239,http://concepticon.clld.org/parameters/1577,ńu:k.7,and
421-769,hlai1239,http://concepticon.clld.org/parameters/1779,ʔaɨ.2,dare
421-728,hlai1239,http://concepticon.clld.org/parameters/1409,zu:i.3 la:i.3,see
