ID,Language_ID,Feature_ID,Value,Concept
422-792,emab1235,http://concepticon.clld.org/parameters/1440,qa.0 tu.11,spit
422-676,emab1235,http://concepticon.clld.org/parameters/1440,qa.0 tu.11 qa.0 ma:u.24,spit
422-477,emab1235,http://concepticon.clld.org/parameters/126,ɔk.11 tɔt.11 ʒɛt.11,perspire
422-13,emab1235,http://concepticon.clld.org/parameters/1318,qai.54,chicken
422-1033,emab1235,http://concepticon.clld.org/parameters/319,lɛm.24,lick
422-841,emab1235,http://concepticon.clld.org/parameters/1643,nɔn.24 piau.11,cousin
422-433,emab1235,http://concepticon.clld.org/parameters/1643,ʒuə.11 piau.11,cousin
422-83,emab1235,http://concepticon.clld.org/parameters/1654,ʔbun.54 lɛŋ.11,lightning
422-995,emab1235,http://concepticon.clld.org/parameters/81,ka:p.31,"span, fathom"
422-1089,emab1235,http://concepticon.clld.org/parameters/388,ʔdɔŋ.31 ʔda:ŋ.31,fishnet
422-157,emab1235,http://concepticon.clld.org/parameters/388,ʔdɔŋ.31 vɛ.24,fishnet
422-425,emab1235,http://concepticon.clld.org/parameters/1332,luk.54 qhɛn.11,neighbor
422-774,emab1235,http://concepticon.clld.org/parameters/1014,nə.24,or
422-457,emab1235,http://concepticon.clld.org/parameters/1810,vai.31 śian.54,danger
422-992,emab1235,http://concepticon.clld.org/parameters/1774,qa.0 tiŋ.24,"avaricious, stingy"
422-812,emab1235,http://concepticon.clld.org/parameters/1506,δa:u.24,measure
422-509,emab1235,http://concepticon.clld.org/parameters/1621,qa.0 ʒai.11,sneeze
422-320,emab1235,http://concepticon.clld.org/parameters/875,śaŋ.31 qha:i.11,"shoemaker, cobbler"
422-78,emab1235,http://concepticon.clld.org/parameters/829,ka:k.11 śi.11,rafter
422-840,emab1235,http://concepticon.clld.org/parameters/670,qa.0 śa:ŋ.54,root
422-511,emab1235,http://concepticon.clld.org/parameters/1514,li.0 miə.11 qai.54,hen
422-322,emab1235,http://concepticon.clld.org/parameters/1430,la:ŋ.11 loŋ.312,star
422-776,emab1235,http://concepticon.clld.org/parameters/1642,la:k.0 qa:n.54 la:k.0 iŋ.24,niece
422-341,emab1235,http://concepticon.clld.org/parameters/1486,tam.24,plant (vb)
422-732,emab1235,http://concepticon.clld.org/parameters/1459,ʒu.31 kɔ.54,if
422-831,emab1235,http://concepticon.clld.org/parameters/781,i.0 vau.24,"fear, fright"
422-986,emab1235,http://concepticon.clld.org/parameters/1323,cuŋ.11,"clock, timepiece"
422-718,emab1235,http://concepticon.clld.org/parameters/479,lu:ŋ.24,grow
422-627,emab1235,http://concepticon.clld.org/parameters/1934,ʔdu.31 tɛ.11,beggar
422-758,emab1235,http://concepticon.clld.org/parameters/1047,va.11 tam.11,pursue
422-565,emab1235,http://concepticon.clld.org/parameters/280,śa:ŋ.24 ljɛŋ.31,ridgepole
422-798,emab1235,http://concepticon.clld.org/parameters/273,mian.312,dough
422-233,emab1235,http://concepticon.clld.org/parameters/879,qa.0 δɔk.11,cough
422-818,emab1235,http://concepticon.clld.org/parameters/1063,la:k.0 qa:n.54 la:k.0 śɛ.54,nephew
422-814,emab1235,http://concepticon.clld.org/parameters/414,tiŋ.11,carry-on-head
422-1,emab1235,http://concepticon.clld.org/parameters/1313,luŋ.11 tɛn.11,moon
422-556,emab1235,http://concepticon.clld.org/parameters/170,miə.11 na.11,father's sister
422-208,emab1235,http://concepticon.clld.org/parameters/1848,ci:n.312 la:n.312,"strife, quarrel"
422-398,emab1235,http://concepticon.clld.org/parameters/692,ʒaŋ.31 ma.54,bring
422-786,emab1235,http://concepticon.clld.org/parameters/1733,mjə.31 δj.33,rainbow
422-56,emab1235,http://concepticon.clld.org/parameters/162,ca.0 ak.54,hiccough
422-764,emab1235,http://concepticon.clld.org/parameters/171,tu.24,mother's sister
