ID,Language_ID,Feature_ID,Value,Concept
500-414,aghu1253,http://concepticon.clld.org/parameters/965,дуьнья,world
500-158,aghu1253,http://concepticon.clld.org/parameters/626,хӀукмат,"earth, land"
500-569,aghu1253,http://concepticon.clld.org/parameters/626,улка,"earth, land"
500-864,aghu1253,http://concepticon.clld.org/parameters/1228,джил,"earth=ground, soil"
500-750,aghu1253,http://concepticon.clld.org/parameters/2,буше руг,dust
500-415,aghu1253,http://concepticon.clld.org/parameters/640,тӀакьв,mud
500-172,aghu1253,http://concepticon.clld.org/parameters/671,къум,sand
500-23,aghu1253,http://concepticon.clld.org/parameters/2118,дагьар,"mountain, hill"
500-1052,aghu1253,http://concepticon.clld.org/parameters/2118,су,"mountain, hill"
500-526,aghu1253,http://concepticon.clld.org/parameters/2118,сув,"mountain, hill"
500-1239,aghu1253,http://concepticon.clld.org/parameters/2118,тепе,"mountain, hill"
500-348,aghu1253,http://concepticon.clld.org/parameters/618,суван кІукІ (кІил),"cliff, precipice"
500-1125,aghu1253,http://concepticon.clld.org/parameters/618,гъун,"cliff, precipice"
500-123,aghu1253,http://concepticon.clld.org/parameters/652,майдан,"plain, field"
500-1111,aghu1253,http://concepticon.clld.org/parameters/921,дере,valley
500-739,aghu1253,http://concepticon.clld.org/parameters/622,остров,island
500-691,aghu1253,http://concepticon.clld.org/parameters/166,кантинент,mainland
500-887,aghu1253,http://concepticon.clld.org/parameters/113,хӀулин къирагӀ,shore
500-248,aghu1253,http://concepticon.clld.org/parameters/1155,гъабан ул,cave
500-991,aghu1253,http://concepticon.clld.org/parameters/948,шед,water
500-365,aghu1253,http://concepticon.clld.org/parameters/1474,хӀул,sea
500-1117,aghu1253,http://concepticon.clld.org/parameters/258,сакин,calm (of sea)
500-557,aghu1253,http://concepticon.clld.org/parameters/259,гуджлу,rough (of sea)
500-316,aghu1253,http://concepticon.clld.org/parameters/1768,хурт,foam
500-277,aghu1253,http://concepticon.clld.org/parameters/645,акеан,ocean
500-370,aghu1253,http://concepticon.clld.org/parameters/624,дагар,lake
500-973,aghu1253,http://concepticon.clld.org/parameters/663,—,"gulf, bay"
500-973,aghu1253,http://concepticon.clld.org/parameters/623,—,lagoon
500-973,aghu1253,http://concepticon.clld.org/parameters/660,—,reef
500-973,aghu1253,http://concepticon.clld.org/parameters/1662,—,"headland, point"
500-478,aghu1253,http://concepticon.clld.org/parameters/978,лепе,wave
500-973,aghu1253,http://concepticon.clld.org/parameters/891,—,tide
500-973,aghu1253,http://concepticon.clld.org/parameters/1026,—,lowtide
500-973,aghu1253,http://concepticon.clld.org/parameters/613,—,hightide
500-632,aghu1253,http://concepticon.clld.org/parameters/666,рух,"river, stream, brook"
500-443,aghu1253,http://concepticon.clld.org/parameters/666,нир,"river, stream, brook"
500-973,aghu1253,http://concepticon.clld.org/parameters/1982,—,whirlpool
500-39,aghu1253,http://concepticon.clld.org/parameters/2144,булагӀ,"spring, well"
500-121,aghu1253,http://concepticon.clld.org/parameters/2144,эц,"spring, well"
500-585,aghu1253,http://concepticon.clld.org/parameters/1145,уьр,swamp
500-643,aghu1253,http://concepticon.clld.org/parameters/1145,кьир,swamp
500-995,aghu1253,http://concepticon.clld.org/parameters/943,лапан,waterfall
500-225,aghu1253,http://concepticon.clld.org/parameters/420,ахв,"woods, forest"
500-310,aghu1253,http://concepticon.clld.org/parameters/906,кӀур,tree (cf 08.600)
500-310,aghu1253,http://concepticon.clld.org/parameters/1803,кӀур,wood
500-1264,aghu1253,http://concepticon.clld.org/parameters/2125,гӀван,"stone, rock"
500-421,aghu1253,http://concepticon.clld.org/parameters/6,джил ттуттанас,earthquake
500-956,aghu1253,http://concepticon.clld.org/parameters/1732,завар,sky
500-968,aghu1253,http://concepticon.clld.org/parameters/1343,рагӀ,sun
500-1240,aghu1253,http://concepticon.clld.org/parameters/1313,ваз,moon
500-477,aghu1253,http://concepticon.clld.org/parameters/1430,хӀад,star
500-1159,aghu1253,http://concepticon.clld.org/parameters/1654,завун цӀа,lightning
500-483,aghu1253,http://concepticon.clld.org/parameters/1150,зав рухуна,thunder
500-761,aghu1253,http://concepticon.clld.org/parameters/2007,цӀа йирхIас,lightning (as striking)
500-290,aghu1253,http://concepticon.clld.org/parameters/858,тІурфан,storm
500-758,aghu1253,http://concepticon.clld.org/parameters/1733,рагъдухъан,rainbow
500-439,aghu1253,http://concepticon.clld.org/parameters/630,ъакв,light (noun)
500-1094,aghu1253,http://concepticon.clld.org/parameters/11,мучӀ,darkness
500-324,aghu1253,http://concepticon.clld.org/parameters/1388,дехъ,"shade, shadow"
500-1194,aghu1253,http://concepticon.clld.org/parameters/1977,ричI,dew
500-85,aghu1253,http://concepticon.clld.org/parameters/27,эл,air
