ID,Language_ID,Feature_ID,Value,Concept
516-3,ingu1240,http://concepticon.clld.org/parameters/965,дуне,world
516-777,ingu1240,http://concepticon.clld.org/parameters/626,мохк,"earth, land"
516-1079,ingu1240,http://concepticon.clld.org/parameters/1228,лаьтта,"earth=ground, soil"
516-978,ingu1240,http://concepticon.clld.org/parameters/2,дом,dust
516-230,ingu1240,http://concepticon.clld.org/parameters/640,мIад (хотта),mud
516-328,ingu1240,http://concepticon.clld.org/parameters/671,гIум,sand
516-1182,ingu1240,http://concepticon.clld.org/parameters/2118,лоам,"mountain, hill"
516-675,ingu1240,http://concepticon.clld.org/parameters/2118,гув,"mountain, hill"
516-566,ingu1240,http://concepticon.clld.org/parameters/618,чхар,"cliff, precipice"
516-825,ingu1240,http://concepticon.clld.org/parameters/618,ахка,"cliff, precipice"
516-1085,ingu1240,http://concepticon.clld.org/parameters/652,веда аре,"plain, field"
516-1288,ingu1240,http://concepticon.clld.org/parameters/652,кха,"plain, field"
516-458,ingu1240,http://concepticon.clld.org/parameters/921,шаьра аре,valley
516-114,ingu1240,http://concepticon.clld.org/parameters/622,гIайре,island
516-1213,ingu1240,http://concepticon.clld.org/parameters/166,кантинент,mainland
516-84,ingu1240,http://concepticon.clld.org/parameters/113,берд,shore
516-330,ingu1240,http://concepticon.clld.org/parameters/113,берда йисте,shore
516-1353,ingu1240,http://concepticon.clld.org/parameters/1155,хьагIар,cave
516-287,ingu1240,http://concepticon.clld.org/parameters/948,хий,water
516-204,ingu1240,http://concepticon.clld.org/parameters/1474,форд,sea
516-238,ingu1240,http://concepticon.clld.org/parameters/258,тийна (форд),calm (of sea)
516-1027,ingu1240,http://concepticon.clld.org/parameters/259,хьайна (форд),rough (of sea)
516-1255,ingu1240,http://concepticon.clld.org/parameters/1768,чоп,foam
516-78,ingu1240,http://concepticon.clld.org/parameters/645,боккха форд,ocean
516-1099,ingu1240,http://concepticon.clld.org/parameters/624,Iам,lake
516-1144,ingu1240,http://concepticon.clld.org/parameters/663,хий кулг,"gulf, bay"
516-453,ingu1240,http://concepticon.clld.org/parameters/623,лагуна,lagoon
516-1285,ingu1240,http://concepticon.clld.org/parameters/660,—,reef
516-502,ingu1240,http://concepticon.clld.org/parameters/1662,бухьишк,"headland, point"
516-569,ingu1240,http://concepticon.clld.org/parameters/978,талгIе,wave
516-744,ingu1240,http://concepticon.clld.org/parameters/891,форд бестар,tide
516-700,ingu1240,http://concepticon.clld.org/parameters/891,форд божар,tide
516-573,ingu1240,http://concepticon.clld.org/parameters/1026,хий дожар,lowtide
516-71,ingu1240,http://concepticon.clld.org/parameters/613,хий дестар,hightide
516-287,ingu1240,http://concepticon.clld.org/parameters/666,хий,"river, stream, brook"
516-665,ingu1240,http://concepticon.clld.org/parameters/666,дода хий,"river, stream, brook"
516-708,ingu1240,http://concepticon.clld.org/parameters/666,тоатолг,"river, stream, brook"
516-557,ingu1240,http://concepticon.clld.org/parameters/1982,айме,whirlpool
516-1155,ingu1240,http://concepticon.clld.org/parameters/2144,хьаст,"spring, well"
516-403,ingu1240,http://concepticon.clld.org/parameters/2144,хьаст корта,"spring, well"
516-334,ingu1240,http://concepticon.clld.org/parameters/2144,гIув,"spring, well"
516-1060,ingu1240,http://concepticon.clld.org/parameters/1145,ушал,swamp
516-188,ingu1240,http://concepticon.clld.org/parameters/943,кхуркхолг,waterfall
516-1159,ingu1240,http://concepticon.clld.org/parameters/420,хьу,"woods, forest"
516-346,ingu1240,http://concepticon.clld.org/parameters/906,га,tree (cf 08.600)
516-44,ingu1240,http://concepticon.clld.org/parameters/1803,дахча,wood
516-937,ingu1240,http://concepticon.clld.org/parameters/2125,кхера,"stone, rock"
516-698,ingu1240,http://concepticon.clld.org/parameters/6,мохк агар,earthquake
516-484,ingu1240,http://concepticon.clld.org/parameters/1732,сигале,sky
516-679,ingu1240,http://concepticon.clld.org/parameters/1343,малх,sun
516-323,ingu1240,http://concepticon.clld.org/parameters/1313,бутт,moon
516-499,ingu1240,http://concepticon.clld.org/parameters/1430,седкъа,star
516-385,ingu1240,http://concepticon.clld.org/parameters/1654,тIоа,lightning
516-989,ingu1240,http://concepticon.clld.org/parameters/1150,ди,thunder
516-278,ingu1240,http://concepticon.clld.org/parameters/1150,ди къовкар,thunder
516-356,ingu1240,http://concepticon.clld.org/parameters/2007,ди тохар,lightning (as striking)
516-657,ingu1240,http://concepticon.clld.org/parameters/858,дарз,storm
516-1047,ingu1240,http://concepticon.clld.org/parameters/858,дарз хьакхар,storm
516-1233,ingu1240,http://concepticon.clld.org/parameters/1733,селаIад,rainbow
516-913,ingu1240,http://concepticon.clld.org/parameters/630,сердал,light (noun)
516-86,ingu1240,http://concepticon.clld.org/parameters/11,боадо,darkness
516-879,ingu1240,http://concepticon.clld.org/parameters/11,баьдел,darkness
516-14,ingu1240,http://concepticon.clld.org/parameters/1388,Iи (IиндаргIа),"shade, shadow"
516-1058,ingu1240,http://concepticon.clld.org/parameters/1977,тхир,dew
516-273,ingu1240,http://concepticon.clld.org/parameters/27,фо,air
516-1092,ingu1240,http://concepticon.clld.org/parameters/960,мух,wind
516-1091,ingu1240,http://concepticon.clld.org/parameters/1489,морх,cloud
516-1244,ingu1240,http://concepticon.clld.org/parameters/1489,Iаьржа морх,cloud
516-660,ingu1240,http://concepticon.clld.org/parameters/249,дохк,fog
516-1274,ingu1240,http://concepticon.clld.org/parameters/658,догIа,rain (noun)
516-388,ingu1240,http://concepticon.clld.org/parameters/784,лоа,snow (noun)
