ID,Language_ID,Feature_ID,Value,Concept
518-765,kryt1240,http://concepticon.clld.org/parameters/965,дунйе,world
518-598,kryt1240,http://concepticon.clld.org/parameters/626,улке,"earth, land"
518-309,kryt1240,http://concepticon.clld.org/parameters/1228,ноькь,"earth=ground, soil"
518-227,kryt1240,http://concepticon.clld.org/parameters/1228,такна,"earth=ground, soil"
518-721,kryt1240,http://concepticon.clld.org/parameters/2,руг,dust
518-237,kryt1240,http://concepticon.clld.org/parameters/2,туз,dust
518-979,kryt1240,http://concepticon.clld.org/parameters/640,кьириш,mud
518-1051,kryt1240,http://concepticon.clld.org/parameters/640,маьчI,mud
518-191,kryt1240,http://concepticon.clld.org/parameters/671,къум,sand
518-568,kryt1240,http://concepticon.clld.org/parameters/2118,бел,"mountain, hill"
518-974,kryt1240,http://concepticon.clld.org/parameters/2118,дагъ,"mountain, hill"
518-1111,kryt1240,http://concepticon.clld.org/parameters/2118,таьраь,"mountain, hill"
518-568,kryt1240,http://concepticon.clld.org/parameters/618,бел,"cliff, precipice"
518-1103,kryt1240,http://concepticon.clld.org/parameters/618,кьол,"cliff, precipice"
518-416,kryt1240,http://concepticon.clld.org/parameters/652,ник,"plain, field"
518-112,kryt1240,http://concepticon.clld.org/parameters/652,дуьзанлиг,"plain, field"
518-1268,kryt1240,http://concepticon.clld.org/parameters/921,дара,valley
518-468,kryt1240,http://concepticon.clld.org/parameters/622,ада,island
518-706,kryt1240,http://concepticon.clld.org/parameters/166,кантинент,mainland
518-269,kryt1240,http://concepticon.clld.org/parameters/113,чейлагъ,shore
518-102,kryt1240,http://concepticon.clld.org/parameters/1155,магъараь,cave
518-575,kryt1240,http://concepticon.clld.org/parameters/1155,чІе̌раь,cave
518-730,kryt1240,http://concepticon.clld.org/parameters/948,хьаьд,water
518-86,kryt1240,http://concepticon.clld.org/parameters/1474,гІил,sea
518-1140,kryt1240,http://concepticon.clld.org/parameters/258,паракьат (гІил),calm (of sea)
518-522,kryt1240,http://concepticon.clld.org/parameters/259,гьалаг (гІил),rough (of sea)
518-687,kryt1240,http://concepticon.clld.org/parameters/1768,купук,foam
518-457,kryt1240,http://concepticon.clld.org/parameters/645,акеан,ocean
518-1085,kryt1240,http://concepticon.clld.org/parameters/624,гоьл,lake
518-891,kryt1240,http://concepticon.clld.org/parameters/624,нагьур,lake
518-969,kryt1240,http://concepticon.clld.org/parameters/663,—,"gulf, bay"
518-969,kryt1240,http://concepticon.clld.org/parameters/623,—,lagoon
518-969,kryt1240,http://concepticon.clld.org/parameters/660,—,reef
518-969,kryt1240,http://concepticon.clld.org/parameters/1662,—,"headland, point"
518-492,kryt1240,http://concepticon.clld.org/parameters/978,лапа,wave
518-969,kryt1240,http://concepticon.clld.org/parameters/891,—,tide
518-969,kryt1240,http://concepticon.clld.org/parameters/1026,—,lowtide
518-969,kryt1240,http://concepticon.clld.org/parameters/613,—,hightide
518-985,kryt1240,http://concepticon.clld.org/parameters/666,арх,"river, stream, brook"
518-451,kryt1240,http://concepticon.clld.org/parameters/666,кур,"river, stream, brook"
518-969,kryt1240,http://concepticon.clld.org/parameters/1982,—,whirlpool
518-1,kryt1240,http://concepticon.clld.org/parameters/2144,билаьх,"spring, well"
518-630,kryt1240,http://concepticon.clld.org/parameters/2144,былаьх,"spring, well"
518-1249,kryt1240,http://concepticon.clld.org/parameters/1145,кьейшим,swamp
518-533,kryt1240,http://concepticon.clld.org/parameters/1145,чІерчІур,swamp
518-969,kryt1240,http://concepticon.clld.org/parameters/943,—,waterfall
518-715,kryt1240,http://concepticon.clld.org/parameters/420,рук,"woods, forest"
518-298,kryt1240,http://concepticon.clld.org/parameters/420,меше,"woods, forest"
518-996,kryt1240,http://concepticon.clld.org/parameters/906,дар,tree (cf 08.600)
518-996,kryt1240,http://concepticon.clld.org/parameters/1803,дар,wood
518-1161,kryt1240,http://concepticon.clld.org/parameters/2125,худ,"stone, rock"
518-23,kryt1240,http://concepticon.clld.org/parameters/2125,дагьар,"stone, rock"
518-632,kryt1240,http://concepticon.clld.org/parameters/6,зелзеле,earthquake
518-707,kryt1240,http://concepticon.clld.org/parameters/1732,зов,sky
518-712,kryt1240,http://concepticon.clld.org/parameters/1343,вирагъ,sun
518-1042,kryt1240,http://concepticon.clld.org/parameters/1313,ваьз,moon
518-343,kryt1240,http://concepticon.clld.org/parameters/1430,хIаьчІ,star
518-913,kryt1240,http://concepticon.clld.org/parameters/1654,шимше̌к,lightning
518-913,kryt1240,http://concepticon.clld.org/parameters/1150,шимше̌к,thunder
518-270,kryt1240,http://concepticon.clld.org/parameters/2007,лепаьн,lightning (as striking)
518-245,kryt1240,http://concepticon.clld.org/parameters/858,туфан,storm
518-149,kryt1240,http://concepticon.clld.org/parameters/1733,тІаьм,rainbow
518-158,kryt1240,http://concepticon.clld.org/parameters/630,ишигъ,light (noun)
518-419,kryt1240,http://concepticon.clld.org/parameters/11,ишигъсузвал,darkness
518-297,kryt1240,http://concepticon.clld.org/parameters/1388,кулгаь,"shade, shadow"
518-311,kryt1240,http://concepticon.clld.org/parameters/1977,чиг,dew
518-977,kryt1240,http://concepticon.clld.org/parameters/27,гьава,air
518-982,kryt1240,http://concepticon.clld.org/parameters/960,кулак,wind
518-20,kryt1240,http://concepticon.clld.org/parameters/1489,кIабал,cloud
518-30,kryt1240,http://concepticon.clld.org/parameters/1489,былыт,cloud
518-1021,kryt1240,http://concepticon.clld.org/parameters/1489,джиф,cloud
518-707,kryt1240,http://concepticon.clld.org/parameters/249,зов,fog
518-302,kryt1240,http://concepticon.clld.org/parameters/658,чІе̌бидж,rain (noun)
518-411,kryt1240,http://concepticon.clld.org/parameters/784,йиз,snow (noun)
518-565,kryt1240,http://concepticon.clld.org/parameters/617,мык,ice
518-977,kryt1240,http://concepticon.clld.org/parameters/952,гьава,weather
518-839,kryt1240,http://concepticon.clld.org/parameters/221,цІаь,fire
518-286,kryt1240,http://concepticon.clld.org/parameters/889,йелав,flame (noun)
518-410,kryt1240,http://concepticon.clld.org/parameters/889,алов,flame (noun)
518-85,kryt1240,http://concepticon.clld.org/parameters/778,фирми,smoke (noun)
518-275,kryt1240,http://concepticon.clld.org/parameters/646,раьхъ,ashes
518-554,kryt1240,http://concepticon.clld.org/parameters/67,цІил,embers
