ID,Language_ID,Feature_ID,Value,Concept
528-1291,rutu1240,http://concepticon.clld.org/parameters/965,дунйа,world
528-744,rutu1240,http://concepticon.clld.org/parameters/626,гьуІкумаьт,"earth, land"
528-948,rutu1240,http://concepticon.clld.org/parameters/626,уьлке,"earth, land"
528-934,rutu1240,http://concepticon.clld.org/parameters/1228,накьв,"earth=ground, soil"
528-908,rutu1240,http://concepticon.clld.org/parameters/2,руг,dust
528-873,rutu1240,http://concepticon.clld.org/parameters/640,палчикь,mud
528-990,rutu1240,http://concepticon.clld.org/parameters/640,микь,mud
528-1242,rutu1240,http://concepticon.clld.org/parameters/671,сецІ,sand
528-1296,rutu1240,http://concepticon.clld.org/parameters/2118,бан,"mountain, hill"
528-1100,rutu1240,http://concepticon.clld.org/parameters/618,къаье,"cliff, precipice"
528-562,rutu1240,http://concepticon.clld.org/parameters/618,кьул,"cliff, precipice"
528-1231,rutu1240,http://concepticon.clld.org/parameters/618,гьутIкьуды джигаь,"cliff, precipice"
528-142,rutu1240,http://concepticon.clld.org/parameters/652,дуьзен,"plain, field"
528-524,rutu1240,http://concepticon.clld.org/parameters/652,дуьп-дуьзды,"plain, field"
528-364,rutu1240,http://concepticon.clld.org/parameters/921,дара,valley
528-203,rutu1240,http://concepticon.clld.org/parameters/622,остров,island
528-1274,rutu1240,http://concepticon.clld.org/parameters/166,кантинент,mainland
528-768,rutu1240,http://concepticon.clld.org/parameters/113,чайлагъ,shore
528-417,rutu1240,http://concepticon.clld.org/parameters/1155,рахын,cave
528-1284,rutu1240,http://concepticon.clld.org/parameters/948,хьед,water
528-600,rutu1240,http://concepticon.clld.org/parameters/1474,дериягь,sea
528-362,rutu1240,http://concepticon.clld.org/parameters/258,секин,calm (of sea)
528-1421,rutu1240,http://concepticon.clld.org/parameters/258,сакит,calm (of sea)
528-141,rutu1240,http://concepticon.clld.org/parameters/259,сертды,rough (of sea)
528-807,rutu1240,http://concepticon.clld.org/parameters/1768,хурт,foam
528-600,rutu1240,http://concepticon.clld.org/parameters/645,дериягь,ocean
528-1386,rutu1240,http://concepticon.clld.org/parameters/645,океан,ocean
528-746,rutu1240,http://concepticon.clld.org/parameters/624,гуьл,lake
528-849,rutu1240,http://concepticon.clld.org/parameters/978,лепе,wave
528-1357,rutu1240,http://concepticon.clld.org/parameters/891,—,tide
528-1357,rutu1240,http://concepticon.clld.org/parameters/1026,—,lowtide
528-1357,rutu1240,http://concepticon.clld.org/parameters/613,—,hightide
528-928,rutu1240,http://concepticon.clld.org/parameters/666,мури,"river, stream, brook"
528-883,rutu1240,http://concepticon.clld.org/parameters/1982,чамра,whirlpool
528-1256,rutu1240,http://concepticon.clld.org/parameters/2144,былах,"spring, well"
528-49,rutu1240,http://concepticon.clld.org/parameters/2144,къуй,"spring, well"
528-714,rutu1240,http://concepticon.clld.org/parameters/2144,каьгьриз,"spring, well"
528-696,rutu1240,http://concepticon.clld.org/parameters/1145,микьров,swamp
528-212,rutu1240,http://concepticon.clld.org/parameters/943,мегг,waterfall
528-232,rutu1240,http://concepticon.clld.org/parameters/420,чІалаг,"woods, forest"
528-1047,rutu1240,http://concepticon.clld.org/parameters/906,хук,tree (cf 08.600)
528-1321,rutu1240,http://concepticon.clld.org/parameters/1803,ус,wood
528-173,rutu1240,http://concepticon.clld.org/parameters/2125,духул,"stone, rock"
528-1100,rutu1240,http://concepticon.clld.org/parameters/2125,къаье,"stone, rock"
528-562,rutu1240,http://concepticon.clld.org/parameters/2125,кьул,"stone, rock"
528-1096,rutu1240,http://concepticon.clld.org/parameters/6,чихитир,earthquake
528-1259,rutu1240,http://concepticon.clld.org/parameters/6,залзалаь,earthquake
528-647,rutu1240,http://concepticon.clld.org/parameters/1732,хаІл,sky
528-292,rutu1240,http://concepticon.clld.org/parameters/1343,виригъ,sun
528-356,rutu1240,http://concepticon.clld.org/parameters/1313,ваз,moon
528-678,rutu1240,http://concepticon.clld.org/parameters/1430,хаІдей,star
528-1402,rutu1240,http://concepticon.clld.org/parameters/1654,цІайлапан,lightning
528-1072,rutu1240,http://concepticon.clld.org/parameters/1150,хаІл гьудхун,thunder
528-1402,rutu1240,http://concepticon.clld.org/parameters/2007,цІайлапан,lightning (as striking)
528-1428,rutu1240,http://concepticon.clld.org/parameters/2007,илдырым,lightning (as striking)
528-1169,rutu1240,http://concepticon.clld.org/parameters/858,тІурфан,storm
528-748,rutu1240,http://concepticon.clld.org/parameters/1733,хаIлеваз,rainbow
528-1025,rutu1240,http://concepticon.clld.org/parameters/630,йекв,light (noun)
528-1057,rutu1240,http://concepticon.clld.org/parameters/11,мычІахъвалды,darkness
528-918,rutu1240,http://concepticon.clld.org/parameters/1388,аІхъ,"shade, shadow"
528-1355,rutu1240,http://concepticon.clld.org/parameters/1977,кIер,dew
528-1360,rutu1240,http://concepticon.clld.org/parameters/27,гьава,air
528-1167,rutu1240,http://concepticon.clld.org/parameters/960,хьыбыл,wind
528-273,rutu1240,http://concepticon.clld.org/parameters/960,кулак,wind
528-736,rutu1240,http://concepticon.clld.org/parameters/1489,гыбыл,cloud
528-247,rutu1240,http://concepticon.clld.org/parameters/249,думан,fog
528-100,rutu1240,http://concepticon.clld.org/parameters/658,гьугъал,rain (noun)
528-469,rutu1240,http://concepticon.clld.org/parameters/784,йиз,snow (noun)
528-511,rutu1240,http://concepticon.clld.org/parameters/617,мык,ice
528-1360,rutu1240,http://concepticon.clld.org/parameters/952,гьава,weather
528-206,rutu1240,http://concepticon.clld.org/parameters/221,цІа,fire
528-693,rutu1240,http://concepticon.clld.org/parameters/889,миз,flame (noun)
528-733,rutu1240,http://concepticon.clld.org/parameters/778,фум,smoke (noun)
528-541,rutu1240,http://concepticon.clld.org/parameters/646,рыІхъ,ashes
528-841,rutu1240,http://concepticon.clld.org/parameters/67,вирекІед разалбыр,embers
528-1356,rutu1240,http://concepticon.clld.org/parameters/141,киршавын,burn (vb trans)
528-48,rutu1240,http://concepticon.clld.org/parameters/141,гьудхьавун,burn (vb trans)
528-784,rutu1240,http://concepticon.clld.org/parameters/1428,гьудхьун,burn (vb intrans)
528-70,rutu1240,http://concepticon.clld.org/parameters/737,кирше гьавын,"light, kindle, ignite"
528-690,rutu1240,http://concepticon.clld.org/parameters/127,сакъкъаІс,extinguish
528-1171,rutu1240,http://concepticon.clld.org/parameters/1133,ишпишка,match (noun)
528-954,rutu1240,http://concepticon.clld.org/parameters/10,усбыр,firewood
528-537,rutu1240,http://concepticon.clld.org/parameters/1188,кІаІшен,charcoal
528-435,rutu1240,http://concepticon.clld.org/parameters/683,эдеми,"person, human being"
528-45,rutu1240,http://concepticon.clld.org/parameters/683,инсан,"person, human being"
528-977,rutu1240,http://concepticon.clld.org/parameters/1554,выгІылды (эдеми),man (vs. woman)
528-679,rutu1240,http://concepticon.clld.org/parameters/962,хьыдылды,woman
528-761,rutu1240,http://concepticon.clld.org/parameters/2263,выгІылды,male
528-679,rutu1240,http://concepticon.clld.org/parameters/2260,хьыдылды,female
528-196,rutu1240,http://concepticon.clld.org/parameters/1366,хыних,boy
528-148,rutu1240,http://concepticon.clld.org/parameters/76,джегьил,young man (adolescent)
528-43,rutu1240,http://concepticon.clld.org/parameters/76,джеван,young man (adolescent)
528-271,rutu1240,http://concepticon.clld.org/parameters/1646,рыш,girl
528-1376,rutu1240,http://concepticon.clld.org/parameters/77,джегьилды рыш,young woman (adolescent)
528-196,rutu1240,http://concepticon.clld.org/parameters/1304,хыних,child
528-540,rutu1240,http://concepticon.clld.org/parameters/1289,дуькер,"infant, baby"
528-606,rutu1240,http://concepticon.clld.org/parameters/1289,набалигъ,"infant, baby"
528-242,rutu1240,http://concepticon.clld.org/parameters/1200,выгІыл,husband
528-719,rutu1240,http://concepticon.clld.org/parameters/1199,къари,wife
528-679,rutu1240,http://concepticon.clld.org/parameters/1199,хьыдылды,wife
528-870,rutu1240,http://concepticon.clld.org/parameters/203,къари гьарвын,marry
528-310,rutu1240,http://concepticon.clld.org/parameters/203,выглис рыхьын,marry
528-567,rutu1240,http://concepticon.clld.org/parameters/1259,дават,"marriage, wedding"
528-1324,rutu1240,http://concepticon.clld.org/parameters/1259,той,"marriage, wedding"
528-1157,rutu1240,http://concepticon.clld.org/parameters/1134,сихъригын,divorce
528-881,rutu1240,http://concepticon.clld.org/parameters/1217,дид,father
528-824,rutu1240,http://concepticon.clld.org/parameters/1216,нин,mother
528-574,rutu1240,http://concepticon.clld.org/parameters/505,дид-нин,parents
528-861,rutu1240,http://concepticon.clld.org/parameters/424,дават гьапІыды,married man
528-621,rutu1240,http://concepticon.clld.org/parameters/426,выглис рыхьыды,married woman
528-1115,rutu1240,http://concepticon.clld.org/parameters/1620,дух,son
528-271,rutu1240,http://concepticon.clld.org/parameters/1357,рыш,daughter
528-955,rutu1240,http://concepticon.clld.org/parameters/1801,хинимар,offspring (son or daughter)
528-1179,rutu1240,http://concepticon.clld.org/parameters/1801,несил,offspring (son or daughter)
528-1133,rutu1240,http://concepticon.clld.org/parameters/1801,неве,offspring (son or daughter)
528-269,rutu1240,http://concepticon.clld.org/parameters/1262,шугу,brother
528-63,rutu1240,http://concepticon.clld.org/parameters/1262,шугуй,brother
528-781,rutu1240,http://concepticon.clld.org/parameters/1759,кьыхьды шугу,older brother
528-35,rutu1240,http://concepticon.clld.org/parameters/1760,кІаъды шугу,younger brother
528-1162,rutu1240,http://concepticon.clld.org/parameters/1263,риши,sister
528-143,rutu1240,http://concepticon.clld.org/parameters/1758,кьыхьды риши,older sister
528-836,rutu1240,http://concepticon.clld.org/parameters/1761,кІаъды риши,younger sister
528-831,rutu1240,http://concepticon.clld.org/parameters/1640,риши-шугу,sibling
528-220,rutu1240,http://concepticon.clld.org/parameters/1005,кутхуІймар,twins
528-53,rutu1240,http://concepticon.clld.org/parameters/1383,кьыхьды дид,grandfather
528-703,rutu1240,http://concepticon.clld.org/parameters/406,кьаІсей,old man
528-894,rutu1240,http://concepticon.clld.org/parameters/1496,кьыхьды нин,grandmother
528-703,rutu1240,http://concepticon.clld.org/parameters/907,кьаІсей,old woman
528-1133,rutu1240,http://concepticon.clld.org/parameters/1618,неве,grandson
528-1133,rutu1240,http://concepticon.clld.org/parameters/1619,неве,granddaughter
528-1139,rutu1240,http://concepticon.clld.org/parameters/1327,гыга,uncle
528-298,rutu1240,http://concepticon.clld.org/parameters/1984,нинды шугу,mother's brother
528-975,rutu1240,http://concepticon.clld.org/parameters/1985,дидды шугу,father's brother
528-207,rutu1240,http://concepticon.clld.org/parameters/1272,быбаь,aunt
528-1094,rutu1240,http://concepticon.clld.org/parameters/171,нинды риши,mother's sister
528-106,rutu1240,http://concepticon.clld.org/parameters/170,дидды риши,father's sister
528-1113,rutu1240,http://concepticon.clld.org/parameters/1063,хыдыл,nephew
528-1113,rutu1240,http://concepticon.clld.org/parameters/1642,хыдыл,niece
528-156,rutu1240,http://concepticon.clld.org/parameters/1643,хыдиймар,cousin
528-1013,rutu1240,http://concepticon.clld.org/parameters/1669,ата-бабыер,ancestors
528-941,rutu1240,http://concepticon.clld.org/parameters/490,невиймар,descendants
528-124,rutu1240,http://concepticon.clld.org/parameters/2255,гаг,father-in-law (of a man)
528-124,rutu1240,http://concepticon.clld.org/parameters/2254,гаг,father-in-law (of a woman)
528-1314,rutu1240,http://concepticon.clld.org/parameters/2256,гаьнин,mother-in-law (of a man)
528-1314,rutu1240,http://concepticon.clld.org/parameters/2257,гаьнин,mother-in-law (of a woman)
528-1136,rutu1240,http://concepticon.clld.org/parameters/2267,езнаь,son-in-law (of a man)
528-1136,rutu1240,http://concepticon.clld.org/parameters/2266,езнаь,son-in-law (of a woman)
528-138,rutu1240,http://concepticon.clld.org/parameters/2265,сус,daughter-in-law (of a man)
528-138,rutu1240,http://concepticon.clld.org/parameters/2264,сус,daughter-in-law (of a woman)
528-8,rutu1240,http://concepticon.clld.org/parameters/237,джухуды дид,stepfather
528-225,rutu1240,http://concepticon.clld.org/parameters/236,джурхуды нин,stepmother
528-1272,rutu1240,http://concepticon.clld.org/parameters/1059,джухуды дух,stepson
528-1029,rutu1240,http://concepticon.clld.org/parameters/1058,джурхуды риши,stepdaughter
528-569,rutu1240,http://concepticon.clld.org/parameters/1149,етим,orphan
528-855,rutu1240,http://concepticon.clld.org/parameters/1756,хиндандай,widow
528-340,rutu1240,http://concepticon.clld.org/parameters/1981,каьйваьни,widower
528-639,rutu1240,http://concepticon.clld.org/parameters/1644,яр,"relatives, kinsmen"
528-618,rutu1240,http://concepticon.clld.org/parameters/1644,дуст,"relatives, kinsmen"
528-795,rutu1240,http://concepticon.clld.org/parameters/194,хал,family
528-213,rutu1240,http://concepticon.clld.org/parameters/194,хизан,family
528-1241,rutu1240,http://concepticon.clld.org/parameters/1209,зы,I
528-11,rutu1240,http://concepticon.clld.org/parameters/1215,гъу,you (singular)
528-486,rutu1240,http://concepticon.clld.org/parameters/262,тинды,he/she/it
528-1308,rutu1240,http://concepticon.clld.org/parameters/1212,жи,we
528-1357,rutu1240,http://concepticon.clld.org/parameters/1131,—,we (inclusive)
528-1357,rutu1240,http://concepticon.clld.org/parameters/1130,—,we (exclusive)
528-1417,rutu1240,http://concepticon.clld.org/parameters/1213,жвё,you (plural)
528-995,rutu1240,http://concepticon.clld.org/parameters/1213,жуь,you (plural)
528-1288,rutu1240,http://concepticon.clld.org/parameters/817,тинбыр,they
528-843,rutu1240,http://concepticon.clld.org/parameters/619,гьейван,animal
528-503,rutu1240,http://concepticon.clld.org/parameters/2261,выгылды,male (adj)
528-679,rutu1240,http://concepticon.clld.org/parameters/2262,хьыдылды,female (adj)
528-1346,rutu1240,http://concepticon.clld.org/parameters/631,халды мал,livestock
528-180,rutu1240,http://concepticon.clld.org/parameters/649,выс,pasture
528-1064,rutu1240,http://concepticon.clld.org/parameters/649,чIир,pasture
528-1061,rutu1240,http://concepticon.clld.org/parameters/649,чIик,pasture
528-767,rutu1240,http://concepticon.clld.org/parameters/263,нехирхъан,herdsman
528-566,rutu1240,http://concepticon.clld.org/parameters/851,вихь,"stable, stall"
528-1247,rutu1240,http://concepticon.clld.org/parameters/1153,къара мал,cattle (bovine)
528-154,rutu1240,http://concepticon.clld.org/parameters/1008,бугъа,bull
528-638,rutu1240,http://concepticon.clld.org/parameters/1169,яс,ox
528-146,rutu1240,http://concepticon.clld.org/parameters/1007,зер,cow
528-988,rutu1240,http://concepticon.clld.org/parameters/1989,кьыхъ,calf
528-788,rutu1240,http://concepticon.clld.org/parameters/1331,чІебел,sheep
528-675,rutu1240,http://concepticon.clld.org/parameters/1344,выгьыр,ram
528-702,rutu1240,http://concepticon.clld.org/parameters/1345,тІехь,ewe
528-448,rutu1240,http://concepticon.clld.org/parameters/820,гел,lamb
528-361,rutu1240,http://concepticon.clld.org/parameters/1348,къабан,boar
528-643,rutu1240,http://concepticon.clld.org/parameters/1351,дунгъуз,sow (2)
528-643,rutu1240,http://concepticon.clld.org/parameters/1337,дунгъуз,pig
528-548,rutu1240,http://concepticon.clld.org/parameters/1502,цІигь,goat
528-161,rutu1240,http://concepticon.clld.org/parameters/264,мычІир,he-goat
528-1414,rutu1240,http://concepticon.clld.org/parameters/1972,мытыл,kid
528-505,rutu1240,http://concepticon.clld.org/parameters/615,гьаІйван,horse (equine)
528-556,rutu1240,http://concepticon.clld.org/parameters/936,айгъыр,stallion
528-1246,rutu1240,http://concepticon.clld.org/parameters/938,хвар,mare
528-631,rutu1240,http://concepticon.clld.org/parameters/1647,дай,"foal, colt"
528-174,rutu1240,http://concepticon.clld.org/parameters/1862,йимел,"ass, donkey"
528-580,rutu1240,http://concepticon.clld.org/parameters/890,къатир,mule
528-380,rutu1240,http://concepticon.clld.org/parameters/265,кІатІ,fowl
528-504,rutu1240,http://concepticon.clld.org/parameters/265,джуьдже,fowl
528-1249,rutu1240,http://concepticon.clld.org/parameters/1511,дадал,"cock, rooster"
528-380,rutu1240,http://concepticon.clld.org/parameters/1514,кІатІ,hen
528-1333,rutu1240,http://concepticon.clld.org/parameters/1318,кІатІирды шарак,chicken
528-504,rutu1240,http://concepticon.clld.org/parameters/1318,джуьдже,chicken
528-587,rutu1240,http://concepticon.clld.org/parameters/1187,къаз,goose
528-938,rutu1240,http://concepticon.clld.org/parameters/1360,уьрдег,duck
528-1210,rutu1240,http://concepticon.clld.org/parameters/539,аІкваІл,nest
528-838,rutu1240,http://concepticon.clld.org/parameters/937,шурук,bird
528-1264,rutu1240,http://concepticon.clld.org/parameters/950,чайка,seagull
528-71,rutu1240,http://concepticon.clld.org/parameters/758,леглегий,heron
528-1145,rutu1240,http://concepticon.clld.org/parameters/1905,лыІкь,eagle
528-1080,rutu1240,http://concepticon.clld.org/parameters/1905,кьаьджир,eagle
528-492,rutu1240,http://concepticon.clld.org/parameters/307,джунуг,hawk
528-1130,rutu1240,http://concepticon.clld.org/parameters/307,лачин,hawk
528-1143,rutu1240,http://concepticon.clld.org/parameters/1185,лыІкъ,vulture
528-1150,rutu1240,http://concepticon.clld.org/parameters/1793,хъархъанаг,bat
528-726,rutu1240,http://concepticon.clld.org/parameters/1793,шипIахил,bat
