ID,Language_ID,Feature_ID,Value,Concept
62-57,arch1244,http://concepticon.clld.org/parameters/107,гІала̄мат,"omen, portent"
62-880,arch1244,http://concepticon.clld.org/parameters/1175,гьарахут йелъмул,"ghost, phantom"
62-465,arch1244,http://concepticon.clld.org/parameters/2138,хІурулгІен,"fairy, elf"
62-102,arch1244,http://concepticon.clld.org/parameters/2137,хъартай,"sorcerer, witch"
62-1051,arch1244,http://concepticon.clld.org/parameters/392,сcихІру,"magic, witchcraft, sorcery"
62-802,arch1244,http://concepticon.clld.org/parameters/392,макру,"magic, witchcraft, sorcery"
62-897,arch1244,http://concepticon.clld.org/parameters/1945,хъанч,idol
62-703,arch1244,http://concepticon.clld.org/parameters/1973,шайтІан,demon (evil spirit)
62-503,arch1244,http://concepticon.clld.org/parameters/1973,илбис,demon (evil spirit)
62-27,arch1244,http://concepticon.clld.org/parameters/878,дужги,hell
62-137,arch1244,http://concepticon.clld.org/parameters/1565,алшун,heaven
62-81,arch1244,http://concepticon.clld.org/parameters/303,сcоб сас,fast (vb)
62-937,arch1244,http://concepticon.clld.org/parameters/8,нагІана лІос,curse
62-1099,arch1244,http://concepticon.clld.org/parameters/391,рази лІос,bless
62-79,arch1244,http://concepticon.clld.org/parameters/304,дарс лълъас,preach
62-320,arch1244,http://concepticon.clld.org/parameters/988,гІейб итукул оцис ас,acquit
62-472,arch1244,http://concepticon.clld.org/parameters/983,гІейб ас,convict (vb)
62-13,arch1244,http://concepticon.clld.org/parameters/484,туснакъ абтІас,condemn
62-429,arch1244,http://concepticon.clld.org/parameters/1939,хветас,swear
62-486,arch1244,http://concepticon.clld.org/parameters/1712,хветти,oath
62-690,arch1244,http://concepticon.clld.org/parameters/1144,гьарак варкІурду,witness
62-1131,arch1244,http://concepticon.clld.org/parameters/1034,жаваб лІорду,defendant
62-38,arch1244,http://concepticon.clld.org/parameters/2020,гІарзачи,plaintiff
62-11,arch1244,http://concepticon.clld.org/parameters/861,ссудийа,judge (noun)
62-808,arch1244,http://concepticon.clld.org/parameters/1067,ссудлин магІни,judgment
62-818,arch1244,http://concepticon.clld.org/parameters/1818,ссуд абас,judge (vb)
62-894,arch1244,http://concepticon.clld.org/parameters/1068,ссуд,court
62-461,arch1244,http://concepticon.clld.org/parameters/1062,закон,law
62-810,arch1244,http://concepticon.clld.org/parameters/1062,зукІун,law
62-838,arch1244,http://concepticon.clld.org/parameters/1170,сас,trap (vb)
62-675,arch1244,http://concepticon.clld.org/parameters/1075,ххон,trap (noun)
62-1127,arch1244,http://concepticon.clld.org/parameters/161,лълъвахут беІхъес,miss (target)
62-696,arch1244,http://concepticon.clld.org/parameters/1172,каммус,shoot
62-392,arch1244,http://concepticon.clld.org/parameters/1435,бох̄оІ къвес,hunt
62-911,arch1244,http://concepticon.clld.org/parameters/2013,—,bait
62-916,arch1244,http://concepticon.clld.org/parameters/19,лескІа,fishing line
62-424,arch1244,http://concepticon.clld.org/parameters/1074,хаІбхду сардуб тІекьон,fishhook
62-882,arch1244,http://concepticon.clld.org/parameters/1858,хаІбхду сарту,fisherman
62-64,arch1244,http://concepticon.clld.org/parameters/65,увчІуну къовкъис,ambush
62-499,arch1244,http://concepticon.clld.org/parameters/1940,охран,"guard, sentinel"
62-271,arch1244,http://concepticon.clld.org/parameters/1072,йак увкІуду,"captive, prisoner"
62-44,arch1244,http://concepticon.clld.org/parameters/421,хараши кес,retreat
62-750,arch1244,http://concepticon.clld.org/parameters/1330,цІун-кес,defend
62-178,arch1244,http://concepticon.clld.org/parameters/782,оІкъмул,defeat
62-598,arch1244,http://concepticon.clld.org/parameters/783,хеІхмул,victory
62-1162,arch1244,http://concepticon.clld.org/parameters/1671,цІут,tower
62-568,arch1244,http://concepticon.clld.org/parameters/1938,хъала,fortress
62-75,arch1244,http://concepticon.clld.org/parameters/1064,къалхан,shield
62-1165,arch1244,http://concepticon.clld.org/parameters/1680,такъийа,helmet
62-820,arch1244,http://concepticon.clld.org/parameters/1061,йарагъ-матахІ,armor (defensive)
62-251,arch1244,http://concepticon.clld.org/parameters/1535,ханжар,sword
62-860,arch1244,http://concepticon.clld.org/parameters/945,ххеч,spear
62-48,arch1244,http://concepticon.clld.org/parameters/977,чІор,arrow
62-693,arch1244,http://concepticon.clld.org/parameters/994,пил,bow
62-1196,arch1244,http://concepticon.clld.org/parameters/386,табарзан,battle-ax
62-1120,arch1244,http://concepticon.clld.org/parameters/1763,диІчаттут кІухІани,club
62-803,arch1244,http://concepticon.clld.org/parameters/951,йарагъ,"weapons, arms"
62-501,arch1244,http://concepticon.clld.org/parameters/1561,армийа,army
62-1062,arch1244,http://concepticon.clld.org/parameters/579,анх,"war, battle"
62-98,arch1244,http://concepticon.clld.org/parameters/1423,анххас,fight (vb)
62-492,arch1244,http://concepticon.clld.org/parameters/1610,дигьаІс доркъирдур,prostitute
62-154,arch1244,http://concepticon.clld.org/parameters/1610,къаІгьба,prostitute
62-1192,arch1244,http://concepticon.clld.org/parameters/1831,шортал кес,meet
62-594,arch1244,http://concepticon.clld.org/parameters/2024,мушавар,"conspiracy, plot"
62-17,arch1244,http://concepticon.clld.org/parameters/1747,икирдут,custom
62-1129,arch1244,http://concepticon.clld.org/parameters/1550,мишайыткул ас,"hinder, prevent"
62-105,arch1244,http://concepticon.clld.org/parameters/1897,кумак,"help, aid"
62-733,arch1244,http://concepticon.clld.org/parameters/1782,ххеІлетту,guest
62-664,arch1244,http://concepticon.clld.org/parameters/791,синтІиду,stranger
62-138,arch1244,http://concepticon.clld.org/parameters/1332,лълъвакду,neighbor
62-789,arch1244,http://concepticon.clld.org/parameters/1358,душман,enemy
62-720,arch1244,http://concepticon.clld.org/parameters/1325,гьалмахду,"friend, companion"
62-650,arch1244,http://concepticon.clld.org/parameters/1635,гІийбас,obey
62-543,arch1244,http://concepticon.clld.org/parameters/1128,амру бос,"command, order"
62-1152,arch1244,http://concepticon.clld.org/parameters/384,эркен адам,freeman
62-1109,arch1244,http://concepticon.clld.org/parameters/255,нокьахутту,servant
62-554,arch1244,http://concepticon.clld.org/parameters/812,нокьихутту,slave
62-919,arch1244,http://concepticon.clld.org/parameters/1032,шагьарлин адам,"citizen, subject"
62-153,arch1244,http://concepticon.clld.org/parameters/482,магІани-дина итту,"noble, nobleman"
62-442,arch1244,http://concepticon.clld.org/parameters/1846,ханлъи ас,"rule, govern"
62-262,arch1244,http://concepticon.clld.org/parameters/1508,хан,"king, ruler"
62-85,arch1244,http://concepticon.clld.org/parameters/1508,пача,"king, ruler"
62-276,arch1244,http://concepticon.clld.org/parameters/1508,парчахІ,"king, ruler"
62-839,arch1244,http://concepticon.clld.org/parameters/301,оІнт,"chief, chieftain"
62-933,arch1244,http://concepticon.clld.org/parameters/302,агьлу,"tribe, clan"
62-929,arch1244,http://concepticon.clld.org/parameters/302,болІ,"tribe, clan"
62-582,arch1244,http://concepticon.clld.org/parameters/1010,гІурхъи,boundary
62-581,arch1244,http://concepticon.clld.org/parameters/95,кІара,"sandfly (midge), gnat"
62-1036,arch1244,http://concepticon.clld.org/parameters/1504,гьилку,fly
62-921,arch1244,http://concepticon.clld.org/parameters/1517,тІантІ (ъалхул),wasp
62-1049,arch1244,http://concepticon.clld.org/parameters/96,лълъурхбос,"creep, crawl"
62-804,arch1244,http://concepticon.clld.org/parameters/175,гьубус,blow
62-870,arch1244,http://concepticon.clld.org/parameters/1441,пархбос,fly (vb)
62-1040,arch1244,http://concepticon.clld.org/parameters/787,лълъан ас,sail (vb)
62-459,arch1244,http://concepticon.clld.org/parameters/365,лълъан цахас,splash
62-875,arch1244,http://concepticon.clld.org/parameters/119,тІанкІ бос,dive
62-1040,arch1244,http://concepticon.clld.org/parameters/1439,лълъан ас,swim
62-177,arch1244,http://concepticon.clld.org/parameters/1574,лълъанас,float
62-59,arch1244,http://concepticon.clld.org/parameters/1088,лълъеннехъаІк экъмус,sink
62-1079,arch1244,http://concepticon.clld.org/parameters/1909,ххирихх-ас,shake
62-217,arch1244,http://concepticon.clld.org/parameters/1280,экас,fall
62-1025,arch1244,http://concepticon.clld.org/parameters/501,йаттехас,"raise, lift"
62-1025,arch1244,http://concepticon.clld.org/parameters/568,йаттехас,rise
62-99,arch1244,http://concepticon.clld.org/parameters/430,къверкъа-бос,twist
62-795,arch1244,http://concepticon.clld.org/parameters/827,квеккисас,roll
62-801,arch1244,http://concepticon.clld.org/parameters/1113,гури-ас,"wind, wrap"
62-668,arch1244,http://concepticon.clld.org/parameters/1445,квеккис,turn around
62-795,arch1244,http://concepticon.clld.org/parameters/1588,квеккисас,turn over
62-15,arch1244,http://concepticon.clld.org/parameters/765,ххирих-кес,move
62-299,arch1244,http://concepticon.clld.org/parameters/1979,артІурттут,chisel
62-1092,arch1244,http://concepticon.clld.org/parameters/647,ссир,paint (noun)
62-1125,arch1244,http://concepticon.clld.org/parameters/1971,гьава арттут,fan (noun)
62-491,arch1244,http://concepticon.clld.org/parameters/293,сумка,netbag
62-273,arch1244,http://concepticon.clld.org/parameters/292,дивин,rug
62-782,arch1244,http://concepticon.clld.org/parameters/1539,губчитти,basket
62-273,arch1244,http://concepticon.clld.org/parameters/195,дивин,mat
62-1045,arch1244,http://concepticon.clld.org/parameters/1729,атІас,"weave, plait"
62-340,arch1244,http://concepticon.clld.org/parameters/1399,накъв,clay
62-699,arch1244,http://concepticon.clld.org/parameters/604,кабк,glass
62-1186,arch1244,http://concepticon.clld.org/parameters/289,куц эцас,mold (clay etc)
62-918,arch1244,http://concepticon.clld.org/parameters/358,лацут,"tin, tinplate"
62-857,arch1244,http://concepticon.clld.org/parameters/359,устар,potter
62-129,arch1244,http://concepticon.clld.org/parameters/627,тІеІчІу,lead (noun)
62-1077,arch1244,http://concepticon.clld.org/parameters/1825,карбат,"copper, bronze"
62-208,arch1244,http://concepticon.clld.org/parameters/1825,дук,"copper, bronze"
62-1078,arch1244,http://concepticon.clld.org/parameters/1825,мазгар,"copper, bronze"
62-918,arch1244,http://concepticon.clld.org/parameters/621,лацут,iron
62-309,arch1244,http://concepticon.clld.org/parameters/1369,мисирту,gold
62-726,arch1244,http://concepticon.clld.org/parameters/759,арси,silver
62-224,arch1244,http://concepticon.clld.org/parameters/211,эцас,cast (metals)
62-371,arch1244,http://concepticon.clld.org/parameters/1648,рач,anvil
62-614,arch1244,http://concepticon.clld.org/parameters/288,пуІрщаІхъаІт,forge
62-4,arch1244,http://concepticon.clld.org/parameters/1069,калай,glue
62-1017,arch1244,http://concepticon.clld.org/parameters/1001,лацуттен устар,"smith, blacksmith"
