ID,Language_ID,Feature_ID,Value,Concept
63-61,budu1248,http://concepticon.clld.org/parameters/1902,хейанатувал сиъи,betray
63-1321,budu1248,http://concepticon.clld.org/parameters/1926,маз,ointment
63-1360,budu1248,http://concepticon.clld.org/parameters/779,пай,"part, piece"
63-756,budu1248,http://concepticon.clld.org/parameters/1575,лем,cockroach
63-489,budu1248,http://concepticon.clld.org/parameters/1841,шаьклаьми йихьар,suspect
63-746,budu1248,http://concepticon.clld.org/parameters/151,уьлгуьдж,razor
63-1122,budu1248,http://concepticon.clld.org/parameters/1624,буш,empty
63-1205,budu1248,http://concepticon.clld.org/parameters/1624,гьичи,empty
63-324,budu1248,http://concepticon.clld.org/parameters/1538,кІийатІар,scorpion
63-1381,budu1248,http://concepticon.clld.org/parameters/1308,шек,doubt
63-1085,budu1248,http://concepticon.clld.org/parameters/333,кьасу,braid
63-823,budu1248,http://concepticon.clld.org/parameters/1429,тамаму,full
63-1162,budu1248,http://concepticon.clld.org/parameters/1974,къирхайагъ,centipede
63-1261,budu1248,http://concepticon.clld.org/parameters/860,сабаб,cause
63-498,budu1248,http://concepticon.clld.org/parameters/860,себеб,cause
63-171,budu1248,http://concepticon.clld.org/parameters/1821,дарагь,brush
63-64,budu1248,http://concepticon.clld.org/parameters/2023,артух,"multitude, crowd"
63-1173,budu1248,http://concepticon.clld.org/parameters/2023,хейли,"multitude, crowd"
63-400,budu1248,http://concepticon.clld.org/parameters/232,кІид,flea
63-805,budu1248,http://concepticon.clld.org/parameters/1162,къаст,"intention, purpose"
63-717,budu1248,http://concepticon.clld.org/parameters/1162,мурад,"intention, purpose"
63-426,budu1248,http://concepticon.clld.org/parameters/1162,мекъсад,"intention, purpose"
63-1270,budu1248,http://concepticon.clld.org/parameters/1162,метлеб,"intention, purpose"
63-767,budu1248,http://concepticon.clld.org/parameters/1162,нийет,"intention, purpose"
63-171,budu1248,http://concepticon.clld.org/parameters/1475,дарагь,comb
63-703,budu1248,http://concepticon.clld.org/parameters/1241,чукьунуббасы,some
63-400,budu1248,http://concepticon.clld.org/parameters/267,кІид,nit (louse egg)
63-706,budu1248,http://concepticon.clld.org/parameters/1626,сухоцІу,explain
63-9,budu1248,http://concepticon.clld.org/parameters/1021,дасмал,towel
63-642,budu1248,http://concepticon.clld.org/parameters/1881,багьам,enough
63-191,budu1248,http://concepticon.clld.org/parameters/310,лиш,louse
63-1070,budu1248,http://concepticon.clld.org/parameters/509,моьгъкем,"sure, certain"
63-410,budu1248,http://concepticon.clld.org/parameters/509,инами,"sure, certain"
63-200,budu1248,http://concepticon.clld.org/parameters/509,сахьа,"sure, certain"
63-683,budu1248,http://concepticon.clld.org/parameters/509,паргар,"sure, certain"
63-843,budu1248,http://concepticon.clld.org/parameters/332,личег,"handkerchief, rag"
63-977,budu1248,http://concepticon.clld.org/parameters/1242,микІе,"little (quantity), few"
63-938,budu1248,http://concepticon.clld.org/parameters/1242,сейрек,"little (quantity), few"
63-1035,budu1248,http://concepticon.clld.org/parameters/620,гьашарат,insect
63-1416,budu1248,http://concepticon.clld.org/parameters/1121,сир,secret
63-1337,budu1248,http://concepticon.clld.org/parameters/68,—,tattoo
63-64,budu1248,http://concepticon.clld.org/parameters/1992,артух,more
63-579,budu1248,http://concepticon.clld.org/parameters/1871,деве,camel
63-301,budu1248,http://concepticon.clld.org/parameters/1764,магІлумсуз,obscure
63-632,budu1248,http://concepticon.clld.org/parameters/330,йойлугъ,"headband, headdress"
63-1335,budu1248,http://concepticon.clld.org/parameters/330,бишме,"headband, headdress"
63-843,budu1248,http://concepticon.clld.org/parameters/330,личег,"headband, headdress"
63-102,budu1248,http://concepticon.clld.org/parameters/330,шал,"headband, headdress"
63-64,budu1248,http://concepticon.clld.org/parameters/1198,артух,"much, many"
63-1173,budu1248,http://concepticon.clld.org/parameters/1198,хейли,"much, many"
63-377,budu1248,http://concepticon.clld.org/parameters/1198,лаьхІ,"much, many"
63-1002,budu1248,http://concepticon.clld.org/parameters/1198,кидже,"much, many"
63-1272,budu1248,http://concepticon.clld.org/parameters/1290,фил,elephant
63-132,budu1248,http://concepticon.clld.org/parameters/989,магІлум,"clear, plain"
63-730,budu1248,http://concepticon.clld.org/parameters/989,темиз,"clear, plain"
63-731,budu1248,http://concepticon.clld.org/parameters/989,темис,"clear, plain"
63-743,budu1248,http://concepticon.clld.org/parameters/770,сыргъа,earring
63-349,budu1248,http://concepticon.clld.org/parameters/98,питин,"every, all"
63-1333,budu1248,http://concepticon.clld.org/parameters/1350,меймун,monkey
63-439,budu1248,http://concepticon.clld.org/parameters/1523,хейал къапкуджи,forget
63-724,budu1248,http://concepticon.clld.org/parameters/1860,шил,bead
63-643,budu1248,http://concepticon.clld.org/parameters/1420,гьисаб сиъи,count
63-421,budu1248,http://concepticon.clld.org/parameters/1420,сахъу,count
63-1337,budu1248,http://concepticon.clld.org/parameters/707,—,remember
63-1138,budu1248,http://concepticon.clld.org/parameters/1936,марал,deer
63-256,budu1248,http://concepticon.clld.org/parameters/1961,голу,necklace
63-1069,budu1248,http://concepticon.clld.org/parameters/1843,гьазар,thousand
63-1061,budu1248,http://concepticon.clld.org/parameters/1312,сокул,fox
63-1075,budu1248,http://concepticon.clld.org/parameters/673,мектеб,school
63-1284,budu1248,http://concepticon.clld.org/parameters/1754,билег,bracelet
63-195,budu1248,http://concepticon.clld.org/parameters/1754,билезиг,bracelet
63-164,budu1248,http://concepticon.clld.org/parameters/1820,сор,bear
63-1001,budu1248,http://concepticon.clld.org/parameters/1634,фухъад,hundred
63-281,budu1248,http://concepticon.clld.org/parameters/1038,маьгІлим,teacher
63-1302,budu1248,http://concepticon.clld.org/parameters/1374,тІилгъедж,ring (for finger)
63-258,budu1248,http://concepticon.clld.org/parameters/1374,гос,ring (for finger)
63-28,budu1248,http://concepticon.clld.org/parameters/1710,хъар,twenty
63-33,budu1248,http://concepticon.clld.org/parameters/1710,хъаб,twenty
63-35,budu1248,http://concepticon.clld.org/parameters/1710,хъад,twenty
63-866,budu1248,http://concepticon.clld.org/parameters/1386,арслан,lion
63-1390,budu1248,http://concepticon.clld.org/parameters/753,телебе,pupil
63-384,budu1248,http://concepticon.clld.org/parameters/753,сухта,pupil
63-238,budu1248,http://concepticon.clld.org/parameters/1029,зергаьр,jewel
63-1429,budu1248,http://concepticon.clld.org/parameters/1709,ысна фуд,fifteen
63-460,budu1248,http://concepticon.clld.org/parameters/522,джанавар,wolf
63-339,budu1248,http://concepticon.clld.org/parameters/917,нехиш,"ornament, adornment"
63-1427,budu1248,http://concepticon.clld.org/parameters/709,хІар сиъи,teach
63-1005,budu1248,http://concepticon.clld.org/parameters/1707,ысна кьад,twelve
63-1337,budu1248,http://concepticon.clld.org/parameters/1013,—,freshwater eel
63-706,budu1248,http://concepticon.clld.org/parameters/1929,сухоцІу,study
63-549,budu1248,http://concepticon.clld.org/parameters/64,санджагъ,pin
63-933,budu1248,http://concepticon.clld.org/parameters/1706,ысна сад,eleven
63-1337,budu1248,http://concepticon.clld.org/parameters/1910,—,stingray
63-706,budu1248,http://concepticon.clld.org/parameters/504,сухоцІу,learn
63-157,budu1248,http://concepticon.clld.org/parameters/757,тІилгъаб,button
63-217,budu1248,http://concepticon.clld.org/parameters/757,дугма,button
63-374,budu1248,http://concepticon.clld.org/parameters/757,садаф,button
63-430,budu1248,http://concepticon.clld.org/parameters/757,седеф,button
63-727,budu1248,http://concepticon.clld.org/parameters/1515,йицІыд,ten
63-1304,budu1248,http://concepticon.clld.org/parameters/957,кит,whale
63-395,budu1248,http://concepticon.clld.org/parameters/1899,ахмагъ,"insane, crazy"
63-222,budu1248,http://concepticon.clld.org/parameters/1851,джиб,pocket
63-1160,budu1248,http://concepticon.clld.org/parameters/1851,къултугъ,pocket
63-538,budu1248,http://concepticon.clld.org/parameters/1483,вичІиб,nine
63-1230,budu1248,http://concepticon.clld.org/parameters/1479,делфин,"porpoise, dolphin"
63-395,budu1248,http://concepticon.clld.org/parameters/1518,ахмагъ,"foolish, stupid"
63-472,budu1248,http://concepticon.clld.org/parameters/1518,гІакьалсыз,"foolish, stupid"
63-686,budu1248,http://concepticon.clld.org/parameters/1518,кам,"foolish, stupid"
63-2,budu1248,http://concepticon.clld.org/parameters/1518,сефи,"foolish, stupid"
63-1249,budu1248,http://concepticon.clld.org/parameters/1151,пардав,veil
63-101,budu1248,http://concepticon.clld.org/parameters/1705,мийид,eight
63-336,budu1248,http://concepticon.clld.org/parameters/1110,акула,shark
63-555,budu1248,http://concepticon.clld.org/parameters/698,гьарифдар,wise
63-701,budu1248,http://concepticon.clld.org/parameters/867,элджек,glove
63-932,budu1248,http://concepticon.clld.org/parameters/1704,йийиб,seven
63-111,budu1248,http://concepticon.clld.org/parameters/598,дагъдагъа,shell
63-1080,budu1248,http://concepticon.clld.org/parameters/1609,фикр,"idea, notion"
63-801,budu1248,http://concepticon.clld.org/parameters/772,къейши,"belt, girdle"
63-870,budu1248,http://concepticon.clld.org/parameters/772,душбагъи,"belt, girdle"
63-1305,budu1248,http://concepticon.clld.org/parameters/772,хІандалагула,"belt, girdle"
63-342,budu1248,http://concepticon.clld.org/parameters/1703,рыхьыд,six
63-1337,budu1248,http://concepticon.clld.org/parameters/1916,—,gill
63-830,budu1248,http://concepticon.clld.org/parameters/1521,хейал йихьар,seem
63-1113,budu1248,http://concepticon.clld.org/parameters/2130,ишлапа,"hat, cap"
63-712,budu1248,http://concepticon.clld.org/parameters/493,фуд,five
63-1006,budu1248,http://concepticon.clld.org/parameters/266,балугъ ибир,fishscale
63-8,budu1248,http://concepticon.clld.org/parameters/117,тегьер сиъи,imitate
63-176,budu1248,http://concepticon.clld.org/parameters/875,пинечи,"shoemaker, cobbler"
63-940,budu1248,http://concepticon.clld.org/parameters/875,чакмачи,"shoemaker, cobbler"
63-762,budu1248,http://concepticon.clld.org/parameters/1500,йукьур,four
