ID,Language_ID,Feature_ID,Value,Concept
70-771,tsak1249,http://concepticon.clld.org/parameters/1035,югна,good
70-569,tsak1249,http://concepticon.clld.org/parameters/1528,багъышгьаъас,forgive
70-666,tsak1249,http://concepticon.clld.org/parameters/601,гьоргьаъас,"lie, tell lies"
70-246,tsak1249,http://concepticon.clld.org/parameters/13,гьорбыгьаъас,deceit
70-409,tsak1249,http://concepticon.clld.org/parameters/1657,гьаІкІена,true
70-1278,tsak1249,http://concepticon.clld.org/parameters/100,гъирйатнана,faithful
70-1130,tsak1249,http://concepticon.clld.org/parameters/1092,умудгьаъас,hope
70-16,tsak1249,http://concepticon.clld.org/parameters/1750,къайихкас,choose
70-192,tsak1249,http://concepticon.clld.org/parameters/1784,ыкыйкини,"desire, want"
70-1110,tsak1249,http://concepticon.clld.org/parameters/1810,хата,danger
70-972,tsak1249,http://concepticon.clld.org/parameters/3,еІкъна,brave
70-1090,tsak1249,http://concepticon.clld.org/parameters/781,хъаІркьыний,"fear, fright"
70-389,tsak1249,http://concepticon.clld.org/parameters/1779,игит,dare
70-180,tsak1249,http://concepticon.clld.org/parameters/174,дамах хьад,proud
70-217,tsak1249,http://concepticon.clld.org/parameters/1776,аІйиб,shame (noun)
70-922,tsak1249,http://concepticon.clld.org/parameters/40,пахылитйвалла,"envy, jealousy"
70-202,tsak1249,http://concepticon.clld.org/parameters/82,гьырс,anger
70-681,tsak1249,http://concepticon.clld.org/parameters/82,къаІл,anger
70-320,tsak1249,http://concepticon.clld.org/parameters/1607,дикканас,hate
70-968,tsak1249,http://concepticon.clld.org/parameters/1607,дейкканас,hate
70-1187,tsak1249,http://concepticon.clld.org/parameters/716,офулдамишхьес,groan
70-778,tsak1249,http://concepticon.clld.org/parameters/1651,нягъ,tear (noun)
70-411,tsak1249,http://concepticon.clld.org/parameters/1839,гешмес,"cry, weep"
70-526,tsak1249,http://concepticon.clld.org/parameters/1839,гешшес,"cry, weep"
70-18,tsak1249,http://concepticon.clld.org/parameters/1141,язухийвалла,pity
