ID,Language_ID,Feature_ID,Value,Concept
702-556,hind1269,http://concepticon.clld.org/parameters/965,dʒag,world
702-1115,hind1269,http://concepticon.clld.org/parameters/965,sansaːr,world
702-1272,hind1269,http://concepticon.clld.org/parameters/965,viɕva,world
702-112,hind1269,http://concepticon.clld.org/parameters/626,bʱuːmi,"earth, land"
702-378,hind1269,http://concepticon.clld.org/parameters/626,t̪ʰal,"earth, land"
702-715,hind1269,http://concepticon.clld.org/parameters/1228,miʈʈiː,"earth=ground, soil"
702-1121,hind1269,http://concepticon.clld.org/parameters/2,d̪ʱuːl,dust
702-1348,hind1269,http://concepticon.clld.org/parameters/2,gard̪,dust
702-1005,hind1269,http://concepticon.clld.org/parameters/640,kiːtʃaɽ,mud
702-519,hind1269,http://concepticon.clld.org/parameters/671,baːluː,sand
702-1041,hind1269,http://concepticon.clld.org/parameters/671,ret̪,sand
702-58,hind1269,http://concepticon.clld.org/parameters/2118,pahaːɽ,"mountain, hill"
702-957,hind1269,http://concepticon.clld.org/parameters/2118,parvat̪,"mountain, hill"
702-438,hind1269,http://concepticon.clld.org/parameters/618,tʃaʈʈaːn̪,"cliff, precipice"
702-939,hind1269,http://concepticon.clld.org/parameters/618,ɕilaː,"cliff, precipice"
702-1143,hind1269,http://concepticon.clld.org/parameters/652,samat̪al,"plain, field"
702-652,hind1269,http://concepticon.clld.org/parameters/652,sapaːʈ,"plain, field"
702-828,hind1269,http://concepticon.clld.org/parameters/921,gʱaːʈiː,valley
702-210,hind1269,http://concepticon.clld.org/parameters/622,d̪viːp,island
702-624,hind1269,http://concepticon.clld.org/parameters/622,ʈaːpuː,island
702-1458,hind1269,http://concepticon.clld.org/parameters/166,mukʰja bʱuːbʱaːg,mainland
702-602,hind1269,http://concepticon.clld.org/parameters/113,kin̪aːraː,shore
702-924,hind1269,http://concepticon.clld.org/parameters/113,t̪aʈ,shore
702-904,hind1269,http://concepticon.clld.org/parameters/1155,gupʰaː,cave
702-1074,hind1269,http://concepticon.clld.org/parameters/948,paːn̪iː,water
702-1108,hind1269,http://concepticon.clld.org/parameters/948,n̪iːr,water
702-1157,hind1269,http://concepticon.clld.org/parameters/1474,samud̪ra,sea
702-1416,hind1269,http://concepticon.clld.org/parameters/258,ɕaːn̪t̪,calm (of sea)
702-1071,hind1269,http://concepticon.clld.org/parameters/259,aɕaːnt̪,rough (of sea)
702-439,hind1269,http://concepticon.clld.org/parameters/1768,pʰen̪,foam
702-1141,hind1269,http://concepticon.clld.org/parameters/1768,dʒʱaːg,foam
702-389,hind1269,http://concepticon.clld.org/parameters/645,saːgar,ocean
702-396,hind1269,http://concepticon.clld.org/parameters/624,dʒʱiːl,lake
702-1245,hind1269,http://concepticon.clld.org/parameters/663,kʰaːɽiː,"gulf, bay"
702-396,hind1269,http://concepticon.clld.org/parameters/623,dʒʱiːl,lagoon
702-235,hind1269,http://concepticon.clld.org/parameters/623,laguːn̪,lagoon
702-658,hind1269,http://concepticon.clld.org/parameters/660,bʱit̪t̪i,reef
702-1176,hind1269,http://concepticon.clld.org/parameters/660,riːpʰ,reef
702-987,hind1269,http://concepticon.clld.org/parameters/660,ɕel,reef
702-374,hind1269,http://concepticon.clld.org/parameters/1662,ant̪ariːp,"headland, point"
702-433,hind1269,http://concepticon.clld.org/parameters/978,lehar,wave
702-404,hind1269,http://concepticon.clld.org/parameters/891,dʒvaːr,tide
702-1148,hind1269,http://concepticon.clld.org/parameters/1026,bʱaːʈaː,lowtide
702-557,hind1269,http://concepticon.clld.org/parameters/613,puːrabelaː,hightide
702-515,hind1269,http://concepticon.clld.org/parameters/666,d̪arijɑː,"river, stream, brook"
702-203,hind1269,http://concepticon.clld.org/parameters/666,d̪ʱaːraː,"river, stream, brook"
702-876,hind1269,http://concepticon.clld.org/parameters/666,n̪ad̪iː,"river, stream, brook"
702-568,hind1269,http://concepticon.clld.org/parameters/1982,bʱan̪var,whirlpool
702-1429,hind1269,http://concepticon.clld.org/parameters/2144,tʃaɕamaː,"spring, well"
702-47,hind1269,http://concepticon.clld.org/parameters/2144,dʒʱaran̪aː,"spring, well"
702-881,hind1269,http://concepticon.clld.org/parameters/2144,kuaːn̪,"spring, well"
702-373,hind1269,http://concepticon.clld.org/parameters/1145,d̪ald̪al,swamp
702-47,hind1269,http://concepticon.clld.org/parameters/943,dʒʱaran̪aː,waterfall
